Sprungtyp,SprungID,ACC_N,ACC_N_ROT_filtered,Acc_x_Fil,Acc_y_Fil,Acc_z_Fil,Gyro_x_Fil,Gyro_y_Fil,Gyro_z_Fil,DJump_SIG_I_x LapEnd,DJump_SIG_I_y LapEnd,DJump_SIG_I_z LapEnd,DJump_Abs_I_x LapEnd,DJump_Abs_I_y LapEnd,DJump_Abs_I_z LapEnd
Salto C,0827-BK1-01-4,17.095,16.977,-1.301,-0.319,5.127,3.306,178.39,4.196,6.871,355.593,9.022,21.571,388.923,29.996
Salto C,0827-BK1-01-7,17.365,17.217,-0.966,-0.57,5.342,-2.485,175.493,3.462,-4.717,358.254,7.186,20.537,384.911,27.238
Salto C,0827-BK1-01-10,16.926,16.749,0.05,-0.534,5.345,-2.827,176.085,1.727,-5.825,358.946,3.876,22.168,373.566,32.467
Salto C,0827-BK1-01-13,17.264,17.05,-0.22,-0.574,5.311,-1.723,170.342,0.47,-3.394,350.198,0.891,22.504,377.941,32.648
Salto C,0827-BK1-01-16,17.045,16.974,-0.592,-0.45,5.143,8.624,175.392,0.213,17.786,355.702,0.272,31.175,387.02,28.357
Salto C,0827-BK1-01-19,17.349,17.182,-0.393,-0.168,5.45,7.828,175.457,7.533,16.107,358.032,15.567,39.039,381.975,38.091
Salto C,0827-BK1-01-22,16.507,16.422,-0.022,-0.505,5.094,2.353,174.092,8.206,4.67,350.898,16.556,21.94,360.096,27.885
Salto C,0827-BK1-01-24,16.427,16.229,-1.22,-0.183,5.37,2.814,190.475,6.346,5.58,377.855,12.545,17.924,399.388,23.897
Salto C,0827-BK1-01-26,17.269,17.161,-0.432,-0.292,5.017,6.787,179.589,6.643,13.474,357.474,13.335,24.029,366.326,27.304
Salto C,0827-BK1-01-29,17.188,17.101,-1.116,-0.549,5.08,2.957,182.996,2.3,6.038,359.124,4.331,28.377,379.299,26.691
Salto C,0827-BK1-01-32,16.867,16.828,-0.264,-0.402,4.98,5.453,175.859,2.589,11.048,347.399,5.277,24.33,357.048,32.96
Salto C,0827-BK1-01-35,17.514,17.242,-0.371,-0.715,4.893,-3.367,181.133,2.801,-6.596,355.018,5.384,20.914,381.657,27.071
Salto C,0827-BK1-01-38,17.599,17.417,-0.711,-0.386,5.244,5.384,176.478,3.721,11.167,355.791,8.395,25.588,382.619,29.804
Salto C,0827-BK1-01-41,16.816,16.713,0.258,-0.533,4.995,5.516,175.622,3.875,10.878,351.395,7.673,22.553,358.179,26.344
Salto C,0827-BK1-01-44,17.7,17.505,-1.225,-0.576,5.142,-2.032,182.615,3.358,-3.939,358.382,6.158,22.01,378.837,30.056
Salto C,0827-BK1-01-46,15.429,15.91,-0.521,-0.889,4.882,-5.852,218.322,-0.868,-10.164,364.337,-1.337,28.583,369.394,27.871
Salto B,0827-BK1-01-53,18.226,18.185,-1.157,-0.421,4.343,5.002,175.474,13.896,10.431,355.795,28.329,40.762,405.605,52.652
Salto B,0827-BK1-01-56,18.823,18.686,-0.415,-0.27,4.627,9.216,175.909,11.817,18.994,357.555,24.091,43.398,399.871,48.012
Salto B,0827-BK1-01-59,18.09,18.008,-0.051,-0.38,4.509,-0.149,176.044,11.722,-0.122,355.219,24.013,32.053,395.625,46.093
Salto B,0827-BK1-01-62,17.965,17.682,-0.21,-0.425,4.793,-1.294,179.297,5.758,-2.338,357.172,11.497,25.384,388.727,40.837
Salto B,0827-BK1-01-65,18.138,18.037,-0.238,-0.309,4.403,-2.925,176.799,8.468,-5.665,358.437,17.566,37.887,402.698,50.099
Salto B,0827-BK1-01-68,18.113,17.937,-0.241,-0.294,4.554,5.023,174.017,9.071,10.379,353.338,18.22,39.838,399.934,42.282
Salto B,0827-BK1-01-71,17.258,17.048,-1.05,-0.67,4.812,-3.075,177.772,4.776,-6.226,356.481,9.528,27.619,407.852,35.647
Salto B,0827-BK1-01-74,18.195,18.007,-0.288,-0.556,4.899,-4.545,172.313,15.126,-9.158,351.026,30.62,37.415,395.669,47.704
Salto B,0827-BK1-01-76,17.352,17.191,-0.338,-0.57,4.607,1.969,176.594,7.836,4.104,355.777,16.044,30.839,403.776,34.274
Salto B,0827-BK1-01-78,17.33,17.16,0.034,-0.494,4.847,4.517,175.939,3.264,9.05,349.446,6.681,32.556,387.153,34.743
