Sprungtyp,SprungID,avg_ACC_N,std_ACC_N,avg_ACC_N_ROT_filtered,std_ACC_N_ROT_filtered,avg_Acc_x_Fil,std_Acc_x_Fil,avg_Acc_y_Fil,std_Acc_y_Fil,avg_Acc_z_Fil,std_Acc_z_Fil,avg_Gyro_x_Fil,std_Gyro_x_Fil,avg_Gyro_y_Fil,std_Gyro_y_Fil,avg_Gyro_z_Fil,std_Gyro_z_Fil,DJump_SIG_I_x LapEnd,DJump_SIG_I_y LapEnd,DJump_SIG_I_z LapEnd,DJump_Abs_I_x LapEnd,DJump_Abs_I_y LapEnd,DJump_Abs_I_z LapEnd
Salto A,20191008-1207-FRANKFURT_2-01-364,16.711,23.538,16.483,19.854,-1.105,6.862,1.685,8.353,3.712,24.309,29.913,26.927,213.985,73.845,-53.761,36.783,48.935,342.174,-87.658,50.904,344.94,98.19
Schraubensalto A,20191003-1152-FRANKFURT_1-01-104,18.19,20.823,17.994,18.238,-3.719,7.025,0.819,3.169,4.749,24.394,-26.79,112.226,119.5,137.484,-209.945,177.469,-44.108,202.311,-356.89,162.433,281.927,368.086
Schraubensalto A,20191007-1534-FRANKFURT_2-01-104,17.788,21.999,17.404,18.651,-3.369,7.397,-0.159,5.004,5.21,24.628,53.962,119.341,114.872,139.573,204.232,174.293,89.035,190.669,335.873,171.395,266.508,355.733
Barani C,0609-4-01-600,17.657,22.601,17.857,20.957,-2.767,11.227,-0.16,2.224,4.955,24.069,-7.855,28.126,-37.237,203.562,130.018,101.779,-13.808,-71.418,229.805,49.434,315.849,242.231
Salto C,0827-BK2-01-10,17.182,26.004,16.886,23.879,-0.481,11.692,0.319,2.09,5.997,26.388,0.3,21.04,163.22,159.481,-0.656,20.538,0.292,331.756,-1.512,39.136,349.877,38.545
Barani A,20191007-1159-FRANKFURT_1-01-229,18.696,24.541,18.428,21.186,-1.615,9.768,-1.079,2.69,5.2,26.531,-31.913,52.429,46.242,198.64,109.021,134.312,-50.402,73.044,171.403,73.54,291.198,202.85
Salto B,20191008-1207-FRANKFURT_2-01-141,20.752,24.596,20.762,21.304,-4.7,10.924,0.589,3.246,3.668,27.173,15.82,26.178,200.642,241.479,-15.622,26.654,27.662,343.185,-27.756,44.99,419.242,56.069
Barani C,20190930-1247-FRANKFURT_2-01-88,18.75,22.725,18.98,21.022,-2.782,8.501,0.71,2.511,4.661,25.548,-51.247,33.27,-71.596,222.107,109.366,70.645,-91.429,-131.234,188.133,95.999,318.435,195.76
Barani B,20191007-1159-FRANKFURT_1-01-189,19.254,22.496,19.415,20.748,-3.991,9.758,-0.797,2.92,5.942,25.063,14.184,48.74,-6.773,268.829,106.581,164.404,22.636,-11.292,170.358,67.271,358.93,204.996
Salto C,0115-MORITZ-03-57,16.902,27.072,16.824,24.339,0.611,13.582,-1.201,1.353,4.962,26.415,-3.83,14.688,163.422,153.833,7.077,17.39,-7.878,343.542,15.007,22.678,382.112,31.571
Salto A,20191007-1159-FRANKFURT_1-01-306,15.441,23.44,15.461,20.492,-0.433,5.961,-0.613,1.293,4.451,25.039,5.44,13.263,202.724,60.568,-4.155,14.876,9.77,337.336,-11.405,21.518,338.961,31.527
Bauchsprung,0609-1-01-649,12.278,24.194,11.67,21.616,4.569,14.939,-0.34,1.542,7.454,19.657,0.264,10.288,-23.464,75.397,-4.041,23.335,0.233,-42.446,-7.222,18.309,127.442,33.993
Salto B,0115-JANEIKE-01-121,18.763,24.386,18.573,22.16,-0.472,15.004,-0.454,1.501,4.431,24.457,6.582,29.374,181.282,214.455,-12.99,31.977,11.9,342.048,-24.249,50.112,413.815,62.695
Voll- ein- Rudi- aus B,0115-MORITZ-03-58,38.581,21.927,39.105,19.983,-17.116,19.127,0.549,12.987,-1.385,29.979,-278.745,289.925,-63.29,328.495,-377.574,301.616,-549.865,-126.411,-744.918,589.217,605.469,767.432
Fliffis B,0609-4-01-372,29.42,25.169,29.675,22.184,-11.987,18.92,1.064,3.258,-0.612,28.443,-29.72,63.262,-20.476,362.559,130.044,148.416,-57.597,-44.545,249.708,94.478,626.008,262.178
Fliffis C,20191007-1150-FRANKFURT_2-01-214,40.383,20.452,40.906,19.016,-23.218,23.957,2.19,4.771,-4.878,27.723,-58.263,60.222,-263.756,388.142,122.595,170.107,-93.13,-419.396,189.693,117.027,655.991,219.76
Barani A,20191008-1207-FRANKFURT_2-01-91,18.061,24.664,18.388,22.44,-2.054,6.275,0.106,3.832,3.605,26.6,-61.73,61.5,17.595,200.835,121.917,84.599,-102.309,25.945,201.649,126.14,300.898,226.062
Cody C,20191003-1152-FRANKFURT_1-01-28,23.357,25.311,24.065,24.442,-1.974,21.887,-0.735,2.608,-0.213,23.64,-25.572,24.141,225.179,226.204,-1.042,19.192,-41.946,378.669,-7.891,55.654,450.85,35.057
Von Bauch in Stand,0609-1-01-167,12.652,25.584,13.169,25.926,6.577,17.81,-0.301,0.925,6.554,18.348,4.26,13.589,21.49,53.726,4.273,16.391,7.437,37.292,8.631,24.997,66.109,33.847
Bauchsprung,0609-1-01-900,11.987,23.875,11.392,21.165,4.207,13.44,0.028,1.009,7.533,19.979,-3.062,14.987,-21.113,81.666,-4.585,13.072,-5.656,-37.102,-8.543,26.796,125.806,29.983
Salto C,0827-BK2-02-22,17.758,24.339,17.495,22.603,-2.38,11.863,0.639,1.443,5.894,25.607,2.154,16.854,180.282,188.037,-26.964,26.276,4.079,341.868,-51.268,30.802,361.52,60.863
Doppelsalto B,20191007-1524-FRANKFURT_1-01-114,17.429,24.57,17.804,21.899,-0.998,10.441,0.898,4.2,4.232,24.725,19.706,32.067,202.623,137.396,-19.343,29.487,30.341,330.816,-30.893,49.169,344.957,59.562
Salto B,0827-BK1-01-81,17.98,25.164,18.024,23.559,-0.835,14.99,-0.33,2.213,4.558,24.835,12.14,23.659,174.518,185.221,20.514,28.006,24.599,349.777,41.215,46.726,392.25,59.313
Salto C,0609-1-01-594,16.647,24.206,16.399,22.277,-0.794,10.397,-0.181,0.859,4.831,25.591,7.027,15.395,191.721,177.198,-11.32,20.666,13.268,365.329,-21.575,29.086,383.653,43.817
Salto B,0827-BK2-01-57,18.178,25.278,17.858,23.204,-1.891,11.896,0.593,0.859,5.693,26.77,-0.39,10.51,166.876,211.766,-7.622,15.697,-0.769,342.338,-15.517,19.795,431.158,35.704
Bauchsprung,0609-1-01-631,11.974,23.646,11.313,20.835,4.488,13.945,0.338,2.629,7.586,19.429,-5.464,12.458,-20.248,82.178,-9.336,32.94,-10.027,-35.318,-16.898,23.098,125.716,40.113
Doppelsalto B,0609-1-01-618,29.798,22.195,29.785,20.074,-13.277,18.377,-0.494,3.49,-1.937,26.986,-8.812,43.863,388.965,258.019,-19.594,36.442,-15.879,708.939,-36.821,72.793,726.787,74.814
Salto A,0827-BK2-01-98,15.594,24.903,15.203,23.171,-0.029,8.527,0.324,1.376,5.829,26.261,1.76,14.159,167.658,51.861,-8.314,15.069,3.547,338.743,-17.421,25.742,338.826,30.517
Salto A,20191008-1207-FRANKFURT_2-01-60,15.809,24.327,15.897,21.4,-1.654,7.007,0.931,6.355,4.059,24.233,11.124,22.935,200.17,94.346,-40.171,48.81,19.21,339.345,-75.377,36.234,349.09,89.85
Salto B,0115-JANEIKE-01-21,18.298,24.914,17.913,22.113,-0.69,13.962,-0.175,1.394,5.37,25.268,10.432,28.232,183.885,177.8,-17.095,31.821,19.451,345.637,-33.141,47.954,393.743,64.208
Salto A,20191007-1150-FRANKFURT_2-01-110,16.471,19.863,16.448,17.592,-1.228,6.752,-0.405,1.05,3.229,22.943,12.161,18.812,217.755,63.072,-4.553,19.713,19.35,353.164,-11.94,25.739,353.918,33.695
Salto A,20191008-1207-FRANKFURT_2-01-187,15.973,24.544,16.175,21.847,-2.845,3.748,0.384,2.996,4.356,26.269,31.491,18.328,202.997,76.411,-15.295,28.55,54.503,352.09,-26.502,56.991,355.891,55.553
Bauchsprung,0609-1-01-812,11.631,23.567,10.916,20.74,5.016,14.665,-0.317,1.082,7.178,18.892,-1.859,13.195,-19.59,70.036,-2.49,17.251,-3.442,-33.327,-4.482,19.885,114.184,32.6
Salto A,0827-BK2-02-147,15.148,22.058,14.978,21.138,-0.188,7.679,0.618,1.051,4.932,23.912,9.571,9.438,184.23,37.672,-22.002,16.198,17.214,328.435,-39.139,23.453,328.435,44.154
Bauchsprung,0609-1-01-749,12.305,24.243,11.577,21.311,4.871,14.817,-0.124,0.949,7.717,19.756,0.42,13.589,-22.164,71.766,-1.163,13.291,0.689,-39.298,-2.323,20.367,117.414,26.832
1 3/4 Salto vw C,0115-CHARI-05-167,26.683,26.196,26.793,23.507,-14.209,18.551,0.648,1.888,1.244,24.412,2.076,13.747,-339.527,200.898,-1.3,21.525,10.192,-662.33,25.585,26.978,673.328,49.201
Von Bauch in Stand,0609-1-01-679,13.598,23.691,14.097,23.856,6.908,17.492,0.261,1.617,6.28,16.839,8.72,21.327,20.489,60.692,5.01,40.614,14.792,32.995,8.413,35.39,72.783,66.86
3/4 Salto vw A,20191007-1159-FRANKFURT_1-01-400,14.654,27.138,14.629,23.52,-5.824,16.846,-0.622,1.508,5.243,20.294,5.513,8.05,-156.178,128.429,9.785,12.019,10.688,-277.224,12.301,17.632,304.22,30.934
Schraubensalto C,0609-4-01-94,17.154,23.42,17.122,21.05,-2.68,9.843,-0.801,2.705,5.687,24.979,51.82,100.721,92.532,133.441,205.242,166.269,99.526,178.582,393.828,152.409,292.879,399.432
Bauchsprung,0609-1-01-254,12.495,25.848,11.879,22.898,4.95,15.565,-0.037,1.371,7.631,20.908,-0.766,18.729,-19.143,63.681,-6.594,26.208,-1.679,-36.572,-12.741,29.958,108.518,50.157
Fliffis B,0609-4-01-500,30.937,23.906,31.141,20.776,-12.153,19.74,-0.361,2.95,-0.701,28.037,-57.601,92.726,-65.436,365.83,122.045,139.631,-111.086,-130.561,229.985,147.666,601.084,258.474
