SprungID,Sprungtyp,Acc_x_Fil_avg_1,Acc_y_Fil_avg_1,Acc_z_Fil_avg_1,Gyro_x_Fil_avg_1,Gyro_y_Fil_avg_1,Gyro_z_Fil_avg_1,Acc_x_Fil_avg_2,Acc_y_Fil_avg_2,Acc_z_Fil_avg_2,Gyro_x_Fil_avg_2,Gyro_y_Fil_avg_2,Gyro_z_Fil_avg_2
20191008-1207-FRANKFURT_2-01-364,Salto A,0.293,2.426,4.345,24.511,200.382,-55.72,-2.514,0.935,3.051,35.313,227.621,-51.813
20191003-1152-FRANKFURT_1-01-104,Schraubensalto A,-4.677,-0.233,7.288,-93.286,55.633,-287.308,-2.766,1.875,2.163,40.32,183.116,-133.004
20191007-1534-FRANKFURT_2-01-104,Schraubensalto A,-4.228,0.915,7.007,124.42,67.324,251.639,-2.519,-1.239,3.372,-16.877,162.047,157.435
0609-4-01-600,Barani C,-5.308,1.154,5.216,-14.568,-208.879,138.227,-0.226,-1.478,4.663,-1.175,134.892,122.203
0827-BK2-01-10,Salto C,-2.356,0.159,5.083,1.517,211.937,0.623,1.395,0.479,6.893,-0.954,114.426,-1.924
20191007-1159-FRANKFURT_1-01-229,Barani A,-2.098,-0.263,4.631,-49.322,-124.985,171.63,-1.139,-1.906,5.734,-14.565,217.68,47.0
20191008-1207-FRANKFURT_2-01-141,Salto B,-8.339,0.647,0.72,15.388,218.964,-18.18,-1.114,0.535,6.581,16.372,183.217,-13.197
20190930-1247-FRANKFURT_2-01-88,Barani C,-5.622,2.332,4.418,-42.571,-231.24,86.042,0.054,-0.907,4.875,-59.828,88.604,132.984
20191007-1159-FRANKFURT_1-01-189,Barani B,-4.401,0.546,5.903,31.528,-228.341,131.013,-3.588,-2.146,5.951,-3.089,214.847,83.018
0115-MORITZ-03-57,Salto C,-2.092,-1.211,3.987,-7.794,212.775,12.254,3.311,-1.19,5.92,0.15,114.074,1.902
20191007-1159-FRANKFURT_1-01-306,Salto A,-0.39,-1.009,3.436,8.087,222.229,-0.175,-0.481,-0.219,5.44,2.795,183.241,-8.121
0609-1-01-649,Bauchsprung,0.861,-0.573,9.814,0.584,-49.513,-4.315,8.265,-0.105,5.076,-0.053,2.423,-3.723
0115-JANEIKE-01-121,Salto B,-4.414,-0.053,4.35,-6.368,208.634,-13.921,3.436,-0.853,4.502,19.623,154.546,-11.991
0115-MORITZ-03-58,Voll- ein- Rudi- aus B,-16.166,-1.198,-2.21,-320.036,-230.702,-388.086,-18.121,2.244,-0.561,-237.826,104.89,-368.086
0609-4-01-372,Fliffis B,-17.922,2.772,0.515,-45.889,-325.038,172.465,-6.058,-0.652,-1.783,-13.876,284.517,88.209
20191007-1150-FRANKFURT_2-01-214,Fliffis C,-36.672,4.068,-2.095,-78.696,-591.218,5.855,-9.788,0.321,-7.731,-37.807,63.607,239.622
20191008-1207-FRANKFURT_2-01-91,Barani A,-1.349,1.916,3.797,-89.305,-158.287,120.517,-2.762,-1.712,3.382,-34.294,193.823,123.644
20191003-1152-FRANKFURT_1-01-28,Cody C,-3.612,-0.563,-3.205,-20.127,260.733,6.17,-0.34,-0.909,2.763,-31.036,189.736,-8.254
0609-1-01-167,Von Bauch in Stand,9.305,-0.042,5.928,-1.309,-3.441,6.229,3.834,-0.558,7.164,9.859,46.427,2.353
0609-1-01-900,Bauchsprung,0.651,0.054,9.519,-6.605,-59.41,-3.158,7.751,0.001,5.53,0.504,17.011,-6.064
0827-BK2-02-22,Salto C,-6.358,0.834,4.549,-2.264,254.431,-34.021,1.61,0.442,7.228,6.605,105.968,-19.865
20191007-1524-FRANKFURT_1-01-114,Doppelsalto B,-3.431,1.269,3.29,17.974,248.874,-22.677,1.435,0.519,5.157,21.501,156.362,-16.007
0827-BK1-01-81,Salto B,-4.374,-0.541,3.315,-5.561,225.897,26.782,2.703,-0.119,5.788,29.815,123.122,14.282
0609-1-01-594,Salto C,-3.307,-0.018,3.527,10.328,257.96,-16.865,1.723,-0.344,6.125,3.722,125.337,-5.792
0827-BK2-01-57,Salto B,-5.13,0.75,4.895,2.48,220.19,-2.696,1.344,0.433,6.484,-3.277,113.575,-12.549
0609-1-01-631,Bauchsprung,1.209,-0.334,9.029,-5.934,-49.063,4.571,7.763,1.013,6.123,-4.951,8.494,-23.245
0609-1-01-618,Doppelsalto B,-15.983,-0.877,1.995,-37.214,391.065,-14.164,-10.623,-0.112,-5.926,19.648,387.838,-24.97
0827-BK2-01-98,Salto A,0.364,0.123,6.247,4.811,173.079,-8.867,-0.428,0.527,5.39,-1.315,162.331,-7.738
20191008-1207-FRANKFURT_2-01-60,Salto A,-1.778,1.558,4.094,5.128,187.245,-36.201,-1.534,0.301,4.005,17.158,213.119,-44.153
0115-JANEIKE-01-21,Salto B,-3.485,-0.023,4.35,12.39,218.322,-20.128,2.084,-0.327,6.368,8.545,149.92,-14.124
20191007-1150-FRANKFURT_2-01-110,Salto A,-0.954,-0.25,2.653,9.429,230.767,-12.451,-1.503,-0.56,3.776,14.87,204.737,3.364
20191008-1207-FRANKFURT_2-01-187,Salto A,-2.953,0.392,4.673,27.057,182.0,-27.189,-2.741,0.373,4.017,35.874,224.116,-3.386
0609-1-01-812,Bauchsprung,1.803,-0.52,9.224,2.151,-48.038,-0.24,8.225,-0.115,5.108,-5.866,8.773,-4.718
0827-BK2-02-147,Salto A,0.398,0.82,5.882,7.224,185.211,-22.344,-0.779,0.413,3.957,11.94,183.32,-21.623
0609-1-01-749,Bauchsprung,1.771,0.024,9.948,1.79,-35.39,-0.445,7.958,-0.274,5.469,-0.927,-9.034,-1.885
0115-CHARI-05-167,1 3/4 Salto vw C,-18.55,0.556,0.438,4.141,-404.902,-3.309,-9.832,0.739,2.03,-0.006,-273.496,0.652
0609-1-01-679,Von Bauch in Stand,9.432,0.78,5.753,14.403,-13.401,5.792,4.37,-0.258,6.791,2.975,54.337,4.233
20191007-1159-FRANKFURT_1-01-400,3/4 Salto vw A,1.227,-0.125,7.754,4.646,-57.828,5.202,-12.877,-1.12,2.714,6.375,-254.818,14.401
0609-4-01-94,Schraubensalto C,-4.167,-0.384,7.056,113.914,21.757,292.528,-1.207,-1.225,4.285,-10.541,163.161,118.402
0609-1-01-254,Bauchsprung,1.787,-0.308,9.951,-2.769,-27.164,-2.327,8.1,0.234,5.296,1.207,-11.27,-10.85
0609-4-01-500,Fliffis B,-17.62,1.25,2.054,-29.794,-370.615,101.112,-6.671,-1.977,-3.509,-85.92,240.314,143.541
0609-1-01-569,Doppelsalto B,-16.312,-0.476,2.843,-19.003,383.218,-20.313,-9.505,0.471,-3.142,36.483,368.748,-2.442
20191001-1202-FRANKFURT_2-01-132,Salto A,-0.257,-1.353,5.142,-5.525,-189.548,-11.817,0.062,-0.199,2.133,12.481,-223.309,-13.361
20191008-1157-FRANKFURT_1-01-137,Barani A,-1.301,1.04,4.217,-68.361,-153.085,136.135,-2.817,-1.744,4.752,-38.334,213.641,69.682
0609-1-01-450,Doppelsalto B,-16.413,-0.607,5.077,-11.841,375.211,-7.17,-9.642,-0.075,-3.22,31.287,375.732,-10.528
0115-CHARI-05-87,Salto B,-4.674,0.412,3.756,-8.693,216.311,-8.992,0.859,0.939,7.204,3.682,126.062,-15.392
20190930-1247-FRANKFURT_2-01-223,Rudi,-6.415,2.568,8.719,91.42,-124.047,325.217,-4.425,-3.177,4.348,92.063,156.06,247.735
20190930-1247-FRANKFURT_2-01-271,Salto C,-6.354,0.817,2.951,-1.525,245.641,-25.372,2.41,0.418,5.69,9.981,131.697,13.499
20191007-1150-FRANKFURT_2-01-120,Rudi,-12.183,3.98,8.388,69.98,-158.941,445.135,-6.877,-2.558,4.267,57.654,194.945,273.434
0609-4-01-518,Barani C,-2.713,0.42,4.48,-20.718,-164.721,133.504,0.636,-1.086,5.015,-24.11,125.893,105.878
20191007-1159-FRANKFURT_1-01-385,Barani C,-4.83,-0.463,4.482,3.708,-193.314,145.06,-2.053,-2.2,6.347,-38.674,184.614,63.22
20191007-1534-FRANKFURT_2-01-95,Schraubensalto A,-4.833,0.267,6.991,117.288,54.224,241.635,-3.393,-1.311,2.199,-19.558,156.9,170.686
0609-4-01-412,Salto C,-2.016,-0.366,4.779,-5.002,245.203,5.506,3.49,-0.527,6.159,1.699,112.489,0.983
20190930-1153-FRANKFURT_1-01-238,Salto B,-6.841,0.61,0.831,38.167,238.295,6.182,1.629,-0.829,6.151,19.151,129.242,-12.883
0115-CHARI-05-133,1 3/4 Salto vw C,-16.886,-0.17,0.948,6.22,-384.071,14.724,-11.726,-0.398,2.22,7.599,-297.574,-1.29
20191001-1148-FRANKFURT_1-01-95,40/,0.058,-1.181,4.138,-17.189,230.638,-4.975,0.709,-1.036,5.678,-27.894,173.15,-18.246
20191008-1157-FRANKFURT_1-01-334,Salto A,-0.324,-0.49,3.96,-4.533,225.551,-2.291,-0.438,-0.328,5.401,-6.424,177.918,-24.736
0609-4-01-293,Salto C,-0.293,-0.152,3.397,-2.063,229.46,16.73,3.233,-0.204,5.963,7.974,128.562,4.7
20191007-1150-FRANKFURT_2-01-84,Barani A,0.085,2.186,3.922,-96.673,-135.69,135.671,-1.794,-1.903,0.602,-16.256,207.785,97.059
0609-4-01-379,Salto C,2.53,0.093,3.56,-19.358,193.012,-5.229,-0.621,-0.284,3.862,4.149,206.97,10.029
0115-JANEIKE-01-118,Fliffis- Rudi B,-25.481,1.952,2.347,-150.303,-456.848,-143.267,-17.309,3.124,-1.714,-37.439,39.856,-464.597
0609-1-01-778,Bauchsprung,0.989,-0.316,9.533,-3.271,-56.454,-8.433,8.228,-0.116,5.282,5.727,14.047,-2.63
20191007-1150-FRANKFURT_2-01-132,Rudi,-10.822,4.898,7.199,47.339,-135.781,438.174,-8.704,-2.477,2.366,47.988,201.708,299.554
20191007-1150-FRANKFURT_2-01-141,Salto A,-0.626,0.155,4.648,10.979,217.688,-8.028,-0.114,-0.669,3.192,11.122,193.043,-3.016
0110-MORITZ-01-97,Fliffis B,-22.114,-0.963,4.621,-11.865,-518.92,-12.008,-6.579,-0.793,-0.737,29.476,165.774,-170.891
0115-MORITZ-03-163,Fliffis aus B,-17.78,-0.883,1.087,-40.451,-396.757,-39.293,-2.806,1.246,-2.918,118.255,166.199,-115.768
