SprungID,Sprungtyp,Acc_x_Fil_1,Acc_y_Fil_1,Acc_z_Fil_1,Gyro_x_Fil_1,Gyro_y_Fil_1,Gyro_z_Fil_1,Acc_x_Fil_2,Acc_y_Fil_2,Acc_z_Fil_2,Gyro_x_Fil_2,Gyro_y_Fil_2,Gyro_z_Fil_2,Acc_x_Fil_3,Acc_y_Fil_3,Acc_z_Fil_3,Gyro_x_Fil_3,Gyro_y_Fil_3,Gyro_z_Fil_3,Acc_x_Fil_4,Acc_y_Fil_4,Acc_z_Fil_4,Gyro_x_Fil_4,Gyro_y_Fil_4,Gyro_z_Fil_4,Acc_x_Fil_5,Acc_y_Fil_5,Acc_z_Fil_5,Gyro_x_Fil_5,Gyro_y_Fil_5,Gyro_z_Fil_5,Acc_x_Fil_6,Acc_y_Fil_6,Acc_z_Fil_6,Gyro_x_Fil_6,Gyro_y_Fil_6,Gyro_z_Fil_6,Acc_x_Fil_7,Acc_y_Fil_7,Acc_z_Fil_7,Gyro_x_Fil_7,Gyro_y_Fil_7,Gyro_z_Fil_7,Acc_x_Fil_8,Acc_y_Fil_8,Acc_z_Fil_8,Gyro_x_Fil_8,Gyro_y_Fil_8,Gyro_z_Fil_8,Acc_x_Fil_9,Acc_y_Fil_9,Acc_z_Fil_9,Gyro_x_Fil_9,Gyro_y_Fil_9,Gyro_z_Fil_9,Acc_x_Fil_10,Acc_y_Fil_10,Acc_z_Fil_10,Gyro_x_Fil_10,Gyro_y_Fil_10,Gyro_z_Fil_10,Acc_x_Fil_11,Acc_y_Fil_11,Acc_z_Fil_11,Gyro_x_Fil_11,Gyro_y_Fil_11,Gyro_z_Fil_11,Acc_x_Fil_12,Acc_y_Fil_12,Acc_z_Fil_12,Gyro_x_Fil_12,Gyro_y_Fil_12,Gyro_z_Fil_12,Acc_x_Fil_13,Acc_y_Fil_13,Acc_z_Fil_13,Gyro_x_Fil_13,Gyro_y_Fil_13,Gyro_z_Fil_13,Acc_x_Fil_14,Acc_y_Fil_14,Acc_z_Fil_14,Gyro_x_Fil_14,Gyro_y_Fil_14,Gyro_z_Fil_14,Acc_x_Fil_15,Acc_y_Fil_15,Acc_z_Fil_15,Gyro_x_Fil_15,Gyro_y_Fil_15,Gyro_z_Fil_15,Acc_x_Fil_16,Acc_y_Fil_16,Acc_z_Fil_16,Gyro_x_Fil_16,Gyro_y_Fil_16,Gyro_z_Fil_16,Acc_x_Fil_17,Acc_y_Fil_17,Acc_z_Fil_17,Gyro_x_Fil_17,Gyro_y_Fil_17,Gyro_z_Fil_17,Acc_x_Fil_18,Acc_y_Fil_18,Acc_z_Fil_18,Gyro_x_Fil_18,Gyro_y_Fil_18,Gyro_z_Fil_18,Acc_x_Fil_19,Acc_y_Fil_19,Acc_z_Fil_19,Gyro_x_Fil_19,Gyro_y_Fil_19,Gyro_z_Fil_19,Acc_x_Fil_20,Acc_y_Fil_20,Acc_z_Fil_20,Gyro_x_Fil_20,Gyro_y_Fil_20,Gyro_z_Fil_20,DJump_SIG_I_x LapEnd,DJump_SIG_I_y LapEnd,DJump_SIG_I_z LapEnd,DJump_Abs_I_x LapEnd,DJump_Abs_I_y LapEnd,DJump_Abs_I_z LapEnd
20191008-1207-FRANKFURT_2-01-364,Salto A,7.406,22.43,51.012,28.49,287.69,-91.92,-1.652,2.554,6.363,7.27,284.62,42.07,-1.17,-1.923,-10.607,69.41,171.92,-99.01,1.983,-2.422,-1.827,7.28,107.57,-77.18,1.838,-3.857,-9.382,-0.27,132.68,-60.86,-1.617,-1.157,-8.609,13.93,169.73,-45.32,-3.131,-2.44,-7.976,17.48,212.66,-53.31,-2.839,-0.969,-7.375,16.73,216.62,-67.66,-2.715,-1.062,-6.965,36.17,217.69,-51.04,-3.847,-1.514,-7.181,36.54,209.16,-53.17,-3.236,-1.489,-5.86,20.81,206.55,-51.09,-3.021,-1.756,-6.035,17.33,184.72,-32.91,-3.558,-2.181,-6.66,21.8,173.68,-21.65,-4.763,-1.136,-6.569,20.45,170.66,-34.08,-5.505,-1.338,-6.414,12.77,173.19,-20.3,-6.193,-1.613,-6.809,12.9,168.86,-26.98,-8.206,-1.772,-6.779,19.92,176.03,-49.77,-7.735,-0.576,-3.502,33.95,277.1,-45.78,-3.401,0.962,1.989,55.59,397.14,-38.94,6.724,6.051,34.429,110.13,380.65,-179.21,48.935,342.174,-87.658,50.904,344.94,98.19
20191003-1152-FRANKFURT_1-01-104,Schraubensalto A,5.078,-1.262,56.532,-30.41,239.25,-46.63,-2.091,-3.511,11.852,-71.05,270.26,-98.09,-3.596,-5.776,-5.786,-143.07,232.0,-152.97,-3.137,-3.174,-1.254,-151.68,164.07,-238.91,-4.622,0.01,-0.885,-160.31,67.67,-321.08,-8.468,-1.687,1.295,-213.75,6.37,-358.33,-13.283,0.03,0.714,-222.33,-103.15,-427.84,-13.228,4.942,-3.791,-143.16,-151.15,-428.32,-8.981,3.425,-10.171,24.48,-125.01,-474.51,-6.45,0.44,-11.482,148.23,-92.4,-472.44,-6.867,3.591,-12.272,159.33,23.9,-449.52,-4.612,4.358,-9.602,131.4,156.06,-359.31,-3.053,3.589,-8.194,98.47,191.18,-239.52,-3.588,0.773,-8.106,55.19,162.22,-175.51,-2.147,0.038,-8.704,25.67,173.37,-106.32,-6.322,0.209,-8.472,36.3,241.29,1.28,-7.852,-0.894,-5.758,14.32,257.65,-11.64,-9.065,-0.629,-3.117,-14.31,251.88,-81.54,-2.669,1.228,0.526,-70.2,270.01,-17.99,6.582,2.148,43.679,-22.86,187.73,26.55,-44.108,202.311,-356.89,162.433,281.927,368.086
20191007-1534-FRANKFURT_2-01-104,Schraubensalto A,3.398,11.817,55.483,-4.35,282.02,2.16,-2.503,2.057,6.84,33.73,269.81,-10.35,-2.388,3.509,-3.144,96.02,248.83,95.94,-3.576,1.888,-3.199,177.67,171.49,222.05,-4.652,-2.757,-2.856,190.61,73.22,319.01,-6.991,-3.385,-0.486,241.79,17.34,327.71,-7.608,-2.745,-0.921,281.38,-66.75,352.57,-9.279,-1.805,-2.764,240.26,-132.55,404.84,-11.003,-2.387,-6.064,96.95,-171.04,459.83,-8.704,-3.057,-11.488,-47.11,-90.96,465.56,-6.615,-3.033,-11.513,-136.54,0.56,438.44,-6.218,-3.251,-10.028,-152.11,78.47,380.63,-5.482,-4.77,-9.234,-111.8,126.72,305.59,-5.407,-3.831,-7.801,-54.95,151.43,232.68,-5.515,-2.573,-6.141,1.17,158.32,175.0,-5.411,-2.44,-4.856,38.73,159.68,108.79,-4.847,-2.189,-6.568,21.27,197.41,36.3,-8.626,-0.349,-1.952,41.2,249.32,33.42,-3.626,-4.4,7.096,57.75,286.61,-20.04,11.753,6.118,41.575,75.85,284.99,-58.61,89.035,190.669,335.873,171.395,266.508,355.733
0609-4-01-600,Barani C,10.921,1.004,53.354,10.92,-148.05,75.02,-3.991,-4.466,1.752,-25.57,-299.31,1.91,-9.86,3.942,-0.084,-34.97,-362.56,31.61,-17.026,2.731,0.463,-28.23,-422.57,53.97,-14.002,1.646,-5.089,-29.13,-402.3,96.74,-9.01,-0.804,-7.806,-35.96,-286.63,127.03,-7.837,2.857,-9.566,7.71,-131.73,165.88,-9.135,2.869,-9.445,21.8,-48.06,203.54,-6.44,-0.261,-2.512,-6.62,-69.89,297.4,-4.445,-0.041,-8.635,-33.18,-61.19,318.61,-5.607,-1.238,-6.69,-43.32,54.24,302.64,-4.683,-1.123,-5.769,-47.04,91.03,257.42,-4.453,-1.114,-5.863,-35.09,123.92,219.46,-4.417,-1.523,-5.625,-6.57,148.55,175.95,-4.652,-1.775,-4.682,9.47,154.4,125.86,-5.1,-1.486,-3.52,9.27,142.56,77.4,-5.608,-0.692,-1.938,17.72,147.83,69.04,-5.681,-0.828,-0.809,27.39,169.8,65.01,0.133,-2.159,3.056,44.38,186.05,38.81,15.972,-3.92,39.024,24.5,200.48,-37.73,-13.808,-71.418,229.805,49.434,315.849,242.231
0827-BK2-01-10,Salto C,17.198,-5.069,48.269,-37.4,123.87,25.93,0.794,0.155,-2.689,30.52,8.01,49.45,-8.587,1.468,-5.386,3.11,-59.87,-32.63,-5.742,2.346,-7.245,16.18,1.39,-20.94,-1.797,0.903,-10.454,39.77,450.38,-8.48,-14.868,2.379,-6.862,41.14,518.19,-28.52,-15.906,0.744,-10.147,-9.43,492.6,-3.44,-16.797,0.319,5.035,-34.17,395.28,26.74,-1.717,0.404,-2.801,-29.55,172.63,-0.76,-0.276,1.374,-3.476,-13.92,125.52,9.38,-1.298,0.56,-2.908,-16.24,125.68,-21.9,-1.182,1.366,-2.459,-5.08,110.13,-18.49,-1.643,0.535,-2.012,1.22,73.97,-4.65,-2.529,0.002,-0.782,-0.99,53.48,-13.44,-1.184,0.668,-2.724,22.88,49.01,7.36,-1.394,0.657,-2.636,6.04,68.57,13.09,-1.799,1.218,-3.327,-8.13,113.55,1.56,-3.778,0.911,-3.454,-21.17,159.78,2.06,-4.771,-0.478,0.374,3.34,199.12,-3.35,11.973,-0.929,40.701,-1.5,229.21,-2.12,0.292,331.756,-1.512,39.136,349.877,38.545
20191007-1159-FRANKFURT_1-01-229,Barani A,13.583,-5.269,59.971,26.72,-157.76,-57.17,-8.54,2.677,5.529,45.24,-328.35,26.78,-5.923,0.62,-3.111,8.95,-269.88,101.8,-7.972,2.022,-4.83,-7.92,-134.56,120.02,-6.107,1.136,-6.338,-56.94,-115.98,133.15,-4.236,1.472,-7.22,-93.21,-150.95,193.08,-4.35,1.655,-9.688,-137.84,-171.08,235.11,-2.63,0.828,-12.589,-140.31,-83.78,293.95,-4.798,-0.44,-8.754,-94.45,4.47,369.42,-4.847,-4.081,-8.52,-66.09,96.65,381.59,-4.058,-5.762,-7.197,-51.04,150.46,281.1,-2.972,-4.234,-6.923,-33.31,175.67,167.68,-3.66,-3.04,-6.988,-9.61,177.82,93.62,-5.937,-1.556,-6.573,5.61,183.75,33.02,-7.824,-0.454,-6.128,8.08,215.64,4.54,-9.163,-0.916,-5.079,9.77,246.75,-10.31,-7.927,0.171,-2.059,-0.8,269.1,-24.09,-5.842,-0.757,1.211,21.78,305.67,-36.33,1.594,-3.441,5.129,4.47,379.6,-40.65,16.049,2.442,52.116,-67.46,162.26,31.44,-50.402,73.044,171.403,73.54,291.198,202.85
20191008-1207-FRANKFURT_2-01-141,Salto B,-2.449,7.267,50.28,16.64,227.93,-57.48,-3.051,-0.888,4.508,23.62,46.32,-10.85,-2.556,-0.922,0.846,1.97,-44.45,-17.58,-8.428,-2.887,-8.839,-19.03,-244.9,-4.01,-10.874,-1.214,-5.239,-33.13,-102.24,20.43,6.323,0.443,-2.249,-0.48,77.61,-55.22,4.46,-0.796,-14.519,3.88,361.49,-37.46,-13.685,-1.283,-22.138,29.13,653.58,-17.24,-24.327,-0.331,-22.962,65.0,673.55,-9.62,-31.266,1.22,-22.977,71.53,627.51,-44.15,-18.231,0.075,-2.37,39.96,489.57,-69.04,-5.795,0.861,3.937,35.08,245.69,-8.42,-1.033,-1.511,-1.632,13.78,117.14,-14.59,0.365,-1.212,-4.002,-13.85,131.96,-23.84,-1.191,-0.981,-3.997,4.45,81.09,-4.21,-2.142,-1.308,-3.982,15.37,68.1,-17.87,-3.006,-0.444,-5.589,6.95,47.02,-15.49,-5.742,0.085,-3.531,1.99,136.82,-1.79,4.447,0.36,4.812,15.46,196.59,-17.31,7.472,4.285,34.702,7.89,349.03,3.64,27.662,343.185,-27.756,44.99,419.242,56.069
20190930-1247-FRANKFURT_2-01-88,Barani C,9.775,4.782,56.925,-20.83,-76.31,23.13,-5.784,2.127,2.807,-60.42,-284.03,99.35,-6.628,-0.509,-2.287,-44.06,-298.29,-10.45,-17.266,2.552,-3.031,-66.82,-406.82,18.29,-18.575,2.286,-6.727,-76.95,-507.57,17.16,-16.211,1.529,-12.844,-66.44,-503.98,30.94,-6.288,2.512,-7.573,-40.35,-325.98,135.63,-4.819,0.861,-6.358,-21.49,-96.68,193.67,-2.656,1.772,-7.597,-37.58,23.25,172.97,-3.431,7.187,-11.459,6.2,49.06,194.98,-8.055,-4.762,5.147,-54.21,9.37,149.24,-4.523,1.385,-5.897,-101.05,-45.26,160.74,-1.693,-1.289,-6.58,-120.96,-9.86,183.85,-1.862,-1.411,-5.314,-92.6,48.63,195.42,-1.587,-2.21,-4.568,-60.9,69.3,188.22,-2.323,-2.356,-4.197,-43.42,98.26,140.2,-2.138,-1.705,-4.955,-43.17,111.32,99.98,-3.635,-1.658,-3.527,-45.47,111.18,95.53,-1.072,-1.175,2.374,-43.65,195.87,46.87,11.63,2.099,39.21,-17.86,228.83,62.96,-91.429,-131.234,188.133,95.999,318.435,195.76
20191007-1159-FRANKFURT_1-01-189,Barani B,20.656,-0.075,55.564,2.58,-260.19,-11.2,-16.567,-2.416,4.406,28.34,-473.46,-13.95,-19.782,-0.424,-4.665,40.71,-527.42,43.24,-8.557,-0.999,-13.123,-6.5,-402.11,57.75,2.878,-4.302,-5.557,-62.0,-347.8,-20.33,-4.191,0.553,-0.484,-21.46,-181.21,-8.13,-7.097,3.895,-5.025,37.85,-79.26,102.55,-10.309,8.433,-4.041,127.49,-56.79,301.75,-9.364,2.626,-4.071,121.76,-24.69,457.04,-8.397,-2.431,-5.839,57.77,19.22,474.33,-4.818,-3.722,-5.661,38.57,33.62,405.39,-4.104,-5.208,-5.229,22.44,96.61,257.12,-3.516,-2.528,-5.073,14.09,116.93,135.85,-4.349,-1.305,-4.752,9.37,159.24,71.34,-4.522,-0.701,-5.77,7.79,231.34,31.92,-6.896,-1.509,-7.726,-37.15,273.35,12.95,-11.185,-0.553,-3.507,-46.5,311.77,20.14,-10.758,-1.593,2.299,-6.37,340.3,56.36,-2.001,-4.127,8.104,45.3,371.32,-6.88,6.951,-0.226,43.769,-51.62,255.19,-104.47,22.636,-11.292,170.358,67.271,358.93,204.996
0115-MORITZ-03-57,Salto C,14.98,-2.935,48.54,-2.14,162.18,-14.91,-3.047,-0.989,-1.855,10.0,-49.43,13.69,-8.241,-0.877,-3.645,9.83,-111.76,-2.61,-1.4,-0.675,-9.971,-25.27,184.33,-3.24,-4.654,0.668,-13.896,-54.45,547.91,50.56,-11.5,-0.757,-8.557,-22.7,493.79,42.19,-18.185,-0.268,-23.118,-3.17,381.73,14.33,-8.686,-2.432,0.117,-10.4,258.98,6.14,-1.783,-0.245,-1.953,3.32,166.01,6.27,-1.515,-0.383,-3.437,5.71,164.86,8.53,-1.433,-0.518,-3.355,3.24,167.06,8.65,-1.25,-0.712,-2.949,1.78,151.95,4.52,-1.55,-0.614,-2.981,-0.53,146.23,0.97,-1.463,-0.628,-2.846,-0.05,143.62,1.06,-1.251,-0.73,-2.216,-2.45,135.34,-3.08,-1.129,-0.402,-1.599,3.38,90.64,3.62,-1.879,-0.514,-2.727,-3.41,41.8,-4.79,-3.185,-0.816,-2.268,-8.59,-10.02,9.88,-3.705,-1.776,1.287,0.29,73.32,37.65,25.748,-2.169,27.211,15.11,261.68,-19.7,-7.878,343.542,15.007,22.678,382.112,31.571
