SprungID,Sprungtyp,Acc_x_Fil_avg_1,Acc_y_Fil_avg_1,Acc_z_Fil_avg_1,Gyro_x_Fil_avg_1,Gyro_y_Fil_avg_1,Gyro_z_Fil_avg_1,Acc_x_Fil_avg_2,Acc_y_Fil_avg_2,Acc_z_Fil_avg_2,Gyro_x_Fil_avg_2,Gyro_y_Fil_avg_2,Gyro_z_Fil_avg_2,Acc_x_Fil_avg_3,Acc_y_Fil_avg_3,Acc_z_Fil_avg_3,Gyro_x_Fil_avg_3,Gyro_y_Fil_avg_3,Gyro_z_Fil_avg_3,Acc_x_Fil_avg_4,Acc_y_Fil_avg_4,Acc_z_Fil_avg_4,Gyro_x_Fil_avg_4,Gyro_y_Fil_avg_4,Gyro_z_Fil_avg_4
20191008-1207-FRANKFURT_2-01-364,Salto A,3.276,6.207,16.221,26.086,196.99,-57.159,-2.693,-1.379,-7.595,22.824,203.525,-54.235,-4.163,-1.576,-6.363,18.343,180.993,-31.538,-0.874,3.446,12.464,52.25,274.185,-72.037
20191003-1152-FRANKFURT_1-01-104,Schraubensalto A,0.527,-1.886,19.316,-102.795,196.985,-145.33,-9.885,1.419,-4.78,-84.142,-85.722,-429.481,-4.253,2.371,-9.162,91.477,143.841,-254.33,-1.291,1.369,13.491,-11.135,222.81,-10.538
20191007-1534-FRANKFURT_2-01-104,Schraubensalto A,0.008,4.368,18.278,86.74,215.919,104.936,-8.448,-2.541,-4.26,162.286,-80.595,397.996,-5.866,-3.435,-8.737,-84.033,105.273,297.616,0.828,0.961,15.502,50.839,219.08,16.436
0609-4-01-600,Barani C,-2.983,1.387,18.014,-19.227,-287.274,58.431,-7.654,0.92,-7.577,-9.991,-131.589,217.522,-4.729,-1.301,-5.603,-22.874,114.869,209.829,4.256,-1.656,14.891,20.576,154.957,34.416
0827-BK2-01-10,Salto C,4.11,-0.823,14.66,7.674,81.619,4.451,-8.811,1.142,-4.518,-4.472,342.975,-3.246,-1.484,0.694,-2.083,0.748,80.171,-7.196,4.275,0.262,15.866,-2.613,148.594,3.431
20191007-1159-FRANKFURT_1-01-229,Barani A,0.002,-0.421,18.472,5.576,-185.067,56.419,-4.203,-0.094,-9.196,-104.042,-65.236,286.158,-5.105,-2.865,-6.619,-14.906,183.848,111.87,2.808,-0.935,18.095,-14.09,251.775,-18.466
20191008-1207-FRANKFURT_2-01-141,Salto B,-5.056,1.461,16.978,1.673,-13.824,-6.581,-11.609,-0.17,-15.48,28.801,449.325,-29.594,-5.286,-0.33,-1.669,16.971,208.452,-23.582,3.074,1.397,14.823,15.773,157.35,-2.766
20190930-1247-FRANKFURT_2-01-88,Barani C,-4.489,1.986,18.122,-48.953,-278.452,29.618,-6.8,2.673,-9.283,-36.368,-185.44,141.928,-1.842,-1.212,-4.305,-86.964,21.379,181.007,1.939,-0.607,14.014,-32.629,155.838,85.063
20191007-1159-FRANKFURT_1-01-189,Barani B,-1.554,-1.158,15.513,4.153,-379.078,11.844,-7.216,2.229,-3.753,58.41,-77.999,249.419,-4.419,-2.623,-5.466,15.672,134.114,173.588,-2.767,-1.666,17.302,-21.956,295.798,-7.893
0115-MORITZ-03-57,Salto C,4.289,-1.463,13.884,-8.67,119.391,5.838,-8.477,-0.958,-5.928,-7.045,307.142,18.788,-1.419,-0.626,-2.846,0.617,146.553,2.65,8.04,-1.754,14.689,-0.315,81.435,1.155
20191007-1159-FRANKFURT_1-01-306,Salto A,0.327,-1.201,14.389,11.012,231.364,3.484,-1.098,-0.819,-7.525,5.101,212.914,-3.836,-3.538,-0.78,-5.957,1.744,165.721,-9.862,2.565,0.346,16.845,3.851,200.741,-6.308
0609-1-01-649,Bauchsprung,2.372,-1.031,19.532,-0.977,-14.512,-1.536,-0.649,-0.116,0.095,2.108,-84.336,-7.069,0.133,-0.339,-1.042,1.874,-66.767,11.102,16.398,0.124,11.193,-1.879,71.808,-18.651
0115-JANEIKE-01-121,Salto B,2.44,0.552,19.154,9.821,15.507,-21.073,-11.239,-0.658,-10.42,-22.563,399.719,-6.784,-3.653,-0.165,-0.489,27.054,160.697,-16.653,10.533,-1.543,9.476,12.124,147.77,-7.285
0115-MORITZ-03-58,Voll- ein- Rudi- aus B,-10.135,-5.977,9.87,-105.153,-277.154,-306.754,-22.226,3.557,-14.275,-534.682,-182.361,-471.034,-30.998,5.193,-5.868,-452.066,-96.441,-620.793,-5.234,-0.683,4.68,-22.698,306.569,-115.806
