SprungID,Sprungtyp,DJump_SIG_I_x LapEnd,DJump_SIG_I_y LapEnd,DJump_SIG_I_z LapEnd,DJump_Abs_I_x LapEnd,DJump_Abs_I_y LapEnd,DJump_Abs_I_z LapEnd,0-ACC_N,0-ACC_N_ROT_filtered,0-Acc_x_Fil,0-Acc_y_Fil,0-Acc_z_Fil,0-Gyro_x_Fil,0-Gyro_y_Fil,0-Gyro_z_Fil,10-ACC_N,10-ACC_N_ROT_filtered,10-Acc_x_Fil,10-Acc_y_Fil,10-Acc_z_Fil,10-Gyro_x_Fil,10-Gyro_y_Fil,10-Gyro_z_Fil,20-ACC_N,20-ACC_N_ROT_filtered,20-Acc_x_Fil,20-Acc_y_Fil,20-Acc_z_Fil,20-Gyro_x_Fil,20-Gyro_y_Fil,20-Gyro_z_Fil,30-ACC_N,30-ACC_N_ROT_filtered,30-Acc_x_Fil,30-Acc_y_Fil,30-Acc_z_Fil,30-Gyro_x_Fil,30-Gyro_y_Fil,30-Gyro_z_Fil,40-ACC_N,40-ACC_N_ROT_filtered,40-Acc_x_Fil,40-Acc_y_Fil,40-Acc_z_Fil,40-Gyro_x_Fil,40-Gyro_y_Fil,40-Gyro_z_Fil,50-ACC_N,50-ACC_N_ROT_filtered,50-Acc_x_Fil,50-Acc_y_Fil,50-Acc_z_Fil,50-Gyro_x_Fil,50-Gyro_y_Fil,50-Gyro_z_Fil,60-ACC_N,60-ACC_N_ROT_filtered,60-Acc_x_Fil,60-Acc_y_Fil,60-Acc_z_Fil,60-Gyro_x_Fil,60-Gyro_y_Fil,60-Gyro_z_Fil,70-ACC_N,70-ACC_N_ROT_filtered,70-Acc_x_Fil,70-Acc_y_Fil,70-Acc_z_Fil,70-Gyro_x_Fil,70-Gyro_y_Fil,70-Gyro_z_Fil,80-ACC_N,80-ACC_N_ROT_filtered,80-Acc_x_Fil,80-Acc_y_Fil,80-Acc_z_Fil,80-Gyro_x_Fil,80-Gyro_y_Fil,80-Gyro_z_Fil,90-ACC_N,90-ACC_N_ROT_filtered,90-Acc_x_Fil,90-Acc_y_Fil,90-Acc_z_Fil,90-Gyro_x_Fil,90-Gyro_y_Fil,90-Gyro_z_Fil
0827-BK1-01-4,Salto C,6.871,355.593,9.022,21.571,388.923,29.996,53.311,75.439,11.155,0.149,50.109,15.827,102.403,6.342,53.311,75.439,11.155,0.149,50.109,15.827,102.403,6.342,53.311,75.439,11.155,0.149,50.109,15.827,102.403,6.342,53.311,75.439,11.155,0.149,50.109,15.827,102.403,6.342,53.311,75.439,11.155,0.149,50.109,15.827,102.403,6.342,53.311,75.439,11.155,0.149,50.109,15.827,102.403,6.342,53.311,75.439,11.155,0.149,50.109,15.827,102.403,6.342,53.311,75.439,11.155,0.149,50.109,15.827,102.403,6.342,53.311,75.439,11.155,0.149,50.109,15.827,102.403,6.342,53.311,75.439,11.155,0.149,50.109,15.827,102.403,6.342
0827-BK1-01-7,Salto C,-4.717,358.254,7.186,20.537,384.911,27.238,54.141,76.975,14.302,-1.138,49.162,8.328,79.896,4.85,54.141,76.975,14.302,-1.138,49.162,8.328,79.896,4.85,54.141,76.975,14.302,-1.138,49.162,8.328,79.896,4.85,54.141,76.975,14.302,-1.138,49.162,8.328,79.896,4.85,54.141,76.975,14.302,-1.138,49.162,8.328,79.896,4.85,54.141,76.975,14.302,-1.138,49.162,8.328,79.896,4.85,54.141,76.975,14.302,-1.138,49.162,8.328,79.896,4.85,54.141,76.975,14.302,-1.138,49.162,8.328,79.896,4.85,54.141,76.975,14.302,-1.138,49.162,8.328,79.896,4.85,54.141,76.975,14.302,-1.138,49.162,8.328,79.896,4.85
0827-BK1-01-10,Salto C,-5.825,358.946,3.876,22.168,373.566,32.467,53.986,77.779,20.765,-0.894,47.516,5.462,87.488,-0.075,53.986,77.779,20.765,-0.894,47.516,5.462,87.488,-0.075,53.986,77.779,20.765,-0.894,47.516,5.462,87.488,-0.075,53.986,77.779,20.765,-0.894,47.516,5.462,87.488,-0.075,53.986,77.779,20.765,-0.894,47.516,5.462,87.488,-0.075,53.986,77.779,20.765,-0.894,47.516,5.462,87.488,-0.075,53.986,77.779,20.765,-0.894,47.516,5.462,87.488,-0.075,53.986,77.779,20.765,-0.894,47.516,5.462,87.488,-0.075,53.986,77.779,20.765,-0.894,47.516,5.462,87.488,-0.075,53.986,77.779,20.765,-0.894,47.516,5.462,87.488,-0.075
0827-BK1-01-13,Salto C,-3.394,350.198,0.891,22.504,377.941,32.648,54.47,77.093,14.368,-0.746,50.143,14.232,95.395,11.599,54.47,77.093,14.368,-0.746,50.143,14.232,95.395,11.599,54.47,77.093,14.368,-0.746,50.143,14.232,95.395,11.599,54.47,77.093,14.368,-0.746,50.143,14.232,95.395,11.599,54.47,77.093,14.368,-0.746,50.143,14.232,95.395,11.599,54.47,77.093,14.368,-0.746,50.143,14.232,95.395,11.599,54.47,77.093,14.368,-0.746,50.143,14.232,95.395,11.599,54.47,77.093,14.368,-0.746,50.143,14.232,95.395,11.599,54.47,77.093,14.368,-0.746,50.143,14.232,95.395,11.599,54.47,77.093,14.368,-0.746,50.143,14.232,95.395,11.599
0827-BK1-01-16,Salto C,17.786,355.702,0.272,31.175,387.02,28.357,53.172,77.28,14.273,-1.74,48.122,23.106,97.75,4.123,53.172,77.28,14.273,-1.74,48.122,23.106,97.75,4.123,53.172,77.28,14.273,-1.74,48.122,23.106,97.75,4.123,53.172,77.28,14.273,-1.74,48.122,23.106,97.75,4.123,53.172,77.28,14.273,-1.74,48.122,23.106,97.75,4.123,53.172,77.28,14.273,-1.74,48.122,23.106,97.75,4.123,53.172,77.28,14.273,-1.74,48.122,23.106,97.75,4.123,53.172,77.28,14.273,-1.74,48.122,23.106,97.75,4.123,53.172,77.28,14.273,-1.74,48.122,23.106,97.75,4.123,53.172,77.28,14.273,-1.74,48.122,23.106,97.75,4.123
0827-BK1-01-19,Salto C,16.107,358.032,15.567,39.039,381.975,38.091,54.587,77.743,17.779,1.232,48.364,30.961,94.406,-0.432,54.587,77.743,17.779,1.232,48.364,30.961,94.406,-0.432,54.587,77.743,17.779,1.232,48.364,30.961,94.406,-0.432,54.587,77.743,17.779,1.232,48.364,30.961,94.406,-0.432,54.587,77.743,17.779,1.232,48.364,30.961,94.406,-0.432,54.587,77.743,17.779,1.232,48.364,30.961,94.406,-0.432,54.587,77.743,17.779,1.232,48.364,30.961,94.406,-0.432,54.587,77.743,17.779,1.232,48.364,30.961,94.406,-0.432,54.587,77.743,17.779,1.232,48.364,30.961,94.406,-0.432,54.587,77.743,17.779,1.232,48.364,30.961,94.406,-0.432
0827-BK1-01-22,Salto C,4.67,350.898,16.556,21.94,360.096,27.885,54.056,78.163,20.675,-2.108,46.257,-3.01,69.421,18.462,54.056,78.163,20.675,-2.108,46.257,-3.01,69.421,18.462,54.056,78.163,20.675,-2.108,46.257,-3.01,69.421,18.462,54.056,78.163,20.675,-2.108,46.257,-3.01,69.421,18.462,54.056,78.163,20.675,-2.108,46.257,-3.01,69.421,18.462,54.056,78.163,20.675,-2.108,46.257,-3.01,69.421,18.462,54.056,78.163,20.675,-2.108,46.257,-3.01,69.421,18.462,54.056,78.163,20.675,-2.108,46.257,-3.01,69.421,18.462,54.056,78.163,20.675,-2.108,46.257,-3.01,69.421,18.462,54.056,78.163,20.675,-2.108,46.257,-3.01,69.421,18.462
0827-BK1-01-24,Salto C,5.58,377.855,12.545,17.924,399.388,23.897,51.397,73.322,19.003,0.65,44.797,2.272,125.615,8.46,51.397,73.322,19.003,0.65,44.797,2.272,125.615,8.46,51.397,73.322,19.003,0.65,44.797,2.272,125.615,8.46,51.397,73.322,19.003,0.65,44.797,2.272,125.615,8.46,51.397,73.322,19.003,0.65,44.797,2.272,125.615,8.46,51.397,73.322,19.003,0.65,44.797,2.272,125.615,8.46,51.397,73.322,19.003,0.65,44.797,2.272,125.615,8.46,51.397,73.322,19.003,0.65,44.797,2.272,125.615,8.46,51.397,73.322,19.003,0.65,44.797,2.272,125.615,8.46,51.397,73.322,19.003,0.65,44.797,2.272,125.615,8.46
0827-BK1-01-26,Salto C,13.474,357.474,13.335,24.029,366.326,27.304,53.063,76.055,19.234,-1.774,46.946,6.717,75.202,-7.338,53.063,76.055,19.234,-1.774,46.946,6.717,75.202,-7.338,53.063,76.055,19.234,-1.774,46.946,6.717,75.202,-7.338,53.063,76.055,19.234,-1.774,46.946,6.717,75.202,-7.338,53.063,76.055,19.234,-1.774,46.946,6.717,75.202,-7.338,53.063,76.055,19.234,-1.774,46.946,6.717,75.202,-7.338,53.063,76.055,19.234,-1.774,46.946,6.717,75.202,-7.338,53.063,76.055,19.234,-1.774,46.946,6.717,75.202,-7.338,53.063,76.055,19.234,-1.774,46.946,6.717,75.202,-7.338,53.063,76.055,19.234,-1.774,46.946,6.717,75.202,-7.338
0827-BK1-01-29,Salto C,6.038,359.124,4.331,28.377,379.299,26.691,53.392,76.425,16.844,-1.189,49.048,9.788,101.859,0.017,53.392,76.425,16.844,-1.189,49.048,9.788,101.859,0.017,53.392,76.425,16.844,-1.189,49.048,9.788,101.859,0.017,53.392,76.425,16.844,-1.189,49.048,9.788,101.859,0.017,53.392,76.425,16.844,-1.189,49.048,9.788,101.859,0.017,53.392,76.425,16.844,-1.189,49.048,9.788,101.859,0.017,53.392,76.425,16.844,-1.189,49.048,9.788,101.859,0.017,53.392,76.425,16.844,-1.189,49.048,9.788,101.859,0.017,53.392,76.425,16.844,-1.189,49.048,9.788,101.859,0.017,53.392,76.425,16.844,-1.189,49.048,9.788,101.859,0.017
