SprungID,Sprungtyp,DJump_SIG_I_x LapEnd,DJump_SIG_I_y LapEnd,DJump_SIG_I_z LapEnd,DJump_Abs_I_x LapEnd,DJump_Abs_I_y LapEnd,DJump_Abs_I_z LapEnd,0-ACC_N,0-ACC_N_ROT_filtered,0-Acc_x_Fil,0-Acc_y_Fil,0-Acc_z_Fil,0-Gyro_x_Fil,0-Gyro_y_Fil,0-Gyro_z_Fil,10-ACC_N,10-ACC_N_ROT_filtered,10-Acc_x_Fil,10-Acc_y_Fil,10-Acc_z_Fil,10-Gyro_x_Fil,10-Gyro_y_Fil,10-Gyro_z_Fil,20-ACC_N,20-ACC_N_ROT_filtered,20-Acc_x_Fil,20-Acc_y_Fil,20-Acc_z_Fil,20-Gyro_x_Fil,20-Gyro_y_Fil,20-Gyro_z_Fil,30-ACC_N,30-ACC_N_ROT_filtered,30-Acc_x_Fil,30-Acc_y_Fil,30-Acc_z_Fil,30-Gyro_x_Fil,30-Gyro_y_Fil,30-Gyro_z_Fil,40-ACC_N,40-ACC_N_ROT_filtered,40-Acc_x_Fil,40-Acc_y_Fil,40-Acc_z_Fil,40-Gyro_x_Fil,40-Gyro_y_Fil,40-Gyro_z_Fil,50-ACC_N,50-ACC_N_ROT_filtered,50-Acc_x_Fil,50-Acc_y_Fil,50-Acc_z_Fil,50-Gyro_x_Fil,50-Gyro_y_Fil,50-Gyro_z_Fil,60-ACC_N,60-ACC_N_ROT_filtered,60-Acc_x_Fil,60-Acc_y_Fil,60-Acc_z_Fil,60-Gyro_x_Fil,60-Gyro_y_Fil,60-Gyro_z_Fil,70-ACC_N,70-ACC_N_ROT_filtered,70-Acc_x_Fil,70-Acc_y_Fil,70-Acc_z_Fil,70-Gyro_x_Fil,70-Gyro_y_Fil,70-Gyro_z_Fil,80-ACC_N,80-ACC_N_ROT_filtered,80-Acc_x_Fil,80-Acc_y_Fil,80-Acc_z_Fil,80-Gyro_x_Fil,80-Gyro_y_Fil,80-Gyro_z_Fil,90-ACC_N,90-ACC_N_ROT_filtered,90-Acc_x_Fil,90-Acc_y_Fil,90-Acc_z_Fil,90-Gyro_x_Fil,90-Gyro_y_Fil,90-Gyro_z_Fil
20191008-1207-FRANKFURT_2-01-364,Salto A,48.935,342.174,-87.658,50.904,344.94,98.19,55.357,71.92,8.35,19.467,49.098,33.681,264.008,-63.168,9.729,17.554,-1.63,-1.715,-3.843,34.182,170.182,-48.659,10.039,9.244,0.841,-2.661,-8.337,2.463,141.477,-53.633,8.639,8.959,-2.758,-1.54,-7.854,17.395,211.476,-58.202,7.877,7.764,-3.225,-1.277,-6.945,34.811,214.839,-54.941,6.964,7.508,-3.229,-1.667,-6.033,19.402,195.3,-41.943,8.186,7.652,-4.33,-1.607,-6.679,20.373,171.708,-27.469,9.159,8.633,-6.19,-1.583,-6.521,13.335,170.536,-27.198,8.603,10.128,-6.985,-0.808,-3.717,31.32,261.647,-45.773,42.949,15.741,8.244,10.394,38.411,92.369,339.186,-117.06
20191003-1152-FRANKFURT_1-01-104,Schraubensalto A,-44.108,202.311,-356.89,162.433,281.927,368.086,52.825,67.539,5.795,0.427,50.508,-40.832,233.392,-45.741,8.534,17.212,-2.467,-4.713,-1.958,-136.685,213.483,-164.878,6.006,5.365,-5.741,-1.117,-0.103,-178.811,57.554,-326.315,14.135,11.264,-12.948,1.864,-1.324,-188.634,-115.568,-425.558,13.824,14.573,-8.072,2.325,-10.663,73.821,-109.607,-472.133,12.911,13.679,-5.386,3.917,-10.692,143.551,93.409,-396.615,8.958,10.028,-3.243,1.926,-7.856,72.799,172.097,-201.305,10.828,9.596,-5.266,-0.233,-8.633,30.283,216.094,-40.867,9.317,10.414,-7.78,-0.15,-3.087,-18.386,254.27,-52.729,44.185,19.996,7.777,3.89,40.902,-26.96,180.423,26.637
20191007-1534-FRANKFURT_2-01-104,Schraubensalto A,89.035,190.669,335.873,171.395,266.508,355.733,53.409,68.237,4.783,9.965,50.226,7.847,263.329,0.005,6.596,15.213,-2.377,1.476,-2.951,112.185,225.966,114.097,7.117,6.176,-5.579,-2.034,-2.115,211.326,65.509,311.839,8.626,7.957,-8.162,-2.316,-1.451,260.28,-89.069,371.856,13.818,11.843,-9.761,-2.482,-8.367,31.739,-128.66,459.542,13.0,13.85,-6.387,-3.337,-10.841,-141.683,42.676,405.372,10.679,11.726,-5.421,-3.99,-8.175,-74.877,141.286,258.492,8.246,8.909,-5.257,-2.368,-5.721,23.297,165.832,122.557,9.493,8.829,-7.229,-1.642,-2.143,38.013,239.845,23.9,47.18,21.498,11.815,5.172,43.988,71.254,222.094,-25.152
0609-4-01-600,Barani C,-13.808,-71.418,229.805,49.434,315.849,242.231,52.83,74.875,11.686,0.962,48.768,3.804,-149.331,52.682,15.502,17.287,-11.346,1.36,-1.713,-37.511,-362.257,51.122,14.486,15.896,-12.666,0.869,-5.579,-30.715,-363.017,101.79,13.102,12.631,-8.426,2.554,-9.174,10.421,-107.872,178.997,8.969,10.411,-5.708,0.047,-5.949,-18.495,-62.643,304.972,8.023,8.84,-5.04,-1.006,-6.208,-44.946,72.548,277.482,7.308,7.376,-4.416,-1.356,-5.617,-17.458,138.681,191.366,6.576,6.813,-5.034,-1.421,-3.8,9.811,147.582,95.02,5.588,6.091,-4.99,-1.035,-0.594,28.196,164.897,63.104,44.342,18.499,18.404,-2.572,39.627,18.403,150.614,-15.656
0827-BK2-01-10,Salto C,0.292,331.756,-1.512,39.136,349.877,38.545,53.166,78.013,17.473,-4.292,47.928,-14.11,82.281,34.547,11.427,12.019,-6.94,1.697,-6.522,13.617,-34.064,-20.266,13.883,11.949,-6.525,1.506,-9.027,39.578,421.878,-15.18,23.714,19.487,-15.298,0.985,-5.296,-11.999,443.823,5.112,5.46,13.072,-0.575,0.929,-1.918,-19.012,145.414,-1.458,3.495,3.273,-1.247,0.887,-2.279,-9.798,114.833,-15.434,3.343,2.77,-1.96,0.554,-1.55,1.738,60.858,-7.404,3.735,3.082,-1.186,0.693,-2.696,11.072,62.774,9.818,5.609,4.259,-3.7,0.884,-2.762,-12.916,153.103,2.317,47.929,20.603,15.159,-0.63,44.041,5.309,180.597,0.858
20191007-1159-FRANKFURT_1-01-229,Barani A,-50.402,73.044,171.403,73.54,291.198,202.85,59.285,76.194,10.759,-3.169,53.609,22.345,-170.504,-20.608,9.854,19.367,-7.302,1.621,-4.285,12.499,-234.898,100.296,9.411,9.769,-5.776,1.475,-6.914,-62.863,-131.04,151.665,11.529,9.895,-3.788,1.162,-10.331,-136.654,-134.848,258.743,10.582,11.367,-4.449,-2.378,-9.035,-81.158,44.975,367.149,9.321,10.231,-3.456,-4.746,-7.031,-40.493,166.214,221.914,8.939,8.552,-5.246,-2.182,-6.721,-1.484,183.863,56.088,9.912,9.796,-8.395,-0.512,-4.767,7.145,235.578,-6.008,6.454,8.283,-5.24,-0.724,0.68,15.485,304.045,-34.264,51.287,20.609,16.601,-1.342,46.461,-52.903,200.259,-5.26
20191008-1207-FRANKFURT_2-01-141,Salto B,27.662,343.185,-27.756,44.99,419.242,56.069,52.112,74.798,-2.311,6.052,50.018,22.436,157.717,-33.045,11.282,14.814,-4.395,-1.642,-3.793,-5.701,-117.132,0.317,12.492,13.051,-5.651,-0.819,-4.805,-20.627,-61.316,-0.117,20.558,15.073,-2.252,-0.925,-16.028,14.079,462.728,-27.549,36.17,30.871,-26.868,0.568,-21.528,66.155,647.779,-30.362,13.274,25.156,-11.848,0.683,1.401,38.978,358.155,-40.062,4.963,6.003,-0.375,-1.124,-3.566,-1.434,118.697,-14.191,4.768,4.51,-1.824,-1.27,-4.062,9.564,72.032,-14.076,6.796,6.506,-3.134,0.115,-2.787,9.081,109.38,-8.059,44.927,16.718,11.923,4.25,42.125,25.076,253.118,11.099
20190930-1247-FRANKFURT_2-01-88,Barani C,-91.429,-131.234,188.133,95.999,318.435,195.76,55.707,75.851,8.916,3.593,52.238,-25.5,-106.914,36.61,15.255,18.656,-11.705,0.068,-4.118,-59.772,-345.558,29.048,19.288,17.354,-16.282,1.989,-8.719,-71.43,-494.17,22.551,10.362,15.061,-5.746,1.764,-8.34,-36.382,-244.01,152.456,11.233,9.018,-3.342,4.188,-9.064,-20.362,30.26,188.194,16.441,17.373,-2.479,-0.505,-2.976,-87.574,-12.377,172.903,6.443,8.73,-1.191,-1.43,-5.564,-102.183,27.294,190.444,5.439,5.389,-1.977,-2.127,-4.532,-49.315,91.106,152.526,5.216,5.616,-2.734,-1.864,-3.19,-42.348,124.935,88.156,41.695,16.434,8.603,1.374,40.43,-18.0,211.779,61.031
20191007-1159-FRANKFURT_1-01-189,Barani B,22.636,-11.292,170.358,67.271,358.93,204.996,57.578,75.612,12.256,-0.635,50.541,8.791,-280.03,-12.033,20.839,26.522,-16.617,-0.68,-7.141,25.89,-487.438,40.67,8.01,13.295,-0.649,-1.982,-5.071,-42.313,-291.105,-5.822,11.565,8.176,-8.032,5.56,-3.955,71.461,-78.232,172.858,10.784,12.15,-8.906,0.469,-4.725,93.04,-7.658,455.339,8.493,9.372,-4.561,-4.302,-5.478,30.559,68.826,321.593,6.716,7.308,-4.078,-1.679,-5.042,9.59,148.173,96.143,9.525,7.911,-6.417,-1.316,-6.508,-22.896,266.669,15.255,11.109,11.639,-9.679,-1.58,0.949,-7.764,338.555,36.839,48.027,22.26,6.83,-1.834,45.985,-25.502,254.516,-59.389
0115-MORITZ-03-57,Salto C,-7.878,343.542,15.007,22.678,382.112,31.571,54.033,78.739,17.307,-2.655,48.657,4.492,91.188,0.164,11.895,12.726,-5.557,-1.125,-7.647,-0.167,-25.364,-0.66,14.451,13.468,-6.949,-0.652,-10.562,-38.774,488.89,34.397,21.321,21.695,-13.345,-1.077,-8.153,-7.702,338.482,19.462,3.868,6.771,-1.952,-0.547,-2.473,3.254,168.413,7.784,3.525,3.644,-1.467,-0.607,-3.106,2.611,159.401,6.736,3.336,3.369,-1.434,-0.615,-2.909,-0.228,144.21,0.515,2.52,2.737,-1.272,-0.545,-2.115,1.02,100.537,-0.374,4.788,3.645,-3.566,-0.797,-2.076,-5.732,16.663,13.863,48.992,21.154,24.224,-3.381,39.735,3.001,148.562,-11.132
20191007-1159-FRANKFURT_1-01-306,Salto A,9.77,337.336,-11.405,21.518,338.961,31.527,46.513,71.2,-1.959,-1.904,43.493,-9.508,295.887,2.115,11.302,14.553,1.742,-0.669,-3.221,31.338,198.955,2.916,8.913,8.896,0.993,-1.053,-8.523,0.696,182.981,-5.345,7.496,8.14,-0.986,-0.448,-7.348,4.528,214.597,-1.922,7.405,7.503,-1.747,-0.974,-7.011,13.038,219.046,1.304,7.001,7.031,-2.154,-1.181,-6.551,3.135,187.594,-2.234,7.399,7.396,-4.077,-0.603,-6.017,1.523,152.645,-19.877,6.87,7.09,-5.163,-0.44,-3.982,1.43,163.453,1.065,4.216,5.332,-3.655,-0.181,-1.093,7.272,243.614,-7.647,47.579,17.7,12.703,1.318,45.068,0.519,167.815,-12.039
0609-1-01-649,Bauchsprung,0.233,-42.446,-7.222,18.309,127.442,33.993,50.373,67.321,5.347,-2.498,49.128,-1.439,32.902,-0.353,4.197,11.431,0.836,-0.061,-0.207,0.68,-48.031,-4.735,0.998,1.344,-0.434,-0.058,0.06,-5.088,-45.13,-1.108,0.887,0.686,-0.5,-0.1,0.537,6.261,-80.455,-12.364,1.61,1.147,-0.926,-0.154,-0.338,2.486,-106.229,-3.03,2.41,1.81,-1.175,-0.321,-0.931,-4.431,-85.752,21.661,2.37,1.975,0.867,0.178,-1.241,-3.048,-62.581,5.47,3.584,2.51,0.104,-1.029,-1.301,18.961,-21.749,-0.487,3.425,3.29,-0.993,-0.377,-1.307,-9.732,81.194,-3.526,53.042,25.304,42.628,1.021,30.223,-2.038,102.1,-41.95
0115-JANEIKE-01-121,Salto B,11.9,342.048,-24.249,50.112,413.815,62.695,56.474,76.157,13.95,1.127,52.738,41.353,196.956,-28.339,8.361,11.732,-3.539,0.399,-2.369,-2.957,-96.887,-33.666,9.265,10.573,-2.57,-0.74,-3.038,-28.622,-58.873,-8.518,19.758,14.334,-5.79,-0.591,-14.474,-45.865,425.892,-34.005,28.036,26.544,-24.121,-0.461,-11.109,4.254,576.082,34.925,6.891,14.543,-6.497,-0.126,1.283,35.102,291.541,-21.32,2.443,2.359,-1.551,-0.012,-0.801,21.67,99.934,-17.223,5.538,4.009,-1.643,-0.729,-4.225,11.929,22.62,-3.353,5.573,4.85,2.645,-0.325,-2.184,2.65,95.677,17.891,45.169,20.582,24.336,-3.08,28.458,26.612,261.052,-36.381
