SprungID,Sprungtyp,DJump_SIG_I_x LapEnd,DJump_SIG_I_y LapEnd,DJump_SIG_I_z LapEnd,DJump_Abs_I_x LapEnd,DJump_Abs_I_y LapEnd,DJump_Abs_I_z LapEnd,0-mean_ACC_N,0-std_ACC_N,0-mean_ACC_N_ROT_filtered,0-std_ACC_N_ROT_filtered,0-mean_Acc_x_Fil,0-std_Acc_x_Fil,0-mean_Acc_y_Fil,0-std_Acc_y_Fil,0-mean_Acc_z_Fil,0-std_Acc_z_Fil,0-mean_Gyro_x_Fil,0-std_Gyro_x_Fil,0-mean_Gyro_y_Fil,0-std_Gyro_y_Fil,0-mean_Gyro_z_Fil,0-std_Gyro_z_Fil,10-mean_ACC_N,10-std_ACC_N,10-mean_ACC_N_ROT_filtered,10-std_ACC_N_ROT_filtered,10-mean_Acc_x_Fil,10-std_Acc_x_Fil,10-mean_Acc_y_Fil,10-std_Acc_y_Fil,10-mean_Acc_z_Fil,10-std_Acc_z_Fil,10-mean_Gyro_x_Fil,10-std_Gyro_x_Fil,10-mean_Gyro_y_Fil,10-std_Gyro_y_Fil,10-mean_Gyro_z_Fil,10-std_Gyro_z_Fil,20-mean_ACC_N,20-std_ACC_N,20-mean_ACC_N_ROT_filtered,20-std_ACC_N_ROT_filtered,20-mean_Acc_x_Fil,20-std_Acc_x_Fil,20-mean_Acc_y_Fil,20-std_Acc_y_Fil,20-mean_Acc_z_Fil,20-std_Acc_z_Fil,20-mean_Gyro_x_Fil,20-std_Gyro_x_Fil,20-mean_Gyro_y_Fil,20-std_Gyro_y_Fil,20-mean_Gyro_z_Fil,20-std_Gyro_z_Fil,30-mean_ACC_N,30-std_ACC_N,30-mean_ACC_N_ROT_filtered,30-std_ACC_N_ROT_filtered,30-mean_Acc_x_Fil,30-std_Acc_x_Fil,30-mean_Acc_y_Fil,30-std_Acc_y_Fil,30-mean_Acc_z_Fil,30-std_Acc_z_Fil,30-mean_Gyro_x_Fil,30-std_Gyro_x_Fil,30-mean_Gyro_y_Fil,30-std_Gyro_y_Fil,30-mean_Gyro_z_Fil,30-std_Gyro_z_Fil,40-mean_ACC_N,40-std_ACC_N,40-mean_ACC_N_ROT_filtered,40-std_ACC_N_ROT_filtered,40-mean_Acc_x_Fil,40-std_Acc_x_Fil,40-mean_Acc_y_Fil,40-std_Acc_y_Fil,40-mean_Acc_z_Fil,40-std_Acc_z_Fil,40-mean_Gyro_x_Fil,40-std_Gyro_x_Fil,40-mean_Gyro_y_Fil,40-std_Gyro_y_Fil,40-mean_Gyro_z_Fil,40-std_Gyro_z_Fil,50-mean_ACC_N,50-std_ACC_N,50-mean_ACC_N_ROT_filtered,50-std_ACC_N_ROT_filtered,50-mean_Acc_x_Fil,50-std_Acc_x_Fil,50-mean_Acc_y_Fil,50-std_Acc_y_Fil,50-mean_Acc_z_Fil,50-std_Acc_z_Fil,50-mean_Gyro_x_Fil,50-std_Gyro_x_Fil,50-mean_Gyro_y_Fil,50-std_Gyro_y_Fil,50-mean_Gyro_z_Fil,50-std_Gyro_z_Fil,60-mean_ACC_N,60-std_ACC_N,60-mean_ACC_N_ROT_filtered,60-std_ACC_N_ROT_filtered,60-mean_Acc_x_Fil,60-std_Acc_x_Fil,60-mean_Acc_y_Fil,60-std_Acc_y_Fil,60-mean_Acc_z_Fil,60-std_Acc_z_Fil,60-mean_Gyro_x_Fil,60-std_Gyro_x_Fil,60-mean_Gyro_y_Fil,60-std_Gyro_y_Fil,60-mean_Gyro_z_Fil,60-std_Gyro_z_Fil,70-mean_ACC_N,70-std_ACC_N,70-mean_ACC_N_ROT_filtered,70-std_ACC_N_ROT_filtered,70-mean_Acc_x_Fil,70-std_Acc_x_Fil,70-mean_Acc_y_Fil,70-std_Acc_y_Fil,70-mean_Acc_z_Fil,70-std_Acc_z_Fil,70-mean_Gyro_x_Fil,70-std_Gyro_x_Fil,70-mean_Gyro_y_Fil,70-std_Gyro_y_Fil,70-mean_Gyro_z_Fil,70-std_Gyro_z_Fil,80-mean_ACC_N,80-std_ACC_N,80-mean_ACC_N_ROT_filtered,80-std_ACC_N_ROT_filtered,80-mean_Acc_x_Fil,80-std_Acc_x_Fil,80-mean_Acc_y_Fil,80-std_Acc_y_Fil,80-mean_Acc_z_Fil,80-std_Acc_z_Fil,80-mean_Gyro_x_Fil,80-std_Gyro_x_Fil,80-mean_Gyro_y_Fil,80-std_Gyro_y_Fil,80-mean_Gyro_z_Fil,80-std_Gyro_z_Fil,90-mean_ACC_N,90-std_ACC_N,90-mean_ACC_N_ROT_filtered,90-std_ACC_N_ROT_filtered,90-mean_Acc_x_Fil,90-std_Acc_x_Fil,90-mean_Acc_y_Fil,90-std_Acc_y_Fil,90-mean_Acc_z_Fil,90-std_Acc_z_Fil,90-mean_Gyro_x_Fil,90-std_Gyro_x_Fil,90-mean_Gyro_y_Fil,90-std_Gyro_y_Fil,90-mean_Gyro_z_Fil,90-std_Gyro_z_Fil
20191008-1207-FRANKFURT_2-01-364,Salto A,48.935,342.174,-87.658,50.904,344.94,98.19,55.357,35.37,71.92,13.405,8.35,7.522,19.467,10.148,49.098,28.923,33.681,26.026,264.008,59.973,-63.168,51.228,9.729,7.941,17.554,8.61,-1.63,2.361,-1.715,0.902,-3.843,5.207,34.182,26.3,170.182,44.663,-48.659,48.765,10.039,2.372,9.244,0.901,0.841,2.563,-2.661,1.508,-8.337,1.105,2.463,9.141,141.477,26.497,-53.633,9.949,8.639,0.786,8.959,0.26,-2.758,0.337,-1.54,0.57,-7.854,0.623,17.395,5.261,211.476,7.803,-58.202,9.281,7.877,0.818,7.764,0.223,-3.225,0.499,-1.277,0.262,-6.945,0.204,34.811,5.695,214.839,3.352,-54.941,3.523,6.964,0.467,7.508,0.417,-3.229,0.228,-1.667,0.305,-6.033,0.236,19.402,1.652,195.3,12.072,-41.943,12.269,8.186,0.512,7.652,0.464,-4.33,0.635,-1.607,0.509,-6.679,0.213,20.373,1.744,171.708,2.069,-27.469,5.107,9.159,0.839,8.633,0.254,-6.19,0.682,-1.583,0.295,-6.521,0.224,13.335,1.809,170.536,1.741,-27.198,10.047,8.603,3.833,10.128,0.807,-6.985,2.241,-0.808,0.726,-3.717,3.184,31.32,8.658,261.647,65.28,-45.773,8.794,42.949,39.333,15.741,13.505,8.244,11.668,10.394,10.702,38.411,31.595,92.369,18.609,339.186,111.512,-117.06,48.373
20191003-1152-FRANKFURT_1-01-104,Schraubensalto A,-44.108,202.311,-356.89,162.433,281.927,368.086,52.825,28.09,67.539,11.294,5.795,7.698,0.427,3.959,50.508,25.141,-40.832,17.753,233.392,40.919,-45.741,27.784,8.534,4.605,17.212,9.154,-2.467,1.259,-4.713,1.525,-1.958,3.569,-136.685,24.666,213.483,31.045,-164.878,43.777,6.006,2.097,5.365,1.032,-5.741,2.103,-1.117,0.802,-0.103,0.927,-178.811,24.519,57.554,45.469,-326.315,30.905,14.135,1.716,11.264,2.454,-12.948,0.976,1.864,2.477,-1.324,2.68,-188.634,42.677,-115.568,37.766,-425.558,11.455,13.824,1.014,14.573,0.529,-8.072,1.772,2.325,1.479,-10.663,1.224,73.821,78.898,-109.607,23.241,-472.133,10.51,12.911,1.977,13.679,0.441,-5.386,1.354,3.917,0.868,-10.692,1.439,143.551,17.062,93.409,74.771,-396.615,54.608,8.958,0.891,10.028,0.943,-3.243,0.494,1.926,1.714,-7.856,0.504,72.799,25.559,172.097,11.372,-201.305,39.937,10.828,1.808,9.596,0.962,-5.266,1.867,-0.233,0.744,-8.633,0.571,30.283,6.134,216.094,32.846,-40.867,47.782,9.317,1.591,10.414,0.595,-7.78,1.171,-0.15,0.643,-3.087,2.531,-18.386,30.94,254.27,3.852,-52.729,28.173,44.185,33.303,19.996,14.413,7.777,7.925,3.89,3.011,40.902,29.872,-26.96,22.139,180.423,87.531,26.637,25.445
20191007-1534-FRANKFURT_2-01-104,Schraubensalto A,89.035,190.669,335.873,171.395,266.508,355.733,53.409,30.435,68.237,11.402,4.783,6.466,9.965,4.909,50.226,26.898,7.847,11.936,263.329,37.262,0.005,8.648,6.596,3.7,15.213,10.183,-2.377,0.943,1.476,1.108,-2.951,2.205,112.185,46.235,225.966,33.45,114.097,77.855,7.117,0.952,6.176,0.649,-5.579,0.989,-2.034,1.677,-2.115,1.049,211.326,21.73,65.509,43.185,311.839,23.514,8.626,1.292,7.957,0.364,-8.162,0.994,-2.316,0.427,-1.451,0.926,260.28,25.265,-89.069,43.843,371.856,29.112,13.818,1.495,11.843,1.758,-9.761,1.184,-2.482,0.451,-8.367,3.193,31.739,87.354,-128.66,43.952,459.542,8.347,13.0,0.796,13.85,0.583,-6.387,0.313,-3.337,0.264,-10.841,0.681,-141.683,12.997,42.676,44.725,405.372,34.193,10.679,1.237,11.726,0.758,-5.421,0.173,-3.99,0.48,-8.175,1.039,-74.877,34.682,141.286,13.532,258.492,44.229,8.246,0.78,8.909,0.632,-5.257,0.622,-2.368,0.29,-5.721,0.788,23.297,16.04,165.832,9.536,122.557,44.674,9.493,0.908,8.829,0.573,-7.229,1.487,-1.642,1.095,-2.143,3.906,38.013,16.449,239.845,27.885,23.9,16.203,47.18,34.951,21.498,14.444,11.815,10.113,5.172,6.528,43.988,29.121,71.254,11.117,222.094,99.039,-25.152,20.614
0609-4-01-600,Barani C,-13.808,-71.418,229.805,49.434,315.849,242.231,52.83,34.606,74.875,16.95,11.686,11.948,0.962,3.589,48.768,31.091,3.804,24.179,-149.331,125.572,52.682,26.931,15.502,2.299,17.287,5.396,-11.346,4.443,1.36,2.751,-1.713,3.88,-37.511,12.937,-362.257,44.667,51.122,19.54,14.486,2.341,15.896,1.199,-12.666,3.023,0.869,1.563,-5.579,2.419,-30.715,2.882,-363.017,57.473,101.79,21.755,13.102,0.973,12.631,0.305,-8.426,0.538,2.554,1.356,-9.174,0.29,10.421,18.359,-107.872,59.853,178.997,28.855,8.969,2.681,10.411,2.161,-5.708,1.592,0.047,1.205,-5.949,2.509,-18.495,16.013,-62.643,28.868,304.972,18.313,8.023,0.951,8.84,0.759,-5.04,0.444,-1.006,0.205,-6.208,0.795,-44.946,6.277,72.548,26.384,277.482,25.927,7.308,0.253,7.376,0.053,-4.416,0.044,-1.356,0.246,-5.617,0.312,-17.458,15.94,138.681,13.657,191.366,26.683,6.576,0.272,6.813,0.252,-5.034,0.37,-1.421,0.451,-3.8,0.703,9.811,1.194,147.582,4.634,95.02,22.53,5.588,0.831,6.091,0.216,-4.99,1.25,-1.035,0.378,-0.594,1.239,28.196,7.813,164.897,13.727,63.104,4.429,44.342,37.345,18.499,16.994,18.404,14.178,-2.572,0.895,39.627,29.703,18.403,21.685,150.614,61.039,-15.656,25.043
0827-BK2-01-10,Salto C,0.292,331.756,-1.512,39.136,349.877,38.545,53.166,39.974,78.013,24.711,17.473,11.519,-4.292,3.505,47.928,36.652,-14.11,24.468,82.281,37.004,34.547,23.515,11.427,2.922,12.019,3.816,-6.94,2.534,1.697,1.429,-6.522,1.296,13.617,8.686,-34.064,30.349,-20.266,21.688,13.883,2.818,11.949,1.255,-6.525,6.405,1.506,0.54,-9.027,1.514,39.578,3.647,421.878,156.897,-15.18,9.683,23.714,6.171,19.487,3.152,-15.298,3.54,0.985,0.508,-5.296,9.536,-11.999,21.484,443.823,82.292,5.112,19.678,5.46,3.779,13.072,8.621,-0.575,0.581,0.929,0.461,-1.918,2.46,-19.012,9.884,145.414,19.929,-1.458,13.299,3.495,0.798,3.273,0.208,-1.247,0.376,0.887,0.417,-2.279,0.54,-9.798,6.305,114.833,11.617,-15.434,7.242,3.343,0.516,2.77,0.127,-1.96,0.375,0.554,0.343,-1.55,0.508,1.738,3.009,60.858,14.625,-7.404,4.291,3.735,0.384,3.082,0.09,-1.186,0.229,0.693,0.27,-2.696,0.132,11.072,9.719,62.774,15.427,9.818,3.047,5.609,0.861,4.259,0.858,-3.7,1.34,0.884,0.306,-2.762,1.011,-12.916,6.919,153.103,25.617,2.317,0.983,47.929,44.322,20.603,20.553,15.159,17.229,-0.63,1.006,44.041,38.508,5.309,11.272,180.597,68.12,0.858,14.616
20191007-1159-FRANKFURT_1-01-229,Barani A,-50.402,73.044,171.403,73.54,291.198,202.85,59.285,33.507,76.194,12.176,10.759,13.548,-3.169,3.461,53.609,30.28,22.345,19.546,-170.504,108.577,-20.608,26.557,9.854,4.742,19.367,11.932,-7.302,1.165,1.621,0.854,-4.285,1.344,12.499,16.636,-234.898,80.234,100.296,24.752,9.411,1.797,9.769,0.622,-5.776,1.442,1.475,0.606,-6.914,0.541,-62.863,26.852,-131.04,17.229,151.665,33.272,11.529,1.913,9.895,1.115,-3.788,0.791,1.162,0.737,-10.331,1.668,-136.654,11.367,-134.848,41.485,258.743,30.83,10.582,0.794,11.367,0.613,-4.449,0.569,-2.378,1.919,-9.035,0.729,-81.158,19.705,44.975,56.229,367.149,19.338,9.321,1.421,10.231,0.616,-3.456,0.518,-4.746,0.999,-7.031,0.519,-40.493,10.423,166.214,16.856,221.914,65.05,8.939,0.749,8.552,0.239,-5.246,1.289,-2.182,0.551,-6.721,0.238,-1.484,8.23,183.863,10.004,56.088,35.355,9.912,1.153,9.796,0.322,-8.395,0.516,-0.512,0.368,-4.767,1.186,7.145,4.191,235.578,17.644,-6.008,8.822,6.454,1.815,8.283,1.191,-5.24,2.715,-0.724,0.749,0.68,2.014,15.485,9.911,304.045,26.355,-34.264,6.986,51.287,38.318,20.609,17.337,16.601,11.558,-1.342,3.655,46.461,31.063,-52.903,27.842,200.259,144.482,-5.26,24.977
20191008-1207-FRANKFURT_2-01-141,Salto B,27.662,343.185,-27.756,44.99,419.242,56.069,52.112,36.763,74.798,17.134,-2.311,1.06,6.052,3.4,50.018,32.845,22.436,11.345,157.717,53.106,-33.045,26.335,11.282,4.572,14.814,6.307,-4.395,2.309,-1.642,2.815,-3.793,3.791,-5.701,14.665,-117.132,81.735,0.317,10.433,12.492,5.002,13.051,1.443,-5.651,7.833,-0.819,0.769,-4.805,2.95,-20.627,13.483,-61.316,106.051,-0.117,37.352,20.558,5.178,15.073,3.846,-2.252,10.003,-0.925,0.28,-16.028,6.252,14.079,12.081,462.728,171.052,-27.549,10.266,36.17,4.782,30.871,4.831,-26.868,4.217,0.568,1.059,-21.528,3.087,66.155,9.594,647.779,28.955,-30.362,20.02,13.274,7.412,25.156,8.944,-11.848,7.22,0.683,0.411,1.401,5.129,38.978,8.41,358.155,133.117,-40.062,30.343,4.963,2.546,6.003,1.499,-0.375,0.75,-1.124,0.322,-3.566,2.08,-1.434,12.487,118.697,15.7,-14.191,6.94,4.768,0.992,4.51,0.444,-1.824,0.393,-1.27,0.553,-4.062,0.45,9.564,5.563,72.032,10.686,-14.076,6.398,6.796,1.988,6.506,0.87,-3.134,2.545,0.115,0.697,-2.787,3.449,9.081,5.021,109.38,48.425,-8.059,5.844,44.927,43.053,16.718,14.772,11.923,9.231,4.25,4.945,42.125,35.719,25.076,20.418,253.118,106.045,11.099,29.548
20190930-1247-FRANKFURT_2-01-88,Barani C,-91.429,-131.234,188.133,95.999,318.435,195.76,55.707,33.817,75.851,15.807,8.916,8.959,3.593,0.829,52.238,31.609,-25.5,19.374,-106.914,111.695,36.61,43.475,15.255,6.871,18.656,7.125,-11.705,3.86,0.068,1.449,-4.118,2.451,-59.772,8.209,-345.558,61.607,29.048,29.592,19.288,3.332,17.354,2.257,-16.282,1.291,1.989,0.68,-8.719,3.27,-71.43,4.389,-494.17,23.14,22.551,7.389,10.362,3.905,15.061,4.12,-5.746,1.646,1.764,0.696,-8.34,2.531,-36.382,11.269,-244.01,138.792,152.456,48.538,11.233,3.585,9.018,1.489,-3.342,1.289,4.188,2.423,-9.064,1.761,-20.362,19.108,30.26,19.884,188.194,14.235,16.441,7.277,17.373,2.211,-2.479,4.901,-0.505,2.66,-2.976,4.481,-87.574,40.997,-12.377,29.262,172.903,25.72,6.443,1.429,8.73,2.444,-1.191,0.918,-1.43,0.17,-5.564,0.681,-102.183,17.695,27.294,28.741,190.444,5.469,5.439,0.376,5.389,0.126,-1.977,0.244,-2.127,0.204,-4.532,0.284,-49.315,8.4,91.106,16.937,152.526,29.825,5.216,1.075,5.616,0.177,-2.734,0.686,-1.864,0.172,-3.19,1.905,-42.348,6.741,124.935,22.086,88.156,16.362,41.695,36.541,16.434,15.498,8.603,7.391,1.374,1.254,40.43,31.669,-18.0,24.566,211.779,20.017,61.031,9.004
20191007-1159-FRANKFURT_1-01-189,Barani B,22.636,-11.292,170.358,67.271,358.93,204.996,57.578,30.719,75.612,11.92,12.256,16.286,-0.635,1.549,50.541,29.091,8.791,8.242,-280.03,112.001,-12.033,12.924,20.839,3.11,26.522,7.616,-16.617,4.663,-0.68,0.664,-7.141,3.867,25.89,18.429,-487.438,48.987,40.67,19.051,8.01,4.107,13.295,4.27,-0.649,2.871,-1.982,1.804,-5.071,4.433,-42.313,20.094,-291.105,81.352,-5.822,19.729,11.565,3.265,8.176,2.403,-8.032,1.654,5.56,2.911,-3.955,1.444,71.461,45.001,-78.232,21.525,172.858,115.667,10.784,1.139,12.15,0.961,-8.906,1.175,0.469,2.816,-4.725,1.223,93.04,34.267,-7.658,24.709,455.339,22.812,8.493,0.833,9.372,0.734,-4.561,0.635,-4.302,0.614,-5.478,0.289,30.559,9.949,68.826,32.59,321.593,86.005,6.716,0.546,7.308,0.536,-4.078,0.374,-1.679,0.7,-5.042,0.251,9.59,4.091,148.173,29.945,96.143,38.311,9.525,1.773,7.911,1.082,-6.417,1.908,-1.316,0.482,-6.508,0.924,-22.896,22.401,266.669,32.099,15.255,13.082,11.109,2.452,11.639,0.676,-9.679,2.825,-1.58,1.088,0.949,3.454,-7.764,32.964,338.555,23.83,36.839,16.487,48.027,33.215,22.26,14.443,6.83,3.714,-1.834,1.494,45.985,29.619,-25.502,38.222,254.516,115.354,-59.389,27.982
0115-MORITZ-03-57,Salto C,-7.878,343.542,15.007,22.678,382.112,31.571,54.033,42.206,78.739,26.878,17.307,15.96,-2.655,1.777,48.657,37.29,4.492,5.032,91.188,62.789,0.164,8.548,11.895,3.554,12.726,2.956,-5.557,2.712,-1.125,0.501,-7.647,2.917,-0.167,15.034,-25.364,110.593,-0.66,7.674,14.451,2.367,13.468,1.49,-6.949,5.336,-0.652,1.119,-10.562,2.741,-38.774,14.69,488.89,75.715,34.397,14.484,21.321,9.785,21.695,4.343,-13.345,4.056,-1.077,0.837,-8.153,10.254,-7.702,3.223,338.482,68.259,19.462,8.533,3.868,1.385,6.771,3.941,-1.952,0.797,-0.547,0.188,-2.473,1.525,3.254,2.547,168.413,10.217,7.784,1.676,3.525,0.402,3.644,0.167,-1.467,0.205,-0.607,0.097,-3.106,0.221,2.611,1.397,159.401,7.561,6.736,2.721,3.336,0.292,3.369,0.066,-1.434,0.077,-0.615,0.041,-2.909,0.133,-0.228,0.258,144.21,1.785,0.515,0.69,2.52,0.638,2.737,0.342,-1.272,0.165,-0.545,0.184,-2.115,0.291,1.02,3.019,100.537,28.923,-0.374,2.747,4.788,1.631,3.645,0.83,-3.566,1.426,-0.797,0.31,-2.076,1.012,-5.732,2.635,16.663,20.996,13.863,16.828,48.992,45.785,21.154,20.391,24.224,19.307,-3.381,1.973,39.735,38.661,3.001,12.613,148.562,71.834,-11.132,28.837
