ACC_N,ACC_N_ROT_filtered,Acc_x_Fil,Acc_y_Fil,Acc_z_Fil,Gyro_x_Fil,Gyro_y_Fil,Gyro_z_Fil,SprungID,Sprungtyp,DJump_SIG_I_x LapEnd,DJump_SIG_I_y LapEnd,DJump_SIG_I_z LapEnd,DJump_Abs_I_x LapEnd,DJump_Abs_I_y LapEnd,DJump_Abs_I_z LapEnd
32.401,44.568,3.329,8.81,22.463,33.933,216.803,-55.869,20191008-1207-FRANKFURT_2-01-364,Salto A,48.935,342.174,-87.658,50.904,344.94,98.19
9.334,9.1,-0.97,-2.097,-8.094,9.975,176.694,-55.932,20191008-1207-FRANKFURT_2-01-364,Salto A,48.935,342.174,-87.658,50.904,344.94,98.19
7.421,7.636,-3.227,-1.472,-6.489,27.107,205.07,-48.442,20191008-1207-FRANKFURT_2-01-364,Salto A,48.935,342.174,-87.658,50.904,344.94,98.19
8.67,8.14,-5.254,-1.595,-6.6,16.876,171.126,-27.334,20191008-1207-FRANKFURT_2-01-364,Salto A,48.935,342.174,-87.658,50.904,344.94,98.19
25.669,12.917,0.582,4.758,17.216,61.655,300.176,-81.195,20191008-1207-FRANKFURT_2-01-364,Salto A,48.935,342.174,-87.658,50.904,344.94,98.19
30.812,42.526,1.689,-2.128,24.432,-88.472,223.497,-104.953,20191003-1152-FRANKFURT_1-01-104,Schraubensalto A,-44.108,202.311,-356.89,162.433,281.927,368.086
10.046,8.297,-9.323,0.364,-0.71,-183.693,-28.488,-375.639,20191003-1152-FRANKFURT_1-01-104,Schraubensalto A,-44.108,202.311,-356.89,162.433,281.927,368.086
13.367,14.126,-6.729,3.121,-10.678,108.686,-8.099,-434.374,20191003-1152-FRANKFURT_1-01-104,Schraubensalto A,-44.108,202.311,-356.89,162.433,281.927,368.086
9.899,9.811,-4.26,0.84,-8.246,51.414,194.227,-120.605,20191003-1152-FRANKFURT_1-01-104,Schraubensalto A,-44.108,202.311,-356.89,162.433,281.927,368.086
26.855,15.234,0.046,1.882,19.039,-22.699,217.126,-12.808,20191003-1152-FRANKFURT_1-01-104,Schraubensalto A,-44.108,202.311,-356.89,162.433,281.927,368.086
29.861,41.564,1.182,5.694,23.477,60.332,244.534,57.397,20191007-1534-FRANKFURT_2-01-104,Schraubensalto A,89.035,190.669,335.873,171.395,266.508,355.733
7.871,7.067,-6.871,-2.175,-1.783,235.803,-11.78,341.848,20191007-1534-FRANKFURT_2-01-104,Schraubensalto A,89.035,190.669,335.873,171.395,266.508,355.733
13.411,12.84,-8.084,-2.907,-9.596,-54.447,-43.511,432.621,20191007-1534-FRANKFURT_2-01-104,Schraubensalto A,89.035,190.669,335.873,171.395,266.508,355.733
9.463,10.317,-5.339,-3.179,-6.948,-25.79,153.559,190.524,20191007-1534-FRANKFURT_2-01-104,Schraubensalto A,89.035,190.669,335.873,171.395,266.508,355.733
28.222,15.125,2.235,1.744,20.783,54.533,231.023,-0.478,20191007-1534-FRANKFURT_2-01-104,Schraubensalto A,89.035,190.669,335.873,171.395,266.508,355.733
34.166,46.081,0.17,1.161,23.528,-16.853,-255.794,51.902,0609-4-01-600,Barani C,-13.808,-71.418,229.805,49.434,315.849,242.231
13.798,14.273,-10.558,1.707,-7.367,-10.26,-236.149,140.18,0609-4-01-600,Barani C,-13.808,-71.418,229.805,49.434,315.849,242.231
8.496,9.626,-5.374,-0.48,-6.078,-31.721,4.952,291.227,0609-4-01-600,Barani C,-13.808,-71.418,229.805,49.434,315.849,242.231
6.94,7.093,-4.727,-1.389,-4.704,-3.748,143.156,142.927,0609-4-01-600,Barani C,-13.808,-71.418,229.805,49.434,315.849,242.231
24.965,12.295,6.707,-1.803,19.516,23.3,157.755,23.724,0609-4-01-600,Barani C,-13.808,-71.418,229.805,49.434,315.849,242.231
32.399,45.178,5.326,-1.312,20.837,-0.315,24.395,7.276,0827-BK2-01-10,Salto C,0.292,331.756,-1.512,39.136,349.877,38.545
18.823,15.736,-10.933,1.244,-7.152,13.663,432.904,-4.984,0827-BK2-01-10,Salto C,0.292,331.756,-1.512,39.136,349.877,38.545
4.482,8.197,-0.909,0.908,-2.097,-14.428,130.199,-8.412,0827-BK2-01-10,Salto C,0.292,331.756,-1.512,39.136,349.877,38.545
3.54,2.927,-1.571,0.624,-2.126,6.428,61.821,1.249,0827-BK2-01-10,Salto C,0.292,331.756,-1.512,39.136,349.877,38.545
26.664,12.39,5.683,0.13,20.524,-3.849,166.782,1.591,0827-BK2-01-10,Salto C,0.292,331.756,-1.512,39.136,349.877,38.545
34.727,47.961,1.786,-0.789,24.846,17.454,-202.496,39.459,20191007-1159-FRANKFURT_1-01-229,Barani A,-50.402,73.044,171.403,73.54,291.198,202.85
10.47,9.832,-4.782,1.318,-8.622,-99.758,-132.944,205.204,20191007-1159-FRANKFURT_1-01-229,Barani A,-50.402,73.044,171.403,73.54,291.198,202.85
9.956,10.803,-3.956,-3.555,-8.039,-60.955,105.209,294.994,20191007-1159-FRANKFURT_1-01-229,Barani A,-50.402,73.044,171.403,73.54,291.198,202.85
9.425,9.174,-6.821,-1.347,-5.744,2.83,209.721,25.04,20191007-1159-FRANKFURT_1-01-229,Barani A,-50.402,73.044,171.403,73.54,291.198,202.85
29.013,14.485,5.75,-1.035,23.716,-18.927,251.821,-19.669,20191007-1159-FRANKFURT_1-01-229,Barani A,-50.402,73.044,171.403,73.54,291.198,202.85
31.697,44.806,-3.353,2.205,23.112,8.368,20.292,-16.364,20191008-1207-FRANKFURT_2-01-141,Salto B,27.662,343.185,-27.756,44.99,419.242,56.069
16.525,14.062,-3.952,-0.872,-10.417,-3.274,200.706,-13.833,20191008-1207-FRANKFURT_2-01-141,Salto B,27.662,343.185,-27.756,44.99,419.242,56.069
24.789,28.03,-19.402,0.625,-10.131,52.646,503.814,-35.184,20191008-1207-FRANKFURT_2-01-141,Salto B,27.662,343.185,-27.756,44.99,419.242,56.069
4.865,5.257,-1.1,-1.197,-3.814,4.065,95.364,-14.134,20191008-1207-FRANKFURT_2-01-141,Salto B,27.662,343.185,-27.756,44.99,419.242,56.069
25.861,11.612,4.394,2.183,19.669,17.078,181.249,1.52,20191008-1207-FRANKFURT_2-01-141,Salto B,27.662,343.185,-27.756,44.99,419.242,56.069
35.595,47.415,-1.336,1.84,24.219,-42.539,-225.562,32.85,20190930-1247-FRANKFURT_2-01-88,Barani C,-91.429,-131.234,188.133,95.999,318.435,195.76
14.85,16.214,-11.044,1.877,-8.53,-54.005,-369.796,87.136,20190930-1247-FRANKFURT_2-01-88,Barani C,-91.429,-131.234,188.133,95.999,318.435,195.76
13.837,13.196,-2.911,1.841,-6.02,-53.968,8.942,180.549,20190930-1247-FRANKFURT_2-01-88,Barani C,-91.429,-131.234,188.133,95.999,318.435,195.76
5.938,7.05,-1.586,-1.78,-5.045,-75.6,59.381,171.378,20190930-1247-FRANKFURT_2-01-88,Barani C,-91.429,-131.234,188.133,95.999,318.435,195.76
23.559,11.055,2.967,-0.236,18.743,-30.105,168.603,74.517,20190930-1247-FRANKFURT_2-01-88,Barani C,-91.429,-131.234,188.133,95.999,318.435,195.76
39.208,51.067,-2.18,-0.658,21.7,17.341,-383.734,14.319,20191007-1159-FRANKFURT_1-01-189,Barani B,22.636,-11.292,170.358,67.271,358.93,204.996
9.788,10.735,-4.341,1.789,-4.513,14.574,-184.669,83.518,20191007-1159-FRANKFURT_1-01-189,Barani B,22.636,-11.292,170.358,67.271,358.93,204.996
9.646,10.77,-6.747,-1.902,-5.099,61.993,30.347,388.881,20191007-1159-FRANKFURT_1-01-189,Barani B,22.636,-11.292,170.358,67.271,358.93,204.996
8.12,7.609,-5.248,-1.497,-5.775,-6.653,207.421,55.699,20191007-1159-FRANKFURT_1-01-189,Barani B,22.636,-11.292,170.358,67.271,358.93,204.996
29.568,16.95,-1.424,-1.707,23.467,-16.633,296.535,-11.275,20191007-1159-FRANKFURT_1-01-189,Barani B,22.636,-11.292,170.358,67.271,358.93,204.996
33.065,45.891,5.93,-1.893,20.64,2.173,33.191,-0.246,0115-MORITZ-03-57,Salto C,-7.878,343.542,15.007,22.678,382.112,31.571
17.886,17.581,-10.147,-0.865,-9.357,-23.238,413.686,26.929,0115-MORITZ-03-57,Salto C,-7.878,343.542,15.007,22.678,382.112,31.571
3.697,5.215,-1.71,-0.577,-2.788,2.934,163.928,7.263,0115-MORITZ-03-57,Salto C,-7.878,343.542,15.007,22.678,382.112,31.571
2.928,3.053,-1.353,-0.58,-2.512,0.396,122.374,0.07,0115-MORITZ-03-57,Salto C,-7.878,343.542,15.007,22.678,382.112,31.571
26.996,12.441,10.396,-2.095,18.929,-1.345,82.928,1.306,0115-MORITZ-03-57,Salto C,-7.878,343.542,15.007,22.678,382.112,31.571
28.801,42.705,-0.097,-1.283,19.994,11.039,247.128,2.518,20191007-1159-FRANKFURT_1-01-306,Salto A,9.77,337.336,-11.405,21.518,338.961,31.527
8.205,8.518,0.004,-0.751,-7.936,2.612,198.789,-3.634,20191007-1159-FRANKFURT_1-01-306,Salto A,9.77,337.336,-11.405,21.518,338.961,31.527
7.204,7.268,-1.95,-1.077,-6.782,8.116,203.415,-0.454,20191007-1159-FRANKFURT_1-01-306,Salto A,9.77,337.336,-11.405,21.518,338.961,31.527
7.134,7.243,-4.62,-0.522,-4.999,1.477,158.049,-9.406,20191007-1159-FRANKFURT_1-01-306,Salto A,9.77,337.336,-11.405,21.518,338.961,31.527
25.766,11.478,4.474,0.564,21.848,3.916,205.944,-9.83,20191007-1159-FRANKFURT_1-01-306,Salto A,9.77,337.336,-11.405,21.518,338.961,31.527
27.285,39.376,3.091,-1.28,24.461,-0.379,-7.565,-2.544,0609-1-01-649,Bauchsprung,0.233,-42.446,-7.222,18.309,127.442,33.993
0.943,1.015,-0.467,-0.079,0.299,0.587,-62.792,-6.736,0609-1-01-649,Bauchsprung,0.233,-42.446,-7.222,18.309,127.442,33.993
2.008,1.477,-1.05,-0.237,-0.633,-0.954,-96.046,9.248,0609-1-01-649,Bauchsprung,0.233,-42.446,-7.222,18.309,127.442,33.993
2.977,2.242,0.485,-0.425,-1.271,7.956,-42.165,2.492,0609-1-01-649,Bauchsprung,0.233,-42.446,-7.222,18.309,127.442,33.993
28.233,14.297,20.817,0.322,14.458,-5.885,91.647,-22.738,0609-1-01-649,Bauchsprung,0.233,-42.446,-7.222,18.309,127.442,33.993
32.417,43.945,5.205,0.763,25.184,19.198,50.035,-31.002,0115-JANEIKE-01-121,Salto B,11.9,342.048,-24.249,50.112,413.815,62.695
14.511,12.453,-4.18,-0.665,-8.756,-37.244,183.51,-21.262,0115-JANEIKE-01-121,Salto B,11.9,342.048,-24.249,50.112,413.815,62.695
17.52,20.576,-15.356,-0.295,-4.946,19.595,434.572,6.953,0115-JANEIKE-01-121,Salto B,11.9,342.048,-24.249,50.112,413.815,62.695
3.991,3.184,-1.597,-0.37,-2.513,16.8,61.277,-10.288,0115-JANEIKE-01-121,Salto B,11.9,342.048,-24.249,50.112,413.815,62.695
