SprungID,Sprungtyp,DJump_SIG_I_x LapEnd,DJump_SIG_I_y LapEnd,DJump_SIG_I_z LapEnd,DJump_Abs_I_x LapEnd,DJump_Abs_I_y LapEnd,DJump_Abs_I_z LapEnd,0-ACC_N,0-ACC_N_ROT_filtered,0-Acc_x_Fil,0-Acc_y_Fil,0-Acc_z_Fil,0-Gyro_x_Fil,0-Gyro_y_Fil,0-Gyro_z_Fil,20-ACC_N,20-ACC_N_ROT_filtered,20-Acc_x_Fil,20-Acc_y_Fil,20-Acc_z_Fil,20-Gyro_x_Fil,20-Gyro_y_Fil,20-Gyro_z_Fil,40-ACC_N,40-ACC_N_ROT_filtered,40-Acc_x_Fil,40-Acc_y_Fil,40-Acc_z_Fil,40-Gyro_x_Fil,40-Gyro_y_Fil,40-Gyro_z_Fil,60-ACC_N,60-ACC_N_ROT_filtered,60-Acc_x_Fil,60-Acc_y_Fil,60-Acc_z_Fil,60-Gyro_x_Fil,60-Gyro_y_Fil,60-Gyro_z_Fil,80-ACC_N,80-ACC_N_ROT_filtered,80-Acc_x_Fil,80-Acc_y_Fil,80-Acc_z_Fil,80-Gyro_x_Fil,80-Gyro_y_Fil,80-Gyro_z_Fil
0827-BK1-01-4,Salto C,6.871,355.593,9.022,21.571,388.923,29.996,111.58,71.46,27.493,-0.701,100.713,4.43,119.29,0.81,8.98,11.49,-3.368,-0.622,-8.694,-11.29,126.33,3.33,11.18,29.12,-8.889,-1.195,1.144,2.19,259.78,-16.81,3.71,3.14,-1.385,-0.221,-2.754,0.05,154.43,0.58,3.88,3.32,-3.13,-0.046,-1.262,-1.89,61.3,8.4
0827-BK1-01-7,Salto C,-4.717,358.254,7.186,20.537,384.911,27.238,115.79,73.0,34.553,-2.996,102.793,-8.08,100.42,2.09,9.52,10.96,-1.186,-0.796,-9.778,-14.08,213.64,-15.04,4.85,18.29,-5.206,-0.539,2.219,4.63,196.63,7.49,3.79,3.04,-1.641,0.124,-2.39,-0.11,150.02,1.01,3.15,2.2,-2.105,-0.136,-1.629,-4.69,58.52,-4.96
0827-BK1-01-10,Salto C,-5.825,358.946,3.876,22.168,373.566,32.467,117.93,73.53,46.966,-4.495,100.546,-26.85,73.19,-20.35,8.86,10.46,-0.773,0.459,-9.295,-23.33,252.07,-1.83,4.22,16.03,-4.775,0.348,0.385,-5.15,210.66,-23.29,3.22,3.36,-2.011,-0.277,-2.34,-7.67,155.96,-1.76,4.22,2.77,-1.793,0.225,-2.998,-13.86,90.36,3.39
0827-BK1-01-13,Salto C,-3.394,350.198,0.891,22.504,377.941,32.648,115.29,72.4,37.227,-1.925,102.755,-5.47,103.87,4.01,9.67,11.68,-0.304,-0.708,-9.755,-18.63,230.05,-23.47,4.63,14.63,-4.902,0.097,0.612,-3.74,207.54,-14.94,3.47,3.48,-1.76,-0.286,-2.653,-2.18,161.03,-5.77,2.89,2.31,-2.029,-0.524,-1.638,-6.55,71.31,-1.18
0827-BK1-01-16,Salto C,17.786,355.702,0.272,31.175,387.02,28.357,119.43,75.58,37.336,-3.555,104.151,2.33,95.45,25.05,8.94,11.22,-1.935,-0.159,-8.91,-8.71,205.94,-15.59,7.96,20.54,-6.532,0.018,3.17,8.09,221.9,5.95,3.93,3.03,-1.751,0.075,-2.774,12.88,150.04,0.26,3.76,2.45,-2.003,-0.295,-2.481,-2.89,65.51,-11.16
0827-BK1-01-19,Salto C,16.107,358.032,15.567,39.039,381.975,38.091,117.02,73.82,44.68,-3.534,101.266,-9.4,92.19,-22.5,7.07,10.02,-1.956,-0.998,-7.565,-28.68,160.83,1.84,14.73,26.42,-8.387,-2.133,6.432,-5.07,246.19,9.61,2.68,2.83,-1.549,-0.052,-2.011,12.44,140.24,8.58,3.27,2.52,-1.354,0.09,-2.19,9.16,83.74,4.28
0827-BK1-01-22,Salto C,4.67,350.898,16.556,21.94,360.096,27.885,118.96,74.85,45.382,-2.527,101.417,-16.63,74.49,-2.06,9.23,10.02,-4.21,-0.294,-8.022,7.29,247.03,-4.03,10.86,22.01,-8.384,-0.679,0.136,-10.69,254.76,7.27,4.34,3.66,-1.748,0.269,-3.173,6.96,174.84,13.29,2.7,3.6,-2.715,-0.098,0.648,9.87,59.65,6.37
0827-BK1-01-24,Salto C,5.58,377.855,12.545,17.924,399.388,23.897,109.68,70.52,49.121,0.488,89.223,-11.41,158.4,-15.85,7.43,6.16,-3.834,-0.467,-6.06,3.84,85.5,19.01,33.9,22.22,-22.986,0.592,-12.778,4.18,449.95,-9.86,3.0,2.68,-1.662,-0.421,-1.448,14.28,101.0,7.01,4.11,3.01,-1.72,-0.23,-2.833,5.83,123.71,2.91
0827-BK1-01-26,Salto C,13.474,357.474,13.335,24.029,366.326,27.304,113.04,69.83,38.621,-4.586,99.463,-19.18,73.83,-29.22,9.17,10.28,-3.854,-0.594,-8.436,2.37,176.85,3.09,14.19,25.89,-10.504,-0.734,1.109,2.97,275.96,18.48,3.56,3.35,-1.624,-0.188,-2.904,12.48,163.76,8.91,4.02,3.56,-3.595,-0.153,-1.499,20.81,68.68,9.01
0827-BK1-01-29,Salto C,6.038,359.124,4.331,28.377,379.299,26.691,112.15,71.29,37.225,-2.446,99.191,-11.59,86.09,-8.59,8.7,9.7,-4.199,-1.64,-7.199,6.9,29.94,-17.65,7.73,32.65,-15.646,-1.424,-0.497,-14.73,368.55,20.87,3.13,2.76,-1.024,-0.103,-2.585,4.84,126.78,0.77,3.9,2.56,-1.755,0.148,-2.565,6.74,65.88,-7.53
0827-BK1-01-32,Salto C,11.048,347.399,5.277,24.33,357.048,32.96,120.76,73.93,34.553,-2.408,104.135,5.68,103.5,-7.92,9.78,8.7,-4.177,-1.139,-7.924,4.23,211.2,-18.4,14.24,21.84,-7.679,-0.338,4.273,-4.17,260.63,21.14,4.33,3.45,-2.148,-0.081,-2.705,18.7,148.6,8.93,4.26,3.13,-2.861,0.525,-2.5,-8.66,76.15,-6.06
0827-BK1-01-35,Salto C,-6.596,355.018,5.384,20.914,381.657,27.071,109.93,67.75,38.828,-4.823,96.231,-8.55,105.36,6.93,9.28,11.72,-2.683,-0.649,-9.377,-7.33,152.51,-26.79,12.78,23.63,-9.044,-2.153,-1.051,8.97,272.83,-12.07,3.87,3.95,-2.148,-0.069,-2.877,-4.78,173.41,-2.12,4.8,3.73,-3.329,-0.049,-2.722,-1.94,58.38,-2.46
0827-BK1-01-38,Salto C,11.167,355.791,8.395,25.588,382.619,29.804,112.68,68.96,38.903,-2.648,98.227,-7.76,104.52,21.08,7.03,10.35,-1.001,-1.047,-7.506,-1.75,125.8,-10.47,15.52,29.66,-9.357,-0.405,6.757,-1.72,283.3,3.97,3.59,3.56,-2.298,-0.193,-2.163,-1.67,141.39,2.68,4.02,2.61,-1.874,0.083,-2.673,-10.78,74.5,0.42
