SprungID,Sprungtyp,DJump_SIG_I_x LapEnd,DJump_SIG_I_y LapEnd,DJump_SIG_I_z LapEnd,DJump_Abs_I_x LapEnd,DJump_Abs_I_y LapEnd,DJump_Abs_I_z LapEnd,0-mean_ACC_N,0-std_ACC_N,0-mean_ACC_N_ROT_filtered,0-std_ACC_N_ROT_filtered,0-mean_Acc_x_Fil,0-std_Acc_x_Fil,0-mean_Acc_y_Fil,0-std_Acc_y_Fil,0-mean_Acc_z_Fil,0-std_Acc_z_Fil,0-mean_Gyro_x_Fil,0-std_Gyro_x_Fil,0-mean_Gyro_y_Fil,0-std_Gyro_y_Fil,0-mean_Gyro_z_Fil,0-std_Gyro_z_Fil,20-mean_ACC_N,20-std_ACC_N,20-mean_ACC_N_ROT_filtered,20-std_ACC_N_ROT_filtered,20-mean_Acc_x_Fil,20-std_Acc_x_Fil,20-mean_Acc_y_Fil,20-std_Acc_y_Fil,20-mean_Acc_z_Fil,20-std_Acc_z_Fil,20-mean_Gyro_x_Fil,20-std_Gyro_x_Fil,20-mean_Gyro_y_Fil,20-std_Gyro_y_Fil,20-mean_Gyro_z_Fil,20-std_Gyro_z_Fil,40-mean_ACC_N,40-std_ACC_N,40-mean_ACC_N_ROT_filtered,40-std_ACC_N_ROT_filtered,40-mean_Acc_x_Fil,40-std_Acc_x_Fil,40-mean_Acc_y_Fil,40-std_Acc_y_Fil,40-mean_Acc_z_Fil,40-std_Acc_z_Fil,40-mean_Gyro_x_Fil,40-std_Gyro_x_Fil,40-mean_Gyro_y_Fil,40-std_Gyro_y_Fil,40-mean_Gyro_z_Fil,40-std_Gyro_z_Fil,60-mean_ACC_N,60-std_ACC_N,60-mean_ACC_N_ROT_filtered,60-std_ACC_N_ROT_filtered,60-mean_Acc_x_Fil,60-std_Acc_x_Fil,60-mean_Acc_y_Fil,60-std_Acc_y_Fil,60-mean_Acc_z_Fil,60-std_Acc_z_Fil,60-mean_Gyro_x_Fil,60-std_Gyro_x_Fil,60-mean_Gyro_y_Fil,60-std_Gyro_y_Fil,60-mean_Gyro_z_Fil,60-std_Gyro_z_Fil,80-mean_ACC_N,80-std_ACC_N,80-mean_ACC_N_ROT_filtered,80-std_ACC_N_ROT_filtered,80-mean_Acc_x_Fil,80-std_Acc_x_Fil,80-mean_Acc_y_Fil,80-std_Acc_y_Fil,80-mean_Acc_z_Fil,80-std_Acc_z_Fil,80-mean_Gyro_x_Fil,80-std_Gyro_x_Fil,80-mean_Gyro_y_Fil,80-std_Gyro_y_Fil,80-mean_Gyro_z_Fil,80-std_Gyro_z_Fil
0827-BK1-01-4,Salto C,6.871,355.593,9.022,21.571,388.923,29.996,33.398,32.362,45.604,33.758,2.4,10.55,-0.238,1.068,21.023,37.76,7.927,10.804,25.638,102.074,12.324,16.314,19.969,12.57,18.196,7.721,-12.613,6.348,-0.205,0.849,-10.542,8.228,-0.829,16.21,466.255,133.172,3.053,11.053,4.24,1.389,6.533,6.124,-2.336,1.531,-0.073,0.428,-2.135,1.383,5.11,4.934,176.217,22.352,-1.237,4.321,3.517,0.4,2.963,0.166,-1.652,0.518,0.002,0.423,-2.366,0.31,-1.928,3.308,118.911,30.416,-0.213,8.172,24.415,34.125,11.639,15.458,7.703,13.977,-1.083,1.647,19.69,31.374,6.244,10.215,104.938,68.513,7.082,19.144
0827-BK1-01-7,Salto C,-4.717,358.254,7.186,20.537,384.911,27.238,33.964,33.602,46.472,34.769,4.016,12.978,-0.95,1.552,20.748,38.117,4.424,7.79,31.994,87.825,6.751,14.906,20.775,13.225,20.073,8.023,-12.366,7.136,-0.175,1.643,-9.302,9.523,-15.249,12.516,438.325,123.451,9.123,10.434,3.966,0.759,5.01,3.231,-2.129,0.677,-0.165,0.376,-2.372,0.879,3.887,2.473,166.571,8.034,2.856,1.667,3.198,0.661,2.808,0.345,-1.661,0.128,-0.139,0.233,-2.037,0.5,-2.03,1.538,132.02,27.307,0.43,2.084,24.923,35.169,11.724,15.764,7.308,14.368,-1.422,2.35,19.676,32.671,-3.458,11.113,108.554,94.143,-1.851,22.611
0827-BK1-01-10,Salto C,-5.825,358.946,3.876,22.168,373.566,32.467,33.004,35.332,45.64,36.545,7.482,17.597,-0.904,1.592,20.034,36.992,2.473,12.159,53.488,78.038,1.544,16.292,18.352,11.679,17.75,7.061,-11.157,6.782,-0.587,1.346,-8.282,8.313,-13.037,11.501,405.067,94.28,4.914,17.734,4.045,0.873,4.879,2.871,-2.164,0.637,-0.055,0.659,-2.433,0.631,1.693,8.398,166.385,14.997,-4.431,4.759,3.466,0.383,3.012,0.272,-1.878,0.156,-0.344,0.193,-2.187,0.296,-3.901,4.152,130.61,18.786,3.268,6.77,25.7,35.483,12.407,15.944,7.958,16.14,-0.78,2.266,19.553,32.58,-1.339,10.843,124.83,56.703,3.309,18.49
0827-BK1-01-13,Salto C,-3.394,350.198,0.891,22.504,377.941,32.648,34.331,34.153,46.603,34.975,4.217,13.432,-0.705,1.035,21.227,38.351,5.951,10.979,41.014,99.576,8.186,22.246,18.599,11.208,18.364,6.357,-10.867,6.737,-0.2,0.863,-8.925,8.199,-4.381,17.955,413.405,107.985,1.754,14.048,3.991,0.576,4.618,2.516,-2.183,0.667,-0.106,0.456,-2.424,0.68,1.893,3.703,161.802,13.028,-8.565,1.98,3.408,0.522,3.064,0.324,-1.824,0.097,-0.25,0.133,-2.185,0.481,-6.304,3.261,141.852,24.237,-1.691,2.081,26.055,35.506,12.663,16.13,9.568,18.434,-1.613,2.7,18.898,31.506,-5.79,9.425,93.679,71.103,2.712,25.886
0827-BK1-01-16,Salto C,17.786,355.702,0.272,31.175,387.02,28.357,33.229,33.773,46.18,35.622,3.874,13.915,-1.211,2.188,20.181,37.38,10.575,14.158,34.761,102.169,3.51,16.091,19.307,10.669,18.414,6.507,-11.604,6.37,0.119,1.036,-9.765,8.089,6.645,18.219,439.338,123.008,3.613,12.549,3.834,0.71,5.18,3.844,-2.118,1.085,0.05,0.341,-2.107,1.301,14.494,4.869,163.759,14.108,3.53,5.86,3.284,0.52,2.841,0.314,-1.718,0.146,-0.124,0.198,-2.119,0.395,10.684,3.699,126.33,26.929,-5.258,5.15,25.515,35.514,12.191,16.057,8.544,16.012,-1.08,3.076,19.414,32.392,0.724,13.11,113.83,83.211,-4.339,19.992
0827-BK1-01-19,Salto C,16.107,358.032,15.567,39.039,381.975,38.091,33.515,34.739,46.246,35.955,5.743,16.048,-0.026,1.849,20.775,37.28,8.668,27.819,37.832,88.303,9.874,19.602,20.083,11.657,18.2,7.966,-11.701,7.112,0.318,1.587,-9.526,8.736,-4.712,23.567,430.263,113.541,25.176,17.443,3.949,1.796,6.207,5.59,-2.145,1.361,0.139,0.519,-1.692,1.908,14.362,6.427,164.92,19.182,9.982,3.17,3.018,0.26,2.583,0.091,-1.648,0.196,0.029,0.075,-1.898,0.224,17.82,4.135,111.096,14.3,0.237,6.615,26.116,35.671,12.617,16.086,7.775,15.067,-1.301,3.438,19.554,33.365,3.032,11.209,133.121,70.607,-7.592,24.356
0827-BK1-01-22,Salto C,4.67,350.898,16.556,21.94,360.096,27.885,33.108,35.121,46.086,36.541,7.168,17.627,-1.248,1.612,19.564,36.992,6.347,12.548,53.068,67.325,6.3,16.075,17.733,8.282,16.391,5.68,-11.84,4.949,0.051,1.17,-9.269,6.324,-7.804,8.87,437.36,95.801,10.956,11.208,4.335,1.538,5.868,4.572,-2.383,1.463,0.045,0.273,-2.088,1.561,5.672,11.494,169.629,22.167,11.697,2.179,3.719,0.391,3.38,0.222,-2.347,0.731,0.043,0.153,-1.901,1.035,3.363,4.042,121.717,37.047,3.158,4.391,23.586,36.545,10.322,15.644,9.224,15.919,-1.408,2.12,19.059,31.956,4.143,6.703,89.732,34.735,8.911,12.065
0827-BK1-01-24,Salto C,5.58,377.855,12.545,17.924,399.388,23.897,30.446,32.649,43.141,33.943,7.724,16.574,0.254,1.006,18.889,33.594,0.021,7.505,49.138,99.453,11.598,12.398,16.153,8.305,12.366,3.682,-12.196,4.693,-0.23,0.821,-8.14,5.261,-1.651,9.14,425.573,126.613,10.35,12.48,7.49,6.682,11.276,8.865,-6.194,5.859,-0.233,0.317,-1.045,2.645,1.046,7.583,204.816,98.496,7.833,5.607,3.338,0.387,2.734,0.207,-1.617,0.434,-0.149,0.263,-2.138,0.622,8.734,2.203,100.862,10.39,4.164,3.983,24.753,34.379,11.656,14.68,6.208,14.251,-0.555,1.49,19.318,32.375,5.93,6.155,171.913,46.962,-2.22,7.159
0827-BK1-01-26,Salto C,13.474,357.474,13.335,24.029,366.326,27.304,32.897,33.826,45.266,34.977,6.409,16.034,-1.154,1.802,20.1,36.465,7.123,9.979,44.419,57.715,-1.124,10.052,19.652,9.956,17.958,6.687,-12.627,5.856,0.176,0.854,-10.643,6.921,-3.759,7.172,450.191,116.974,11.11,9.495,4.643,2.225,6.752,5.713,-2.693,2.036,-0.065,0.329,-1.819,2.068,7.488,10.344,169.965,29.107,12.824,2.483,3.772,0.4,3.271,0.198,-2.065,0.556,0.191,0.198,-2.461,0.385,11.144,2.951,130.284,34.463,6.983,4.756,25.384,34.102,12.556,15.855,8.818,15.793,-0.607,1.147,19.91,30.973,11.937,7.699,103.085,56.415,3.423,10.662
0827-BK1-01-29,Salto C,6.038,359.124,4.331,28.377,379.299,26.691,32.744,33.947,45.376,34.835,5.394,14.23,-1.07,1.901,21.287,36.56,6.183,10.894,33.02,79.822,-1.448,9.662,20.271,11.828,15.752,6.513,-13.285,7.561,-0.08,1.104,-11.368,6.05,-15.739,13.849,443.089,163.178,6.132,14.646,5.944,4.79,10.914,10.675,-4.168,4.379,-0.291,0.674,-0.758,2.441,7.714,9.907,192.693,76.286,10.974,9.741,3.195,0.445,2.729,0.19,-1.833,0.369,-0.003,0.194,-1.862,0.539,7.909,1.537,102.401,18.875,-0.606,2.977,23.842,34.19,10.763,14.552,8.329,14.933,-1.304,1.79,18.13,31.324,8.693,11.504,143.729,85.395,-3.598,17.543
0827-BK1-01-32,Salto C,11.048,347.399,5.277,24.33,357.048,32.96,31.725,34.33,45.005,36.272,4.292,12.936,-0.305,1.766,19.723,37.383,12.217,10.838,50.074,67.882,6.23,21.567,18.694,9.833,17.173,7.218,-11.33,6.331,-0.049,1.017,-9.71,7.068,-4.298,5.181,424.162,95.039,-2.607,14.346,4.283,1.56,5.971,4.492,-2.515,1.213,-0.052,0.242,-1.997,1.68,7.537,4.709,164.67,26.608,10.061,4.212,3.582,0.488,3.094,0.319,-1.872,0.306,-0.033,0.191,-2.389,0.287,11.648,10.489,131.41,23.087,-0.741,7.561,26.115,34.405,12.95,15.814,10.115,18.452,-1.572,3.034,19.308,30.222,0.15,12.454,109.037,69.434,-0.036,22.06
0827-BK1-01-35,Salto C,-6.596,355.018,5.384,20.914,381.657,27.071,33.583,32.683,45.333,33.389,4.945,14.579,-1.227,1.41,21.201,36.501,3.579,10.326,48.598,108.262,5.047,16.999,19.41,8.517,18.121,5.676,-12.104,6.479,-0.304,0.886,-10.786,6.689,-16.539,12.031,437.331,116.744,8.482,13.363,5.041,1.742,6.818,4.935,-2.823,1.655,-0.242,0.668,-2.554,1.537,3.08,7.318,187.555,22.296,-0.603,5.103,3.958,0.462,3.449,0.302,-2.076,0.418,-0.155,0.17,-2.701,0.329,-6.638,1.775,124.822,38.252,-4.024,4.875,25.52,34.505,12.424,15.878,10.135,18.578,-1.64,1.91,19.188,29.892,-0.4,9.005,108.379,57.186,5.097,20.53
0827-BK1-01-38,Salto C,11.167,355.791,8.395,25.588,382.619,29.804,33.801,33.686,45.893,34.351,4.888,14.184,-0.788,1.363,21.812,37.32,14.668,11.739,29.734,89.697,19.705,14.842,21.715,12.964,19.538,8.907,-12.758,8.215,-0.203,1.698,-10.233,8.761,-2.256,8.007,439.031,119.097,-3.139,11.081,4.536,2.111,6.96,6.332,-2.417,1.67,-0.013,0.343,-1.834,2.328,9.33,6.763,171.444,32.299,1.467,1.909,3.19,0.582,2.823,0.382,-1.685,0.33,-0.256,0.204,-1.994,0.37,3.897,4.715,112.853,17.705,-0.634,6.757,24.805,34.045,11.935,14.949,8.483,16.511,-0.672,2.305,18.581,30.829,1.328,14.535,128.338,64.775,1.261,19.392
0827-BK1-01-41,Salto C,10.878,351.395,7.673,22.553,358.179,26.344,33.106,34.805,45.759,36.053,6.857,16.615,-1.691,1.978,19.8,37.154,6.6,8.82,62.259,69.462,3.871,13.045,17.74,9.387,16.918,5.975,-10.454,5.299,0.136,0.671,-9.216,7.538,-1.792,14.855,416.758,93.421,10.32,12.429,4.345,1.047,5.547,3.567,-2.088,0.87,-0.009,0.273,-2.631,1.383,6.917,7.87,169.532,10.594,8.236,3.948,3.888,0.328,3.342,0.16,-2.011,0.583,0.032,0.123,-2.629,0.369,12.377,2.168,123.944,32.136,2.73,5.512,24.938,34.959,11.943,15.679,8.972,16.517,-1.127,1.581,19.61,31.231,3.487,7.825,105.585,52.755,-5.76,14.14
0827-BK1-01-44,Salto C,-3.939,358.382,6.158,22.01,378.837,30.056,33.262,32.167,45.238,33.015,4.638,13.981,-0.657,1.507,20.805,36.361,9.018,9.111,41.644,86.818,9.649,20.729,20.698,10.579,18.818,7.229,-13.076,6.552,-0.105,1.024,-10.658,7.371,-10.722,12.452,450.1,110.155,0.877,11.773,5.134,1.757,7.306,5.833,-3.003,1.769,-0.358,0.514,-2.42,1.835,-0.437,8.787,183.142,29.886,2.388,9.826,4.044,0.678,3.547,0.51,-2.302,0.575,-0.125,0.171,-2.63,0.53,-5.254,6.018,139.301,39.245,-5.355,2.599,25.361,33.651,12.616,15.664,7.617,14.344,-1.632,1.797,20.612,30.992,-2.765,10.17,98.888,44.421,9.231,19.878
0827-BK1-01-46,Salto C,-10.164,364.337,-1.337,28.583,369.394,27.871,26.996,34.297,41.171,34.304,12.508,17.11,-3.166,4.603,16.629,30.061,11.038,28.206,68.289,100.275,-17.695,14.623,10.331,0.849,9.476,1.483,-9.337,0.496,-0.348,0.386,-3.414,1.048,-9.609,10.744,303.61,8.607,-13.924,4.942,7.711,1.069,8.026,1.144,-6.856,1.231,-0.304,0.212,-2.703,0.374,-10.1,5.035,266.683,15.047,-1.23,3.206,7.121,0.655,6.673,0.324,-5.512,0.597,-0.399,0.206,-3.771,0.391,-14.903,6.96,262.599,8.926,-7.253,5.719,24.989,25.296,14.203,12.726,6.593,14.012,-0.229,2.405,17.669,25.193,-5.684,14.99,190.428,68.549,35.762,27.969
