Time,TimeInJump,ACC_N,ACC_N_ROT_filtered,Acc_x_Fil,Acc_y_Fil,Acc_z_Fil,Gyro_x_Fil,Gyro_y_Fil,Gyro_z_Fil,SprungID,Sprungtyp,DJump_SIG_I_x LapEnd,DJump_SIG_I_y LapEnd,DJump_SIG_I_z LapEnd,DJump_Abs_I_x LapEnd,DJump_Abs_I_y LapEnd,DJump_Abs_I_z LapEnd
,,28.276,37.429,3.293,6.249,16.344,26.206,197.225,-57.214,20191008-1207-FRANKFURT_2-01-364,Salto A,48.935,342.174,-87.658,50.904,344.94,98.19
,,8.289,8.65,-2.687,-1.38,-7.599,22.82,203.473,-54.205,20191008-1207-FRANKFURT_2-01-364,Salto A,48.935,342.174,-87.658,50.904,344.94,98.19
,,7.777,7.749,-4.154,-1.576,-6.362,18.376,181.057,-31.588,20191008-1207-FRANKFURT_2-01-364,Salto A,48.935,342.174,-87.658,50.904,344.94,98.19
,,22.5,12.105,-0.874,3.446,12.464,52.25,274.185,-72.037,20191008-1207-FRANKFURT_2-01-364,Salto A,48.935,342.174,-87.658,50.904,344.94,98.19
,,25.487,35.081,0.555,-1.894,19.414,-102.474,197.666,-144.456,20191003-1152-FRANKFURT_1-01-104,Schraubensalto A,-44.108,202.311,-356.89,162.433,281.927,368.086
,,12.716,11.386,-9.9,1.419,-4.744,-85.327,-85.898,-429.315,20191003-1152-FRANKFURT_1-01-104,Schraubensalto A,-44.108,202.311,-356.89,162.433,281.927,368.086
,,10.83,11.247,-4.242,2.38,-9.164,91.775,143.422,-255.47,20191003-1152-FRANKFURT_1-01-104,Schraubensalto A,-44.108,202.311,-356.89,162.433,281.927,368.086
,,23.727,14.263,-1.291,1.369,13.491,-11.135,222.81,-10.538,20191003-1152-FRANKFURT_1-01-104,Schraubensalto A,-44.108,202.311,-356.89,162.433,281.927,368.086
,,25.174,34.413,0.008,4.368,18.278,86.74,215.919,104.936,20191007-1534-FRANKFURT_2-01-104,Schraubensalto A,89.035,190.669,335.873,171.395,266.508,355.733
,,10.577,9.276,-8.464,-2.539,-4.264,162.1,-81.272,398.343,20191007-1534-FRANKFURT_2-01-104,Schraubensalto A,89.035,190.669,335.873,171.395,266.508,355.733
,,11.178,12.128,-5.859,-3.44,-8.745,-84.501,105.715,297.667,20191007-1534-FRANKFURT_2-01-104,Schraubensalto A,89.035,190.669,335.873,171.395,266.508,355.733
,,24.189,13.773,0.828,0.961,15.502,50.839,219.08,16.436,20191007-1534-FRANKFURT_2-01-104,Schraubensalto A,89.035,190.669,335.873,171.395,266.508,355.733
,,30.563,40.093,-2.983,1.387,18.014,-19.227,-287.274,58.431,0609-4-01-600,Barani C,-13.808,-71.418,229.805,49.434,315.849,242.231
,,11.321,12.24,-7.643,0.927,-7.578,-9.822,-131.11,217.587,0609-4-01-600,Barani C,-13.808,-71.418,229.805,49.434,315.849,242.231
,,7.477,7.894,-4.728,-1.299,-5.611,-23.021,114.739,210.379,0609-4-01-600,Barani C,-13.808,-71.418,229.805,49.434,315.849,242.231
,,21.193,11.134,4.256,-1.656,14.891,20.576,154.957,34.416,0609-4-01-600,Barani C,-13.808,-71.418,229.805,49.434,315.849,242.231
,,28.214,38.356,4.11,-0.823,14.66,7.674,81.619,4.451,0827-BK2-01-10,Salto C,0.292,331.756,-1.512,39.136,349.877,38.545
,,14.915,15.577,-8.822,1.142,-4.493,-4.641,342.255,-3.205,0827-BK2-01-10,Salto C,0.292,331.756,-1.512,39.136,349.877,38.545
,,3.496,3.042,-1.49,0.696,-2.076,0.782,80.085,-7.327,0827-BK2-01-10,Salto C,0.292,331.756,-1.512,39.136,349.877,38.545
,,22.047,10.513,4.275,0.262,15.866,-2.613,148.594,3.431,0827-BK2-01-10,Salto C,0.292,331.756,-1.512,39.136,349.877,38.545
,,29.69,40.236,0.002,-0.421,18.472,5.576,-185.067,56.419,20191007-1159-FRANKFURT_1-01-229,Barani A,-50.402,73.044,171.403,73.54,291.198,202.85
,,10.626,10.431,-4.198,-0.104,-9.209,-104.22,-64.903,286.84,20191007-1159-FRANKFURT_1-01-229,Barani A,-50.402,73.044,171.403,73.54,291.198,202.85
,,9.27,9.412,-5.091,-2.863,-6.619,-14.831,183.861,111.303,20191007-1159-FRANKFURT_1-01-229,Barani A,-50.402,73.044,171.403,73.54,291.198,202.85
,,25.15,13.589,2.808,-0.935,18.095,-14.09,251.775,-18.466,20191007-1159-FRANKFURT_1-01-229,Barani A,-50.402,73.044,171.403,73.54,291.198,202.85
,,28.449,38.456,-5.056,1.461,16.978,1.673,-13.824,-6.581,20191008-1207-FRANKFURT_2-01-141,Salto B,27.662,343.185,-27.756,44.99,419.242,56.069
,,24.641,20.992,-11.622,-0.168,-15.537,29.103,451.751,-29.779,20191008-1207-FRANKFURT_2-01-141,Salto B,27.662,343.185,-27.756,44.99,419.242,56.069
,,8.156,13.392,-5.197,-0.339,-1.617,16.735,207.32,-23.398,20191008-1207-FRANKFURT_2-01-141,Salto B,27.662,343.185,-27.756,44.99,419.242,56.069
,,21.703,10.173,3.074,1.397,14.823,15.773,157.35,-2.766,20191008-1207-FRANKFURT_2-01-141,Salto B,27.662,343.185,-27.756,44.99,419.242,56.069
,,32.055,41.017,-4.489,1.986,18.122,-48.953,-278.452,29.618,20190930-1247-FRANKFURT_2-01-88,Barani C,-91.429,-131.234,188.133,95.999,318.435,195.76
,,12.725,13.391,-6.751,2.669,-9.289,-36.349,-184.928,142.135,20190930-1247-FRANKFURT_2-01-88,Barani C,-91.429,-131.234,188.133,95.999,318.435,195.76
,,10.258,11.554,-1.841,-1.208,-4.306,-87.15,21.066,181.121,20190930-1247-FRANKFURT_2-01-88,Barani C,-91.429,-131.234,188.133,95.999,318.435,195.76
,,19.898,9.898,1.939,-0.607,14.014,-32.629,155.838,85.063,20190930-1247-FRANKFURT_2-01-88,Barani C,-91.429,-131.234,188.133,95.999,318.435,195.76
,,33.628,44.26,-1.571,-1.145,15.608,4.511,-379.435,12.016,20191007-1159-FRANKFURT_1-01-189,Barani B,22.636,-11.292,170.358,67.271,358.93,204.996
,,9.884,10.05,-7.221,2.259,-3.742,58.491,-78.461,248.391,20191007-1159-FRANKFURT_1-01-189,Barani B,22.636,-11.292,170.358,67.271,358.93,204.996
,,7.686,8.086,-4.419,-2.623,-5.466,15.672,134.114,173.588,20191007-1159-FRANKFURT_1-01-189,Barani B,22.636,-11.292,170.358,67.271,358.93,204.996
,,25.875,15.322,-2.752,-1.667,17.425,-21.944,295.984,-8.006,20191007-1159-FRANKFURT_1-01-189,Barani B,22.636,-11.292,170.358,67.271,358.93,204.996
,,29.255,39.055,4.289,-1.463,13.884,-8.67,119.391,5.838,0115-MORITZ-03-57,Salto C,-7.878,343.542,15.007,22.678,382.112,31.571
,,13.007,14.357,-8.474,-0.96,-5.91,-6.918,306.159,18.67,0115-MORITZ-03-57,Salto C,-7.878,343.542,15.007,22.678,382.112,31.571
,,3.28,3.409,-1.42,-0.626,-2.846,0.598,146.636,2.627,0115-MORITZ-03-57,Salto C,-7.878,343.542,15.007,22.678,382.112,31.571
