SprungID,Sprungtyp,DJump_SIG_I_x LapEnd,DJump_SIG_I_y LapEnd,DJump_SIG_I_z LapEnd,DJump_Abs_I_x LapEnd,DJump_Abs_I_y LapEnd,DJump_Abs_I_z LapEnd,0-ACC_N,0-ACC_N_ROT_filtered,0-Acc_x_Fil,0-Acc_y_Fil,0-Acc_z_Fil,0-Gyro_x_Fil,0-Gyro_y_Fil,0-Gyro_z_Fil,25-ACC_N,25-ACC_N_ROT_filtered,25-Acc_x_Fil,25-Acc_y_Fil,25-Acc_z_Fil,25-Gyro_x_Fil,25-Gyro_y_Fil,25-Gyro_z_Fil,50-ACC_N,50-ACC_N_ROT_filtered,50-Acc_x_Fil,50-Acc_y_Fil,50-Acc_z_Fil,50-Gyro_x_Fil,50-Gyro_y_Fil,50-Gyro_z_Fil,75-ACC_N,75-ACC_N_ROT_filtered,75-Acc_x_Fil,75-Acc_y_Fil,75-Acc_z_Fil,75-Gyro_x_Fil,75-Gyro_y_Fil,75-Gyro_z_Fil
0827-BK1-01-4,Salto C,6.871,355.593,9.022,21.571,388.923,29.996,29.129,38.654,0.941,-0.325,14.707,2.187,94.869,9.559,29.129,38.654,0.941,-0.325,14.707,2.187,94.869,9.559,29.129,38.654,0.941,-0.325,14.707,2.187,94.869,9.559,29.129,38.654,0.941,-0.325,14.707,2.187,94.869,9.559
0827-BK1-01-7,Salto C,-4.717,358.254,7.186,20.537,384.911,27.238,30.158,39.473,2.446,-0.708,14.009,-2.741,115.985,5.535,30.158,39.473,2.446,-0.708,14.009,-2.741,115.985,5.535,30.158,39.473,2.446,-0.708,14.009,-2.741,115.985,5.535,30.158,39.473,2.446,-0.708,14.009,-2.741,115.985,5.535
0827-BK1-01-10,Salto C,-5.825,358.946,3.876,22.168,373.566,32.467,29.185,38.708,5.344,-0.586,13.658,-3.995,128.159,5.098,29.185,38.708,5.344,-0.586,13.658,-3.995,128.159,5.098,29.185,38.708,5.344,-0.586,13.658,-3.995,128.159,5.098,29.185,38.708,5.344,-0.586,13.658,-3.995,128.159,5.098
0827-BK1-01-13,Salto C,-3.394,350.198,0.891,22.504,377.941,32.648,30.501,39.721,2.923,-0.488,14.411,-1.276,119.559,6.402,30.501,39.721,2.923,-0.488,14.411,-1.276,119.559,6.402,30.501,39.721,2.923,-0.488,14.411,-1.276,119.559,6.402,30.501,39.721,2.923,-0.488,14.411,-1.276,119.559,6.402
0827-BK1-01-16,Salto C,17.786,355.702,0.272,31.175,387.02,28.357,29.509,39.283,2.52,-0.992,13.698,5.126,111.831,0.259,29.509,39.283,2.52,-0.992,13.698,5.126,111.831,0.259,29.509,39.283,2.52,-0.992,13.698,5.126,111.831,0.259,29.509,39.283,2.52,-0.992,13.698,5.126,111.831,0.259
0827-BK1-01-19,Salto C,16.107,358.032,15.567,39.039,381.975,38.091,29.288,38.98,4.142,-0.106,14.382,-0.442,106.619,8.645,29.288,38.98,4.142,-0.106,14.382,-0.442,106.619,8.645,29.288,38.98,4.142,-0.106,14.382,-0.442,106.619,8.645,29.288,38.98,4.142,-0.106,14.382,-0.442,106.619,8.645
0827-BK1-01-22,Salto C,4.67,350.898,16.556,21.94,360.096,27.885,28.996,38.967,4.616,-1.081,13.639,2.309,125.27,4.519,28.996,38.967,4.616,-1.081,13.639,2.309,125.27,4.519,28.996,38.967,4.616,-1.081,13.639,2.309,125.27,4.519,28.996,38.967,4.616,-1.081,13.639,2.309,125.27,4.519
0827-BK1-01-24,Salto C,5.58,377.855,12.545,17.924,399.388,23.897,26.591,35.942,4.592,0.046,13.601,0.7,86.018,14.184,26.591,35.942,4.592,0.046,13.601,0.7,86.018,14.184,26.591,35.942,4.592,0.046,13.601,0.7,86.018,14.184,26.591,35.942,4.592,0.046,13.601,0.7,86.018,14.184
0827-BK1-01-26,Salto C,13.474,357.474,13.335,24.029,366.326,27.304,28.817,38.294,4.198,-0.955,13.787,4.279,110.988,-0.356,28.817,38.294,4.198,-0.955,13.787,4.279,110.988,-0.356,28.817,38.294,4.198,-0.955,13.787,4.279,110.988,-0.356,28.817,38.294,4.198,-0.955,13.787,4.279,110.988,-0.356
0827-BK1-01-29,Salto C,6.038,359.124,4.331,28.377,379.299,26.691,28.176,38.157,3.6,-1.004,15.239,2.152,66.092,-2.863,28.176,38.157,3.6,-1.004,15.239,2.152,66.092,-2.863,28.176,38.157,3.6,-1.004,15.239,2.152,66.092,-2.863,28.176,38.157,3.6,-1.004,15.239,2.152,66.092,-2.863
0827-BK1-01-32,Salto C,11.048,347.399,5.277,24.33,357.048,32.96,27.867,38.002,2.803,-0.412,13.633,8.226,118.287,1.49,27.867,38.002,2.803,-0.412,13.633,8.226,118.287,1.49,27.867,38.002,2.803,-0.412,13.633,8.226,118.287,1.49,27.867,38.002,2.803,-0.412,13.633,8.226,118.287,1.49
0827-BK1-01-35,Salto C,-6.596,355.018,5.384,20.914,381.657,27.071,29.654,38.683,3.405,-1.059,14.524,-2.363,107.987,2.336,29.654,38.683,3.405,-1.059,14.524,-2.363,107.987,2.336,29.654,38.683,3.405,-1.059,14.524,-2.363,107.987,2.336,29.654,38.683,3.405,-1.059,14.524,-2.363,107.987,2.336
0827-BK1-01-38,Salto C,11.167,355.791,8.395,25.588,382.619,29.804,29.567,38.662,3.517,-0.848,15.045,9.746,95.084,12.537,29.567,38.662,3.517,-0.848,15.045,9.746,95.084,12.537,29.567,38.662,3.517,-0.848,15.045,9.746,95.084,12.537,29.567,38.662,3.517,-0.848,15.045,9.746,95.084,12.537
0827-BK1-01-41,Salto C,10.878,351.395,7.673,22.553,358.179,26.344,29.137,38.845,4.783,-1.356,13.52,1.126,135.632,2.224,29.137,38.845,4.783,-1.356,13.52,1.126,135.632,2.224,29.137,38.845,4.783,-1.356,13.52,1.126,135.632,2.224,29.137,38.845,4.783,-1.356,13.52,1.126,135.632,2.224
0827-BK1-01-44,Salto C,-3.939,358.382,6.158,22.01,378.837,30.056,29.334,38.368,2.826,-0.719,14.212,2.673,108.256,4.598,29.334,38.368,2.826,-0.719,14.212,2.673,108.256,4.598,29.334,38.368,2.826,-0.719,14.212,2.673,108.256,4.598,29.334,38.368,2.826,-0.719,14.212,2.673,108.256,4.598
0827-BK1-01-46,Salto C,-10.164,364.337,-1.337,28.583,369.394,27.871,23.466,34.33,8.25,-2.569,12.743,9.807,113.015,-16.905,23.466,34.33,8.25,-2.569,12.743,9.807,113.015,-16.905,23.466,34.33,8.25,-2.569,12.743,9.807,113.015,-16.905,23.466,34.33,8.25,-2.569,12.743,9.807,113.015,-16.905
0827-BK1-01-53,Salto B,10.431,355.795,28.329,40.762,405.605,52.652,27.285,37.873,2.201,-1.38,17.782,1.797,15.887,-5.891,27.285,37.873,2.201,-1.38,17.782,1.797,15.887,-5.891,27.285,37.873,2.201,-1.38,17.782,1.797,15.887,-5.891,27.285,37.873,2.201,-1.38,17.782,1.797,15.887,-5.891
0827-BK1-01-56,Salto B,18.994,357.555,24.091,43.398,399.871,48.012,29.14,38.754,5.984,-0.9,16.281,-0.69,31.46,-6.637,29.14,38.754,5.984,-0.9,16.281,-0.69,31.46,-6.637,29.14,38.754,5.984,-0.9,16.281,-0.69,31.46,-6.637,29.14,38.754,5.984,-0.9,16.281,-0.69,31.46,-6.637
0827-BK1-01-59,Salto B,-0.122,355.219,24.013,32.053,395.625,46.093,27.979,37.845,5.955,-0.209,15.959,-2.734,51.18,4.726,27.979,37.845,5.955,-0.209,15.959,-2.734,51.18,4.726,27.979,37.845,5.955,-0.209,15.959,-2.734,51.18,4.726,27.979,37.845,5.955,-0.209,15.959,-2.734,51.18,4.726
0827-BK1-01-62,Salto B,-2.338,357.172,11.497,25.384,388.727,40.837,26.491,37.06,4.875,-0.413,16.967,1.051,40.219,5.276,26.491,37.06,4.875,-0.413,16.967,1.051,40.219,5.276,26.491,37.06,4.875,-0.413,16.967,1.051,40.219,5.276,26.491,37.06,4.875,-0.413,16.967,1.051,40.219,5.276
0827-BK1-01-65,Salto B,-5.665,358.437,17.566,37.887,402.698,50.099,26.71,36.908,5.885,-0.67,16.84,3.387,28.231,-0.146,26.71,36.908,5.885,-0.67,16.84,3.387,28.231,-0.146,26.71,36.908,5.885,-0.67,16.84,3.387,28.231,-0.146,26.71,36.908,5.885,-0.67,16.84,3.387,28.231,-0.146
0827-BK1-01-68,Salto B,10.379,353.338,18.22,39.838,399.934,42.282,28.174,38.177,3.202,-0.393,16.84,0.735,51.39,6.825,28.174,38.177,3.202,-0.393,16.84,0.735,51.39,6.825,28.174,38.177,3.202,-0.393,16.84,0.735,51.39,6.825,28.174,38.177,3.202,-0.393,16.84,0.735,51.39,6.825
0827-BK1-01-71,Salto B,-6.226,356.481,9.528,27.619,407.852,35.647,26.493,36.982,2.042,-1.77,17.83,0.991,19.003,-5.059,26.493,36.982,2.042,-1.77,17.83,0.991,19.003,-5.059,26.493,36.982,2.042,-1.77,17.83,0.991,19.003,-5.059,26.493,36.982,2.042,-1.77,17.83,0.991,19.003,-5.059
0827-BK1-01-74,Salto B,-9.158,351.026,30.62,37.415,395.669,47.704,27.876,37.851,3.815,-0.826,16.835,-2.825,41.495,4.068,27.876,37.851,3.815,-0.826,16.835,-2.825,41.495,4.068,27.876,37.851,3.815,-0.826,16.835,-2.825,41.495,4.068,27.876,37.851,3.815,-0.826,16.835,-2.825,41.495,4.068
0827-BK1-01-76,Salto B,4.104,355.777,16.044,30.839,403.776,34.274,26.452,36.85,4.285,-1.18,16.96,5.262,27.866,5.979,26.452,36.85,4.285,-1.18,16.96,5.262,27.866,5.979,26.452,36.85,4.285,-1.18,16.96,5.262,27.866,5.979,26.452,36.85,4.285,-1.18,16.96,5.262,27.866,5.979
0827-BK1-01-78,Salto B,9.05,349.446,6.681,32.556,387.153,34.743,27.175,37.597,3.495,-0.428,17.036,8.315,47.649,11.097,27.175,37.597,3.495,-0.428,17.036,8.315,47.649,11.097,27.175,37.597,3.495,-0.428,17.036,8.315,47.649,11.097,27.175,37.597,3.495,-0.428,17.036,8.315,47.649,11.097
0827-BK1-01-81,Salto B,24.599,349.777,41.215,46.726,392.25,59.313,25.379,36.473,4.444,-1.733,16.99,5.202,12.476,-0.676,25.379,36.473,4.444,-1.733,16.99,5.202,12.476,-0.676,25.379,36.473,4.444,-1.733,16.99,5.202,12.476,-0.676,25.379,36.473,4.444,-1.733,16.99,5.202,12.476,-0.676
0827-BK1-01-83,Salto B,-14.677,357.734,12.599,33.589,397.686,32.176,25.328,36.079,5.508,-1.638,16.801,8.188,9.925,0.451,25.328,36.079,5.508,-1.638,16.801,8.188,9.925,0.451,25.328,36.079,5.508,-1.638,16.801,8.188,9.925,0.451,25.328,36.079,5.508,-1.638,16.801,8.188,9.925,0.451
0827-BK1-01-87,Salto B,-4.185,353.457,19.588,24.885,399.795,42.948,26.383,37.041,4.1,-0.66,17.599,3.889,2.661,-2.724,26.383,37.041,4.1,-0.66,17.599,3.889,2.661,-2.724,26.383,37.041,4.1,-0.66,17.599,3.889,2.661,-2.724,26.383,37.041,4.1,-0.66,17.599,3.889,2.661,-2.724
