SprungID,Sprungtyp,DJump_SIG_I_x LapEnd,DJump_SIG_I_y LapEnd,DJump_SIG_I_z LapEnd,DJump_Abs_I_x LapEnd,DJump_Abs_I_y LapEnd,DJump_Abs_I_z LapEnd,0-mean_ACC_N,0-std_ACC_N,0-mean_ACC_N_ROT_filtered,0-std_ACC_N_ROT_filtered,0-mean_Acc_x_Fil,0-std_Acc_x_Fil,0-mean_Acc_y_Fil,0-std_Acc_y_Fil,0-mean_Acc_z_Fil,0-std_Acc_z_Fil,0-mean_Gyro_x_Fil,0-std_Gyro_x_Fil,0-mean_Gyro_y_Fil,0-std_Gyro_y_Fil,0-mean_Gyro_z_Fil,0-std_Gyro_z_Fil,25-mean_ACC_N,25-std_ACC_N,25-mean_ACC_N_ROT_filtered,25-std_ACC_N_ROT_filtered,25-mean_Acc_x_Fil,25-std_Acc_x_Fil,25-mean_Acc_y_Fil,25-std_Acc_y_Fil,25-mean_Acc_z_Fil,25-std_Acc_z_Fil,25-mean_Gyro_x_Fil,25-std_Gyro_x_Fil,25-mean_Gyro_y_Fil,25-std_Gyro_y_Fil,25-mean_Gyro_z_Fil,25-std_Gyro_z_Fil,50-mean_ACC_N,50-std_ACC_N,50-mean_ACC_N_ROT_filtered,50-std_ACC_N_ROT_filtered,50-mean_Acc_x_Fil,50-std_Acc_x_Fil,50-mean_Acc_y_Fil,50-std_Acc_y_Fil,50-mean_Acc_z_Fil,50-std_Acc_z_Fil,50-mean_Gyro_x_Fil,50-std_Gyro_x_Fil,50-mean_Gyro_y_Fil,50-std_Gyro_y_Fil,50-mean_Gyro_z_Fil,50-std_Gyro_z_Fil,75-mean_ACC_N,75-std_ACC_N,75-mean_ACC_N_ROT_filtered,75-std_ACC_N_ROT_filtered,75-mean_Acc_x_Fil,75-std_Acc_x_Fil,75-mean_Acc_y_Fil,75-std_Acc_y_Fil,75-mean_Acc_z_Fil,75-std_Acc_z_Fil,75-mean_Gyro_x_Fil,75-std_Gyro_x_Fil,75-mean_Gyro_y_Fil,75-std_Gyro_y_Fil,75-mean_Gyro_z_Fil,75-std_Gyro_z_Fil
0827-BK1-01-4,Salto C,6.871,355.593,9.022,21.571,388.923,29.996,29.129,30.17,38.654,33.21,0.941,9.916,-0.325,0.988,14.707,36.028,2.187,15.098,94.869,177.644,9.559,15.649,15.437,13.652,16.244,9.164,-10.303,7.253,0.007,0.769,-7.004,8.621,6.13,10.74,374.813,175.147,1.782,10.754,3.55,0.419,3.096,0.239,-1.508,0.295,-0.164,0.359,-2.511,0.163,0.891,3.661,144.407,22.003,-2.504,4.512,20.264,31.601,9.913,14.237,5.668,13.135,-0.795,1.582,15.314,29.367,4.017,10.228,99.47,62.298,7.949,17.213
0827-BK1-01-7,Salto C,-4.717,358.254,7.186,20.537,384.911,27.238,30.158,31.016,39.473,34.102,2.446,12.089,-0.708,1.581,14.009,36.66,-2.741,16.348,115.985,193.213,5.535,14.768,15.347,14.542,16.425,10.082,-10.084,7.709,-0.3,1.35,-5.767,8.79,-3.861,9.956,328.865,160.887,8.658,7.102,3.459,0.622,3.142,0.249,-1.734,0.163,-0.098,0.299,-2.307,0.393,-0.089,2.844,152.555,10.495,1.58,1.197,20.497,32.668,9.83,14.595,5.505,13.344,-1.174,2.159,15.435,30.418,-3.249,9.956,104.565,84.858,-1.926,20.238
0827-BK1-01-10,Salto C,-5.825,358.946,3.876,22.168,373.566,32.467,29.185,32.525,38.708,35.502,5.344,16.351,-0.586,1.571,13.658,35.46,-3.995,17.193,128.159,169.674,5.098,17.064,13.583,12.705,14.534,8.801,-9.245,7.066,-0.522,1.272,-5.123,7.578,-0.874,9.781,309.031,131.979,-2.218,13.862,3.67,0.472,3.235,0.244,-1.927,0.144,-0.333,0.163,-2.399,0.342,-3.921,3.292,146.4,12.205,2.331,6.166,21.215,32.971,10.465,14.775,6.022,14.941,-0.696,2.035,15.213,30.398,-2.521,10.22,120.635,51.538,1.699,16.886
0827-BK1-01-13,Salto C,-3.394,350.198,0.891,22.504,377.941,32.648,30.501,31.543,39.721,34.202,2.923,12.376,-0.488,1.061,14.411,36.943,-1.276,17.672,119.559,186.977,6.402,20.984,13.467,12.402,14.619,8.742,-9.252,6.678,-0.237,0.782,-5.37,7.489,4.061,8.826,311.121,143.829,-2.13,12.651,3.748,0.435,3.266,0.167,-1.813,0.12,-0.226,0.143,-2.568,0.311,-4.189,4.71,154.415,5.938,-4.169,3.614,21.407,33.102,10.658,14.979,7.303,17.104,-1.347,2.473,14.842,29.334,-5.499,8.459,95.785,64.236,1.806,23.23
0827-BK1-01-16,Salto C,17.786,355.702,0.272,31.175,387.02,28.357,29.509,31.204,39.283,34.801,2.52,12.809,-0.992,2.025,13.698,35.947,5.126,16.863,111.831,188.083,0.259,16.323,14.19,12.257,15.336,8.569,-9.694,6.797,0.146,0.929,-5.949,7.931,14.765,11.43,335.364,164.921,8.526,7.142,3.474,0.453,3.079,0.192,-1.722,0.155,-0.055,0.196,-2.357,0.367,12.688,2.261,146.483,12.178,-2.352,4.003,21.061,33.044,10.252,14.9,6.53,14.901,-0.901,2.778,15.207,30.219,1.901,12.183,108.002,75.623,-5.57,18.073
0827-BK1-01-19,Salto C,16.107,358.032,15.567,39.039,381.975,38.091,29.288,32.225,38.98,35.288,4.142,14.725,-0.106,1.668,14.382,35.718,-0.442,30.879,106.619,168.662,8.645,17.766,15.353,13.151,16.296,9.068,-9.955,7.293,0.408,1.439,-5.82,8.767,8.723,14.362,338.143,155.88,23.334,15.715,3.207,0.478,2.805,0.284,-1.68,0.174,0.058,0.164,-2.05,0.322,17.892,3.389,131.742,20.511,5.382,6.078,21.493,33.208,10.589,14.944,5.914,13.977,-1.032,3.121,15.258,31.046,5.177,10.95,125.151,65.142,-7.236,21.866
0827-BK1-01-22,Salto C,4.67,350.898,16.556,21.94,360.096,27.885,28.996,32.517,38.967,35.705,4.616,16.607,-1.081,1.49,13.639,35.193,2.309,14.527,125.27,162.408,4.519,14.948,13.531,10.062,14.396,7.201,-9.576,6.16,0.08,1.029,-5.799,6.869,-4.11,9.907,336.588,152.669,13.574,7.33,3.866,0.49,3.337,0.173,-1.882,0.517,0.112,0.191,-2.664,0.462,6.266,6.24,147.392,26.834,5.956,6.322,19.636,33.657,8.989,14.254,6.756,15.089,-1.129,1.979,15.2,29.636,4.948,6.253,87.12,31.767,8.777,10.827
0827-BK1-01-24,Salto C,5.58,377.855,12.545,17.924,399.388,23.897,26.591,30.182,35.942,33.544,4.592,16.122,0.046,0.992,13.601,31.802,0.7,6.929,86.018,123.468,14.184,12.433,15.362,8.743,15.969,5.032,-12.331,5.171,-0.151,0.713,-5.246,6.482,-3.794,8.086,407.337,117.125,7.369,9.498,3.214,0.484,3.042,0.982,-1.854,0.382,-0.095,0.267,-1.781,0.602,8.432,4.371,107.632,18.053,5.669,2.82,20.488,31.859,9.911,13.565,4.71,13.073,-0.531,1.332,14.878,30.238,5.942,5.497,160.58,47.677,-1.84,6.461
0827-BK1-01-26,Salto C,13.474,357.474,13.335,24.029,366.326,27.304,28.817,31.342,38.294,34.22,4.198,15.012,-0.955,1.667,13.787,34.953,4.279,10.704,110.988,151.935,-0.356,9.544,15.311,11.592,16.253,8.039,-10.613,6.728,0.059,0.796,-6.503,7.903,-2.25,7.11,357.909,166.736,13.716,6.951,3.817,0.486,3.346,0.203,-1.777,0.161,0.157,0.188,-2.762,0.287,12.612,3.82,150.467,18.334,7.983,4.804,21.079,31.664,10.693,14.648,6.46,14.879,-0.425,1.091,15.517,29.035,12.529,7.179,98.875,51.276,5.235,10.212
0827-BK1-01-29,Salto C,6.038,359.124,4.331,28.377,379.299,26.691,28.176,31.73,38.157,34.338,3.6,13.236,-1.004,1.712,15.239,34.869,2.152,13.64,66.092,110.975,-2.863,9.298,17.673,12.208,18.299,7.974,-12.727,7.107,-0.176,1.088,-6.946,8.409,-8.213,16.99,414.182,151.571,13.126,12.921,3.246,0.414,2.903,0.308,-1.675,0.424,-0.022,0.284,-2.027,0.534,9.667,2.757,121.938,16.071,2.665,3.244,19.713,31.666,9.102,13.429,6.341,13.931,-0.998,1.715,14.084,29.154,8.194,10.343,130.022,81.155,-3.73,15.773
