Time,TimeInJump,ACC_N,ACC_N_ROT_filtered,Acc_x_Fil,Acc_y_Fil,Acc_z_Fil,Gyro_x_Fil,Gyro_y_Fil,Gyro_z_Fil,SprungID,Sprungtyp,DJump_SIG_I_x LapEnd,DJump_SIG_I_y LapEnd,DJump_SIG_I_z LapEnd,DJump_Abs_I_x LapEnd,DJump_Abs_I_y LapEnd,DJump_Abs_I_z LapEnd
4532.972,0.002,118.89,49.54,17.605,30.093,92.468,93.84,152.47,-122.65,20191008-1207-FRANKFURT_2-01-364,Salto A,48.935,342.174,-87.658,50.904,344.94,98.19
4533.052,0.082,52.34,87.5,6.753,21.302,48.115,26.52,295.77,-89.79,20191008-1207-FRANKFURT_2-01-364,Salto A,48.935,342.174,-87.658,50.904,344.94,98.19
4533.132,0.162,3.61,42.67,-2.377,1.209,3.414,6.41,269.82,51.41,20191008-1207-FRANKFURT_2-01-364,Salto A,48.935,342.174,-87.658,50.904,344.94,98.19
4533.214,0.244,2.95,13.23,-0.781,-1.479,-4.579,79.34,169.14,-89.09,20191008-1207-FRANKFURT_2-01-364,Salto A,48.935,342.174,-87.658,50.904,344.94,98.19
4533.294,0.324,6.84,10.69,3.536,-3.344,-4.416,-5.49,103.58,-70.65,20191008-1207-FRANKFURT_2-01-364,Salto A,48.935,342.174,-87.658,50.904,344.94,98.19
4533.374,0.404,8.73,8.88,-0.128,-2.212,-8.645,1.98,149.79,-46.18,20191008-1207-FRANKFURT_2-01-364,Salto A,48.935,342.174,-87.658,50.904,344.94,98.19
4533.454,0.484,9.63,9.73,-1.977,-1.456,-8.961,21.54,186.3,-45.25,20191008-1207-FRANKFURT_2-01-364,Salto A,48.935,342.174,-87.658,50.904,344.94,98.19
4533.534,0.564,8.23,9.13,-2.708,-1.63,-7.637,10.31,216.3,-62.56,20191008-1207-FRANKFURT_2-01-364,Salto A,48.935,342.174,-87.658,50.904,344.94,98.19
4533.616,0.646,7.38,8.35,-3.254,-0.969,-6.758,24.63,218.58,-63.12,20191008-1207-FRANKFURT_2-01-364,Salto A,48.935,342.174,-87.658,50.904,344.94,98.19
4533.696,0.726,7.51,7.66,-2.837,-1.587,-6.714,41.84,215.31,-53.37,20191008-1207-FRANKFURT_2-01-364,Salto A,48.935,342.174,-87.658,50.904,344.94,98.19
4533.776,0.806,8.26,8.02,-3.856,-1.028,-6.859,23.64,213.96,-60.23,20191008-1207-FRANKFURT_2-01-364,Salto A,48.935,342.174,-87.658,50.904,344.94,98.19
4533.856,0.886,7.48,7.72,-3.22,-1.742,-5.916,18.71,195.74,-43.9,20191008-1207-FRANKFURT_2-01-364,Salto A,48.935,342.174,-87.658,50.904,344.94,98.19
4533.936,0.966,7.16,6.94,-3.264,-1.976,-6.24,19.53,176.14,-20.73,20191008-1207-FRANKFURT_2-01-364,Salto A,48.935,342.174,-87.658,50.904,344.94,98.19
4534.018,1.048,8.69,7.74,-4.474,-1.639,-6.931,21.46,171.98,-32.96,20191008-1207-FRANKFURT_2-01-364,Salto A,48.935,342.174,-87.658,50.904,344.94,98.19
4534.098,1.128,9.3,8.38,-5.385,-1.152,-6.751,15.29,170.48,-21.44,20191008-1207-FRANKFURT_2-01-364,Salto A,48.935,342.174,-87.658,50.904,344.94,98.19
4534.178,1.208,9.06,8.45,-6.035,-1.538,-6.522,11.81,168.05,-21.43,20191008-1207-FRANKFURT_2-01-364,Salto A,48.935,342.174,-87.658,50.904,344.94,98.19
4534.258,1.288,9.91,9.24,-7.703,-1.859,-6.627,18.18,172.99,-48.18,20191008-1207-FRANKFURT_2-01-364,Salto A,48.935,342.174,-87.658,50.904,344.94,98.19
4534.338,1.368,11.11,11.1,-8.582,-0.691,-4.821,31.18,259.84,-49.86,20191008-1207-FRANKFURT_2-01-364,Salto A,48.935,342.174,-87.658,50.904,344.94,98.19
4534.42,1.45,2.73,7.86,-3.174,0.89,1.668,51.4,385.66,-35.34,20191008-1207-FRANKFURT_2-01-364,Salto A,48.935,342.174,-87.658,50.904,344.94,98.19
4534.5,1.53,31.82,7.76,5.827,5.811,32.776,110.36,387.64,-174.13,20191008-1207-FRANKFURT_2-01-364,Salto A,48.935,342.174,-87.658,50.904,344.94,98.19
2191.988,0.002,99.1,51.27,19.434,7.377,83.679,-31.63,158.71,-4.18,20191003-1152-FRANKFURT_1-01-104,Schraubensalto A,-44.108,202.311,-356.89,162.433,281.927,368.086
2192.072,0.086,55.67,80.07,4.047,-1.886,52.747,-34.36,244.98,-50.0,20191003-1152-FRANKFURT_1-01-104,Schraubensalto A,-44.108,202.311,-356.89,162.433,281.927,368.086
2192.156,0.17,9.34,41.17,-1.151,-4.246,7.937,-75.85,261.56,-112.52,20191003-1152-FRANKFURT_1-01-104,Schraubensalto A,-44.108,202.311,-356.89,162.433,281.927,368.086
2192.238,0.252,7.21,13.69,-3.731,-4.89,-2.653,-147.69,225.0,-164.6,20191003-1152-FRANKFURT_1-01-104,Schraubensalto A,-44.108,202.311,-356.89,162.433,281.927,368.086
2192.322,0.336,5.47,8.4,-3.141,-2.999,-0.735,-153.01,145.86,-261.44,20191003-1152-FRANKFURT_1-01-104,Schraubensalto A,-44.108,202.311,-356.89,162.433,281.927,368.086
2192.406,0.42,5.97,4.55,-5.419,-0.285,-1.231,-169.81,54.74,-328.0,20191003-1152-FRANKFURT_1-01-104,Schraubensalto A,-44.108,202.311,-356.89,162.433,281.927,368.086
2192.49,0.504,9.8,6.7,-10.105,-1.301,1.768,-226.65,-27.18,-388.1,20191003-1152-FRANKFURT_1-01-104,Schraubensalto A,-44.108,202.311,-356.89,162.433,281.927,368.086
2192.574,0.588,14.24,11.69,-13.875,2.11,-0.753,-200.31,-134.53,-429.2,20191003-1152-FRANKFURT_1-01-104,Schraubensalto A,-44.108,202.311,-356.89,162.433,281.927,368.086
2192.656,0.67,16.21,14.77,-11.976,4.843,-7.871,-84.85,-137.3,-449.08,20191003-1152-FRANKFURT_1-01-104,Schraubensalto A,-44.108,202.311,-356.89,162.433,281.927,368.086
2192.74,0.754,14.55,14.9,-7.285,2.269,-11.559,97.19,-119.0,-486.29,20191003-1152-FRANKFURT_1-01-104,Schraubensalto A,-44.108,202.311,-356.89,162.433,281.927,368.086
2192.824,0.838,14.11,13.55,-6.722,1.372,-12.138,163.64,-49.0,-464.22,20191003-1152-FRANKFURT_1-01-104,Schraubensalto A,-44.108,202.311,-356.89,162.433,281.927,368.086
2192.908,0.922,12.85,14.08,-5.439,4.669,-10.844,148.05,110.26,-405.7,20191003-1152-FRANKFURT_1-01-104,Schraubensalto A,-44.108,202.311,-356.89,162.433,281.927,368.086
2192.992,1.006,9.61,12.14,-3.031,4.454,-8.214,110.34,183.03,-286.12,20191003-1152-FRANKFURT_1-01-104,Schraubensalto A,-44.108,202.311,-356.89,162.433,281.927,368.086
2193.074,1.088,8.82,9.65,-2.698,2.211,-8.155,77.4,163.38,-202.94,20191003-1152-FRANKFURT_1-01-104,Schraubensalto A,-44.108,202.311,-356.89,162.433,281.927,368.086
2193.158,1.172,6.56,8.72,-3.041,-0.518,-7.047,33.41,163.72,-142.13,20191003-1152-FRANKFURT_1-01-104,Schraubensalto A,-44.108,202.311,-356.89,162.433,281.927,368.086
2193.242,1.256,11.41,9.56,-6.637,0.47,-8.678,29.31,231.55,-15.96,20191003-1152-FRANKFURT_1-01-104,Schraubensalto A,-44.108,202.311,-356.89,162.433,281.927,368.086
2193.326,1.34,11.95,11.48,-7.951,-1.312,-7.019,22.6,257.09,-7.84,20191003-1152-FRANKFURT_1-01-104,Schraubensalto A,-44.108,202.311,-356.89,162.433,281.927,368.086
2193.41,1.424,10.06,10.44,-8.748,-0.406,-3.925,-5.36,254.15,-71.22,20191003-1152-FRANKFURT_1-01-104,Schraubensalto A,-44.108,202.311,-356.89,162.433,281.927,368.086
2193.492,1.506,5.86,9.3,-3.717,1.149,0.031,-73.18,266.31,-27.95,20191003-1152-FRANKFURT_1-01-104,Schraubensalto A,-44.108,202.311,-356.89,162.433,281.927,368.086
2193.576,1.59,45.96,13.48,6.106,2.459,41.069,-23.76,195.87,23.26,20191003-1152-FRANKFURT_1-01-104,Schraubensalto A,-44.108,202.311,-356.89,162.433,281.927,368.086
1999.774,0.002,93.97,50.02,17.676,15.523,83.787,13.73,203.08,-12.2,20191007-1534-FRANKFURT_2-01-104,Schraubensalto A,89.035,190.669,335.873,171.395,266.508,355.733
1999.856,0.084,56.51,82.09,3.088,11.208,52.818,-3.48,286.64,4.29,20191007-1534-FRANKFURT_2-01-104,Schraubensalto A,89.035,190.669,335.873,171.395,266.508,355.733
1999.938,0.166,3.49,41.9,-2.03,1.228,3.704,39.89,260.4,-14.59,20191007-1534-FRANKFURT_2-01-104,Schraubensalto A,89.035,190.669,335.873,171.395,266.508,355.733
2000.02,0.248,5.24,10.36,-2.488,2.844,-1.638,109.22,237.71,108.93,20191007-1534-FRANKFURT_2-01-104,Schraubensalto A,89.035,190.669,335.873,171.395,266.508,355.733
2000.104,0.332,6.75,6.49,-4.152,2.127,-2.872,189.85,150.97,248.96,20191007-1534-FRANKFURT_2-01-104,Schraubensalto A,89.035,190.669,335.873,171.395,266.508,355.733
2000.186,0.414,7.34,6.09,-5.141,-2.841,-3.386,202.02,57.75,326.72,20191007-1534-FRANKFURT_2-01-104,Schraubensalto A,89.035,190.669,335.873,171.395,266.508,355.733
2000.268,0.496,7.74,7.4,-7.068,-3.073,-0.025,257.64,-7.06,333.72,20191007-1534-FRANKFURT_2-01-104,Schraubensalto A,89.035,190.669,335.873,171.395,266.508,355.733
2000.35,0.578,8.48,8.02,-7.892,-2.544,-1.055,279.07,-97.11,363.91,20191007-1534-FRANKFURT_2-01-104,Schraubensalto A,89.035,190.669,335.873,171.395,266.508,355.733
2000.432,0.66,9.99,9.02,-10.378,-1.675,-2.699,184.6,-157.75,433.26,20191007-1534-FRANKFURT_2-01-104,Schraubensalto A,89.035,190.669,335.873,171.395,266.508,355.733
2000.514,0.742,13.57,11.98,-10.099,-2.052,-9.291,26.57,-147.55,466.17,20191007-1534-FRANKFURT_2-01-104,Schraubensalto A,89.035,190.669,335.873,171.395,266.508,355.733
2000.598,0.826,13.68,14.44,-7.36,-3.078,-11.486,-105.87,-36.67,454.87,20191007-1534-FRANKFURT_2-01-104,Schraubensalto A,89.035,190.669,335.873,171.395,266.508,355.733
2000.68,0.908,13.52,14.06,-6.161,-3.527,-11.046,-154.38,48.54,406.34,20191007-1534-FRANKFURT_2-01-104,Schraubensalto A,89.035,190.669,335.873,171.395,266.508,355.733
2000.762,0.99,12.9,12.82,-5.967,-4.161,-10.028,-130.32,111.02,339.64,20191007-1534-FRANKFURT_2-01-104,Schraubensalto A,89.035,190.669,335.873,171.395,266.508,355.733
2000.844,1.072,10.32,11.73,-5.232,-3.802,-8.194,-75.56,146.11,255.7,20191007-1534-FRANKFURT_2-01-104,Schraubensalto A,89.035,190.669,335.873,171.395,266.508,355.733
2000.926,1.154,7.74,10.1,-5.346,-2.964,-6.167,-13.78,156.66,189.21,20191007-1534-FRANKFURT_2-01-104,Schraubensalto A,89.035,190.669,335.873,171.395,266.508,355.733
2001.008,1.236,6.63,8.81,-5.637,-2.628,-4.351,31.33,158.61,128.99,20191007-1534-FRANKFURT_2-01-104,Schraubensalto A,89.035,190.669,335.873,171.395,266.508,355.733
2001.09,1.318,7.99,8.19,-3.992,-2.007,-6.86,26.63,189.95,43.97,20191007-1534-FRANKFURT_2-01-104,Schraubensalto A,89.035,190.669,335.873,171.395,266.508,355.733
2001.174,1.402,9.02,8.89,-8.38,-0.236,-2.752,35.08,243.89,32.69,20191007-1534-FRANKFURT_2-01-104,Schraubensalto A,89.035,190.669,335.873,171.395,266.508,355.733
2001.256,1.484,8.73,9.68,-4.648,-4.274,6.112,57.58,282.95,-19.79,20191007-1534-FRANKFURT_2-01-104,Schraubensalto A,89.035,190.669,335.873,171.395,266.508,355.733
2001.338,1.566,34.05,14.45,11.301,5.721,39.92,76.98,286.42,-60.37,20191007-1534-FRANKFURT_2-01-104,Schraubensalto A,89.035,190.669,335.873,171.395,266.508,355.733
6241.24,0.002,103.41,68.48,34.349,6.163,90.414,24.73,65.32,56.34,0609-4-01-600,Barani C,-13.808,-71.418,229.805,49.434,315.849,242.231
6241.33,0.092,50.27,88.31,9.651,0.675,48.94,6.2,-165.87,73.18,0609-4-01-600,Barani C,-13.808,-71.418,229.805,49.434,315.849,242.231
6241.42,0.182,10.63,34.33,-4.858,-4.779,-2.557,-29.04,-296.52,15.12,0609-4-01-600,Barani C,-13.808,-71.418,229.805,49.434,315.849,242.231
6241.51,0.272,14.0,12.96,-11.823,1.997,1.731,-27.51,-362.49,32.25,0609-4-01-600,Barani C,-13.808,-71.418,229.805,49.434,315.849,242.231
6241.6,0.362,18.02,15.3,-17.14,3.171,-0.758,-27.19,-425.24,61.08,0609-4-01-600,Barani C,-13.808,-71.418,229.805,49.434,315.849,242.231
6241.692,0.454,14.42,16.83,-12.341,0.34,-6.679,-28.86,-379.23,104.59,0609-4-01-600,Barani C,-13.808,-71.418,229.805,49.434,315.849,242.231
6241.782,0.544,12.28,13.18,-8.524,-0.529,-8.604,-29.75,-233.65,139.22,0609-4-01-600,Barani C,-13.808,-71.418,229.805,49.434,315.849,242.231
6241.872,0.634,12.8,12.38,-7.942,4.126,-8.968,26.3,-89.58,169.36,0609-4-01-600,Barani C,-13.808,-71.418,229.805,49.434,315.849,242.231
6241.962,0.724,14.26,13.38,-9.047,2.778,-8.528,11.31,-44.78,255.87,0609-4-01-600,Barani C,-13.808,-71.418,229.805,49.434,315.849,242.231
6242.052,0.814,5.66,10.2,-4.432,-1.289,-4.126,-28.74,-99.43,316.36,0609-4-01-600,Barani C,-13.808,-71.418,229.805,49.434,315.849,242.231
6242.142,0.904,9.93,8.43,-5.331,-0.297,-8.299,-29.33,10.64,316.3,0609-4-01-600,Barani C,-13.808,-71.418,229.805,49.434,315.849,242.231
6242.232,0.994,7.34,9.35,-5.041,-0.844,-5.631,-51.7,77.22,278.37,0609-4-01-600,Barani C,-13.808,-71.418,229.805,49.434,315.849,242.231
6242.322,1.084,7.24,7.44,-4.376,-1.046,-5.778,-42.85,112.43,233.29,0609-4-01-600,Barani C,-13.808,-71.418,229.805,49.434,315.849,242.231
6242.412,1.174,7.41,7.32,-4.334,-1.293,-5.838,-16.81,140.95,192.45,0609-4-01-600,Barani C,-13.808,-71.418,229.805,49.434,315.849,242.231
6242.502,1.264,6.84,7.22,-4.504,-1.744,-4.895,6.78,155.96,142.35,0609-4-01-600,Barani C,-13.808,-71.418,229.805,49.434,315.849,242.231
6242.592,1.354,6.33,6.76,-4.928,-1.735,-3.754,10.26,144.15,85.99,0609-4-01-600,Barani C,-13.808,-71.418,229.805,49.434,315.849,242.231
6242.684,1.446,6.22,6.43,-5.669,-0.653,-2.345,14.08,147.3,71.7,0609-4-01-600,Barani C,-13.808,-71.418,229.805,49.434,315.849,242.231
6242.774,1.536,6.03,6.15,-5.777,-0.772,-0.956,26.62,164.99,62.89,0609-4-01-600,Barani C,-13.808,-71.418,229.805,49.434,315.849,242.231
6242.864,1.626,3.28,5.45,-0.864,-2.03,2.496,44.32,184.9,46.78,0609-4-01-600,Barani C,-13.808,-71.418,229.805,49.434,315.849,242.231
6242.954,1.716,29.8,9.42,14.932,-3.758,35.43,27.12,204.8,-36.25,0609-4-01-600,Barani C,-13.808,-71.418,229.805,49.434,315.849,242.231
154.656,0.002,116.06,75.79,36.535,-7.206,103.914,-6.57,54.59,10.09,0827-BK2-01-10,Salto C,0.292,331.756,-1.512,39.136,349.877,38.545
154.758,0.104,44.59,93.51,15.997,-4.47,43.801,-34.48,123.58,31.04,0827-BK2-01-10,Salto C,0.292,331.756,-1.512,39.136,349.877,38.545
154.86,0.206,11.47,25.1,-0.981,0.04,-5.661,30.09,-2.87,39.88,0827-BK2-01-10,Salto C,0.292,331.756,-1.512,39.136,349.877,38.545
154.96,0.306,12.53,8.74,-9.241,2.556,-6.667,0.58,-66.37,-31.59,0827-BK2-01-10,Salto C,0.292,331.756,-1.512,39.136,349.877,38.545
155.062,0.408,7.63,11.93,-2.461,1.798,-7.57,26.78,59.98,-9.02,0827-BK2-01-10,Salto C,0.292,331.756,-1.512,39.136,349.877,38.545
155.164,0.51,14.91,10.44,-6.225,1.246,-10.817,38.61,530.9,-13.62,0827-BK2-01-10,Salto C,0.292,331.756,-1.512,39.136,349.877,38.545
155.264,0.61,17.82,15.1,-15.928,1.538,-6.979,31.48,489.92,-28.22,0827-BK2-01-10,Salto C,0.292,331.756,-1.512,39.136,349.877,38.545
155.366,0.712,22.28,18.36,-16.769,1.654,-13.411,-23.26,487.44,17.85,0827-BK2-01-10,Salto C,0.292,331.756,-1.512,39.136,349.877,38.545
155.468,0.814,14.27,26.64,-2.085,1.226,9.146,-10.35,188.1,-8.03,0827-BK2-01-10,Salto C,0.292,331.756,-1.512,39.136,349.877,38.545
155.57,0.916,0.99,11.89,-0.02,1.121,-0.639,-29.03,138.1,2.25,0827-BK2-01-10,Salto C,0.292,331.756,-1.512,39.136,349.877,38.545
155.672,1.018,3.66,3.21,-0.331,0.553,-3.097,-18.77,123.92,3.75,0827-BK2-01-10,Salto C,0.292,331.756,-1.512,39.136,349.877,38.545
155.772,1.118,2.76,3.22,-1.748,0.896,-1.773,-10.19,120.36,-20.04,0827-BK2-01-10,Salto C,0.292,331.756,-1.512,39.136,349.877,38.545
155.874,1.22,2.45,2.88,-1.296,0.79,-1.538,1.13,85.08,-3.32,0827-BK2-01-10,Salto C,0.292,331.756,-1.512,39.136,349.877,38.545
155.976,1.322,3.3,2.61,-2.27,0.563,-1.471,0.93,64.35,-10.12,0827-BK2-01-10,Salto C,0.292,331.756,-1.512,39.136,349.877,38.545
156.076,1.422,4.51,3.02,-1.485,1.298,-2.596,14.24,43.46,3.67,0827-BK2-01-10,Salto C,0.292,331.756,-1.512,39.136,349.877,38.545
156.178,1.524,4.59,3.18,-1.035,0.521,-2.935,11.76,57.82,13.83,0827-BK2-01-10,Salto C,0.292,331.756,-1.512,39.136,349.877,38.545
156.28,1.626,4.53,3.05,-1.581,1.115,-3.098,-4.47,99.01,3.64,0827-BK2-01-10,Salto C,0.292,331.756,-1.512,39.136,349.877,38.545
156.382,1.728,5.76,4.23,-3.597,1.002,-3.486,-20.14,156.24,2.88,0827-BK2-01-10,Salto C,0.292,331.756,-1.512,39.136,349.877,38.545
156.484,1.83,5.39,5.82,-5.08,-0.21,0.138,3.52,194.11,-0.96,0827-BK2-01-10,Salto C,0.292,331.756,-1.512,39.136,349.877,38.545
156.584,1.93,29.14,7.89,10.339,-1.169,36.499,-0.66,237.36,-4.96,0827-BK2-01-10,Salto C,0.292,331.756,-1.512,39.136,349.877,38.545
1726.186,0.002,113.06,56.91,28.643,-2.292,92.177,-18.53,8.79,0.71,20191007-1159-FRANKFURT_1-01-229,Barani A,-50.402,73.044,171.403,73.54,291.198,202.85
1726.264,0.08,60.9,90.74,11.864,-4.937,56.477,28.47,-165.58,-56.36,20191007-1159-FRANKFURT_1-01-229,Barani A,-50.402,73.044,171.403,73.54,291.198,202.85
1726.344,0.16,16.53,48.9,-9.142,2.861,0.056,45.04,-335.07,41.65,20191007-1159-FRANKFURT_1-01-229,Barani A,-50.402,73.044,171.403,73.54,291.198,202.85
1726.422,0.238,8.78,13.51,-6.891,1.179,-4.356,7.63,-237.15,111.46,20191007-1159-FRANKFURT_1-01-229,Barani A,-50.402,73.044,171.403,73.54,291.198,202.85
1726.5,0.316,9.49,8.24,-8.028,1.19,-5.473,-16.16,-131.42,115.22,20191007-1159-FRANKFURT_1-01-229,Barani A,-50.402,73.044,171.403,73.54,291.198,202.85
1726.58,0.396,7.43,9.86,-5.144,2.009,-6.588,-69.74,-132.23,153.55,20191007-1159-FRANKFURT_1-01-229,Barani A,-50.402,73.044,171.403,73.54,291.198,202.85
1726.658,0.474,6.82,8.92,-4.339,1.512,-7.044,-112.97,-166.59,217.41,20191007-1159-FRANKFURT_1-01-229,Barani A,-50.402,73.044,171.403,73.54,291.198,202.85
1726.736,0.552,10.63,9.63,-4.251,0.356,-10.243,-149.74,-152.16,248.93,20191007-1159-FRANKFURT_1-01-229,Barani A,-50.402,73.044,171.403,73.54,291.198,202.85
1726.816,0.632,11.91,12.13,-2.751,0.461,-11.285,-121.5,-51.39,322.49,20191007-1159-FRANKFURT_1-01-229,Barani A,-50.402,73.044,171.403,73.54,291.198,202.85
1726.894,0.71,11.57,11.57,-4.699,-2.701,-9.077,-72.94,48.09,384.21,20191007-1159-FRANKFURT_1-01-229,Barani A,-50.402,73.044,171.403,73.54,291.198,202.85
1726.974,0.79,11.44,10.51,-4.16,-5.643,-8.285,-55.61,130.34,337.21,20191007-1159-FRANKFURT_1-01-229,Barani A,-50.402,73.044,171.403,73.54,291.198,202.85
1727.052,0.868,8.5,10.21,-2.814,-4.726,-6.889,-39.7,177.75,219.1,20191007-1159-FRANKFURT_1-01-229,Barani A,-50.402,73.044,171.403,73.54,291.198,202.85
1727.13,0.946,7.03,8.73,-3.441,-2.829,-6.448,-19.29,183.07,123.39,20191007-1159-FRANKFURT_1-01-229,Barani A,-50.402,73.044,171.403,73.54,291.198,202.85
1727.21,1.026,9.09,8.4,-5.503,-1.948,-6.732,0.54,177.26,49.9,20191007-1159-FRANKFURT_1-01-229,Barani A,-50.402,73.044,171.403,73.54,291.198,202.85
1727.288,1.104,10.1,9.23,-7.405,-1.346,-6.434,5.73,209.69,8.18,20191007-1159-FRANKFURT_1-01-229,Barani A,-50.402,73.044,171.403,73.54,291.198,202.85
1727.366,1.182,10.15,9.76,-8.878,-0.574,-4.873,11.44,235.88,-5.74,20191007-1159-FRANKFURT_1-01-229,Barani A,-50.402,73.044,171.403,73.54,291.198,202.85
