SprungID,Sprungtyp,DJump_SIG_I_x LapEnd,DJump_SIG_I_y LapEnd,DJump_SIG_I_z LapEnd,DJump_Abs_I_x LapEnd,DJump_Abs_I_y LapEnd,DJump_Abs_I_z LapEnd,0-ACC_N,0-ACC_N_ROT_filtered,0-Acc_x_Fil,0-Acc_y_Fil,0-Acc_z_Fil,0-Gyro_x_Fil,0-Gyro_y_Fil,0-Gyro_z_Fil,5-ACC_N,5-ACC_N_ROT_filtered,5-Acc_x_Fil,5-Acc_y_Fil,5-Acc_z_Fil,5-Gyro_x_Fil,5-Gyro_y_Fil,5-Gyro_z_Fil,10-ACC_N,10-ACC_N_ROT_filtered,10-Acc_x_Fil,10-Acc_y_Fil,10-Acc_z_Fil,10-Gyro_x_Fil,10-Gyro_y_Fil,10-Gyro_z_Fil,15-ACC_N,15-ACC_N_ROT_filtered,15-Acc_x_Fil,15-Acc_y_Fil,15-Acc_z_Fil,15-Gyro_x_Fil,15-Gyro_y_Fil,15-Gyro_z_Fil,20-ACC_N,20-ACC_N_ROT_filtered,20-Acc_x_Fil,20-Acc_y_Fil,20-Acc_z_Fil,20-Gyro_x_Fil,20-Gyro_y_Fil,20-Gyro_z_Fil,25-ACC_N,25-ACC_N_ROT_filtered,25-Acc_x_Fil,25-Acc_y_Fil,25-Acc_z_Fil,25-Gyro_x_Fil,25-Gyro_y_Fil,25-Gyro_z_Fil,30-ACC_N,30-ACC_N_ROT_filtered,30-Acc_x_Fil,30-Acc_y_Fil,30-Acc_z_Fil,30-Gyro_x_Fil,30-Gyro_y_Fil,30-Gyro_z_Fil,35-ACC_N,35-ACC_N_ROT_filtered,35-Acc_x_Fil,35-Acc_y_Fil,35-Acc_z_Fil,35-Gyro_x_Fil,35-Gyro_y_Fil,35-Gyro_z_Fil,40-ACC_N,40-ACC_N_ROT_filtered,40-Acc_x_Fil,40-Acc_y_Fil,40-Acc_z_Fil,40-Gyro_x_Fil,40-Gyro_y_Fil,40-Gyro_z_Fil,45-ACC_N,45-ACC_N_ROT_filtered,45-Acc_x_Fil,45-Acc_y_Fil,45-Acc_z_Fil,45-Gyro_x_Fil,45-Gyro_y_Fil,45-Gyro_z_Fil,50-ACC_N,50-ACC_N_ROT_filtered,50-Acc_x_Fil,50-Acc_y_Fil,50-Acc_z_Fil,50-Gyro_x_Fil,50-Gyro_y_Fil,50-Gyro_z_Fil,55-ACC_N,55-ACC_N_ROT_filtered,55-Acc_x_Fil,55-Acc_y_Fil,55-Acc_z_Fil,55-Gyro_x_Fil,55-Gyro_y_Fil,55-Gyro_z_Fil,60-ACC_N,60-ACC_N_ROT_filtered,60-Acc_x_Fil,60-Acc_y_Fil,60-Acc_z_Fil,60-Gyro_x_Fil,60-Gyro_y_Fil,60-Gyro_z_Fil,65-ACC_N,65-ACC_N_ROT_filtered,65-Acc_x_Fil,65-Acc_y_Fil,65-Acc_z_Fil,65-Gyro_x_Fil,65-Gyro_y_Fil,65-Gyro_z_Fil,70-ACC_N,70-ACC_N_ROT_filtered,70-Acc_x_Fil,70-Acc_y_Fil,70-Acc_z_Fil,70-Gyro_x_Fil,70-Gyro_y_Fil,70-Gyro_z_Fil,75-ACC_N,75-ACC_N_ROT_filtered,75-Acc_x_Fil,75-Acc_y_Fil,75-Acc_z_Fil,75-Gyro_x_Fil,75-Gyro_y_Fil,75-Gyro_z_Fil,80-ACC_N,80-ACC_N_ROT_filtered,80-Acc_x_Fil,80-Acc_y_Fil,80-Acc_z_Fil,80-Gyro_x_Fil,80-Gyro_y_Fil,80-Gyro_z_Fil,85-ACC_N,85-ACC_N_ROT_filtered,85-Acc_x_Fil,85-Acc_y_Fil,85-Acc_z_Fil,85-Gyro_x_Fil,85-Gyro_y_Fil,85-Gyro_z_Fil,90-ACC_N,90-ACC_N_ROT_filtered,90-Acc_x_Fil,90-Acc_y_Fil,90-Acc_z_Fil,90-Gyro_x_Fil,90-Gyro_y_Fil,90-Gyro_z_Fil,95-ACC_N,95-ACC_N_ROT_filtered,95-Acc_x_Fil,95-Acc_y_Fil,95-Acc_z_Fil,95-Gyro_x_Fil,95-Gyro_y_Fil,95-Gyro_z_Fil
20191008-1207-FRANKFURT_2-01-364,Salto A,48.935,342.174,-87.658,50.904,344.94,98.19,86.528,73.162,14.997,28.436,74.645,54.451,215.046,-102.58,86.528,73.162,14.997,28.436,74.645,54.451,215.046,-102.58,86.528,73.162,14.997,28.436,74.645,54.451,215.046,-102.58,86.528,73.162,14.997,28.436,74.645,54.451,215.046,-102.58,86.528,73.162,14.997,28.436,74.645,54.451,215.046,-102.58,86.528,73.162,14.997,28.436,74.645,54.451,215.046,-102.58,86.528,73.162,14.997,28.436,74.645,54.451,215.046,-102.58,86.528,73.162,14.997,28.436,74.645,54.451,215.046,-102.58,86.528,73.162,14.997,28.436,74.645,54.451,215.046,-102.58,86.528,73.162,14.997,28.436,74.645,54.451,215.046,-102.58,86.528,73.162,14.997,28.436,74.645,54.451,215.046,-102.58,86.528,73.162,14.997,28.436,74.645,54.451,215.046,-102.58,86.528,73.162,14.997,28.436,74.645,54.451,215.046,-102.58,86.528,73.162,14.997,28.436,74.645,54.451,215.046,-102.58,86.528,73.162,14.997,28.436,74.645,54.451,215.046,-102.58,86.528,73.162,14.997,28.436,74.645,54.451,215.046,-102.58,86.528,73.162,14.997,28.436,74.645,54.451,215.046,-102.58,86.528,73.162,14.997,28.436,74.645,54.451,215.046,-102.58,86.528,73.162,14.997,28.436,74.645,54.451,215.046,-102.58,86.528,73.162,14.997,28.436,74.645,54.451,215.046,-102.58
20191003-1152-FRANKFURT_1-01-104,Schraubensalto A,-44.108,202.311,-356.89,162.433,281.927,368.086,77.905,70.945,12.432,3.744,72.826,-25.397,198.038,-23.05,77.905,70.945,12.432,3.744,72.826,-25.397,198.038,-23.05,77.905,70.945,12.432,3.744,72.826,-25.397,198.038,-23.05,77.905,70.945,12.432,3.744,72.826,-25.397,198.038,-23.05,77.905,70.945,12.432,3.744,72.826,-25.397,198.038,-23.05,77.905,70.945,12.432,3.744,72.826,-25.397,198.038,-23.05,77.905,70.945,12.432,3.744,72.826,-25.397,198.038,-23.05,77.905,70.945,12.432,3.744,72.826,-25.397,198.038,-23.05,77.905,70.945,12.432,3.744,72.826,-25.397,198.038,-23.05,77.905,70.945,12.432,3.744,72.826,-25.397,198.038,-23.05,77.905,70.945,12.432,3.744,72.826,-25.397,198.038,-23.05,77.905,70.945,12.432,3.744,72.826,-25.397,198.038,-23.05,77.905,70.945,12.432,3.744,72.826,-25.397,198.038,-23.05,77.905,70.945,12.432,3.744,72.826,-25.397,198.038,-23.05,77.905,70.945,12.432,3.744,72.826,-25.397,198.038,-23.05,77.905,70.945,12.432,3.744,72.826,-25.397,198.038,-23.05,77.905,70.945,12.432,3.744,72.826,-25.397,198.038,-23.05,77.905,70.945,12.432,3.744,72.826,-25.397,198.038,-23.05,77.905,70.945,12.432,3.744,72.826,-25.397,198.038,-23.05,77.905,70.945,12.432,3.744,72.826,-25.397,198.038,-23.05
20191007-1534-FRANKFURT_2-01-104,Schraubensalto A,89.035,190.669,335.873,171.395,266.508,355.733,80.316,70.03,10.041,14.339,73.94,1.468,233.879,-3.035,80.316,70.03,10.041,14.339,73.94,1.468,233.879,-3.035,80.316,70.03,10.041,14.339,73.94,1.468,233.879,-3.035,80.316,70.03,10.041,14.339,73.94,1.468,233.879,-3.035,80.316,70.03,10.041,14.339,73.94,1.468,233.879,-3.035,80.316,70.03,10.041,14.339,73.94,1.468,233.879,-3.035,80.316,70.03,10.041,14.339,73.94,1.468,233.879,-3.035,80.316,70.03,10.041,14.339,73.94,1.468,233.879,-3.035,80.316,70.03,10.041,14.339,73.94,1.468,233.879,-3.035,80.316,70.03,10.041,14.339,73.94,1.468,233.879,-3.035,80.316,70.03,10.041,14.339,73.94,1.468,233.879,-3.035,80.316,70.03,10.041,14.339,73.94,1.468,233.879,-3.035,80.316,70.03,10.041,14.339,73.94,1.468,233.879,-3.035,80.316,70.03,10.041,14.339,73.94,1.468,233.879,-3.035,80.316,70.03,10.041,14.339,73.94,1.468,233.879,-3.035,80.316,70.03,10.041,14.339,73.94,1.468,233.879,-3.035,80.316,70.03,10.041,14.339,73.94,1.468,233.879,-3.035,80.316,70.03,10.041,14.339,73.94,1.468,233.879,-3.035,80.316,70.03,10.041,14.339,73.94,1.468,233.879,-3.035,80.316,70.03,10.041,14.339,73.94,1.468,233.879,-3.035
0609-4-01-600,Barani C,-13.808,-71.418,229.805,49.434,315.849,242.231,83.804,86.152,21.845,4.053,76.401,26.12,-38.196,71.694,83.804,86.152,21.845,4.053,76.401,26.12,-38.196,71.694,83.804,86.152,21.845,4.053,76.401,26.12,-38.196,71.694,83.804,86.152,21.845,4.053,76.401,26.12,-38.196,71.694,83.804,86.152,21.845,4.053,76.401,26.12,-38.196,71.694,83.804,86.152,21.845,4.053,76.401,26.12,-38.196,71.694,83.804,86.152,21.845,4.053,76.401,26.12,-38.196,71.694,83.804,86.152,21.845,4.053,76.401,26.12,-38.196,71.694,83.804,86.152,21.845,4.053,76.401,26.12,-38.196,71.694,83.804,86.152,21.845,4.053,76.401,26.12,-38.196,71.694,83.804,86.152,21.845,4.053,76.401,26.12,-38.196,71.694,83.804,86.152,21.845,4.053,76.401,26.12,-38.196,71.694,83.804,86.152,21.845,4.053,76.401,26.12,-38.196,71.694,83.804,86.152,21.845,4.053,76.401,26.12,-38.196,71.694,83.804,86.152,21.845,4.053,76.401,26.12,-38.196,71.694,83.804,86.152,21.845,4.053,76.401,26.12,-38.196,71.694,83.804,86.152,21.845,4.053,76.401,26.12,-38.196,71.694,83.804,86.152,21.845,4.053,76.401,26.12,-38.196,71.694,83.804,86.152,21.845,4.053,76.401,26.12,-38.196,71.694,83.804,86.152,21.845,4.053,76.401,26.12,-38.196,71.694
0827-BK2-01-10,Salto C,0.292,331.756,-1.512,39.136,349.877,38.545,88.469,96.898,27.432,-7.53,80.344,-31.464,96.507,12.839,88.469,96.898,27.432,-7.53,80.344,-31.464,96.507,12.839,88.469,96.898,27.432,-7.53,80.344,-31.464,96.507,12.839,88.469,96.898,27.432,-7.53,80.344,-31.464,96.507,12.839,88.469,96.898,27.432,-7.53,80.344,-31.464,96.507,12.839,88.469,96.898,27.432,-7.53,80.344,-31.464,96.507,12.839,88.469,96.898,27.432,-7.53,80.344,-31.464,96.507,12.839,88.469,96.898,27.432,-7.53,80.344,-31.464,96.507,12.839,88.469,96.898,27.432,-7.53,80.344,-31.464,96.507,12.839,88.469,96.898,27.432,-7.53,80.344,-31.464,96.507,12.839,88.469,96.898,27.432,-7.53,80.344,-31.464,96.507,12.839,88.469,96.898,27.432,-7.53,80.344,-31.464,96.507,12.839,88.469,96.898,27.432,-7.53,80.344,-31.464,96.507,12.839,88.469,96.898,27.432,-7.53,80.344,-31.464,96.507,12.839,88.469,96.898,27.432,-7.53,80.344,-31.464,96.507,12.839,88.469,96.898,27.432,-7.53,80.344,-31.464,96.507,12.839,88.469,96.898,27.432,-7.53,80.344,-31.464,96.507,12.839,88.469,96.898,27.432,-7.53,80.344,-31.464,96.507,12.839,88.469,96.898,27.432,-7.53,80.344,-31.464,96.507,12.839,88.469,96.898,27.432,-7.53,80.344,-31.464,96.507,12.839
20191007-1159-FRANKFURT_1-01-229,Barani A,-50.402,73.044,171.403,73.54,291.198,202.85,90.42,78.466,23.141,-6.031,80.788,5.646,-75.677,-30.197,90.42,78.466,23.141,-6.031,80.788,5.646,-75.677,-30.197,90.42,78.466,23.141,-6.031,80.788,5.646,-75.677,-30.197,90.42,78.466,23.141,-6.031,80.788,5.646,-75.677,-30.197,90.42,78.466,23.141,-6.031,80.788,5.646,-75.677,-30.197,90.42,78.466,23.141,-6.031,80.788,5.646,-75.677,-30.197,90.42,78.466,23.141,-6.031,80.788,5.646,-75.677,-30.197,90.42,78.466,23.141,-6.031,80.788,5.646,-75.677,-30.197,90.42,78.466,23.141,-6.031,80.788,5.646,-75.677,-30.197,90.42,78.466,23.141,-6.031,80.788,5.646,-75.677,-30.197,90.42,78.466,23.141,-6.031,80.788,5.646,-75.677,-30.197,90.42,78.466,23.141,-6.031,80.788,5.646,-75.677,-30.197,90.42,78.466,23.141,-6.031,80.788,5.646,-75.677,-30.197,90.42,78.466,23.141,-6.031,80.788,5.646,-75.677,-30.197,90.42,78.466,23.141,-6.031,80.788,5.646,-75.677,-30.197,90.42,78.466,23.141,-6.031,80.788,5.646,-75.677,-30.197,90.42,78.466,23.141,-6.031,80.788,5.646,-75.677,-30.197,90.42,78.466,23.141,-6.031,80.788,5.646,-75.677,-30.197,90.42,78.466,23.141,-6.031,80.788,5.646,-75.677,-30.197,90.42,78.466,23.141,-6.031,80.788,5.646,-75.677,-30.197
20191008-1207-FRANKFURT_2-01-141,Salto B,27.662,343.185,-27.756,44.99,419.242,56.069,83.967,84.58,-1.926,8.687,78.701,12.907,184.838,-48.958,83.967,84.58,-1.926,8.687,78.701,12.907,184.838,-48.958,83.967,84.58,-1.926,8.687,78.701,12.907,184.838,-48.958,83.967,84.58,-1.926,8.687,78.701,12.907,184.838,-48.958,83.967,84.58,-1.926,8.687,78.701,12.907,184.838,-48.958,83.967,84.58,-1.926,8.687,78.701,12.907,184.838,-48.958,83.967,84.58,-1.926,8.687,78.701,12.907,184.838,-48.958,83.967,84.58,-1.926,8.687,78.701,12.907,184.838,-48.958,83.967,84.58,-1.926,8.687,78.701,12.907,184.838,-48.958,83.967,84.58,-1.926,8.687,78.701,12.907,184.838,-48.958,83.967,84.58,-1.926,8.687,78.701,12.907,184.838,-48.958,83.967,84.58,-1.926,8.687,78.701,12.907,184.838,-48.958,83.967,84.58,-1.926,8.687,78.701,12.907,184.838,-48.958,83.967,84.58,-1.926,8.687,78.701,12.907,184.838,-48.958,83.967,84.58,-1.926,8.687,78.701,12.907,184.838,-48.958,83.967,84.58,-1.926,8.687,78.701,12.907,184.838,-48.958,83.967,84.58,-1.926,8.687,78.701,12.907,184.838,-48.958,83.967,84.58,-1.926,8.687,78.701,12.907,184.838,-48.958,83.967,84.58,-1.926,8.687,78.701,12.907,184.838,-48.958,83.967,84.58,-1.926,8.687,78.701,12.907,184.838,-48.958
20190930-1247-FRANKFURT_2-01-88,Barani C,-91.429,-131.234,188.133,95.999,318.435,195.76,86.206,84.593,16.73,3.645,80.359,-10.71,-10.109,-2.87,86.206,84.593,16.73,3.645,80.359,-10.71,-10.109,-2.87,86.206,84.593,16.73,3.645,80.359,-10.71,-10.109,-2.87,86.206,84.593,16.73,3.645,80.359,-10.71,-10.109,-2.87,86.206,84.593,16.73,3.645,80.359,-10.71,-10.109,-2.87,86.206,84.593,16.73,3.645,80.359,-10.71,-10.109,-2.87,86.206,84.593,16.73,3.645,80.359,-10.71,-10.109,-2.87,86.206,84.593,16.73,3.645,80.359,-10.71,-10.109,-2.87,86.206,84.593,16.73,3.645,80.359,-10.71,-10.109,-2.87,86.206,84.593,16.73,3.645,80.359,-10.71,-10.109,-2.87,86.206,84.593,16.73,3.645,80.359,-10.71,-10.109,-2.87,86.206,84.593,16.73,3.645,80.359,-10.71,-10.109,-2.87,86.206,84.593,16.73,3.645,80.359,-10.71,-10.109,-2.87,86.206,84.593,16.73,3.645,80.359,-10.71,-10.109,-2.87,86.206,84.593,16.73,3.645,80.359,-10.71,-10.109,-2.87,86.206,84.593,16.73,3.645,80.359,-10.71,-10.109,-2.87,86.206,84.593,16.73,3.645,80.359,-10.71,-10.109,-2.87,86.206,84.593,16.73,3.645,80.359,-10.71,-10.109,-2.87,86.206,84.593,16.73,3.645,80.359,-10.71,-10.109,-2.87,86.206,84.593,16.73,3.645,80.359,-10.71,-10.109,-2.87
20191007-1159-FRANKFURT_1-01-189,Barani B,22.636,-11.292,170.358,67.271,358.93,204.996,85.472,80.616,26.17,0.759,76.184,4.391,-184.424,-0.821,85.472,80.616,26.17,0.759,76.184,4.391,-184.424,-0.821,85.472,80.616,26.17,0.759,76.184,4.391,-184.424,-0.821,85.472,80.616,26.17,0.759,76.184,4.391,-184.424,-0.821,85.472,80.616,26.17,0.759,76.184,4.391,-184.424,-0.821,85.472,80.616,26.17,0.759,76.184,4.391,-184.424,-0.821,85.472,80.616,26.17,0.759,76.184,4.391,-184.424,-0.821,85.472,80.616,26.17,0.759,76.184,4.391,-184.424,-0.821,85.472,80.616,26.17,0.759,76.184,4.391,-184.424,-0.821,85.472,80.616,26.17,0.759,76.184,4.391,-184.424,-0.821,85.472,80.616,26.17,0.759,76.184,4.391,-184.424,-0.821,85.472,80.616,26.17,0.759,76.184,4.391,-184.424,-0.821,85.472,80.616,26.17,0.759,76.184,4.391,-184.424,-0.821,85.472,80.616,26.17,0.759,76.184,4.391,-184.424,-0.821,85.472,80.616,26.17,0.759,76.184,4.391,-184.424,-0.821,85.472,80.616,26.17,0.759,76.184,4.391,-184.424,-0.821,85.472,80.616,26.17,0.759,76.184,4.391,-184.424,-0.821,85.472,80.616,26.17,0.759,76.184,4.391,-184.424,-0.821,85.472,80.616,26.17,0.759,76.184,4.391,-184.424,-0.821,85.472,80.616,26.17,0.759,76.184,4.391,-184.424,-0.821
0115-MORITZ-03-57,Salto C,-7.878,343.542,15.007,22.678,382.112,31.571,91.4,99.285,31.193,-4.125,81.917,2.331,110.315,-2.389,91.4,99.285,31.193,-4.125,81.917,2.331,110.315,-2.389,91.4,99.285,31.193,-4.125,81.917,2.331,110.315,-2.389,91.4,99.285,31.193,-4.125,81.917,2.331,110.315,-2.389,91.4,99.285,31.193,-4.125,81.917,2.331,110.315,-2.389,91.4,99.285,31.193,-4.125,81.917,2.331,110.315,-2.389,91.4,99.285,31.193,-4.125,81.917,2.331,110.315,-2.389,91.4,99.285,31.193,-4.125,81.917,2.331,110.315,-2.389,91.4,99.285,31.193,-4.125,81.917,2.331,110.315,-2.389,91.4,99.285,31.193,-4.125,81.917,2.331,110.315,-2.389,91.4,99.285,31.193,-4.125,81.917,2.331,110.315,-2.389,91.4,99.285,31.193,-4.125,81.917,2.331,110.315,-2.389,91.4,99.285,31.193,-4.125,81.917,2.331,110.315,-2.389,91.4,99.285,31.193,-4.125,81.917,2.331,110.315,-2.389,91.4,99.285,31.193,-4.125,81.917,2.331,110.315,-2.389,91.4,99.285,31.193,-4.125,81.917,2.331,110.315,-2.389,91.4,99.285,31.193,-4.125,81.917,2.331,110.315,-2.389,91.4,99.285,31.193,-4.125,81.917,2.331,110.315,-2.389,91.4,99.285,31.193,-4.125,81.917,2.331,110.315,-2.389,91.4,99.285,31.193,-4.125,81.917,2.331,110.315,-2.389
