Sprungtyp,SprungID,ACC_N,ACC_N_ROT_filtered,Acc_x_Fil,Acc_y_Fil,Acc_z_Fil,Gyro_x_Fil,Gyro_y_Fil,Gyro_z_Fil
Salto A,20191008-1207-FRANKFURT_2-01-364,23.538,19.854,6.862,8.353,24.309,26.927,73.845,36.783
Schraubensalto A,20191003-1152-FRANKFURT_1-01-104,20.823,18.238,7.025,3.169,24.394,112.226,137.484,177.469
Schraubensalto A,20191007-1534-FRANKFURT_2-01-104,21.999,18.651,7.397,5.004,24.628,119.341,139.573,174.293
Barani C,0609-4-01-600,22.601,20.957,11.227,2.224,24.069,28.126,203.562,101.779
Salto C,0827-BK2-01-10,26.004,23.879,11.692,2.09,26.388,21.04,159.481,20.538
Barani A,20191007-1159-FRANKFURT_1-01-229,24.541,21.186,9.768,2.69,26.531,52.429,198.64,134.312
Salto B,20191008-1207-FRANKFURT_2-01-141,24.596,21.304,10.924,3.246,27.173,26.178,241.479,26.654
Barani C,20190930-1247-FRANKFURT_2-01-88,22.725,21.022,8.501,2.511,25.548,33.27,222.107,70.645
Barani B,20191007-1159-FRANKFURT_1-01-189,22.496,20.748,9.758,2.92,25.063,48.74,268.829,164.404
Salto C,0115-MORITZ-03-57,27.072,24.339,13.582,1.353,26.415,14.688,153.833,17.39
Salto A,20191007-1159-FRANKFURT_1-01-306,23.44,20.492,5.961,1.293,25.039,13.263,60.568,14.876
Bauchsprung,0609-1-01-649,24.194,21.616,14.939,1.542,19.657,10.288,75.397,23.335
Salto B,0115-JANEIKE-01-121,24.386,22.16,15.004,1.501,24.457,29.374,214.455,31.977
Voll- ein- Rudi- aus B,0115-MORITZ-03-58,21.927,19.983,19.127,12.987,29.979,289.925,328.495,301.616
Fliffis B,0609-4-01-372,25.169,22.184,18.92,3.258,28.443,63.262,362.559,148.416
Fliffis C,20191007-1150-FRANKFURT_2-01-214,20.452,19.016,23.957,4.771,27.723,60.222,388.142,170.107
Barani A,20191008-1207-FRANKFURT_2-01-91,24.664,22.44,6.275,3.832,26.6,61.5,200.835,84.599
Cody C,20191003-1152-FRANKFURT_1-01-28,25.311,24.442,21.887,2.608,23.64,24.141,226.204,19.192
Von Bauch in Stand,0609-1-01-167,25.584,25.926,17.81,0.925,18.348,13.589,53.726,16.391
Bauchsprung,0609-1-01-900,23.875,21.165,13.44,1.009,19.979,14.987,81.666,13.072
Salto C,0827-BK2-02-22,24.339,22.603,11.863,1.443,25.607,16.854,188.037,26.276
Doppelsalto B,20191007-1524-FRANKFURT_1-01-114,24.57,21.899,10.441,4.2,24.725,32.067,137.396,29.487
Salto B,0827-BK1-01-81,25.164,23.559,14.99,2.213,24.835,23.659,185.221,28.006
Salto C,0609-1-01-594,24.206,22.277,10.397,0.859,25.591,15.395,177.198,20.666
Salto B,0827-BK2-01-57,25.278,23.204,11.896,0.859,26.77,10.51,211.766,15.697
Bauchsprung,0609-1-01-631,23.646,20.835,13.945,2.629,19.429,12.458,82.178,32.94
Doppelsalto B,0609-1-01-618,22.195,20.074,18.377,3.49,26.986,43.863,258.019,36.442
Salto A,0827-BK2-01-98,24.903,23.171,8.527,1.376,26.261,14.159,51.861,15.069
Salto A,20191008-1207-FRANKFURT_2-01-60,24.327,21.4,7.007,6.355,24.233,22.935,94.346,48.81
Salto B,0115-JANEIKE-01-21,24.914,22.113,13.962,1.394,25.268,28.232,177.8,31.821
Salto A,20191007-1150-FRANKFURT_2-01-110,19.863,17.592,6.752,1.05,22.943,18.812,63.072,19.713
Salto A,20191008-1207-FRANKFURT_2-01-187,24.544,21.847,3.748,2.996,26.269,18.328,76.411,28.55
Bauchsprung,0609-1-01-812,23.567,20.74,14.665,1.082,18.892,13.195,70.036,17.251
Salto A,0827-BK2-02-147,22.058,21.138,7.679,1.051,23.912,9.438,37.672,16.198
Bauchsprung,0609-1-01-749,24.243,21.311,14.817,0.949,19.756,13.589,71.766,13.291
1 3/4 Salto vw C,0115-CHARI-05-167,26.196,23.507,18.551,1.888,24.412,13.747,200.898,21.525
Von Bauch in Stand,0609-1-01-679,23.691,23.856,17.492,1.617,16.839,21.327,60.692,40.614
3/4 Salto vw A,20191007-1159-FRANKFURT_1-01-400,27.138,23.52,16.846,1.508,20.294,8.05,128.429,12.019
Schraubensalto C,0609-4-01-94,23.42,21.05,9.843,2.705,24.979,100.721,133.441,166.269
Bauchsprung,0609-1-01-254,25.848,22.898,15.565,1.371,20.908,18.729,63.681,26.208
Fliffis B,0609-4-01-500,23.906,20.776,19.74,2.95,28.037,92.726,365.83,139.631
Doppelsalto B,0609-1-01-569,23.173,20.291,17.587,2.679,28.544,40.678,268.451,28.755
Salto A,20191001-1202-FRANKFURT_2-01-132,24.919,21.412,9.922,2.239,22.235,11.622,68.734,20.083
Barani A,20191008-1157-FRANKFURT_1-01-137,23.789,21.866,6.103,2.412,26.654,57.93,203.653,110.163
Doppelsalto B,0609-1-01-450,23.265,20.356,18.019,1.494,27.987,34.763,285.183,26.409
Salto B,0115-CHARI-05-87,24.737,22.466,10.514,1.427,27.328,18.867,181.834,33.567
Rudi,20190930-1247-FRANKFURT_2-01-223,23.755,21.674,9.342,4.559,25.502,141.047,207.592,232.928
Salto C,20190930-1247-FRANKFURT_2-01-271,26.157,22.516,11.384,3.779,27.16,31.897,191.717,35.577
Rudi,20191007-1150-FRANKFURT_2-01-120,19.836,17.504,13.763,5.075,23.743,124.904,217.124,299.715
Barani C,0609-4-01-518,23.764,21.853,11.562,1.653,24.856,48.286,177.117,93.382
Barani C,20191007-1159-FRANKFURT_1-01-385,24.118,21.789,8.825,2.552,26.199,46.63,243.827,140.325
Schraubensalto A,20191007-1534-FRANKFURT_2-01-95,20.949,18.41,5.679,4.13,24.03,109.487,155.067,164.832
Salto C,0609-4-01-412,25.98,22.481,15.026,1.2,23.876,13.361,162.554,18.026
Salto B,20190930-1153-FRANKFURT_1-01-238,23.608,21.334,13.08,1.728,26.307,40.463,212.613,28.37
1 3/4 Salto vw C,0115-CHARI-05-133,25.873,22.591,17.143,2.546,24.358,26.069,197.944,38.567
40/,20191001-1148-FRANKFURT_1-01-95,23.493,20.759,7.394,0.891,24.979,17.457,77.273,18.702
Salto A,20191008-1157-FRANKFURT_1-01-334,23.185,20.548,6.071,1.573,25.194,16.005,59.369,22.088
Salto C,0609-4-01-293,25.777,22.351,16.464,1.172,23.363,16.699,139.077,13.269
Barani A,20191007-1150-FRANKFURT_2-01-84,19.944,18.606,8.6,3.077,22.978,73.526,192.423,92.909
Salto C,0609-4-01-379,22.47,20.767,12.849,1.583,21.058,18.335,94.154,25.693
Fliffis- Rudi B,0115-JANEIKE-01-118,19.679,17.511,19.672,8.067,27.738,165.074,363.357,350.686
Bauchsprung,0609-1-01-778,23.61,21.199,14.319,0.821,19.375,11.088,82.994,22.187
Rudi,20191007-1150-FRANKFURT_2-01-132,18.575,17.372,12.222,5.074,22.342,127.286,213.717,279.768
Salto A,20191007-1150-FRANKFURT_2-01-141,20.581,18.256,6.746,1.524,23.466,16.22,49.761,17.715
