SprungID,Sprungtyp,avg_Acc_N_Fil,std_Acc_N_Fil,avg_Gyro_x_R,std_Gyro_x_R,avg_Gyro_y_R,std_Gyro_y_R,avg_Gyro_z_R,std_Gyro_z_R,avg_Gyro_x_Fil,std_Gyro_x_Fil,avg_Gyro_y_Fil,std_Gyro_y_Fil,avg_Gyro_z_Fil,std_Gyro_z_Fil,avg_DJump_SIG_I_x LapEnd,avg_DJump_SIG_I_y LapEnd,avg_DJump_SIG_I_z LapEnd,avg_DJump_I_ABS_x LapEnd,avg_DJump_I_ABS_y LapEnd,avg_DJump_I_ABS_z LapEnd,avg_DJump_ABS_I_x LapEnd,avg_DJump_ABS_I_y LapEnd,avg_DJump_ABS_I_z LapEnd,avg_DJump_SIG_I_S1_x LapEnd,avg_DJump_SIG_I_S1_y LapEnd,avg_DJump_SIG_I_S1_z LapEnd,avg_DJump_SIG_I_S2_x LapEnd,avg_DJump_SIG_I_S2_y LapEnd,avg_DJump_SIG_I_S2_z LapEnd,avg_DJump_SIG_I_S3_x LapEnd,avg_DJump_SIG_I_S3_y LapEnd,avg_DJump_SIG_I_S3_z LapEnd,avg_DJump_SIG_I_S4_x LapEnd,avg_DJump_SIG_I_S4_y LapEnd,avg_DJump_SIG_I_S4_z LapEnd,avg_DJump_I_ABS_S1_x LapEnd,avg_DJump_I_ABS_S1_y LapEnd,avg_DJump_I_ABS_S1_z LapEnd,avg_DJump_I_ABS_S2_x LapEnd,avg_DJump_I_ABS_S2_y LapEnd,avg_DJump_I_ABS_S2_z LapEnd,avg_DJump_I_ABS_S3_x LapEnd,avg_DJump_I_ABS_S3_y LapEnd,avg_DJump_I_ABS_S3_z LapEnd,avg_DJump_I_ABS_S4_x LapEnd,avg_DJump_I_ABS_S4_y LapEnd,avg_DJump_I_ABS_S4_z LapEnd,avg_DJump_ABS_I_S1_x LapEnd,avg_DJump_ABS_I_S1_y LapEnd,avg_DJump_ABS_I_S1_z LapEnd,avg_DJump_ABS_I_S2_x LapEnd,avg_DJump_ABS_I_S2_y LapEnd,avg_DJump_ABS_I_S2_z LapEnd,avg_DJump_ABS_I_S3_x LapEnd,avg_DJump_ABS_I_S3_y LapEnd,avg_DJump_ABS_I_S3_z LapEnd,avg_DJump_ABS_I_S4_x LapEnd,avg_DJump_ABS_I_S4_y LapEnd,avg_DJump_ABS_I_S4_z LapEnd
0827-BK1-01-4,Salto C,16.225,23.826,3.313,14.466,178.355,179.707,4.652,21.517,3.16,10.896,178.186,172.545,4.298,13.632,6.606,356.118,9.29,6.606,356.118,9.29,21.629,389.448,29.9,1.664,37.054,4.951,2.559,196.232,1.052,0.668,73.44,-1.452,1.714,49.392,4.739,1.664,37.054,4.951,2.559,196.232,1.052,0.668,73.44,-1.452,1.714,49.392,4.739,8.133,70.384,11.273,7.063,196.232,7.37,1.748,73.44,2.102,4.685,49.392,9.156
0827-BK1-01-5,Strecksprung,11.967,26.983,-0.987,12.515,-4.749,62.387,-3.347,16.062,-0.928,11.136,-4.58,59.008,-3.253,10.773,-2.02,-10.113,-6.796,2.02,10.113,6.796,17.8,93.502,22.528,4.404,17.172,-5.864,-1.504,-19.954,-1.466,0.903,-12.641,2.161,-5.822,5.31,-1.627,4.404,17.172,5.864,-1.504,-14.39,1.466,0.903,12.641,-2.161,-1.783,-5.31,1.627,5.367,20.565,8.322,2.673,20.171,4.462,1.849,12.641,2.632,7.911,40.125,7.112
0827-BK1-01-7,Salto C,15.922,23.999,-2.338,14.484,175.6,168.682,3.869,20.008,-2.469,10.956,175.431,160.562,3.848,12.979,-4.728,357.453,7.993,4.728,357.453,7.993,20.548,384.109,26.83,-1.142,49.436,2.471,-2.4,175.541,4.996,0.07,78.762,0.829,-1.255,53.714,-0.303,1.142,49.436,2.471,2.4,175.541,4.996,-0.07,78.762,0.829,1.255,53.714,-0.303,7.535,75.439,10.551,6.564,175.541,6.459,1.365,78.762,1.016,5.083,54.368,8.804
0827-BK1-01-9,Strecksprung,9.435,23.24,-0.785,14.318,3.758,60.461,-0.128,28.189,-0.816,11.991,3.648,54.606,0.107,20.672,-1.534,7.572,-0.235,1.534,7.572,0.235,22.433,86.668,42.461,2.446,27.969,-2.247,-1.504,-16.358,4.185,2.41,-4.442,3.332,-4.885,0.405,-5.505,2.446,27.969,2.247,-1.504,-16.358,-0.309,2.41,-4.442,3.332,-1.818,0.405,-5.034,8.433,28.415,11.871,4.348,16.503,9.783,3.476,4.585,4.921,6.176,37.165,15.886
0827-BK1-01-10,Salto C,15.782,24.496,-3.112,14.448,175.786,141.48,1.832,23.188,-3.031,11.524,175.723,135.185,1.561,14.592,-6.303,357.775,3.611,6.303,357.775,3.611,22.496,372.394,32.164,-2.502,58.367,2.308,-0.286,162.779,-0.667,-2.04,75.041,1.22,-1.477,61.587,0.749,2.502,58.367,2.308,0.286,162.779,-0.667,2.04,75.041,1.22,1.477,61.587,0.749,8.223,72.987,11.108,5.765,162.779,7.244,2.37,75.041,2.751,6.138,61.587,11.063
0827-BK1-01-12,Strecksprung,10.15,24.256,0.002,15.348,5.91,66.666,1.471,30.827,-0.001,12.954,5.793,60.627,1.766,25.27,0.104,11.763,2.946,0.104,11.763,2.946,23.244,92.215,46.754,4.254,28.843,1.031,0.988,-18.011,4.159,1.397,-4.997,3.144,-6.534,5.928,-5.388,4.254,28.843,1.031,0.988,-18.011,4.159,1.397,-4.997,3.144,-6.534,5.928,-5.388,8.622,31.473,9.423,5.237,18.922,17.758,2.7,5.009,4.82,6.685,36.81,14.754
0827-BK1-01-13,Salto C,16.137,24.532,-1.803,14.62,170.566,155.746,0.88,23.235,-1.771,11.601,170.339,148.029,0.715,17.217,-3.612,350.271,1.937,3.612,350.271,1.937,22.719,378.015,32.926,-0.454,51.441,3.302,1.558,168.648,-0.349,-1.936,79.431,-2.177,-2.78,50.751,1.16,0.454,51.441,3.302,0.651,168.648,-0.349,-0.273,79.431,-2.177,2.78,50.751,1.16,9.013,79.176,12.362,5.16,168.648,7.565,2.854,79.431,2.642,5.693,50.759,10.356
0827-BK1-01-16,Salto C,15.87,24.132,8.724,16.735,174.937,168.28,1.017,22.769,8.667,12.967,174.756,160.824,0.811,13.838,17.714,354.126,2.046,17.714,354.126,2.046,31.248,385.445,29.857,3.006,43.891,1.369,6.75,180.712,4.705,6.232,75.478,-0.997,1.726,54.045,-3.031,3.006,43.891,1.369,6.75,180.712,4.705,6.232,75.478,-0.997,1.726,54.045,-3.031,9.098,75.209,12.875,9.281,180.712,6.421,6.232,75.478,1.542,6.636,54.045,9.019
0827-BK1-01-19,Salto C,15.98,24.539,7.912,22.602,175.397,160.018,7.552,27.131,7.864,19.097,175.174,152.608,7.445,19.84,16.204,357.228,15.359,16.204,357.228,15.359,38.942,381.171,37.994,0.138,44.833,4.148,3.619,180.623,12.044,8.999,68.052,3.206,3.447,63.721,-4.041,0.138,44.833,4.148,3.619,180.623,12.044,8.999,68.052,3.206,3.447,63.721,-4.041,14.373,68.776,11.055,9.435,180.623,12.455,8.999,68.052,3.916,6.135,63.721,10.568
0827-BK1-01-22,Salto C,15.822,25.029,2.017,14.123,173.57,153.764,8.339,17.157,2.042,10.892,173.618,148.512,8.144,10.981,4.115,350.955,16.79,4.115,350.955,16.79,22.406,360.153,28.12,1.27,52.368,2.488,-2.873,178.852,6.954,3.323,75.713,3.024,2.395,44.021,4.324,1.27,52.368,2.488,0.332,178.852,6.954,0.117,75.713,3.024,2.395,44.021,4.324,7.317,61.567,8.572,6.433,178.852,7.627,3.891,75.713,3.67,4.765,44.021,8.251
0827-BK1-01-24,Salto C,16.131,23.741,2.64,10.664,190.652,161.899,5.975,15.672,2.608,8.092,190.605,155.32,6.107,10.572,5.256,380.359,11.901,5.256,380.359,11.901,18.198,401.892,24.243,0.181,36.855,6.459,-1.984,208.683,3.788,4.094,54.26,2.804,2.965,80.56,-1.149,0.181,36.855,6.459,1.622,208.683,3.788,0.488,54.26,2.804,2.965,80.56,-1.149,4.59,58.389,9.268,5.136,208.683,7.5,4.416,54.26,2.959,4.056,80.56,4.517
0827-BK1-01-26,Salto C,16.195,23.727,6.32,13.033,179.403,162.242,6.409,17.315,6.337,10.397,179.323,156.425,6.383,10.144,12.596,356.796,12.659,12.596,356.796,12.659,24.224,365.648,27.204,2.08,43.446,-0.604,-1.652,187.979,6.507,6.271,75.838,3.834,5.897,49.533,2.922,2.08,43.446,0.604,-1.652,187.979,5.298,6.271,75.838,3.834,5.897,49.533,2.922,5.895,52.298,6.529,5.047,187.979,8.682,6.271,75.838,4.002,7.011,49.533,7.99
0827-BK1-01-29,Salto C,16.171,23.768,2.951,17.503,182.704,176.989,2.411,20.237,2.83,14.153,182.411,170.157,2.438,12.96,5.834,358.587,4.753,5.834,358.587,4.753,28.581,378.762,27.054,1.453,24.716,-0.897,-4.898,209.605,6.081,4.877,61.005,1.315,4.401,63.261,-1.746,1.453,24.716,0.897,1.992,209.605,4.287,-2.013,61.005,1.315,4.401,63.261,-1.746,7.5,44.891,8.572,10.473,209.605,8.714,4.877,61.005,1.703,5.731,63.261,8.065
0827-BK1-01-30,Strecksprung,11.494,25.323,1.125,14.653,-5.34,90.558,-0.23,19.785,1.184,12.457,-5.349,86.997,-0.331,14.003,2.383,-11.284,-0.44,2.383,11.284,0.44,20.071,140.46,30.546,5.536,15.675,-5.414,0.601,-27.312,2.177,2.8,-41.641,4.62,-6.554,41.994,-1.822,5.536,15.675,5.414,0.601,-4.037,-2.177,2.8,41.641,-1.855,-6.554,-41.994,-0.943,7.287,28.393,10.389,2.323,27.312,4.825,3.046,42.268,6.978,7.415,42.486,8.354
0827-BK1-01-32,Salto C,15.937,24.204,5.83,13.94,175.898,149.595,3.005,22.446,5.678,10.91,175.718,143.863,2.928,15.762,11.651,347.141,6.02,11.651,347.141,6.02,23.777,356.79,32.338,4.555,46.547,0.662,-0.514,175.08,3.095,7.068,72.322,2.17,0.542,53.192,0.093,4.555,46.547,0.662,-0.514,175.08,3.095,7.068,72.322,2.17,0.542,53.192,0.093,7.747,56.196,12.025,4.279,175.08,7.383,7.068,72.322,3.936,4.683,53.192,8.995
0827-BK1-01-35,Salto C,16.346,23.124,-3.494,14.136,181.909,162.992,2.97,18.575,-3.471,11.61,181.594,156.194,2.932,14.357,-6.786,354.791,5.846,6.786,354.791,5.846,21.028,381.43,27.292,-0.587,45.364,1.24,-2.492,181.285,3.989,-2.672,77.809,-0.205,-1.035,50.333,0.822,0.587,45.364,1.24,2.492,181.285,3.989,2.672,77.809,-0.205,1.035,50.333,0.822,6.5,72.003,9.008,7.207,181.285,6.807,2.675,77.809,1.583,4.647,50.333,9.894
0827-BK1-01-38,Salto C,16.559,24.224,5.37,14.879,176.372,164.528,4.348,21.58,5.29,11.565,176.204,157.835,3.908,14.689,10.872,356.046,8.725,10.872,356.046,8.725,25.869,382.873,30.112,5.141,39.868,7.447,1.925,188.227,0.369,3.158,66.776,1.107,0.649,61.174,-0.198,5.141,39.868,7.447,1.925,188.227,0.369,3.158,66.776,1.107,0.649,61.174,-0.198,9.155,66.696,13.061,6.292,188.227,5.462,3.654,66.776,2.45,6.767,61.174,9.138
0827-BK1-01-41,Salto C,15.822,24.31,5.192,13.163,175.475,144.492,4.37,17.525,5.224,10.602,175.365,138.776,4.231,11.849,10.394,350.763,8.74,10.394,350.763,8.74,22.817,357.547,27.187,0.966,54.81,1.289,0.479,168.299,6.538,6.183,76.666,3.61,2.766,50.987,-2.698,0.966,54.81,1.289,0.479,168.299,6.538,6.183,76.666,3.61,2.766,50.987,-2.698,5.86,61.595,9.594,5.038,168.299,7.075,6.183,76.666,3.61,5.736,50.987,6.908
