DJump_SIG_I_x LapEnd,DJump_SIG_I_y LapEnd,DJump_SIG_I_z LapEnd,DJump_I_ABS_x LapEnd,DJump_I_ABS_y LapEnd,DJump_I_ABS_z LapEnd,DJump_ABS_I_x LapEnd,DJump_ABS_I_y LapEnd,DJump_ABS_I_z LapEnd,DJump_SIG_I_S1_x LapEnd,DJump_SIG_I_S1_y LapEnd,DJump_SIG_I_S1_z LapEnd,DJump_SIG_I_S2_x LapEnd,DJump_SIG_I_S2_y LapEnd,DJump_SIG_I_S2_z LapEnd,DJump_SIG_I_S3_x LapEnd,DJump_SIG_I_S3_y LapEnd,DJump_SIG_I_S3_z LapEnd,DJump_SIG_I_S4_x LapEnd,DJump_SIG_I_S4_y LapEnd,DJump_SIG_I_S4_z LapEnd,DJump_I_ABS_S1_x LapEnd,DJump_I_ABS_S1_y LapEnd,DJump_I_ABS_S1_z LapEnd,DJump_I_ABS_S2_x LapEnd,DJump_I_ABS_S2_y LapEnd,DJump_I_ABS_S2_z LapEnd,DJump_I_ABS_S3_x LapEnd,DJump_I_ABS_S3_y LapEnd,DJump_I_ABS_S3_z LapEnd,DJump_I_ABS_S4_x LapEnd,DJump_I_ABS_S4_y LapEnd,DJump_I_ABS_S4_z LapEnd,DJump_ABS_I_S1_x LapEnd,DJump_ABS_I_S1_y LapEnd,DJump_ABS_I_S1_z LapEnd,DJump_ABS_I_S2_x LapEnd,DJump_ABS_I_S2_y LapEnd,DJump_ABS_I_S2_z LapEnd,DJump_ABS_I_S3_x LapEnd,DJump_ABS_I_S3_y LapEnd,DJump_ABS_I_S3_z LapEnd,DJump_ABS_I_S4_x LapEnd,DJump_ABS_I_S4_y LapEnd,DJump_ABS_I_S4_z LapEnd,0_Acc_N_Fil,0_Gyro_x_R,0_Gyro_y_R,0_Gyro_z_R,0_Gyro_x_Fil,0_Gyro_y_Fil,0_Gyro_z_Fil,10_Acc_N_Fil,10_Gyro_x_R,10_Gyro_y_R,10_Gyro_z_R,10_Gyro_x_Fil,10_Gyro_y_Fil,10_Gyro_z_Fil,20_Acc_N_Fil,20_Gyro_x_R,20_Gyro_y_R,20_Gyro_z_R,20_Gyro_x_Fil,20_Gyro_y_Fil,20_Gyro_z_Fil,30_Acc_N_Fil,30_Gyro_x_R,30_Gyro_y_R,30_Gyro_z_R,30_Gyro_x_Fil,30_Gyro_y_Fil,30_Gyro_z_Fil,40_Acc_N_Fil,40_Gyro_x_R,40_Gyro_y_R,40_Gyro_z_R,40_Gyro_x_Fil,40_Gyro_y_Fil,40_Gyro_z_Fil,50_Acc_N_Fil,50_Gyro_x_R,50_Gyro_y_R,50_Gyro_z_R,50_Gyro_x_Fil,50_Gyro_y_Fil,50_Gyro_z_Fil,60_Acc_N_Fil,60_Gyro_x_R,60_Gyro_y_R,60_Gyro_z_R,60_Gyro_x_Fil,60_Gyro_y_Fil,60_Gyro_z_Fil,70_Acc_N_Fil,70_Gyro_x_R,70_Gyro_y_R,70_Gyro_z_R,70_Gyro_x_Fil,70_Gyro_y_Fil,70_Gyro_z_Fil,80_Acc_N_Fil,80_Gyro_x_R,80_Gyro_y_R,80_Gyro_z_R,80_Gyro_x_Fil,80_Gyro_y_Fil,80_Gyro_z_Fil,90_Acc_N_Fil,90_Gyro_x_R,90_Gyro_y_R,90_Gyro_z_R,90_Gyro_x_Fil,90_Gyro_y_Fil,90_Gyro_z_Fil,Sprungtyp,SprungID
9.262,348.398,-7.961,15.604,355.9,16.286,34.546,380.652,42.063,-0.063,41.721,-1.661,4.681,182.346,-2.107,2.883,62.567,-2.203,1.761,61.765,-1.989,3.38,42.389,6.227,5.974,186.547,4.429,3.876,63.884,3.764,2.295,62.788,1.619,8.941,66.586,13.421,11.329,187.199,11.851,6.3,63.895,6.453,8.056,63.264,10.586,55.552,3.356,159.204,-0.066,3.854,153.768,-0.48,9.017,-0.747,-27.483,0.549,-0.732,-17.976,0.093,12.467,-2.713,316.567,-10.211,-2.634,312.355,-9.497,18.624,9.745,463.163,-0.476,9.648,459.486,-0.814,9.556,15.491,274.7,-6.578,15.161,276.226,-6.226,4.278,7.149,158.597,-4.109,7.342,159.659,-4.288,3.978,5.968,122.357,-3.198,5.949,122.545,-3.254,3.945,3.07,102.452,-5.284,2.983,102.578,-5.232,5.002,-3.17,95.862,0.805,-2.842,97.641,0.493,36.724,11.962,188.688,-6.22,11.0,183.224,-5.467,Salto C,generated_Mean_Salto C
-1.075,1.663,-0.057,5.18,13.13,11.04,21.22,82.201,35.815,-0.367,20.833,0.416,0.196,-12.838,0.003,-0.701,-14.34,0.258,-0.204,8.008,-0.734,3.193,22.332,5.795,0.593,-8.662,1.962,0.272,-1.47,1.331,0.107,-3.926,-0.028,7.655,27.299,12.32,4.439,16.229,8.965,4.053,16.988,6.89,6.086,26.541,9.62,55.616,-0.808,85.313,-2.679,-0.656,85.186,-2.858,3.008,-1.385,28.217,6.097,-1.363,29.118,5.802,1.319,0.35,-3.51,3.509,0.341,-3.486,3.505,1.018,1.542,-28.916,1.545,1.451,-28.671,1.579,0.986,-0.545,-38.129,-0.304,-0.495,-37.946,-0.189,0.978,-1.745,-35.844,2.486,-1.72,-35.797,2.387,0.995,-1.676,-30.668,1.549,-1.689,-30.685,1.589,1.011,-1.393,-26.155,1.087,-1.406,-26.119,1.105,2.13,-1.091,-16.456,4.023,-1.024,-15.141,3.6,42.03,0.736,76.564,-6.05,0.703,74.646,-5.642,Strecksprung,generated_Mean_Strecksprung
12.835,330.557,-17.81,21.87,347.418,27.047,40.814,396.915,51.559,0.595,9.369,-2.835,6.367,180.543,-4.83,3.463,75.588,-6.027,2.409,65.056,-4.118,2.503,12.842,6.238,8.859,184.531,5.867,4.7,79.995,7.174,4.531,67.15,4.367,9.632,60.148,16.154,14.445,191.252,14.86,8.515,79.995,10.69,9.499,68.418,13.256,57.282,5.775,153.356,-7.753,7.099,150.564,-8.7,8.139,0.911,-49.471,-5.021,0.706,-45.58,-5.071,9.984,-3.928,14.566,-4.165,-3.757,21.823,-4.416,18.322,9.536,454.544,-10.094,9.763,447.324,-10.039,21.675,27.067,466.701,-12.449,26.382,463.209,-12.567,9.021,12.226,243.838,-21.209,12.514,245.456,-20.602,4.48,4.614,125.291,-6.637,4.663,126.661,-7.058,4.796,3.425,104.238,-7.73,3.388,104.636,-7.549,5.117,0.506,122.373,0.355,0.732,124.227,-0.497,40.614,12.052,185.858,-17.789,11.008,180.629,-15.748,Salto B,generated_Mean_Salto B
5.844,245.005,-22.183,19.245,345.715,23.921,31.73,347.747,44.93,1.898,55.002,-5.055,2.296,71.158,-5.338,0.921,57.664,-4.836,0.729,61.181,-6.953,4.906,78.015,7.288,4.369,96.156,4.642,3.488,81.123,4.507,6.122,90.072,6.801,9.255,79.366,16.135,7.063,96.156,8.578,5.652,81.123,6.704,10.12,91.452,14.196,54.534,6.467,149.466,-7.1,7.25,148.428,-9.577,5.473,6.112,110.245,-12.361,5.623,110.384,-12.205,7.782,-3.465,115.877,-11.509,-3.064,116.513,-11.438,7.843,5.281,163.758,-10.451,5.165,162.933,-10.425,7.044,7.712,161.582,-12.393,7.621,161.38,-12.283,6.742,4.58,144.466,-9.792,4.549,144.382,-9.881,6.88,0.619,120.017,-10.249,0.662,120.228,-10.203,7.278,-1.204,111.573,-9.731,-1.239,111.956,-9.709,7.075,-2.894,128.336,-6.674,-2.817,129.606,-7.256,40.746,7.262,156.967,-25.91,6.575,155.255,-21.735,Salto A,generated_Mean_Salto A
-84.0,43.131,163.634,107.478,69.909,181.168,123.423,254.086,196.93,-10.437,-61.306,27.718,-46.711,-35.796,71.643,-26.558,45.839,62.167,-0.293,94.393,2.107,13.371,66.858,29.089,58.251,41.604,76.16,34.902,-51.238,68.84,-0.061,-8.099,3.713,17.966,69.87,34.968,58.946,46.125,76.163,36.129,52.693,69.56,11.396,106.181,19.604,59.38,-9.552,-140.945,41.915,-8.716,-139.881,40.19,7.924,-31.353,-178.188,79.429,-31.513,-176.771,79.87,7.607,-51.314,-102.013,99.858,-51.945,-103.446,100.202,9.433,-109.495,-121.742,149.204,-108.906,-119.689,150.105,10.232,-134.091,-32.224,227.927,-133.176,-31.821,226.188,9.575,-99.578,74.736,214.82,-99.14,73.542,213.673,8.559,-44.518,124.573,125.75,-45.05,124.458,125.898,8.51,-15.684,159.674,47.31,-16.079,159.976,48.076,7.967,-3.749,218.237,15.418,-3.814,219.533,14.999,40.178,8.101,258.326,-19.059,7.848,256.033,-16.212,Barani A,generated_Mean_Barani A
30.506,699.373,-27.635,33.548,700.468,32.073,56.445,702.525,62.287,3.903,71.457,-6.507,2.366,309.755,-5.131,20.261,224.484,-7.533,3.976,93.677,-8.465,4.912,71.457,6.783,7.582,309.755,6.843,16.703,224.484,8.296,3.566,93.677,8.529,10.15,74.88,17.787,14.175,309.755,13.937,22.86,224.484,17.127,10.045,94.502,15.057,51.656,20.172,255.884,-15.595,20.489,250.496,-17.297,13.086,1.362,62.081,-22.434,2.06,70.875,-21.755,29.495,-1.855,368.767,-11.619,-2.003,370.22,-10.863,47.581,-0.25,735.559,-9.295,-0.036,731.167,-10.052,52.975,17.36,791.689,-9.155,17.624,790.544,-8.988,45.187,51.469,744.343,-8.249,50.832,739.267,-8.499,21.422,53.618,447.457,-23.505,53.043,448.677,-23.278,10.451,20.964,206.847,-25.899,21.226,210.84,-25.928,10.264,7.932,203.117,-17.35,8.112,204.818,-17.508,35.36,8.49,254.477,-19.69,8.36,247.421,-17.4,Doppelsalto C,generated_Mean_Doppelsalto C
10.945,230.0,-17.947,17.928,315.327,19.74,29.957,317.105,46.138,1.871,42.141,0.922,2.991,54.19,-4.321,1.579,66.698,-5.666,4.504,66.971,-8.882,4.37,60.654,4.512,3.882,75.057,1.405,3.37,89.045,5.099,6.306,90.57,8.723,7.465,60.714,11.064,5.806,75.057,7.264,5.1,89.045,7.795,11.586,92.288,20.014,58.406,4.757,91.574,8.152,5.162,91.956,8.963,3.447,4.829,89.939,5.347,4.65,89.614,4.771,3.6,-0.742,56.706,-8.286,-0.567,58.072,-7.952,4.185,5.348,104.277,-4.911,5.309,103.884,-5.302,4.022,9.331,143.287,-5.235,9.289,142.478,-5.046,4.003,5.735,141.278,-7.497,5.763,141.361,-7.426,4.243,1.988,131.886,-9.556,2.008,131.936,-9.68,5.052,-0.99,132.83,-10.736,-1.131,133.34,-10.085,4.68,6.288,147.179,8.925,6.6,147.655,7.284,42.29,16.267,121.099,-45.038,15.738,115.107,-42.538,3/4 Salto rw A,generated_Mean_3/4 Salto rw A
-10.567,283.922,-6.899,28.176,391.127,12.414,52.304,475.079,65.24,-5.273,5.288,5.571,-0.141,157.287,-6.901,-3.995,56.5,-2.142,-1.158,64.847,-3.426,7.521,13.535,10.448,10.939,218.391,-1.733,5.951,75.295,1.476,3.766,83.905,2.223,16.029,88.53,22.953,18.222,226.311,19.606,7.172,75.295,7.081,10.881,84.942,15.598,67.594,-15.943,-74.171,32.673,-14.822,-74.499,28.846,15.592,-14.155,-53.169,8.701,-14.469,-37.432,11.695,25.59,0.78,382.514,-1.283,0.424,372.256,-2.152,29.69,6.694,421.141,-12.096,5.442,418.261,-11.453,14.897,-10.668,221.216,-22.73,-9.689,223.605,-22.294,7.288,-17.269,145.568,-6.608,-16.761,145.872,-7.17,5.978,-4.104,117.505,-0.648,-4.418,117.698,-0.798,6.936,-5.701,101.603,-0.764,-5.753,102.015,-0.625,6.748,-9.551,118.6,6.605,-9.505,120.321,5.082,35.078,4.25,193.986,-20.207,3.033,192.228,-17.428,Cody C,generated_Mean_Cody C
48.268,142.986,192.435,61.564,142.986,384.11,159.356,279.195,389.859,14.548,81.59,25.399,46.491,-26.748,61.196,-7.799,-7.526,87.119,-4.973,95.67,18.722,22.574,81.59,57.552,76.594,-26.748,133.357,-31.612,-5.003,155.503,-5.992,93.147,37.698,26.924,81.59,57.921,77.468,48.258,133.357,37.071,53.671,155.503,17.893,95.675,43.078,54.456,0.324,230.249,29.661,2.31,228.973,29.488,5.538,39.865,161.91,57.861,40.101,163.226,59.353,3.93,87.497,93.251,97.559,87.03,92.013,96.576,5.239,113.007,-20.805,113.022,112.506,-21.316,113.702,9.309,80.295,-162.886,155.035,79.577,-160.5,154.821,11.87,10.845,-144.989,197.696,11.265,-142.654,197.536,10.759,-27.78,33.112,198.437,-27.418,32.346,196.834,8.33,-33.865,161.384,102.678,-33.726,159.677,103.366,7.621,-23.362,186.915,47.075,-23.009,188.11,47.804,35.184,12.342,248.05,14.841,11.475,243.34,14.266,Schraubensalto,generated_Mean_Schraubensalto
107.928,26.451,535.472,111.86,35.805,535.472,174.403,319.78,554.856,-8.443,-91.748,85.291,78.633,-23.937,261.17,27.591,28.749,170.696,10.147,113.387,18.314,15.493,91.748,85.291,57.375,23.937,261.17,33.242,-28.749,170.696,5.75,-51.131,18.314,22.872,95.44,88.072,89.761,42.319,261.17,43.48,67.072,171.257,18.29,114.949,34.356,56.897,0.039,-174.327,51.397,-0.373,-174.237,54.652,11.66,-41.309,-291.128,221.754,-39.547,-286.854,223.553,15.429,20.976,-125.267,532.301,22.582,-123.499,528.291,17.861,180.491,1.011,644.523,178.966,-4.582,642.464,17.07,262.41,-97.387,616.873,259.004,-94.991,617.784,16.441,136.956,-61.685,584.48,137.688,-58.745,580.002,11.863,21.183,143.806,345.2,22.943,140.951,346.304,9.434,4.907,219.502,120.669,4.871,219.871,123.501,8.457,10.57,285.312,71.168,11.354,285.994,69.473,42.26,51.325,269.571,-8.642,48.681,269.33,-6.092,Rudi,generated_Mean_Rudi
