SprungID,Sprungtyp,DJump_SIG_I_x LapEnd,DJump_SIG_I_y LapEnd,DJump_SIG_I_z LapEnd,DJump_I_ABS_x LapEnd,DJump_I_ABS_y LapEnd,DJump_I_ABS_z LapEnd,DJump_ABS_I_x LapEnd,DJump_ABS_I_y LapEnd,DJump_ABS_I_z LapEnd,DJump_SIG_I_S1_x LapEnd,DJump_SIG_I_S1_y LapEnd,DJump_SIG_I_S1_z LapEnd,DJump_SIG_I_S2_x LapEnd,DJump_SIG_I_S2_y LapEnd,DJump_SIG_I_S2_z LapEnd,DJump_SIG_I_S3_x LapEnd,DJump_SIG_I_S3_y LapEnd,DJump_SIG_I_S3_z LapEnd,DJump_SIG_I_S4_x LapEnd,DJump_SIG_I_S4_y LapEnd,DJump_SIG_I_S4_z LapEnd,DJump_I_ABS_S1_x LapEnd,DJump_I_ABS_S1_y LapEnd,DJump_I_ABS_S1_z LapEnd,DJump_I_ABS_S2_x LapEnd,DJump_I_ABS_S2_y LapEnd,DJump_I_ABS_S2_z LapEnd,DJump_I_ABS_S3_x LapEnd,DJump_I_ABS_S3_y LapEnd,DJump_I_ABS_S3_z LapEnd,DJump_I_ABS_S4_x LapEnd,DJump_I_ABS_S4_y LapEnd,DJump_I_ABS_S4_z LapEnd,DJump_ABS_I_S1_x LapEnd,DJump_ABS_I_S1_y LapEnd,DJump_ABS_I_S1_z LapEnd,DJump_ABS_I_S2_x LapEnd,DJump_ABS_I_S2_y LapEnd,DJump_ABS_I_S2_z LapEnd,DJump_ABS_I_S3_x LapEnd,DJump_ABS_I_S3_y LapEnd,DJump_ABS_I_S3_z LapEnd,DJump_ABS_I_S4_x LapEnd,DJump_ABS_I_S4_y LapEnd,DJump_ABS_I_S4_z LapEnd,0_Acc_N_Fil,0_Gyro_x_R,0_Gyro_y_R,0_Gyro_z_R,0_Gyro_x_Fil,0_Gyro_y_Fil,0_Gyro_z_Fil,10_Acc_N_Fil,10_Gyro_x_R,10_Gyro_y_R,10_Gyro_z_R,10_Gyro_x_Fil,10_Gyro_y_Fil,10_Gyro_z_Fil,20_Acc_N_Fil,20_Gyro_x_R,20_Gyro_y_R,20_Gyro_z_R,20_Gyro_x_Fil,20_Gyro_y_Fil,20_Gyro_z_Fil,30_Acc_N_Fil,30_Gyro_x_R,30_Gyro_y_R,30_Gyro_z_R,30_Gyro_x_Fil,30_Gyro_y_Fil,30_Gyro_z_Fil,40_Acc_N_Fil,40_Gyro_x_R,40_Gyro_y_R,40_Gyro_z_R,40_Gyro_x_Fil,40_Gyro_y_Fil,40_Gyro_z_Fil,50_Acc_N_Fil,50_Gyro_x_R,50_Gyro_y_R,50_Gyro_z_R,50_Gyro_x_Fil,50_Gyro_y_Fil,50_Gyro_z_Fil,60_Acc_N_Fil,60_Gyro_x_R,60_Gyro_y_R,60_Gyro_z_R,60_Gyro_x_Fil,60_Gyro_y_Fil,60_Gyro_z_Fil,70_Acc_N_Fil,70_Gyro_x_R,70_Gyro_y_R,70_Gyro_z_R,70_Gyro_x_Fil,70_Gyro_y_Fil,70_Gyro_z_Fil,80_Acc_N_Fil,80_Gyro_x_R,80_Gyro_y_R,80_Gyro_z_R,80_Gyro_x_Fil,80_Gyro_y_Fil,80_Gyro_z_Fil,90_Acc_N_Fil,90_Gyro_x_R,90_Gyro_y_R,90_Gyro_z_R,90_Gyro_x_Fil,90_Gyro_y_Fil,90_Gyro_z_Fil
20190930-1153-FRANKFURT_1-01-249,Strecksprung,-3.739,2.442,-11.059,3.739,2.442,11.059,13.257,30.206,34.854,-2.92,6.804,-7.928,1.554,-2.232,6.864,-1.272,4.293,-1.575,-1.101,-6.423,-8.421,2.92,6.804,7.928,-1.554,-2.232,-6.864,1.272,4.293,1.575,1.101,-6.423,8.421,6.857,11.034,13.403,1.75,3.253,6.864,2.111,4.293,5.13,2.538,11.626,9.458,62.036,-28.743,22.755,-43.565,-26.705,23.174,-41.482,6.326,5.585,29.479,-4.185,4.008,26.983,-5.575,1.272,5.126,-15.132,16.921,5.453,-12.432,17.197,1.045,6.038,-4.489,21.126,5.727,-4.95,21.184,0.923,1.264,-8.613,17.503,1.664,-8.216,17.288,0.732,0.888,11.272,4.028,0.568,10.79,3.322,0.667,-6.815,6.566,-13.449,-6.714,6.998,-12.098,1.217,-8.729,8.816,2.222,-8.388,8.032,1.349,3.246,0.093,-16.743,-22.403,0.055,-21.444,-21.24,48.659,-2.536,-25.75,-17.54,-2.483,-21.789,-17.956
0115-CHARI-05-57,Strecksprung,-5.516,-15.209,-26.392,5.516,15.209,26.392,21.287,106.831,38.014,-8.027,30.143,-18.866,3.686,-15.217,1.196,-0.699,-31.242,-5.596,-0.476,1.108,-3.126,8.027,30.143,18.866,-3.686,-15.217,-1.196,0.699,1.392,5.596,0.476,-1.108,3.126,12.26,32.585,19.642,3.722,15.217,4.162,2.421,31.242,6.511,2.884,27.786,7.699,57.275,3.894,120.924,-46.444,2.022,118.973,-45.76,2.836,-37.138,36.925,-38.423,-34.777,39.244,-36.955,1.455,-1.477,-10.247,-9.598,-1.84,-10.183,-11.346,0.924,7.734,-18.76,0.255,7.801,-19.771,0.345,0.965,4.657,-52.448,3.162,4.601,-52.247,2.84,1.214,2.134,-64.699,0.755,1.851,-64.303,0.461,0.879,-4.501,-69.774,-24.93,-4.5,-69.285,-23.926,0.662,-1.993,-50.592,-11.42,-1.701,-51.003,-11.329,0.788,0.072,-37.147,7.005,0.602,-36.575,6.014,44.409,-2.024,69.005,-16.928,-2.088,67.412,-16.296
20190930-1153-FRANKFURT_1-01-166,Schraubensalto,64.785,81.262,397.064,64.785,81.262,397.064,170.539,259.878,414.93,24.115,78.067,58.937,75.083,-23.715,116.448,-43.112,-52.435,158.11,8.7,79.345,63.569,24.115,78.067,58.937,75.083,-23.715,116.448,-43.112,-52.435,158.11,8.7,79.345,63.569,24.532,78.067,58.999,75.083,38.908,116.448,45.399,63.557,158.11,25.526,79.345,81.373,51.629,16.455,266.798,76.967,18.722,260.022,77.388,4.208,63.559,106.736,156.302,63.224,111.529,155.87,3.597,127.292,74.298,183.739,127.153,73.314,184.336,3.563,197.343,-1.478,232.511,195.684,-2.762,233.031,6.967,124.858,-159.652,306.334,123.302,-157.92,305.216,11.833,-43.243,-224.981,320.064,-42.366,-222.069,320.528,12.059,-139.559,-85.842,366.78,-137.103,-84.975,364.559,10.431,-87.719,100.335,305.0,-87.092,97.294,305.512,8.214,28.037,154.168,225.727,26.956,154.752,222.186,34.277,55.291,199.225,-17.033,53.777,193.797,-10.254
20191003-1152-FRANKFURT_1-01-106,Salto C,-11.772,329.878,-13.108,11.772,329.878,13.108,23.227,355.845,30.813,1.773,17.112,-6.799,-9.916,195.748,-0.178,-2.052,64.807,-3.622,-1.577,52.211,-2.509,1.773,17.112,6.799,6.37,195.748,0.178,2.052,64.807,3.622,1.577,52.211,2.509,7.667,43.079,14.742,10.173,195.748,7.306,2.552,64.807,4.188,2.835,52.211,4.577,58.712,-14.666,159.769,-14.754,-12.606,155.971,-14.444,8.092,16.067,-23.798,-13.139,13.604,-18.147,-10.1,11.282,-1.622,68.427,-4.536,-2.325,77.877,-6.224,20.008,-41.435,563.782,4.353,-40.124,554.9,3.944,25.14,-10.177,517.116,1.083,-11.083,511.942,2.071,4.999,-6.893,221.99,-5.133,-6.531,225.614,-4.65,3.849,-6.853,115.515,-7.803,-6.745,116.904,-8.002,4.123,-1.004,103.367,-2.445,-1.42,102.925,-2.253,4.472,-4.195,114.243,3.0,-3.676,116.431,2.955,30.075,-6.007,150.959,-9.175,-6.273,143.335,-9.527
20191007-1150-FRANKFURT_2-01-225,Salto A,34.859,354.439,5.532,34.859,354.439,5.532,36.897,354.439,36.451,9.186,97.876,-7.818,0.897,84.608,1.81,9.79,74.208,7.765,14.984,97.748,3.775,9.186,97.876,7.818,0.897,84.608,-1.81,9.79,74.208,-4.251,14.984,97.748,3.775,9.246,97.876,12.106,2.859,84.608,6.531,9.79,74.208,7.765,15.001,97.748,10.049,47.394,26.642,265.983,-20.393,28.647,265.335,-20.758,6.428,25.511,241.582,-22.448,24.992,243.118,-19.898,6.086,11.189,161.725,-3.763,10.838,163.771,-3.564,8.35,-0.907,194.698,-2.161,-0.96,194.087,-1.795,8.464,0.296,258.563,26.1,1.47,257.496,24.741,8.218,27.831,190.739,22.407,26.628,191.461,23.326,8.67,23.427,186.478,22.339,23.323,186.077,22.726,9.896,17.136,177.028,3.498,17.298,177.959,3.642,7.871,18.461,215.274,6.739,19.649,217.531,5.475,32.267,67.734,288.854,29.816,64.33,275.662,28.084
20191008-1207-FRANKFURT_2-01-240,Salto B,30.745,343.599,-17.709,30.745,343.599,17.709,51.634,406.873,50.825,-0.138,-7.966,1.735,21.677,212.371,-6.072,12.688,63.417,-9.637,-3.483,75.777,-3.735,0.138,7.966,1.735,21.402,196.439,2.603,12.688,63.417,9.637,-3.483,75.777,3.735,5.823,52.482,10.603,22.969,212.41,11.642,12.688,63.417,10.485,10.155,78.564,18.095,44.862,8.028,118.381,-21.939,8.575,113.359,-16.585,6.93,2.549,-113.224,22.941,1.452,-105.486,19.565,9.746,-1.136,17.15,-7.253,-1.215,16.77,-5.562,21.224,16.361,474.842,1.397,20.167,471.387,-0.382,36.957,96.798,668.352,-19.512,94.032,662.387,-15.432,7.675,47.941,252.312,-18.543,48.217,257.701,-22.446,4.341,17.446,92.679,-22.532,17.46,91.179,-22.623,4.681,7.755,37.644,-37.235,6.893,40.202,-36.836,3.523,-20.722,140.874,-12.921,-20.349,144.594,-12.742,50.74,0.806,268.88,15.067,-0.081,250.967,13.798
20190930-1247-FRANKFURT_2-01-47,Salto C,-7.957,342.901,3.349,7.957,342.901,3.349,30.037,344.067,30.521,-3.733,34.485,5.04,-1.782,155.317,2.856,-3.243,85.302,-3.361,0.801,67.798,-1.186,3.733,34.485,5.04,1.782,155.317,2.856,3.243,85.302,-3.361,-0.801,67.798,-1.186,12.814,35.651,11.562,5.201,155.317,4.255,4.24,85.302,4.202,7.781,67.798,10.501,45.366,16.0,147.463,29.84,13.517,145.821,29.942,8.651,-20.982,27.845,7.724,-18.503,28.903,4.822,10.329,-27.667,161.73,5.939,-27.259,167.303,6.289,15.494,-10.011,413.891,12.312,-9.724,408.715,11.768,15.17,10.251,406.225,7.947,9.706,406.817,8.886,8.531,0.141,281.405,-14.313,-0.408,280.123,-13.693,5.16,-13.907,165.147,-1.344,-13.36,166.897,-1.414,5.225,-12.178,152.56,4.454,-11.8,153.881,4.693,4.597,6.25,203.805,9.926,5.913,200.7,10.262,25.959,5.506,133.798,-8.981,6.877,132.053,-8.949
20191007-1150-FRANKFURT_2-01-86,Salto A,12.558,348.728,-7.837,12.558,348.728,7.837,34.958,348.728,43.933,11.43,87.335,-8.248,0.309,76.875,-4.781,-2.441,84.554,-3.606,3.259,99.964,8.798,11.43,87.335,8.248,0.309,76.875,4.781,-2.441,84.554,3.606,3.259,99.964,-8.798,11.61,87.335,11.367,6.065,76.875,7.652,5.672,84.554,7.155,11.61,99.964,17.759,55.902,37.643,265.654,-6.22,39.737,264.445,-6.58,7.288,27.179,220.094,-18.718,26.646,219.551,-16.677,5.973,4.826,72.877,-31.908,3.76,82.104,-32.699,9.041,-12.259,202.429,2.953,-10.767,196.882,1.031,8.985,15.092,246.375,-11.2,14.886,245.719,-10.688,8.896,9.609,216.224,-25.321,9.752,216.338,-23.908,8.866,-9.847,199.344,-0.423,-10.603,199.932,-0.134,9.959,-29.722,226.471,16.67,-27.856,225.881,14.508,8.412,-9.86,244.524,-19.289,-9.97,245.004,-17.767,30.495,46.405,247.673,75.616,43.402,239.573,68.773
20191003-1152-FRANKFURT_1-01-103,Salto A,-15.155,354.988,-3.731,15.155,354.988,3.731,22.863,354.988,30.181,-0.454,60.435,2.63,-2.205,120.884,1.41,-2.239,73.111,-4.417,-10.256,100.558,-3.354,0.454,60.435,2.63,2.205,120.884,1.41,2.239,73.111,-3.662,10.256,100.558,3.354,5.335,60.435,9.588,3.547,120.884,3.162,2.886,73.111,4.868,11.095,100.558,12.563,53.143,10.894,212.972,13.02,8.792,212.891,18.124,4.087,-8.786,129.378,12.742,-7.335,130.329,10.683,7.66,-7.311,73.672,-1.021,-7.053,78.098,-0.178,10.897,-2.547,290.682,6.027,-2.676,288.683,6.252,8.446,-11.035,396.294,9.029,-11.363,390.875,8.011,6.867,-7.682,226.714,-5.19,-7.099,229.526,-4.869,7.616,-6.963,145.919,-14.092,-6.877,147.52,-13.232,8.186,-4.176,157.167,-15.264,-5.182,159.371,-13.576,8.774,-26.776,255.75,17.756,-26.66,255.544,14.955,36.839,-33.386,273.102,-15.538,-31.614,269.864,-16.751
20190930-1153-FRANKFURT_1-01-241,Schraubensalto,31.93,110.204,392.673,31.93,110.204,392.673,167.144,273.248,400.005,25.983,83.542,58.594,62.846,-42.064,137.705,-61.109,-11.674,152.27,4.21,80.401,44.103,25.983,83.542,58.594,62.846,-42.064,137.705,-61.109,-11.674,152.27,4.21,80.401,44.103,26.005,83.542,61.217,63.068,62.162,137.705,61.109,47.143,152.27,16.962,80.401,48.813,74.055,16.477,207.466,27.713,18.334,216.134,30.061,5.853,63.563,159.956,167.391,63.77,160.508,165.213,3.903,133.687,104.859,235.138,133.848,101.753,233.938,4.981,164.51,-50.911,273.606,163.249,-50.828,274.854,8.961,75.716,-212.913,320.496,74.661,-210.103,320.496,11.563,-96.12,-141.431,366.478,-94.805,-140.176,364.527,10.678,-171.993,28.705,306.897,-169.46,27.503,306.745,6.942,-74.532,107.611,208.995,-75.13,107.151,209.907,7.88,9.885,129.115,122.467,8.942,130.596,122.224,33.346,37.819,230.171,16.932,37.518,223.511,17.74
