DJump_SIG_I_x LapEnd,DJump_SIG_I_y LapEnd,DJump_SIG_I_z LapEnd,DJump_I_ABS_x LapEnd,DJump_I_ABS_y LapEnd,DJump_I_ABS_z LapEnd,DJump_ABS_I_x LapEnd,DJump_ABS_I_y LapEnd,DJump_ABS_I_z LapEnd,DJump_SIG_I_S1_x LapEnd,DJump_SIG_I_S1_y LapEnd,DJump_SIG_I_S1_z LapEnd,DJump_SIG_I_S2_x LapEnd,DJump_SIG_I_S2_y LapEnd,DJump_SIG_I_S2_z LapEnd,DJump_SIG_I_S3_x LapEnd,DJump_SIG_I_S3_y LapEnd,DJump_SIG_I_S3_z LapEnd,DJump_SIG_I_S4_x LapEnd,DJump_SIG_I_S4_y LapEnd,DJump_SIG_I_S4_z LapEnd,DJump_I_ABS_S1_x LapEnd,DJump_I_ABS_S1_y LapEnd,DJump_I_ABS_S1_z LapEnd,DJump_I_ABS_S2_x LapEnd,DJump_I_ABS_S2_y LapEnd,DJump_I_ABS_S2_z LapEnd,DJump_I_ABS_S3_x LapEnd,DJump_I_ABS_S3_y LapEnd,DJump_I_ABS_S3_z LapEnd,DJump_I_ABS_S4_x LapEnd,DJump_I_ABS_S4_y LapEnd,DJump_I_ABS_S4_z LapEnd,DJump_ABS_I_S1_x LapEnd,DJump_ABS_I_S1_y LapEnd,DJump_ABS_I_S1_z LapEnd,DJump_ABS_I_S2_x LapEnd,DJump_ABS_I_S2_y LapEnd,DJump_ABS_I_S2_z LapEnd,DJump_ABS_I_S3_x LapEnd,DJump_ABS_I_S3_y LapEnd,DJump_ABS_I_S3_z LapEnd,DJump_ABS_I_S4_x LapEnd,DJump_ABS_I_S4_y LapEnd,DJump_ABS_I_S4_z LapEnd,0_Acc_N_Fil,0_Gyro_x_R,0_Gyro_y_R,0_Gyro_z_R,0_Gyro_x_Fil,0_Gyro_y_Fil,0_Gyro_z_Fil,20_Acc_N_Fil,20_Gyro_x_R,20_Gyro_y_R,20_Gyro_z_R,20_Gyro_x_Fil,20_Gyro_y_Fil,20_Gyro_z_Fil,40_Acc_N_Fil,40_Gyro_x_R,40_Gyro_y_R,40_Gyro_z_R,40_Gyro_x_Fil,40_Gyro_y_Fil,40_Gyro_z_Fil,60_Acc_N_Fil,60_Gyro_x_R,60_Gyro_y_R,60_Gyro_z_R,60_Gyro_x_Fil,60_Gyro_y_Fil,60_Gyro_z_Fil,80_Acc_N_Fil,80_Gyro_x_R,80_Gyro_y_R,80_Gyro_z_R,80_Gyro_x_Fil,80_Gyro_y_Fil,80_Gyro_z_Fil,Sprungtyp,SprungID
9.262,348.398,-7.961,15.604,355.9,16.286,34.546,380.652,42.063,-0.063,41.721,-1.661,4.681,182.346,-2.107,2.883,62.567,-2.203,1.761,61.765,-1.989,3.38,42.389,6.227,5.974,186.547,4.429,3.876,63.884,3.764,2.295,62.788,1.619,8.941,66.586,13.421,11.329,187.199,11.851,6.3,63.895,6.453,8.056,63.264,10.586,32.282,1.303,65.877,0.246,1.56,67.911,-0.189,15.546,3.521,389.868,-5.343,3.511,385.923,-5.155,6.921,11.329,216.739,-5.343,11.26,218.032,-5.256,3.962,4.521,112.406,-4.244,4.468,112.563,-4.246,20.859,4.395,142.255,-2.706,4.077,140.413,-2.486,Salto C,generated_Mean_Salto C
-1.075,1.663,-0.057,5.18,13.13,11.04,21.22,82.201,35.815,-0.367,20.833,0.416,0.196,-12.838,0.003,-0.701,-14.34,0.258,-0.204,8.008,-0.734,3.193,22.332,5.795,0.593,-8.662,1.962,0.272,-1.47,1.331,0.107,-3.926,-0.028,7.655,27.299,12.32,4.439,16.229,8.965,4.053,16.988,6.89,6.086,26.541,9.62,29.302,-1.096,56.752,1.712,-1.009,57.139,1.475,1.169,0.948,-16.225,2.528,0.898,-16.09,2.543,0.982,-1.145,-36.988,1.092,-1.108,-36.873,1.1,1.003,-1.535,-28.414,1.321,-1.548,-28.404,1.35,22.075,-0.178,30.049,-1.016,-0.161,29.747,-1.024,Strecksprung,generated_Mean_Strecksprung
12.835,330.557,-17.81,21.87,347.418,27.047,40.814,396.915,51.559,0.595,9.369,-2.835,6.367,180.543,-4.83,3.463,75.588,-6.027,2.409,65.056,-4.118,2.503,12.842,6.238,8.859,184.531,5.867,4.7,79.995,7.174,4.531,67.15,4.367,9.632,60.148,16.154,14.445,191.252,14.86,8.515,79.995,10.69,9.499,68.418,13.256,32.707,3.349,51.926,-6.39,3.908,52.477,-6.888,14.15,2.797,234.359,-7.116,2.996,234.384,-7.214,15.356,19.656,355.412,-16.821,19.457,354.471,-16.577,4.638,4.019,114.764,-7.182,4.025,115.648,-7.303,22.871,6.283,154.13,-8.713,5.874,152.439,-8.119,Salto B,generated_Mean_Salto B
5.844,245.005,-22.183,19.245,345.715,23.921,31.73,347.747,44.93,1.898,55.002,-5.055,2.296,71.158,-5.338,0.921,57.664,-4.836,0.729,61.181,-6.953,4.906,78.015,7.288,4.369,96.156,4.642,3.488,81.123,4.507,6.122,90.072,6.801,9.255,79.366,16.135,7.063,96.156,8.578,5.652,81.123,6.704,10.12,91.452,14.196,30.017,6.291,129.881,-9.734,6.439,129.43,-10.895,7.813,0.908,139.824,-10.979,1.05,139.729,-10.93,6.893,6.148,153.036,-11.091,6.087,152.894,-11.081,7.079,-0.294,115.79,-9.985,-0.29,116.087,-9.952,23.917,2.181,142.665,-16.301,1.876,142.443,-14.503,Salto A,generated_Mean_Salto A
-84.0,43.131,163.634,107.478,69.909,181.168,123.423,254.086,196.93,-10.437,-61.306,27.718,-46.711,-35.796,71.643,-26.558,45.839,62.167,-0.293,94.393,2.107,13.371,66.858,29.089,58.251,41.604,76.16,34.902,-51.238,68.84,-0.061,-8.099,3.713,17.966,69.87,34.968,58.946,46.125,76.163,36.129,52.693,69.56,11.396,106.181,19.604,33.632,-20.459,-159.602,60.686,-20.123,-158.36,60.045,8.52,-80.417,-111.9,124.535,-80.439,-111.587,125.157,9.905,-116.865,21.16,221.378,-116.187,20.766,219.935,8.534,-30.111,142.113,86.536,-30.575,142.206,86.992,24.054,2.161,238.242,-1.804,2.003,237.745,-0.589,Barani A,generated_Mean_Barani A
30.506,699.373,-27.635,33.548,700.468,32.073,56.445,702.525,62.287,3.903,71.457,-6.507,2.366,309.755,-5.131,20.261,224.484,-7.533,3.976,93.677,-8.465,4.912,71.457,6.783,7.582,309.755,6.843,16.703,224.484,8.296,3.566,93.677,8.529,10.15,74.88,17.787,14.175,309.755,13.937,22.86,224.484,17.127,10.045,94.502,15.057,32.366,10.769,158.981,-19.018,11.276,160.681,-19.53,38.535,-1.056,552.111,-10.452,-1.021,550.643,-10.452,49.085,34.402,768.051,-8.693,34.216,764.942,-8.735,15.939,37.299,327.22,-24.702,37.142,329.826,-24.602,22.82,8.215,228.789,-18.528,8.24,226.11,-17.459,Doppelsalto C,generated_Mean_Doppelsalto C
10.945,230.0,-17.947,17.928,315.327,19.74,29.957,317.105,46.138,1.871,42.141,0.922,2.991,54.19,-4.321,1.579,66.698,-5.666,4.504,66.971,-8.882,4.37,60.654,4.512,3.882,75.057,1.405,3.37,89.045,5.099,6.306,90.57,8.723,7.465,60.714,11.064,5.806,75.057,7.264,5.1,89.045,7.795,11.586,92.288,20.014,30.893,4.799,90.755,6.748,4.91,90.787,6.865,3.893,2.315,80.489,-6.605,2.383,80.974,-6.632,4.013,7.535,142.284,-6.372,7.529,141.92,-6.242,4.647,0.5,132.36,-10.131,0.44,132.639,-9.87,23.472,11.266,134.122,-18.035,11.158,131.362,-17.609,3/4 Salto rw A,generated_Mean_3/4 Salto rw A
-10.567,283.922,-6.899,28.176,391.127,12.414,52.304,475.079,65.24,-5.273,5.288,5.571,-0.141,157.287,-6.901,-3.995,56.5,-2.142,-1.158,64.847,-3.426,7.521,13.535,10.448,10.939,218.391,-1.733,5.951,75.295,1.476,3.766,83.905,2.223,16.029,88.53,22.953,18.222,226.311,19.606,7.172,75.295,7.081,10.881,84.942,15.598,41.605,-15.06,-63.62,20.656,-14.659,-55.919,20.249,27.641,3.727,401.757,-6.704,2.924,395.199,-6.815,11.106,-13.973,183.486,-14.696,-13.228,184.831,-14.757,6.457,-4.893,109.568,-0.706,-5.077,109.87,-0.712,20.911,-2.65,156.273,-6.779,-3.236,156.257,-6.153,Cody C,generated_Mean_Cody C
48.268,142.986,192.435,61.564,142.986,384.11,159.356,279.195,389.859,14.548,81.59,25.399,46.491,-26.748,61.196,-7.799,-7.526,87.119,-4.973,95.67,18.722,22.574,81.59,57.552,76.594,-26.748,133.357,-31.612,-5.003,155.503,-5.992,93.147,37.698,26.924,81.59,57.921,77.468,48.258,133.357,37.071,53.671,155.503,17.893,95.675,43.078,29.954,20.14,196.014,43.816,21.249,196.035,44.473,4.583,100.283,36.231,105.348,99.797,35.355,105.195,10.587,45.554,-153.961,176.318,45.406,-151.6,176.131,9.545,-30.874,97.213,150.617,-30.621,95.978,150.161,21.38,-5.528,217.437,31.056,-5.786,215.685,31.131,Schraubensalto,generated_Mean_Schraubensalto
107.928,26.451,535.472,111.86,35.805,535.472,174.403,319.78,554.856,-8.443,-91.748,85.291,78.633,-23.937,261.17,27.591,28.749,170.696,10.147,113.387,18.314,15.493,91.748,85.291,57.375,23.937,261.17,33.242,-28.749,170.696,5.75,-51.131,18.314,22.872,95.44,88.072,89.761,42.319,261.17,43.48,67.072,171.257,18.29,114.949,34.356,34.24,-20.662,-232.807,136.737,-19.985,-230.619,139.266,16.648,100.823,-62.053,588.527,100.862,-63.966,585.489,16.758,199.927,-79.655,600.734,198.581,-76.979,598.96,10.651,13.039,181.619,233.048,13.902,180.373,235.015,25.329,30.92,277.41,31.352,29.993,277.638,31.776,Rudi,generated_Mean_Rudi
84.413,-318.432,530.664,166.216,510.342,625.464,170.983,460.144,603.414,-15.353,-219.892,26.428,-38.286,-203.731,97.139,102.421,-30.904,343.131,35.632,136.095,63.967,16.175,219.892,26.428,37.465,203.731,120.281,15.024,30.904,367.27,27.74,-136.095,68.875,29.809,224.136,49.707,45.63,208.955,124.962,123.481,81.744,367.27,41.877,137.22,104.086,49.036,-45.201,-507.847,61.152,-43.787,-505.04,58.611,53.956,-56.614,-631.405,103.345,-57.488,-630.06,102.416,36.155,65.455,-145.079,651.821,67.929,-152.048,649.589,34.835,192.336,-29.855,744.793,191.241,-24.9,742.164,29.036,108.178,356.381,71.824,105.17,351.099,81.481,Fliffis- Rudi C,generated_Mean_Fliffis- Rudi C
-43.531,-69.866,199.018,49.825,70.3,207.236,75.522,306.12,221.295,-2.869,-122.387,18.977,-13.039,-57.108,84.244,-25.313,35.595,78.468,-2.311,74.034,17.329,9.961,122.387,19.833,12.269,57.108,87.467,24.467,-35.595,81.793,3.127,-73.6,18.143,14.741,128.037,25.016,21.672,63.706,87.754,28.372,40.033,82.335,10.737,74.345,26.191,36.999,-1.963,-230.88,37.128,-2.05,-230.015,37.041,13.08,-23.037,-252.577,136.648,-23.195,-251.902,136.555,7.985,-52.49,9.898,228.528,-52.1,9.874,227.777,5.694,-38.108,113.2,128.559,-38.151,112.956,128.795,24.377,-2.302,176.481,28.768,-2.449,176.452,29.138,Barani C,generated_Mean_Barani C
-3.994,1.934,1.604,6.029,7.529,6.39,28.941,186.705,44.928,-0.531,-2.837,1.066,-1.809,-53.389,1.35,-1.647,40.32,-1.831,-0.007,17.839,1.019,2.32,18.931,3.617,2.163,37.295,0.95,1.062,-40.106,1.033,0.484,-8.591,0.791,7.928,40.538,13.246,7.562,74.897,10.392,6.574,44.75,8.718,6.877,26.52,12.571,29.2,0.055,23.687,5.904,0.527,21.572,5.785,6.569,-4.935,-173.787,6.903,-4.984,-171.656,6.972,7.98,-3.375,38.061,-2.676,-3.34,36.789,-2.504,3.408,-3.351,76.36,-1.015,-3.313,76.378,-0.888,22.268,0.616,42.101,5.87,0.345,43.741,5.894,Grätschwinkel,generated_Mean_Grätschwinkel
-47.441,-349.709,132.193,85.176,364.399,203.106,134.057,622.589,235.417,-10.125,-204.907,6.714,-14.476,-255.664,23.634,-22.637,-0.256,90.319,-0.204,111.117,11.527,16.629,204.907,9.241,23.937,255.664,33.238,37.497,0.256,128.254,4.076,-111.117,28.838,22.203,209.621,24.079,31.524,255.817,41.651,64.011,60.403,128.755,19.355,111.438,44.468,48.567,-24.282,-416.269,18.273,-23.381,-413.008,17.742,52.018,-21.164,-671.474,28.726,-21.363,-669.595,29.061,30.986,-51.803,-292.028,148.228,-51.529,-292.524,147.725,15.641,-38.765,110.069,185.891,-38.861,109.501,185.177,24.669,6.344,270.639,7.471,5.642,268.236,9.24,Fliffis C,generated_Mean_Fliffis C
