SprungID,Sprungtyp,DJump_SIG_I_x LapEnd,DJump_SIG_I_y LapEnd,DJump_SIG_I_z LapEnd,DJump_I_ABS_x LapEnd,DJump_I_ABS_y LapEnd,DJump_I_ABS_z LapEnd,DJump_ABS_I_x LapEnd,DJump_ABS_I_y LapEnd,DJump_ABS_I_z LapEnd,DJump_SIG_I_S1_x LapEnd,DJump_SIG_I_S1_y LapEnd,DJump_SIG_I_S1_z LapEnd,DJump_SIG_I_S2_x LapEnd,DJump_SIG_I_S2_y LapEnd,DJump_SIG_I_S2_z LapEnd,DJump_SIG_I_S3_x LapEnd,DJump_SIG_I_S3_y LapEnd,DJump_SIG_I_S3_z LapEnd,DJump_SIG_I_S4_x LapEnd,DJump_SIG_I_S4_y LapEnd,DJump_SIG_I_S4_z LapEnd,DJump_I_ABS_S1_x LapEnd,DJump_I_ABS_S1_y LapEnd,DJump_I_ABS_S1_z LapEnd,DJump_I_ABS_S2_x LapEnd,DJump_I_ABS_S2_y LapEnd,DJump_I_ABS_S2_z LapEnd,DJump_I_ABS_S3_x LapEnd,DJump_I_ABS_S3_y LapEnd,DJump_I_ABS_S3_z LapEnd,DJump_I_ABS_S4_x LapEnd,DJump_I_ABS_S4_y LapEnd,DJump_I_ABS_S4_z LapEnd,DJump_ABS_I_S1_x LapEnd,DJump_ABS_I_S1_y LapEnd,DJump_ABS_I_S1_z LapEnd,DJump_ABS_I_S2_x LapEnd,DJump_ABS_I_S2_y LapEnd,DJump_ABS_I_S2_z LapEnd,DJump_ABS_I_S3_x LapEnd,DJump_ABS_I_S3_y LapEnd,DJump_ABS_I_S3_z LapEnd,DJump_ABS_I_S4_x LapEnd,DJump_ABS_I_S4_y LapEnd,DJump_ABS_I_S4_z LapEnd,0_Acc_N_Fil,0_Gyro_x_R,0_Gyro_y_R,0_Gyro_z_R,0_Gyro_x_Fil,0_Gyro_y_Fil,0_Gyro_z_Fil,20_Acc_N_Fil,20_Gyro_x_R,20_Gyro_y_R,20_Gyro_z_R,20_Gyro_x_Fil,20_Gyro_y_Fil,20_Gyro_z_Fil,40_Acc_N_Fil,40_Gyro_x_R,40_Gyro_y_R,40_Gyro_z_R,40_Gyro_x_Fil,40_Gyro_y_Fil,40_Gyro_z_Fil,60_Acc_N_Fil,60_Gyro_x_R,60_Gyro_y_R,60_Gyro_z_R,60_Gyro_x_Fil,60_Gyro_y_Fil,60_Gyro_z_Fil,80_Acc_N_Fil,80_Gyro_x_R,80_Gyro_y_R,80_Gyro_z_R,80_Gyro_x_Fil,80_Gyro_y_Fil,80_Gyro_z_Fil
0827-BK1-01-4,Salto C,6.606,356.118,9.29,6.606,356.118,9.29,21.629,389.448,29.9,1.664,37.054,4.951,2.559,196.232,1.052,0.668,73.44,-1.452,1.714,49.392,4.739,1.664,37.054,4.951,2.559,196.232,1.052,0.668,73.44,-1.452,1.714,49.392,4.739,8.133,70.384,11.273,7.063,196.232,7.37,1.748,73.44,2.102,4.685,49.392,9.156,101.389,-12.64,108.32,-15.36,-10.38,121.62,-21.66,9.821,-5.68,31.68,5.92,-6.44,50.8,4.39,10.511,8.64,269.92,-35.04,6.03,283.14,-20.11,2.921,-3.12,154.32,1.52,-0.88,154.6,0.37,3.196,2.24,68.4,11.76,-1.19,67.96,11.0
0827-BK1-01-7,Salto C,-4.728,357.453,7.993,4.728,357.453,7.993,20.548,384.109,26.83,-1.142,49.436,2.471,-2.4,175.541,4.996,0.07,78.762,0.829,-1.255,53.714,-0.303,1.142,49.436,2.471,2.4,175.541,4.996,-0.07,78.762,0.829,1.255,53.714,-0.303,7.535,75.439,10.551,6.564,175.541,6.459,1.365,78.762,1.016,5.083,54.368,8.804,106.646,-24.48,82.72,21.84,-16.23,107.21,-0.89,9.127,-3.6,96.32,-15.6,-8.95,122.48,-14.47,8.325,-3.6,219.76,15.2,-6.05,228.33,10.09,2.813,1.76,149.6,-0.8,0.35,151.96,0.12,2.388,-5.44,70.88,-5.28,-3.81,70.65,-4.69
0827-BK1-01-10,Salto C,-6.303,357.775,3.611,6.303,357.775,3.611,22.496,372.394,32.164,-2.502,58.367,2.308,-0.286,162.779,-0.667,-2.04,75.041,1.22,-1.477,61.587,0.749,2.502,58.367,2.308,0.286,162.779,-0.667,2.04,75.041,1.22,1.477,61.587,0.749,8.223,72.987,11.108,5.765,162.779,7.244,2.37,75.041,2.751,6.138,61.587,11.063,109.568,-38.4,63.2,-7.2,-31.19,79.76,-29.99,8.672,-13.6,190.64,-7.76,-16.22,197.13,-7.73,6.424,-16.8,206.0,-23.68,-10.61,225.97,-23.97,3.156,-9.92,159.04,-0.4,-8.05,158.31,-2.22,3.23,-15.76,90.16,-1.84,-13.42,92.57,-1.24
0827-BK1-01-13,Salto C,-3.612,350.271,1.937,3.612,350.271,1.937,22.719,378.015,32.926,-0.454,51.441,3.302,1.558,168.648,-0.349,-1.936,79.431,-2.177,-2.78,50.751,1.16,0.454,51.441,3.302,0.651,168.648,-0.349,-0.273,79.431,-2.177,2.78,50.751,1.16,9.013,79.176,12.362,5.16,168.648,7.565,2.854,79.431,2.642,5.693,50.759,10.356,105.438,-26.16,94.16,21.36,-17.8,113.52,-6.62,9.107,-4.4,122.48,-48.88,-12.21,138.35,-29.6,6.922,-7.04,221.2,-19.2,-2.95,230.57,-17.19,3.427,-5.12,164.56,-5.76,-3.1,161.47,-6.54,2.456,-4.08,87.6,0.24,-5.25,85.21,-0.65
0827-BK1-01-16,Salto C,17.714,354.126,2.046,17.714,354.126,2.046,31.248,385.445,29.857,3.006,43.891,1.369,6.75,180.712,4.705,6.232,75.478,-0.997,1.726,54.045,-3.031,3.006,43.891,1.369,6.75,180.712,4.705,6.232,75.478,-0.997,1.726,54.045,-3.031,9.098,75.209,12.875,9.281,180.712,6.421,6.232,75.478,1.542,6.636,54.045,9.019,106.505,-22.08,73.92,40.72,-12.88,99.48,8.64,9.385,-2.88,74.4,-29.92,-4.24,91.5,-22.27,10.28,10.4,266.4,1.2,10.94,261.04,0.55,2.957,9.92,149.12,0.72,11.94,150.66,0.52,2.721,0.8,74.08,-13.12,2.09,73.6,-11.44
0827-BK1-01-19,Salto C,16.204,357.228,15.359,16.204,357.228,15.359,38.942,381.171,37.994,0.138,44.833,4.148,3.619,180.623,12.044,8.999,68.052,3.206,3.447,63.721,-4.041,0.138,44.833,4.148,3.619,180.623,12.044,8.999,68.052,3.206,3.447,63.721,-4.041,14.373,68.776,11.055,9.435,180.623,12.455,8.999,68.052,3.916,6.135,63.721,10.568,108.576,-26.56,71.2,-28.72,-17.78,92.17,-41.0,8.169,-11.84,77.12,-16.8,-19.06,96.55,-2.61,13.135,-9.2,302.16,12.32,-1.34,283.87,16.9,2.805,12.24,148.08,11.36,13.65,144.55,9.48,2.497,10.48,89.2,-4.16,11.08,87.83,-1.09
0827-BK1-01-22,Salto C,4.115,350.955,16.79,4.115,350.955,16.79,22.406,360.153,28.12,1.27,52.368,2.488,-2.873,178.852,6.954,3.323,75.713,3.024,2.395,44.021,4.324,1.27,52.368,2.488,0.332,178.852,6.954,0.117,75.713,3.024,2.395,44.021,4.324,7.317,61.567,8.572,6.433,178.852,7.627,3.891,75.713,3.67,4.765,44.021,8.251,106.519,-26.32,70.8,20.08,-24.76,88.78,-7.27,9.076,24.56,147.28,-8.0,17.9,159.69,-5.76,9.175,8.08,274.96,1.04,-3.88,275.47,7.77,3.829,9.28,171.04,18.4,9.13,171.35,15.24,3.039,10.32,62.32,8.4,9.88,64.74,8.12
0827-BK1-01-24,Salto C,5.256,380.359,11.901,5.256,380.359,11.901,18.198,401.892,24.243,0.181,36.855,6.459,-1.984,208.683,3.788,4.094,54.26,2.804,2.965,80.56,-1.149,0.181,36.855,6.459,1.622,208.683,3.788,0.488,54.26,2.804,2.965,80.56,-1.149,4.59,58.389,9.268,5.136,208.683,7.5,4.416,54.26,2.959,4.056,80.56,4.517,97.989,-15.12,156.8,-31.12,-14.43,173.5,-19.14,6.503,1.84,34.88,11.04,2.37,45.22,14.11,29.859,22.64,544.8,-24.56,9.72,486.07,-9.93,2.122,14.96,98.56,8.72,13.93,102.26,8.07,3.192,6.56,119.04,0.24,6.05,120.94,1.01
0827-BK1-01-26,Salto C,12.596,356.796,12.659,12.596,356.796,12.659,24.224,365.648,27.204,2.08,43.446,-0.604,-1.652,187.979,6.507,6.271,75.838,3.834,5.897,49.533,2.922,2.08,43.446,0.604,-1.652,187.979,5.298,6.271,75.838,3.834,5.897,49.533,2.922,5.895,52.298,6.529,5.047,187.979,8.682,6.271,75.838,4.002,7.011,49.533,7.99,102.739,-42.24,64.96,-1.84,-33.15,89.36,-23.48,10.075,10.8,90.8,-11.36,8.32,102.61,-3.66,11.364,20.32,305.52,9.28,4.81,303.57,19.24,3.317,13.12,161.12,12.64,14.1,161.66,11.71,3.763,21.28,70.96,10.0,19.14,72.68,11.04
0827-BK1-01-28,Strecksprung,1.445,11.509,5.548,1.445,11.509,5.548,26.163,74.699,52.011,7.094,22.927,1.311,1.506,-19.27,6.623,-1.278,-0.153,2.392,-5.876,8.006,-4.778,7.094,22.927,1.311,1.506,-19.27,6.623,-1.278,-0.153,2.392,-5.876,8.006,-4.778,10.543,28.772,20.821,6.427,20.93,18.752,2.86,3.401,2.762,6.333,21.595,9.676,104.222,-25.92,77.76,-6.96,-12.31,79.69,-10.99,2.019,7.2,25.92,-21.36,6.75,23.28,-6.19,1.958,-0.48,16.16,37.84,-0.16,5.84,28.24,0.924,-8.88,2.48,13.92,-4.6,4.01,11.13,0.685,-0.24,-2.72,5.52,-0.46,-3.45,6.4
