SprungID,Sprungtyp,DJump_SIG_I_x LapEnd,DJump_SIG_I_y LapEnd,DJump_SIG_I_z LapEnd,DJump_I_ABS_x LapEnd,DJump_I_ABS_y LapEnd,DJump_I_ABS_z LapEnd,DJump_ABS_I_x LapEnd,DJump_ABS_I_y LapEnd,DJump_ABS_I_z LapEnd,DJump_SIG_I_S1_x LapEnd,DJump_SIG_I_S1_y LapEnd,DJump_SIG_I_S1_z LapEnd,DJump_SIG_I_S2_x LapEnd,DJump_SIG_I_S2_y LapEnd,DJump_SIG_I_S2_z LapEnd,DJump_SIG_I_S3_x LapEnd,DJump_SIG_I_S3_y LapEnd,DJump_SIG_I_S3_z LapEnd,DJump_SIG_I_S4_x LapEnd,DJump_SIG_I_S4_y LapEnd,DJump_SIG_I_S4_z LapEnd,DJump_I_ABS_S1_x LapEnd,DJump_I_ABS_S1_y LapEnd,DJump_I_ABS_S1_z LapEnd,DJump_I_ABS_S2_x LapEnd,DJump_I_ABS_S2_y LapEnd,DJump_I_ABS_S2_z LapEnd,DJump_I_ABS_S3_x LapEnd,DJump_I_ABS_S3_y LapEnd,DJump_I_ABS_S3_z LapEnd,DJump_I_ABS_S4_x LapEnd,DJump_I_ABS_S4_y LapEnd,DJump_I_ABS_S4_z LapEnd,DJump_ABS_I_S1_x LapEnd,DJump_ABS_I_S1_y LapEnd,DJump_ABS_I_S1_z LapEnd,DJump_ABS_I_S2_x LapEnd,DJump_ABS_I_S2_y LapEnd,DJump_ABS_I_S2_z LapEnd,DJump_ABS_I_S3_x LapEnd,DJump_ABS_I_S3_y LapEnd,DJump_ABS_I_S3_z LapEnd,DJump_ABS_I_S4_x LapEnd,DJump_ABS_I_S4_y LapEnd,DJump_ABS_I_S4_z LapEnd,0_Acc_N_Fil,0_Gyro_x_R,0_Gyro_y_R,0_Gyro_z_R,0_Gyro_x_Fil,0_Gyro_y_Fil,0_Gyro_z_Fil,20_Acc_N_Fil,20_Gyro_x_R,20_Gyro_y_R,20_Gyro_z_R,20_Gyro_x_Fil,20_Gyro_y_Fil,20_Gyro_z_Fil,40_Acc_N_Fil,40_Gyro_x_R,40_Gyro_y_R,40_Gyro_z_R,40_Gyro_x_Fil,40_Gyro_y_Fil,40_Gyro_z_Fil,60_Acc_N_Fil,60_Gyro_x_R,60_Gyro_y_R,60_Gyro_z_R,60_Gyro_x_Fil,60_Gyro_y_Fil,60_Gyro_z_Fil,80_Acc_N_Fil,80_Gyro_x_R,80_Gyro_y_R,80_Gyro_z_R,80_Gyro_x_Fil,80_Gyro_y_Fil,80_Gyro_z_Fil
0827-BK1-01-4,Salto C,6.606,356.118,9.29,6.606,356.118,9.29,21.629,389.448,29.9,1.664,37.054,4.951,2.559,196.232,1.052,0.668,73.44,-1.452,1.714,49.392,4.739,1.664,37.054,4.951,2.559,196.232,1.052,0.668,73.44,-1.452,1.714,49.392,4.739,8.133,70.384,11.273,7.063,196.232,7.37,1.748,73.44,2.102,4.685,49.392,9.156,36.494,8.993,24.072,12.864,8.101,27.959,11.485,17.704,-1.467,460.826,4.134,-1.444,455.801,4.1,3.948,5.128,180.132,-2.201,5.356,181.673,-2.13,2.955,-1.927,123.481,-0.424,-1.888,123.113,-0.626,19.965,5.846,103.271,8.851,5.686,102.401,8.627
0827-BK1-01-5,Strecksprung,-2.02,-10.113,-6.796,2.02,10.113,6.796,17.8,93.502,22.528,4.404,17.172,-5.864,-1.504,-19.954,-1.466,0.903,-12.641,2.161,-5.822,5.31,-1.627,4.404,17.172,5.864,-1.504,-14.39,1.466,0.903,12.641,-2.161,-1.783,-5.31,1.627,5.367,20.565,8.322,2.673,20.171,4.462,1.849,12.641,2.632,7.911,40.125,7.112,32.05,9.087,39.947,-12.847,9.308,41.61,-12.408,0.368,0.206,-17.479,-8.509,0.054,-18.036,-8.592,0.371,-0.581,-50.92,7.16,-0.499,-50.577,7.026,0.802,2.531,-12.963,2.011,2.416,-13.49,2.18,26.299,-16.181,17.898,-4.605,-15.918,17.822,-4.524
0827-BK1-01-7,Salto C,-4.728,357.453,7.993,4.728,357.453,7.993,20.548,384.109,26.83,-1.142,49.436,2.471,-2.4,175.541,4.996,0.07,78.762,0.829,-1.255,53.714,-0.303,1.142,49.436,2.471,2.4,175.541,4.996,-0.07,78.762,0.829,1.255,53.714,-0.303,7.535,75.439,10.551,6.564,175.541,6.459,1.365,78.762,1.016,5.083,54.368,8.804,35.872,4.85,23.74,8.074,4.337,29.423,7.451,17.917,-16.594,443.143,8.018,-15.687,436.057,8.061,3.561,4.627,167.302,3.166,3.859,169.402,3.25,2.679,-1.731,136.73,0.747,-1.811,136.228,0.691,19.522,-2.808,107.047,-0.665,-3.011,106.016,-0.217
0827-BK1-01-9,Strecksprung,-1.534,7.572,-0.235,1.534,7.572,0.235,22.433,86.668,42.461,2.446,27.969,-2.247,-1.504,-16.358,4.185,2.41,-4.442,3.332,-4.885,0.405,-5.505,2.446,27.969,2.247,-1.504,-16.358,-0.309,2.41,-4.442,3.332,-1.818,0.405,-5.034,8.433,28.415,11.871,4.348,16.503,9.783,3.476,4.585,4.921,6.176,37.165,15.886,24.207,9.207,63.692,-1.243,8.823,63.721,-1.086,1.12,-1.76,-31.025,-4.519,-2.02,-29.972,-4.433,0.604,-2.744,-8.163,16.131,-2.483,-9.044,15.982,0.413,4.189,-14.364,6.919,4.127,-14.446,6.669,20.833,-12.817,8.651,-17.925,-12.528,7.979,-16.598
0827-BK1-01-10,Salto C,-6.303,357.775,3.611,6.303,357.775,3.611,22.496,372.394,32.164,-2.502,58.367,2.308,-0.286,162.779,-0.667,-2.04,75.041,1.22,-1.477,61.587,0.749,2.502,58.367,2.308,0.286,162.779,-0.667,2.04,75.041,1.22,1.477,61.587,0.749,8.223,72.987,11.108,5.765,162.779,7.244,2.37,75.041,2.751,6.138,61.587,11.063,34.75,2.816,43.653,1.598,2.117,48.543,0.864,16.064,-14.233,410.771,5.958,-13.407,405.129,5.549,3.507,1.987,167.085,-5.206,1.675,168.499,-5.181,2.909,-3.627,132.909,2.881,-3.704,132.867,3.174,21.618,-2.477,124.467,3.896,-1.815,123.54,3.365
0827-BK1-01-12,Strecksprung,0.104,11.763,2.946,0.104,11.763,2.946,23.244,92.215,46.754,4.254,28.843,1.031,0.988,-18.011,4.159,1.397,-4.997,3.144,-6.534,5.928,-5.388,4.254,28.843,1.031,0.988,-18.011,4.159,1.397,-4.997,3.144,-6.534,5.928,-5.388,8.622,31.473,9.423,5.237,18.922,17.758,2.7,5.009,4.82,6.685,36.81,14.754,29.125,11.375,66.152,7.647,11.433,67.192,7.061,1.056,2.904,-38.601,-7.22,2.336,-38.318,-6.879,0.82,-0.8,-8.066,16.412,-0.514,-8.978,16.906,0.41,1.062,-11.866,7.407,0.947,-12.057,7.077,19.433,-14.55,22.237,-16.875,-14.223,21.43,-15.319
0827-BK1-01-13,Salto C,-3.612,350.271,1.937,3.612,350.271,1.937,22.719,378.015,32.926,-0.454,51.441,3.302,1.558,168.648,-0.349,-1.936,79.431,-2.177,-2.78,50.751,1.16,0.454,51.441,3.302,0.651,168.648,-0.349,-0.273,79.431,-2.177,2.78,50.751,1.16,9.013,79.176,12.362,5.16,168.648,7.565,2.854,79.431,2.642,5.693,50.759,10.356,37.128,6.356,32.424,11.143,5.929,37.882,9.563,16.279,-4.901,417.479,1.044,-4.915,411.429,1.195,3.541,1.672,163.061,-9.062,1.849,164.614,-9.06,2.915,-6.08,146.59,-1.889,-6.153,145.868,-1.952,20.757,-6.099,94.359,3.153,-5.599,92.952,3.817
0827-BK1-01-16,Salto C,17.714,354.126,2.046,17.714,354.126,2.046,31.248,385.445,29.857,3.006,43.891,1.369,6.75,180.712,4.705,6.232,75.478,-0.997,1.726,54.045,-3.031,3.006,43.891,1.369,6.75,180.712,4.705,6.232,75.478,-0.997,1.726,54.045,-3.031,9.098,75.209,12.875,9.281,180.712,6.421,6.232,75.478,1.542,6.636,54.045,9.019,37.29,10.634,26.578,8.326,10.441,31.703,6.212,17.021,5.75,438.851,2.185,5.663,432.929,2.201,3.748,14.104,168.226,3.972,14.298,169.698,3.708,2.757,11.748,131.762,-4.512,11.498,131.5,-4.508,18.473,1.383,110.358,-4.908,1.436,109.007,-3.577
0827-BK1-01-19,Salto C,16.204,357.228,15.359,16.204,357.228,15.359,38.942,381.171,37.994,0.138,44.833,4.148,3.619,180.623,12.044,8.999,68.052,3.206,3.447,63.721,-4.041,0.138,44.833,4.148,3.619,180.623,12.044,8.999,68.052,3.206,3.447,63.721,-4.041,14.373,68.776,11.055,9.435,180.623,12.455,8.999,68.052,3.916,6.135,63.721,10.568,35.715,9.511,32.708,10.171,9.012,36.403,8.544,17.116,-5.617,429.169,25.161,-5.581,423.924,24.548,3.787,13.335,168.744,9.626,13.632,170.458,10.168,2.537,17.935,113.618,0.3,17.941,113.595,0.587,20.684,4.422,132.711,-7.49,4.344,131.467,-6.607
0827-BK1-01-22,Salto C,4.115,350.955,16.79,4.115,350.955,16.79,22.406,360.153,28.12,1.27,52.368,2.488,-2.873,178.852,6.954,3.323,75.713,3.024,2.395,44.021,4.324,1.27,52.368,2.488,0.332,178.852,6.954,0.117,75.713,3.024,2.395,44.021,4.324,7.317,61.567,8.572,6.433,178.852,7.627,3.891,75.713,3.67,4.765,44.021,8.251,37.019,4.766,41.524,7.693,4.26,46.086,6.484,15.912,-6.745,436.215,10.503,-6.602,431.664,10.222,3.941,4.971,173.123,11.141,4.954,174.273,11.321,3.307,3.174,127.175,3.643,3.334,126.581,3.559,18.991,3.958,88.743,8.726,4.301,88.443,9.147
