Acc_N_Fil,Gyro_x_R,Gyro_y_R,Gyro_z_R,Gyro_x_Fil,Gyro_y_Fil,Gyro_z_Fil,SprungID,Sprungtyp,DJump_SIG_I_x LapEnd,DJump_SIG_I_y LapEnd,DJump_SIG_I_z LapEnd,DJump_I_ABS_x LapEnd,DJump_I_ABS_y LapEnd,DJump_I_ABS_z LapEnd,DJump_ABS_I_x LapEnd,DJump_ABS_I_y LapEnd,DJump_ABS_I_z LapEnd,DJump_SIG_I_S1_x LapEnd,DJump_SIG_I_S1_y LapEnd,DJump_SIG_I_S1_z LapEnd,DJump_SIG_I_S2_x LapEnd,DJump_SIG_I_S2_y LapEnd,DJump_SIG_I_S2_z LapEnd,DJump_SIG_I_S3_x LapEnd,DJump_SIG_I_S3_y LapEnd,DJump_SIG_I_S3_z LapEnd,DJump_SIG_I_S4_x LapEnd,DJump_SIG_I_S4_y LapEnd,DJump_SIG_I_S4_z LapEnd,DJump_I_ABS_S1_x LapEnd,DJump_I_ABS_S1_y LapEnd,DJump_I_ABS_S1_z LapEnd,DJump_I_ABS_S2_x LapEnd,DJump_I_ABS_S2_y LapEnd,DJump_I_ABS_S2_z LapEnd,DJump_I_ABS_S3_x LapEnd,DJump_I_ABS_S3_y LapEnd,DJump_I_ABS_S3_z LapEnd,DJump_I_ABS_S4_x LapEnd,DJump_I_ABS_S4_y LapEnd,DJump_I_ABS_S4_z LapEnd,DJump_ABS_I_S1_x LapEnd,DJump_ABS_I_S1_y LapEnd,DJump_ABS_I_S1_z LapEnd,DJump_ABS_I_S2_x LapEnd,DJump_ABS_I_S2_y LapEnd,DJump_ABS_I_S2_z LapEnd,DJump_ABS_I_S3_x LapEnd,DJump_ABS_I_S3_y LapEnd,DJump_ABS_I_S3_z LapEnd,DJump_ABS_I_S4_x LapEnd,DJump_ABS_I_S4_y LapEnd,DJump_ABS_I_S4_z LapEnd
70.343,4.92,31.76,40.88,0.83,30.31,23.25,20190930-1153-FRANKFURT_1-01-249,Strecksprung,-3.739,2.442,-11.059,3.739,2.442,11.059,13.257,30.206,34.854,-2.92,6.804,-7.928,1.554,-2.232,6.864,-1.272,4.293,-1.575,-1.101,-6.423,-8.421,2.92,6.804,7.928,-1.554,-2.232,-6.864,1.272,4.293,1.575,1.101,-6.423,8.421,6.857,11.034,13.403,1.75,3.253,6.864,2.111,4.293,5.13,2.538,11.626,9.458
1.573,2.36,-17.68,14.0,3.44,-17.1,15.26,20190930-1153-FRANKFURT_1-01-249,Strecksprung,-3.739,2.442,-11.059,3.739,2.442,11.059,13.257,30.206,34.854,-2.92,6.804,-7.928,1.554,-2.232,6.864,-1.272,4.293,-1.575,-1.101,-6.423,-8.421,2.92,6.804,7.928,-1.554,-2.232,-6.864,1.272,4.293,1.575,1.101,-6.423,8.421,6.857,11.034,13.403,1.75,3.253,6.864,2.111,4.293,5.13,2.538,11.626,9.458
0.547,1.24,1.68,14.36,1.2,2.37,13.24,20190930-1153-FRANKFURT_1-01-249,Strecksprung,-3.739,2.442,-11.059,3.739,2.442,11.059,13.257,30.206,34.854,-2.92,6.804,-7.928,1.554,-2.232,6.864,-1.272,4.293,-1.575,-1.101,-6.423,-8.421,2.92,6.804,7.928,-1.554,-2.232,-6.864,1.272,4.293,1.575,1.101,-6.423,8.421,6.857,11.034,13.403,1.75,3.253,6.864,2.111,4.293,5.13,2.538,11.626,9.458
1.213,-13.16,14.36,11.76,-11.01,10.09,5.83,20190930-1153-FRANKFURT_1-01-249,Strecksprung,-3.739,2.442,-11.059,3.739,2.442,11.059,13.257,30.206,34.854,-2.92,6.804,-7.928,1.554,-2.232,6.864,-1.272,4.293,-1.575,-1.101,-6.423,-8.421,2.92,6.804,7.928,-1.554,-2.232,-6.864,1.272,4.293,1.575,1.101,-6.423,8.421,6.857,11.034,13.403,1.75,3.253,6.864,2.111,4.293,5.13,2.538,11.626,9.458
96.962,-28.64,118.48,-56.72,-21.61,125.81,-53.01,0115-CHARI-05-57,Strecksprung,-5.516,-15.209,-26.392,5.516,15.209,26.392,21.287,106.831,38.014,-8.027,30.143,-18.866,3.686,-15.217,1.196,-0.699,-31.242,-5.596,-0.476,1.108,-3.126,8.027,30.143,18.866,-3.686,-15.217,-1.196,0.699,1.392,5.596,0.476,-1.108,3.126,12.26,32.585,19.642,3.722,15.217,4.162,2.421,31.242,6.511,2.884,27.786,7.699
1.332,8.32,-14.56,4.4,5.43,-11.51,2.57,0115-CHARI-05-57,Strecksprung,-5.516,-15.209,-26.392,5.516,15.209,26.392,21.287,106.831,38.014,-8.027,30.143,-18.866,3.686,-15.217,1.196,-0.699,-31.242,-5.596,-0.476,1.108,-3.126,8.027,30.143,18.866,-3.686,-15.217,-1.196,0.699,1.392,5.596,0.476,-1.108,3.126,12.26,32.585,19.642,3.722,15.217,4.162,2.421,31.242,6.511,2.884,27.786,7.699
1.38,3.12,-41.52,3.6,3.64,-45.98,4.8,0115-CHARI-05-57,Strecksprung,-5.516,-15.209,-26.392,5.516,15.209,26.392,21.287,106.831,38.014,-8.027,30.143,-18.866,3.686,-15.217,1.196,-0.699,-31.242,-5.596,-0.476,1.108,-3.126,8.027,30.143,18.866,-3.686,-15.217,-1.196,0.699,1.392,5.596,0.476,-1.108,3.126,12.26,32.585,19.642,3.722,15.217,4.162,2.421,31.242,6.511,2.884,27.786,7.699
0.632,-4.64,-50.24,-13.6,-3.93,-50.38,-12.73,0115-CHARI-05-57,Strecksprung,-5.516,-15.209,-26.392,5.516,15.209,26.392,21.287,106.831,38.014,-8.027,30.143,-18.866,3.686,-15.217,1.196,-0.699,-31.242,-5.596,-0.476,1.108,-3.126,8.027,30.143,18.866,-3.686,-15.217,-1.196,0.699,1.392,5.596,0.476,-1.108,3.126,12.26,32.585,19.642,3.722,15.217,4.162,2.421,31.242,6.511,2.884,27.786,7.699
98.159,27.64,197.24,35.24,18.03,210.87,15.11,20190930-1153-FRANKFURT_1-01-166,Schraubensalto,64.785,81.262,397.064,64.785,81.262,397.064,170.539,259.878,414.93,24.115,78.067,58.937,75.083,-23.715,116.448,-43.112,-52.435,158.11,8.7,79.345,63.569,24.115,78.067,58.937,75.083,-23.715,116.448,-43.112,-52.435,158.11,8.7,79.345,63.569,24.532,78.067,58.999,75.083,38.908,116.448,45.399,63.557,158.11,25.526,79.345,81.373
3.297,127.36,75.44,171.44,127.75,76.72,174.39,20190930-1153-FRANKFURT_1-01-166,Schraubensalto,64.785,81.262,397.064,64.785,81.262,397.064,170.539,259.878,414.93,24.115,78.067,58.937,75.083,-23.715,116.448,-43.112,-52.435,158.11,8.7,79.345,63.569,24.115,78.067,58.937,75.083,-23.715,116.448,-43.112,-52.435,158.11,8.7,79.345,63.569,24.532,78.067,58.999,75.083,38.908,116.448,45.399,63.557,158.11,25.526,79.345,81.373
10.069,50.8,-227.4,335.6,47.86,-226.49,330.49,20190930-1153-FRANKFURT_1-01-166,Schraubensalto,64.785,81.262,397.064,64.785,81.262,397.064,170.539,259.878,414.93,24.115,78.067,58.937,75.083,-23.715,116.448,-43.112,-52.435,158.11,8.7,79.345,63.569,24.115,78.067,58.937,75.083,-23.715,116.448,-43.112,-52.435,158.11,8.7,79.345,63.569,24.532,78.067,58.999,75.083,38.908,116.448,45.399,63.557,158.11,25.526,79.345,81.373
10.462,-86.24,114.72,294.8,-86.84,111.6,300.53,20190930-1153-FRANKFURT_1-01-166,Schraubensalto,64.785,81.262,397.064,64.785,81.262,397.064,170.539,259.878,414.93,24.115,78.067,58.937,75.083,-23.715,116.448,-43.112,-52.435,158.11,8.7,79.345,63.569,24.115,78.067,58.937,75.083,-23.715,116.448,-43.112,-52.435,158.11,8.7,79.345,63.569,24.532,78.067,58.999,75.083,38.908,116.448,45.399,63.557,158.11,25.526,79.345,81.373
85.024,-3.52,114.56,-29.84,-12.02,144.88,-13.11,20191003-1152-FRANKFURT_1-01-106,Salto C,-11.772,329.878,-13.108,11.772,329.878,13.108,23.227,355.845,30.813,1.773,17.112,-6.799,-9.916,195.748,-0.178,-2.052,64.807,-3.622,-1.577,52.211,-2.509,1.773,17.112,6.799,6.37,195.748,0.178,2.052,64.807,3.622,1.577,52.211,2.509,7.667,43.079,14.742,10.173,195.748,7.306,2.552,64.807,4.188,2.835,52.211,4.577
11.005,-3.92,25.36,16.76,-1.7,42.88,1.31,20191003-1152-FRANKFURT_1-01-106,Salto C,-11.772,329.878,-13.108,11.772,329.878,13.108,23.227,355.845,30.813,1.773,17.112,-6.799,-9.916,195.748,-0.178,-2.052,64.807,-3.622,-1.577,52.211,-2.509,1.773,17.112,6.799,6.37,195.748,0.178,2.052,64.807,3.622,1.577,52.211,2.509,7.667,43.079,14.742,10.173,195.748,7.306,2.552,64.807,4.188,2.835,52.211,4.577
9.118,-7.04,340.0,16.92,-3.6,346.22,11.43,20191003-1152-FRANKFURT_1-01-106,Salto C,-11.772,329.878,-13.108,11.772,329.878,13.108,23.227,355.845,30.813,1.773,17.112,-6.799,-9.916,195.748,-0.178,-2.052,64.807,-3.622,-1.577,52.211,-2.509,1.773,17.112,6.799,6.37,195.748,0.178,2.052,64.807,3.622,1.577,52.211,2.509,7.667,43.079,14.742,10.173,195.748,7.306,2.552,64.807,4.188,2.835,52.211,4.577
4.16,1.96,96.28,-0.12,-0.45,101.54,-0.44,20191003-1152-FRANKFURT_1-01-106,Salto C,-11.772,329.878,-13.108,11.772,329.878,13.108,23.227,355.845,30.813,1.773,17.112,-6.799,-9.916,195.748,-0.178,-2.052,64.807,-3.622,-1.577,52.211,-2.509,1.773,17.112,6.799,6.37,195.748,0.178,2.052,64.807,3.622,1.577,52.211,2.509,7.667,43.079,14.742,10.173,195.748,7.306,2.552,64.807,4.188,2.835,52.211,4.577
84.456,44.44,250.72,-12.96,38.39,254.86,-10.94,20191007-1150-FRANKFURT_2-01-225,Salto A,34.859,354.439,5.532,34.859,354.439,5.532,36.897,354.439,36.451,9.186,97.876,-7.818,0.897,84.608,1.81,9.79,74.208,7.765,14.984,97.748,3.775,9.186,97.876,7.818,0.897,84.608,-1.81,9.79,74.208,-4.251,14.984,97.748,3.775,9.246,97.876,12.106,2.859,84.608,6.531,9.79,74.208,7.765,15.001,97.748,10.049
7.878,20.52,162.48,11.0,14.06,158.75,5.11,20191007-1150-FRANKFURT_2-01-225,Salto A,34.859,354.439,5.532,34.859,354.439,5.532,36.897,354.439,36.451,9.186,97.876,-7.818,0.897,84.608,1.81,9.79,74.208,7.765,14.984,97.748,3.775,9.186,97.876,7.818,0.897,84.608,-1.81,9.79,74.208,-4.251,14.984,97.748,3.775,9.246,97.876,12.106,2.859,84.608,6.531,9.79,74.208,7.765,15.001,97.748,10.049
7.774,19.28,212.84,25.04,16.24,221.92,26.87,20191007-1150-FRANKFURT_2-01-225,Salto A,34.859,354.439,5.532,34.859,354.439,5.532,36.897,354.439,36.451,9.186,97.876,-7.818,0.897,84.608,1.81,9.79,74.208,7.765,14.984,97.748,3.775,9.186,97.876,7.818,0.897,84.608,-1.81,9.79,74.208,-4.251,14.984,97.748,3.775,9.246,97.876,12.106,2.859,84.608,6.531,9.79,74.208,7.765,15.001,97.748,10.049
10.644,19.8,168.84,5.88,19.83,173.25,2.67,20191007-1150-FRANKFURT_2-01-225,Salto A,34.859,354.439,5.532,34.859,354.439,5.532,36.897,354.439,36.451,9.186,97.876,-7.818,0.897,84.608,1.81,9.79,74.208,7.765,14.984,97.748,3.775,9.186,97.876,7.818,0.897,84.608,-1.81,9.79,74.208,-4.251,14.984,97.748,3.775,9.246,97.876,12.106,2.859,84.608,6.531,9.79,74.208,7.765,15.001,97.748,10.049
102.338,11.12,97.92,-13.32,13.03,111.74,-9.05,20191008-1207-FRANKFURT_2-01-240,Salto B,30.745,343.599,-17.709,30.745,343.599,17.709,51.634,406.873,50.825,-0.138,-7.966,1.735,21.677,212.371,-6.072,12.688,63.417,-9.637,-3.483,75.777,-3.735,0.138,7.966,1.735,21.402,196.439,2.603,12.688,63.417,9.637,-3.483,75.777,3.735,5.823,52.482,10.603,22.969,212.41,11.642,12.688,63.417,10.485,10.155,78.564,18.095
