DJump_SIG_I_x LapEnd,DJump_SIG_I_y LapEnd,DJump_SIG_I_z LapEnd,DJump_I_ABS_x LapEnd,DJump_I_ABS_y LapEnd,DJump_I_ABS_z LapEnd,DJump_ABS_I_x LapEnd,DJump_ABS_I_y LapEnd,DJump_ABS_I_z LapEnd,DJump_SIG_I_S1_x LapEnd,DJump_SIG_I_S1_y LapEnd,DJump_SIG_I_S1_z LapEnd,DJump_SIG_I_S2_x LapEnd,DJump_SIG_I_S2_y LapEnd,DJump_SIG_I_S2_z LapEnd,DJump_SIG_I_S3_x LapEnd,DJump_SIG_I_S3_y LapEnd,DJump_SIG_I_S3_z LapEnd,DJump_SIG_I_S4_x LapEnd,DJump_SIG_I_S4_y LapEnd,DJump_SIG_I_S4_z LapEnd,DJump_I_ABS_S1_x LapEnd,DJump_I_ABS_S1_y LapEnd,DJump_I_ABS_S1_z LapEnd,DJump_I_ABS_S2_x LapEnd,DJump_I_ABS_S2_y LapEnd,DJump_I_ABS_S2_z LapEnd,DJump_I_ABS_S3_x LapEnd,DJump_I_ABS_S3_y LapEnd,DJump_I_ABS_S3_z LapEnd,DJump_I_ABS_S4_x LapEnd,DJump_I_ABS_S4_y LapEnd,DJump_I_ABS_S4_z LapEnd,DJump_ABS_I_S1_x LapEnd,DJump_ABS_I_S1_y LapEnd,DJump_ABS_I_S1_z LapEnd,DJump_ABS_I_S2_x LapEnd,DJump_ABS_I_S2_y LapEnd,DJump_ABS_I_S2_z LapEnd,DJump_ABS_I_S3_x LapEnd,DJump_ABS_I_S3_y LapEnd,DJump_ABS_I_S3_z LapEnd,DJump_ABS_I_S4_x LapEnd,DJump_ABS_I_S4_y LapEnd,DJump_ABS_I_S4_z LapEnd,0_Acc_N_Fil,0_Gyro_x_R,0_Gyro_y_R,0_Gyro_z_R,0_Gyro_x_Fil,0_Gyro_y_Fil,0_Gyro_z_Fil,25_Acc_N_Fil,25_Gyro_x_R,25_Gyro_y_R,25_Gyro_z_R,25_Gyro_x_Fil,25_Gyro_y_Fil,25_Gyro_z_Fil,50_Acc_N_Fil,50_Gyro_x_R,50_Gyro_y_R,50_Gyro_z_R,50_Gyro_x_Fil,50_Gyro_y_Fil,50_Gyro_z_Fil,75_Acc_N_Fil,75_Gyro_x_R,75_Gyro_y_R,75_Gyro_z_R,75_Gyro_x_Fil,75_Gyro_y_Fil,75_Gyro_z_Fil,Sprungtyp,SprungID
9.262,348.398,-7.961,15.604,355.9,16.286,34.546,380.652,42.063,-0.063,41.721,-1.661,4.681,182.346,-2.107,2.883,62.567,-2.203,1.761,61.765,-1.989,3.38,42.389,6.227,5.974,186.547,4.429,3.876,63.884,3.764,2.295,62.788,1.619,8.941,66.586,13.421,11.329,187.199,11.851,6.3,63.895,6.453,8.056,63.264,10.586,27.918,-0.017,87.719,-2.599,0.173,90.33,-2.578,14.167,10.081,386.776,-4.111,9.954,383.245,-4.187,4.084,6.123,133.804,-3.895,6.175,134.331,-3.979,17.484,3.874,133.386,-3.306,3.603,131.936,-3.122,Salto C,generated_Mean_Salto C
-1.075,1.663,-0.057,5.18,13.13,11.04,21.22,82.201,35.815,-0.367,20.833,0.416,0.196,-12.838,0.003,-0.701,-14.34,0.258,-0.204,8.008,-0.734,3.193,22.332,5.795,0.593,-8.662,1.962,0.272,-1.47,1.331,0.107,-3.926,-0.028,7.655,27.299,12.32,4.439,16.229,8.965,4.053,16.988,6.89,6.086,26.541,9.62,23.733,-0.791,46.069,2.153,-0.748,46.391,1.977,1.041,0.452,-28.883,1.122,0.459,-28.715,1.166,0.983,-1.707,-32.109,1.823,-1.695,-32.088,1.782,17.873,-0.361,19.093,-0.586,-0.36,18.856,-0.568,Strecksprung,generated_Mean_Strecksprung
12.835,330.557,-17.81,21.87,347.418,27.047,40.814,396.915,51.559,0.595,9.369,-2.835,6.367,180.543,-4.83,3.463,75.588,-6.027,2.409,65.056,-4.118,2.503,12.842,6.238,8.859,184.531,5.867,4.7,79.995,7.174,4.531,67.15,4.367,9.632,60.148,16.154,14.445,191.252,14.86,8.515,79.995,10.69,9.499,68.418,13.256,28.251,1.247,21.735,-5.217,1.827,24.41,-5.714,17.91,14.495,394.042,-10.548,14.247,390.432,-10.576,6.344,7.521,168.536,-12.744,7.656,169.841,-12.634,19.275,5.622,144.188,-8.464,5.279,142.881,-7.952,Salto B,generated_Mean_Salto B
5.844,245.005,-22.183,19.245,345.715,23.921,31.73,347.747,44.93,1.898,55.002,-5.055,2.296,71.158,-5.338,0.921,57.664,-4.836,0.729,61.181,-6.953,4.906,78.015,7.288,4.369,96.156,4.642,3.488,81.123,4.507,6.122,90.072,6.801,9.255,79.366,16.135,7.063,96.156,8.578,5.652,81.123,6.704,10.12,91.452,14.196,25.518,4.026,122.934,-10.472,4.262,123.001,-11.32,7.562,4.814,157.491,-11.053,4.775,156.906,-11.051,6.883,1.844,127.693,-9.886,1.856,127.88,-9.921,20.61,1.5,136.874,-15.063,1.235,136.713,-13.598,Salto A,generated_Mean_Salto A
-84.0,43.131,163.634,107.478,69.909,181.168,123.423,254.086,196.93,-10.437,-61.306,27.718,-46.711,-35.796,71.643,-26.558,45.839,62.167,-0.293,94.393,2.107,13.371,66.858,29.089,58.251,41.604,76.16,34.902,-51.238,68.84,-0.061,-8.099,3.713,17.966,69.87,34.968,58.946,46.125,76.163,36.129,52.693,69.56,11.396,106.181,19.604,28.452,-24.415,-146.04,66.961,-24.266,-145.593,66.564,9.369,-109.928,-84.073,172.399,-109.458,-83.112,172.085,8.937,-61.585,109.477,148.068,-61.696,109.063,147.903,20.966,-0.584,224.739,5.549,-0.797,224.351,6.595,Barani A,generated_Mean_Barani A
30.506,699.373,-27.635,33.548,700.468,32.073,56.445,702.525,62.287,3.903,71.457,-6.507,2.366,309.755,-5.131,20.261,224.484,-7.533,3.976,93.677,-8.465,4.912,71.457,6.783,7.582,309.755,6.843,16.703,224.484,8.296,3.566,93.677,8.529,10.15,74.88,17.787,14.175,309.755,13.937,22.86,224.484,17.127,10.045,94.502,15.057,30.705,9.123,165.511,-15.041,9.313,169.685,-15.863,47.204,5.601,719.969,-12.201,5.947,715.524,-11.719,28.833,47.597,523.79,-18.015,47.171,523.146,-17.995,20.249,9.381,218.726,-19.869,9.452,217.283,-19.057,Doppelsalto C,generated_Mean_Doppelsalto C
10.945,230.0,-17.947,17.928,315.327,19.74,29.957,317.105,46.138,1.871,42.141,0.922,2.991,54.19,-4.321,1.579,66.698,-5.666,4.504,66.971,-8.882,4.37,60.654,4.512,3.882,75.057,1.405,3.37,89.045,5.099,6.306,90.57,8.723,7.465,60.714,11.064,5.806,75.057,7.264,5.1,89.045,7.795,11.586,92.288,20.014,25.394,3.525,83.946,4.266,3.664,84.087,4.401,4.047,5.893,110.32,-6.251,5.88,110.267,-6.237,4.286,3.192,135.788,-8.862,3.177,135.777,-8.908,19.814,8.503,133.898,-16.684,8.396,131.958,-16.058,3/4 Salto rw A,generated_Mean_3/4 Salto rw A
-10.567,283.922,-6.899,28.176,391.127,12.414,52.304,475.079,65.24,-5.273,5.288,5.571,-0.141,157.287,-6.901,-3.995,56.5,-2.142,-1.158,64.847,-3.426,7.521,13.535,10.448,10.939,218.391,-1.733,5.951,75.295,1.476,3.766,83.905,2.223,16.029,88.53,22.953,18.222,226.311,19.606,7.172,75.295,7.081,10.881,84.942,15.598,37.453,-11.626,11.925,16.322,-11.655,15.489,15.631,23.892,-1.739,346.88,-14.327,-1.646,345.179,-13.831,6.587,-9.473,125.897,-2.466,-9.416,126.17,-2.941,18.232,-3.489,145.054,-6.098,-3.948,145.144,-5.397,Cody C,generated_Mean_Cody C
48.268,142.986,192.435,61.564,142.986,384.11,159.356,279.195,389.859,14.548,81.59,25.399,46.491,-26.748,61.196,-7.799,-7.526,87.119,-4.973,95.67,18.722,22.574,81.59,57.552,76.594,-26.748,133.357,-31.612,-5.003,155.503,-5.992,93.147,37.698,26.924,81.59,57.921,77.468,48.258,133.357,37.071,53.671,155.503,17.893,95.675,43.078,24.734,30.484,178.376,53.71,31.362,178.173,53.96,6.621,97.983,-57.727,127.484,97.316,-57.252,127.551,10.775,-14.207,-15.279,183.654,-13.81,-15.088,183.014,18.711,-10.468,209.001,40.639,-10.702,207.353,40.911,Schraubensalto,generated_Mean_Schraubensalto
107.928,26.451,535.472,111.86,35.805,535.472,174.403,319.78,554.856,-8.443,-91.748,85.291,78.633,-23.937,261.17,27.591,28.749,170.696,10.147,113.387,18.314,15.493,91.748,85.291,57.375,23.937,261.17,33.242,-28.749,170.696,5.75,-51.131,18.314,22.872,95.44,88.072,89.761,42.319,261.17,43.48,67.072,171.257,18.29,114.949,34.356,30.289,-18.614,-217.998,203.765,-17.63,-216.374,205.302,17.265,187.8,-56.926,622.896,186.021,-57.375,621.329,13.246,65.566,73.029,402.389,66.332,73.191,401.663,22.129,24.548,269.4,42.887,24.019,269.614,43.731,Rudi,generated_Mean_Rudi
84.413,-318.432,530.664,166.216,510.342,625.464,170.983,460.144,603.414,-15.353,-219.892,26.428,-38.286,-203.731,97.139,102.421,-30.904,343.131,35.632,136.095,63.967,16.175,219.892,26.428,37.465,203.731,120.281,15.024,30.904,367.27,27.74,-136.095,68.875,29.809,224.136,49.707,45.63,208.955,124.962,123.481,81.744,367.27,41.877,137.22,104.086,49.63,-38.173,-529.276,65.611,-37.331,-528.61,60.349,47.574,-91.279,-495.846,240.102,-88.197,-494.888,245.424,37.255,253.779,-71.71,844.211,249.592,-70.202,836.401,27.968,87.11,330.201,156.313,86.496,324.563,165.124,Fliffis- Rudi C,generated_Mean_Fliffis- Rudi C
-43.531,-69.866,199.018,49.825,70.3,207.236,75.522,306.12,221.295,-2.869,-122.387,18.977,-13.039,-57.108,84.244,-25.313,35.595,78.468,-2.311,74.034,17.329,9.961,122.387,19.833,12.269,57.108,87.467,24.467,-35.595,81.793,3.127,-73.6,18.143,14.741,128.037,25.016,21.672,63.706,87.754,28.372,40.033,82.335,10.737,74.345,26.191,32.703,-5.665,-270.17,44.195,-5.8,-268.386,44.187,10.871,-28.711,-124.117,189.203,-28.733,-124.734,188.741,6.333,-54.83,80.884,174.749,-54.559,80.688,174.557,20.601,-5.136,166.363,39.58,-5.285,166.386,39.981,Barani C,generated_Mean_Barani C
-3.994,1.934,1.604,6.029,7.529,6.39,28.941,186.705,44.928,-0.531,-2.837,1.066,-1.809,-53.389,1.35,-1.647,40.32,-1.831,-0.007,17.839,1.019,2.32,18.931,3.617,2.163,37.295,0.95,1.062,-40.106,1.033,0.484,-8.591,0.791,7.928,40.538,13.246,7.562,74.897,10.392,6.574,44.75,8.718,6.877,26.52,12.571,24.264,-1.046,-6.761,4.562,-0.647,-8.314,4.665,7.8,-4.191,-125.665,5.3,-4.26,-124.236,5.269,5.198,-3.729,95.37,-2.29,-3.643,94.372,-2.388,18.271,0.178,42.255,4.401,-0.059,43.699,4.645,Grätschwinkel,generated_Mean_Grätschwinkel
-47.441,-349.709,132.193,85.176,364.399,203.106,134.057,622.589,235.417,-10.125,-204.907,6.714,-14.476,-255.664,23.634,-22.637,-0.256,90.319,-0.204,111.117,11.527,16.629,204.907,9.241,23.937,255.664,33.238,37.497,0.256,128.254,4.076,-111.117,28.838,22.203,209.621,24.079,31.524,255.817,41.651,64.011,60.403,128.755,19.355,111.438,44.468,48.068,-22.758,-465.162,17.937,-22.17,-462.365,17.643,47.802,-31.67,-583.672,54.679,-31.722,-581.497,55.474,19.215,-50.456,-4.03,210.517,-50.158,-5.611,208.777,22.416,1.202,253.713,27.763,0.511,251.66,29.285,Fliffis C,generated_Mean_Fliffis C
-25.407,-88.832,-9.36,220.917,95.464,250.127,342.984,545.736,327.27,-14.476,71.693,-3.302,-8.6,-248.344,-5.636,0.012,-22.532,-12.655,-2.343,110.351,12.232,109.568,71.693,82.497,155.527,104.959,-3.934,-39.217,22.532,147.723,-4.962,-103.719,23.842,118.033,96.675,82.925,155.54,248.344,52.625,49.05,90.193,147.812,20.36,110.524,43.908,31.354,-24.572,152.974,-0.852,-23.297,150.107,-0.674,43.078,-10.058,-529.691,-10.677,-10.563,-525.68,-11.969,23.678,-2.341,-51.568,-17.158,-2.438,-52.467,-16.716,24.026,-4.887,234.335,28.718,-5.221,231.195,29.52,1/2 ein 1/2 aus C,generated_Mean_1/2 ein 1/2 aus C
