DJump_SIG_I_x LapEnd,DJump_SIG_I_y LapEnd,DJump_SIG_I_z LapEnd,DJump_I_ABS_x LapEnd,DJump_I_ABS_y LapEnd,DJump_I_ABS_z LapEnd,DJump_ABS_I_x LapEnd,DJump_ABS_I_y LapEnd,DJump_ABS_I_z LapEnd,DJump_SIG_I_S1_x LapEnd,DJump_SIG_I_S1_y LapEnd,DJump_SIG_I_S1_z LapEnd,DJump_SIG_I_S2_x LapEnd,DJump_SIG_I_S2_y LapEnd,DJump_SIG_I_S2_z LapEnd,DJump_SIG_I_S3_x LapEnd,DJump_SIG_I_S3_y LapEnd,DJump_SIG_I_S3_z LapEnd,DJump_SIG_I_S4_x LapEnd,DJump_SIG_I_S4_y LapEnd,DJump_SIG_I_S4_z LapEnd,DJump_I_ABS_S1_x LapEnd,DJump_I_ABS_S1_y LapEnd,DJump_I_ABS_S1_z LapEnd,DJump_I_ABS_S2_x LapEnd,DJump_I_ABS_S2_y LapEnd,DJump_I_ABS_S2_z LapEnd,DJump_I_ABS_S3_x LapEnd,DJump_I_ABS_S3_y LapEnd,DJump_I_ABS_S3_z LapEnd,DJump_I_ABS_S4_x LapEnd,DJump_I_ABS_S4_y LapEnd,DJump_I_ABS_S4_z LapEnd,DJump_ABS_I_S1_x LapEnd,DJump_ABS_I_S1_y LapEnd,DJump_ABS_I_S1_z LapEnd,DJump_ABS_I_S2_x LapEnd,DJump_ABS_I_S2_y LapEnd,DJump_ABS_I_S2_z LapEnd,DJump_ABS_I_S3_x LapEnd,DJump_ABS_I_S3_y LapEnd,DJump_ABS_I_S3_z LapEnd,DJump_ABS_I_S4_x LapEnd,DJump_ABS_I_S4_y LapEnd,DJump_ABS_I_S4_z LapEnd,0_mean_Acc_N_Fil,0_std_Acc_N_Fil,0_mean_Gyro_x_R,0_std_Gyro_x_R,0_mean_Gyro_y_R,0_std_Gyro_y_R,0_mean_Gyro_z_R,0_std_Gyro_z_R,0_mean_Gyro_x_Fil,0_std_Gyro_x_Fil,0_mean_Gyro_y_Fil,0_std_Gyro_y_Fil,0_mean_Gyro_z_Fil,0_std_Gyro_z_Fil,25_mean_Acc_N_Fil,25_std_Acc_N_Fil,25_mean_Gyro_x_R,25_std_Gyro_x_R,25_mean_Gyro_y_R,25_std_Gyro_y_R,25_mean_Gyro_z_R,25_std_Gyro_z_R,25_mean_Gyro_x_Fil,25_std_Gyro_x_Fil,25_mean_Gyro_y_Fil,25_std_Gyro_y_Fil,25_mean_Gyro_z_Fil,25_std_Gyro_z_Fil,50_mean_Acc_N_Fil,50_std_Acc_N_Fil,50_mean_Gyro_x_R,50_std_Gyro_x_R,50_mean_Gyro_y_R,50_std_Gyro_y_R,50_mean_Gyro_z_R,50_std_Gyro_z_R,50_mean_Gyro_x_Fil,50_std_Gyro_x_Fil,50_mean_Gyro_y_Fil,50_std_Gyro_y_Fil,50_mean_Gyro_z_Fil,50_std_Gyro_z_Fil,75_mean_Acc_N_Fil,75_std_Acc_N_Fil,75_mean_Gyro_x_R,75_std_Gyro_x_R,75_mean_Gyro_y_R,75_std_Gyro_y_R,75_mean_Gyro_z_R,75_std_Gyro_z_R,75_mean_Gyro_x_Fil,75_std_Gyro_x_Fil,75_mean_Gyro_y_Fil,75_std_Gyro_y_Fil,75_mean_Gyro_z_Fil,75_std_Gyro_z_Fil,Sprungtyp,SprungID
9.262,348.398,-7.961,15.604,355.9,16.286,34.546,380.652,42.063,-0.063,41.721,-1.661,4.681,182.346,-2.107,2.883,62.567,-2.203,1.761,61.765,-1.989,3.38,42.389,6.227,5.974,186.547,4.429,3.876,63.884,3.764,2.295,62.788,1.619,8.941,66.586,13.421,11.329,187.199,11.851,6.3,63.895,6.453,8.056,63.264,10.586,27.918,31.078,-0.017,21.986,87.719,143.31,-2.599,32.993,0.173,17.303,90.33,130.039,-2.578,21.378,14.167,6.978,10.081,22.238,386.776,152.896,-4.111,27.394,9.954,17.827,383.245,144.115,-4.187,18.33,4.084,0.903,6.123,9.216,133.804,31.901,-3.895,10.86,6.175,7.759,134.331,30.959,-3.979,8.408,17.484,25.267,3.874,20.178,133.386,79.142,-3.306,30.237,3.603,14.624,131.936,65.938,-3.122,19.582,Salto C,generated_Mean_Salto C
-1.075,1.663,-0.057,5.18,13.13,11.04,21.22,82.201,35.815,-0.367,20.833,0.416,0.196,-12.838,0.003,-0.701,-14.34,0.258,-0.204,8.008,-0.734,3.193,22.332,5.795,0.593,-8.662,1.962,0.272,-1.47,1.331,0.107,-3.926,-0.028,7.655,27.299,12.32,4.439,16.229,8.965,4.053,16.988,6.89,6.086,26.541,9.62,23.733,32.011,-0.791,18.858,46.069,51.233,2.153,30.357,-0.748,14.9,46.391,44.988,1.977,22.357,1.041,0.377,0.452,9.17,-28.883,20.102,1.122,17.851,0.459,7.71,-28.715,18.244,1.166,15.215,0.983,0.275,-1.707,7.718,-32.109,12.369,1.823,13.368,-1.695,6.751,-32.088,10.932,1.782,11.623,17.873,26.986,-0.361,15.521,19.093,69.811,-0.586,25.614,-0.36,11.779,18.856,61.65,-0.568,17.109,Strecksprung,generated_Mean_Strecksprung
12.835,330.557,-17.81,21.87,347.418,27.047,40.814,396.915,51.559,0.595,9.369,-2.835,6.367,180.543,-4.83,3.463,75.588,-6.027,2.409,65.056,-4.118,2.503,12.842,6.238,8.859,184.531,5.867,4.7,79.995,7.174,4.531,67.15,4.367,9.632,60.148,16.154,14.445,191.252,14.86,8.515,79.995,10.69,9.499,68.418,13.256,28.251,31.113,1.247,25.421,21.735,148.462,-5.217,42.328,1.827,19.924,24.41,134.672,-5.714,25.549,17.91,7.918,14.495,27.566,394.042,192.753,-10.548,32.393,14.247,23.843,390.432,184.928,-10.576,23.8,6.344,3.513,7.521,15.939,168.536,85.227,-12.744,19.952,7.656,13.96,169.841,83.244,-12.634,15.83,19.275,26.881,5.622,21.465,144.188,79.102,-8.464,39.152,5.279,15.274,142.881,63.111,-7.952,24.989,Salto B,generated_Mean_Salto B
5.844,245.005,-22.183,19.245,345.715,23.921,31.73,347.747,44.93,1.898,55.002,-5.055,2.296,71.158,-5.338,0.921,57.664,-4.836,0.729,61.181,-6.953,4.906,78.015,7.288,4.369,96.156,4.642,3.488,81.123,4.507,6.122,90.072,6.801,9.255,79.366,16.135,7.063,96.156,8.578,5.652,81.123,6.704,10.12,91.452,14.196,25.518,30.839,4.026,23.395,122.934,81.363,-10.472,44.494,4.262,16.514,123.001,63.948,-11.32,25.382,7.562,0.902,4.814,13.256,157.491,33.313,-11.053,15.394,4.775,10.912,156.906,30.149,-11.051,11.087,6.883,0.494,1.844,8.537,127.693,23.424,-9.886,10.425,1.856,7.442,127.88,22.237,-9.921,8.829,20.61,26.166,1.5,23.387,136.874,84.443,-15.063,56.13,1.235,15.523,136.713,61.989,-13.598,25.03,Salto A,generated_Mean_Salto A
-84.0,43.131,163.634,107.478,69.909,181.168,123.423,254.086,196.93,-10.437,-61.306,27.718,-46.711,-35.796,71.643,-26.558,45.839,62.167,-0.293,94.393,2.107,13.371,66.858,29.089,58.251,41.604,76.16,34.902,-51.238,68.84,-0.061,-8.099,3.713,17.966,69.87,34.968,58.946,46.125,76.163,36.129,52.693,69.56,11.396,106.181,19.604,28.452,31.883,-24.415,36.822,-146.04,112.609,66.961,67.713,-24.266,31.693,-145.593,94.207,66.564,45.749,9.369,1.325,-109.928,41.747,-84.073,58.951,172.399,59.84,-109.458,40.057,-83.112,56.198,172.085,57.093,8.937,0.808,-61.585,50.102,109.477,46.514,148.068,70.251,-61.696,49.013,109.063,45.676,147.903,68.286,20.966,24.958,-0.584,29.392,224.739,84.16,5.549,57.176,-0.797,21.188,224.351,64.035,6.595,35.31,Barani A,generated_Mean_Barani A
30.506,699.373,-27.635,33.548,700.468,32.073,56.445,702.525,62.287,3.903,71.457,-6.507,2.366,309.755,-5.131,20.261,224.484,-7.533,3.976,93.677,-8.465,4.912,71.457,6.783,7.582,309.755,6.843,16.703,224.484,8.296,3.566,93.677,8.529,10.15,74.88,17.787,14.175,309.755,13.937,22.86,224.484,17.127,10.045,94.502,15.057,30.705,24.891,9.123,26.05,165.511,122.925,-15.041,51.345,9.313,19.272,169.685,106.317,-15.863,28.57,47.204,7.431,5.601,26.664,719.969,110.335,-12.201,33.242,5.947,21.933,715.524,108.35,-11.719,20.781,28.833,15.484,47.597,33.383,523.79,219.011,-18.015,41.636,47.171,27.538,523.146,209.968,-17.995,25.281,20.249,21.979,9.381,22.439,218.726,76.109,-19.869,39.661,9.452,17.153,217.283,60.898,-19.057,26.461,Doppelsalto C,generated_Mean_Doppelsalto C
10.945,230.0,-17.947,17.928,315.327,19.74,29.957,317.105,46.138,1.871,42.141,0.922,2.991,54.19,-4.321,1.579,66.698,-5.666,4.504,66.971,-8.882,4.37,60.654,4.512,3.882,75.057,1.405,3.37,89.045,5.099,6.306,90.57,8.723,7.465,60.714,11.064,5.806,75.057,7.264,5.1,89.045,7.795,11.586,92.288,20.014,25.394,33.45,3.525,15.369,83.946,49.412,4.266,27.622,3.664,11.403,84.087,40.277,4.401,18.497,4.047,0.554,5.893,9.577,110.32,43.802,-6.251,13.992,5.88,7.686,110.267,40.787,-6.237,10.24,4.286,0.524,3.192,8.161,135.788,17.395,-8.862,12.016,3.177,6.712,135.777,15.236,-8.908,9.322,19.814,28.558,8.503,24.358,133.898,80.973,-16.684,57.263,8.396,17.86,131.958,69.646,-16.058,34.592,3/4 Salto rw A,generated_Mean_3/4 Salto rw A
-10.567,283.922,-6.899,28.176,391.127,12.414,52.304,475.079,65.24,-5.273,5.288,5.571,-0.141,157.287,-6.901,-3.995,56.5,-2.142,-1.158,64.847,-3.426,7.521,13.535,10.448,10.939,218.391,-1.733,5.951,75.295,1.476,3.766,83.905,2.223,16.029,88.53,22.953,18.222,226.311,19.606,7.172,75.295,7.081,10.881,84.942,15.598,37.453,35.128,-11.626,44.839,11.925,255.705,16.322,65.28,-11.655,31.901,15.489,221.996,15.631,39.325,23.892,9.421,-1.739,31.997,346.88,160.724,-14.327,55.364,-1.646,22.267,345.179,144.305,-13.831,28.664,6.587,1.459,-9.473,12.59,125.897,55.345,-2.466,19.357,-9.416,10.434,126.17,47.999,-2.941,11.997,18.232,22.67,-3.489,27.384,145.054,87.307,-6.098,55.325,-3.948,19.251,145.144,66.918,-5.397,30.725,Cody C,generated_Mean_Cody C
48.268,142.986,192.435,61.564,142.986,384.11,159.356,279.195,389.859,14.548,81.59,25.399,46.491,-26.748,61.196,-7.799,-7.526,87.119,-4.973,95.67,18.722,22.574,81.59,57.552,76.594,-26.748,133.357,-31.612,-5.003,155.503,-5.992,93.147,37.698,26.924,81.59,57.921,77.468,48.258,133.357,37.071,53.671,155.503,17.893,95.675,43.078,24.734,32.054,30.484,52.042,178.376,63.214,53.71,59.001,31.362,48.935,178.173,56.806,53.96,53.584,6.621,2.512,97.983,52.767,-57.727,101.434,127.484,66.277,97.316,51.504,-57.252,99.406,127.551,64.408,10.775,1.7,-14.207,42.76,-15.279,123.893,183.654,69.299,-13.81,41.698,-15.088,121.552,183.014,67.61,18.711,24.018,-10.468,34.452,209.001,55.99,40.639,68.493,-10.702,30.091,207.353,43.755,40.911,58.029,Schraubensalto,generated_Mean_Schraubensalto
107.928,26.451,535.472,111.86,35.805,535.472,174.403,319.78,554.856,-8.443,-91.748,85.291,78.633,-23.937,261.17,27.591,28.749,170.696,10.147,113.387,18.314,15.493,91.748,85.291,57.375,23.937,261.17,33.242,-28.749,170.696,5.75,-51.131,18.314,22.872,95.44,88.072,89.761,42.319,261.17,43.48,67.072,171.257,18.29,114.949,34.356,30.289,29.358,-18.614,53.164,-217.998,133.66,203.765,178.766,-17.63,49.413,-216.374,119.438,205.302,170.209,17.265,2.869,187.8,122.455,-56.926,105.829,622.896,79.594,186.021,116.598,-57.375,95.65,621.329,72.838,13.246,3.404,65.566,82.634,73.029,135.806,402.389,181.692,66.332,79.62,73.191,130.358,401.663,177.414,22.129,25.535,24.548,44.498,269.4,89.768,42.887,83.221,24.019,33.901,269.614,68.272,43.731,58.083,Rudi,generated_Mean_Rudi
