SprungID,Sprungtyp,DJump_SIG_I_x LapEnd,DJump_SIG_I_y LapEnd,DJump_SIG_I_z LapEnd,DJump_I_ABS_x LapEnd,DJump_I_ABS_y LapEnd,DJump_I_ABS_z LapEnd,DJump_ABS_I_x LapEnd,DJump_ABS_I_y LapEnd,DJump_ABS_I_z LapEnd,DJump_SIG_I_S1_x LapEnd,DJump_SIG_I_S1_y LapEnd,DJump_SIG_I_S1_z LapEnd,DJump_SIG_I_S2_x LapEnd,DJump_SIG_I_S2_y LapEnd,DJump_SIG_I_S2_z LapEnd,DJump_SIG_I_S3_x LapEnd,DJump_SIG_I_S3_y LapEnd,DJump_SIG_I_S3_z LapEnd,DJump_SIG_I_S4_x LapEnd,DJump_SIG_I_S4_y LapEnd,DJump_SIG_I_S4_z LapEnd,DJump_I_ABS_S1_x LapEnd,DJump_I_ABS_S1_y LapEnd,DJump_I_ABS_S1_z LapEnd,DJump_I_ABS_S2_x LapEnd,DJump_I_ABS_S2_y LapEnd,DJump_I_ABS_S2_z LapEnd,DJump_I_ABS_S3_x LapEnd,DJump_I_ABS_S3_y LapEnd,DJump_I_ABS_S3_z LapEnd,DJump_I_ABS_S4_x LapEnd,DJump_I_ABS_S4_y LapEnd,DJump_I_ABS_S4_z LapEnd,DJump_ABS_I_S1_x LapEnd,DJump_ABS_I_S1_y LapEnd,DJump_ABS_I_S1_z LapEnd,DJump_ABS_I_S2_x LapEnd,DJump_ABS_I_S2_y LapEnd,DJump_ABS_I_S2_z LapEnd,DJump_ABS_I_S3_x LapEnd,DJump_ABS_I_S3_y LapEnd,DJump_ABS_I_S3_z LapEnd,DJump_ABS_I_S4_x LapEnd,DJump_ABS_I_S4_y LapEnd,DJump_ABS_I_S4_z LapEnd,0_Acc_N_Fil,0_Gyro_x_R,0_Gyro_y_R,0_Gyro_z_R,0_Gyro_x_Fil,0_Gyro_y_Fil,0_Gyro_z_Fil,25_Acc_N_Fil,25_Gyro_x_R,25_Gyro_y_R,25_Gyro_z_R,25_Gyro_x_Fil,25_Gyro_y_Fil,25_Gyro_z_Fil,50_Acc_N_Fil,50_Gyro_x_R,50_Gyro_y_R,50_Gyro_z_R,50_Gyro_x_Fil,50_Gyro_y_Fil,50_Gyro_z_Fil,75_Acc_N_Fil,75_Gyro_x_R,75_Gyro_y_R,75_Gyro_z_R,75_Gyro_x_Fil,75_Gyro_y_Fil,75_Gyro_z_Fil
20190930-1153-FRANKFURT_1-01-249,Strecksprung,-3.739,2.442,-11.059,3.739,2.442,11.059,13.257,30.206,34.854,-2.92,6.804,-7.928,1.554,-2.232,6.864,-1.272,4.293,-1.575,-1.101,-6.423,-8.421,2.92,6.804,7.928,-1.554,-2.232,-6.864,1.272,4.293,1.575,1.101,-6.423,8.421,6.857,11.034,13.403,1.75,3.253,6.864,2.111,4.293,5.13,2.538,11.626,9.458,27.559,-7.553,15.789,-16.39,-7.373,16.254,-15.898,0.978,3.314,-6.134,19.56,3.478,-6.386,19.383,0.729,-3.636,9.811,-0.995,-3.836,9.534,-1.31,20.993,-3.188,-16.15,-17.884,-2.934,-16.523,-17.358
0115-CHARI-05-57,Strecksprung,-5.516,-15.209,-26.392,5.516,15.209,26.392,21.287,106.831,38.014,-8.027,30.143,-18.866,3.686,-15.217,1.196,-0.699,-31.242,-5.596,-0.476,1.108,-3.126,8.027,30.143,18.866,-3.686,-15.217,-1.196,0.699,1.392,5.596,0.476,-1.108,3.126,12.26,32.585,19.642,3.722,15.217,4.162,2.421,31.242,6.511,2.884,27.786,7.699,24.5,-16.585,62.278,-38.978,-16.255,62.147,-38.407,0.93,7.615,-31.441,2.471,7.341,-31.462,1.97,0.978,-1.457,-64.492,-11.57,-1.499,-64.248,-11.457,18.239,-1.067,3.349,-6.627,-0.834,2.884,-6.563
20190930-1153-FRANKFURT_1-01-166,Schraubensalto,64.785,81.262,397.064,64.785,81.262,397.064,170.539,259.878,414.93,24.115,78.067,58.937,75.083,-23.715,116.448,-43.112,-52.435,158.11,8.7,79.345,63.569,24.115,78.067,58.937,75.083,-23.715,116.448,-43.112,-52.435,158.11,8.7,79.345,63.569,24.532,78.067,58.999,75.083,38.908,116.448,45.399,63.557,158.11,25.526,79.345,81.373,23.113,51.283,166.8,129.326,52.188,165.849,129.418,4.817,160.656,-51.616,252.74,159.187,-51.647,252.659,11.854,-92.953,-112.28,341.946,-91.807,-111.189,341.227,18.833,18.974,169.487,138.181,18.35,166.758,139.66
20191003-1152-FRANKFURT_1-01-106,Salto C,-11.772,329.878,-13.108,11.772,329.878,13.108,23.227,355.845,30.813,1.773,17.112,-6.799,-9.916,195.748,-0.178,-2.052,64.807,-3.622,-1.577,52.211,-2.509,1.773,17.112,6.799,6.37,195.748,0.178,2.052,64.807,3.622,1.577,52.211,2.509,7.667,43.079,14.742,10.173,195.748,7.306,2.552,64.807,4.188,2.835,52.211,4.577,29.508,3.824,40.704,-13.527,3.258,44.899,-12.502,19.911,-24.466,472.245,2.68,-24.179,466.982,2.546,4.395,-5.444,156.3,-5.718,-5.343,158.284,-5.605,14.689,-4.529,126.312,-2.916,-4.51,123.953,-2.997
20191007-1150-FRANKFURT_2-01-225,Salto A,34.859,354.439,5.532,34.859,354.439,5.532,36.897,354.439,36.451,9.186,97.876,-7.818,0.897,84.608,1.81,9.79,74.208,7.765,14.984,97.748,3.775,9.186,97.876,7.818,0.897,84.608,-1.81,9.79,74.208,-4.251,14.984,97.748,3.775,9.246,97.876,12.106,2.859,84.608,6.531,9.79,74.208,7.765,15.001,97.748,10.049,22.511,22.611,240.175,-16.335,23.39,239.955,-15.892,8.178,2.482,208.845,7.269,2.605,209.568,7.383,8.668,24.214,183.108,21.682,23.755,183.992,21.493,18.102,37.604,240.204,12.234,36.722,235.447,11.799
20191008-1207-FRANKFURT_2-01-240,Salto B,30.745,343.599,-17.709,30.745,343.599,17.709,51.634,406.873,50.825,-0.138,-7.966,1.735,21.677,212.371,-6.072,12.688,63.417,-9.637,-3.483,75.777,-3.735,0.138,7.966,1.735,21.402,196.439,2.603,12.688,63.417,9.637,-3.483,75.777,3.735,5.823,52.482,10.603,22.969,212.41,11.642,12.688,63.417,10.485,10.155,78.564,18.095,23.086,-0.314,-18.187,3.961,0.693,-15.829,3.388,24.892,49.492,484.864,-13.863,48.638,479.641,-10.867,5.738,28.968,144.789,-22.002,28.825,147.206,-23.775,22.74,-7.565,172.548,-8.441,-7.861,167.008,-8.552
20190930-1247-FRANKFURT_2-01-47,Salto C,-7.957,342.901,3.349,7.957,342.901,3.349,30.037,344.067,30.521,-3.733,34.485,5.04,-1.782,155.317,2.856,-3.243,85.302,-3.361,0.801,67.798,-1.186,3.733,34.485,5.04,1.782,155.317,2.856,3.243,85.302,-3.361,-0.801,67.798,-1.186,12.814,35.651,11.562,5.201,155.317,4.255,4.24,85.302,4.202,7.781,67.798,10.501,23.598,-8.657,84.664,15.319,-8.394,87.55,14.632,14.495,-4.23,377.591,10.225,-4.447,374.901,10.101,6.507,-7.662,208.468,-4.908,-7.671,208.968,-4.834,13.347,2.02,166.143,0.757,2.596,164.414,1.147
20191007-1150-FRANKFURT_2-01-86,Salto A,12.558,348.728,-7.837,12.558,348.728,7.837,34.958,348.728,43.933,11.43,87.335,-8.248,0.309,76.875,-4.781,-2.441,84.554,-3.606,3.259,99.964,8.798,11.43,87.335,8.248,0.309,76.875,4.781,-2.441,84.554,3.606,3.259,99.964,-8.798,11.61,87.335,11.367,6.065,76.875,7.652,5.672,84.554,7.155,11.61,99.964,17.759,26.227,28.133,215.023,-17.011,28.608,215.356,-16.492,8.747,0.973,188.642,-8.954,1.218,188.774,-9.674,9.067,-5.936,208.306,-5.828,-5.852,209.096,-5.855,17.621,8.758,245.481,24.768,7.916,241.672,22.482
20191003-1152-FRANKFURT_1-01-103,Salto A,-15.155,354.988,-3.731,15.155,354.988,3.731,22.863,354.988,30.181,-0.454,60.435,2.63,-2.205,120.884,1.41,-2.239,73.111,-4.417,-10.256,100.558,-3.354,0.454,60.435,2.63,2.205,120.884,1.41,2.239,73.111,-3.662,10.256,100.558,3.354,5.335,60.435,9.588,3.547,120.884,3.162,2.886,73.111,4.868,11.095,100.558,12.563,24.27,-1.584,147.134,9.473,-1.613,148.317,11.128,9.504,-5.903,294.423,6.498,-6.214,292.375,6.084,7.207,-5.937,178.332,-7.807,-5.906,180.282,-8.189,20.165,-25.762,245.56,-5.074,-25.164,244.865,-5.16
20190930-1153-FRANKFURT_1-01-241,Schraubensalto,31.93,110.204,392.673,31.93,110.204,392.673,167.144,273.248,400.005,25.983,83.542,58.594,62.846,-42.064,137.705,-61.109,-11.674,152.27,4.21,80.401,44.103,25.983,83.542,58.594,62.846,-42.064,137.705,-61.109,-11.674,152.27,4.21,80.401,44.103,26.005,83.542,61.217,63.068,62.162,137.705,61.109,47.143,152.27,16.962,80.401,48.813,32.677,52.997,171.17,123.415,54.234,174.262,123.383,6.363,128.848,-87.278,286.196,127.562,-86.762,286.288,10.35,-125.901,-24.196,315.776,-124.628,-24.485,314.842,17.788,8.662,165.305,92.586,8.19,163.373,93.291
