SprungID,Sprungtyp,DJump_SIG_I_x LapEnd,DJump_SIG_I_y LapEnd,DJump_SIG_I_z LapEnd,DJump_I_ABS_x LapEnd,DJump_I_ABS_y LapEnd,DJump_I_ABS_z LapEnd,DJump_ABS_I_x LapEnd,DJump_ABS_I_y LapEnd,DJump_ABS_I_z LapEnd,DJump_SIG_I_S1_x LapEnd,DJump_SIG_I_S1_y LapEnd,DJump_SIG_I_S1_z LapEnd,DJump_SIG_I_S2_x LapEnd,DJump_SIG_I_S2_y LapEnd,DJump_SIG_I_S2_z LapEnd,DJump_SIG_I_S3_x LapEnd,DJump_SIG_I_S3_y LapEnd,DJump_SIG_I_S3_z LapEnd,DJump_SIG_I_S4_x LapEnd,DJump_SIG_I_S4_y LapEnd,DJump_SIG_I_S4_z LapEnd,DJump_I_ABS_S1_x LapEnd,DJump_I_ABS_S1_y LapEnd,DJump_I_ABS_S1_z LapEnd,DJump_I_ABS_S2_x LapEnd,DJump_I_ABS_S2_y LapEnd,DJump_I_ABS_S2_z LapEnd,DJump_I_ABS_S3_x LapEnd,DJump_I_ABS_S3_y LapEnd,DJump_I_ABS_S3_z LapEnd,DJump_I_ABS_S4_x LapEnd,DJump_I_ABS_S4_y LapEnd,DJump_I_ABS_S4_z LapEnd,DJump_ABS_I_S1_x LapEnd,DJump_ABS_I_S1_y LapEnd,DJump_ABS_I_S1_z LapEnd,DJump_ABS_I_S2_x LapEnd,DJump_ABS_I_S2_y LapEnd,DJump_ABS_I_S2_z LapEnd,DJump_ABS_I_S3_x LapEnd,DJump_ABS_I_S3_y LapEnd,DJump_ABS_I_S3_z LapEnd,DJump_ABS_I_S4_x LapEnd,DJump_ABS_I_S4_y LapEnd,DJump_ABS_I_S4_z LapEnd,0_mean_Acc_N_Fil,0_std_Acc_N_Fil,0_mean_Gyro_x_R,0_std_Gyro_x_R,0_mean_Gyro_y_R,0_std_Gyro_y_R,0_mean_Gyro_z_R,0_std_Gyro_z_R,0_mean_Gyro_x_Fil,0_std_Gyro_x_Fil,0_mean_Gyro_y_Fil,0_std_Gyro_y_Fil,0_mean_Gyro_z_Fil,0_std_Gyro_z_Fil,25_mean_Acc_N_Fil,25_std_Acc_N_Fil,25_mean_Gyro_x_R,25_std_Gyro_x_R,25_mean_Gyro_y_R,25_std_Gyro_y_R,25_mean_Gyro_z_R,25_std_Gyro_z_R,25_mean_Gyro_x_Fil,25_std_Gyro_x_Fil,25_mean_Gyro_y_Fil,25_std_Gyro_y_Fil,25_mean_Gyro_z_Fil,25_std_Gyro_z_Fil,50_mean_Acc_N_Fil,50_std_Acc_N_Fil,50_mean_Gyro_x_R,50_std_Gyro_x_R,50_mean_Gyro_y_R,50_std_Gyro_y_R,50_mean_Gyro_z_R,50_std_Gyro_z_R,50_mean_Gyro_x_Fil,50_std_Gyro_x_Fil,50_mean_Gyro_y_Fil,50_std_Gyro_y_Fil,50_mean_Gyro_z_Fil,50_std_Gyro_z_Fil,75_mean_Acc_N_Fil,75_std_Acc_N_Fil,75_mean_Gyro_x_R,75_std_Gyro_x_R,75_mean_Gyro_y_R,75_std_Gyro_y_R,75_mean_Gyro_z_R,75_std_Gyro_z_R,75_mean_Gyro_x_Fil,75_std_Gyro_x_Fil,75_mean_Gyro_y_Fil,75_std_Gyro_y_Fil,75_mean_Gyro_z_Fil,75_std_Gyro_z_Fil
0827-BK1-01-4,Salto C,6.606,356.118,9.29,6.606,356.118,9.29,21.629,389.448,29.9,1.664,37.054,4.951,2.559,196.232,1.052,0.668,73.44,-1.452,1.714,49.392,4.739,1.664,37.054,4.951,2.559,196.232,1.052,0.668,73.44,-1.452,1.714,49.392,4.739,8.133,70.384,11.273,7.063,196.232,7.37,1.748,73.44,2.102,4.685,49.392,9.156,31.344,32.978,3.329,18.889,74.108,162.725,9.902,28.241,2.909,14.291,77.607,150.611,9.007,16.137,13.902,9.784,5.118,17.747,392.463,182.393,2.103,19.947,5.028,12.117,389.279,173.656,1.856,10.724,2.982,0.244,1.342,3.952,147.471,20.494,-2.915,5.143,1.274,3.491,147.264,20.192,-2.718,4.263,16.621,26.104,3.454,12.01,99.252,71.408,9.486,22.782,3.421,10.269,98.47,62.025,9.018,15.858
0827-BK1-01-5,Strecksprung,-2.02,-10.113,-6.796,2.02,10.113,6.796,17.8,93.502,22.528,4.404,17.172,-5.864,-1.504,-19.954,-1.466,0.903,-12.641,2.161,-5.822,5.31,-1.627,4.404,17.172,5.864,-1.504,-14.39,1.466,0.903,12.641,-2.161,-1.783,-5.31,1.627,5.367,20.565,8.322,2.673,20.171,4.462,1.849,12.641,2.632,7.911,40.125,7.112,25.72,36.724,8.669,9.485,33.803,44.486,-11.544,17.71,8.769,6.236,34.756,42.933,-11.248,10.03,0.297,0.118,-2.961,5.406,-39.279,21.067,-2.886,10.419,-2.918,4.716,-39.156,20.361,-2.923,9.199,0.583,0.193,1.804,3.905,-24.928,17.778,4.236,4.672,1.77,3.443,-24.985,17.357,4.302,3.531,21.267,32.074,-11.461,16.688,11.409,97.548,-3.195,21.577,-11.331,14.497,11.066,89.401,-3.144,12.095
0827-BK1-01-7,Salto C,-4.728,357.453,7.993,4.728,357.453,7.993,20.548,384.109,26.83,-1.142,49.436,2.471,-2.4,175.541,4.996,0.07,78.762,0.829,-1.255,53.714,-0.303,1.142,49.436,2.471,2.4,175.541,4.996,-0.07,78.762,0.829,1.255,53.714,-0.303,7.535,75.439,10.551,6.564,175.541,6.459,1.365,78.762,1.016,5.083,54.368,8.804,31.223,33.479,-2.24,19.665,96.933,186.414,4.845,25.319,-2.113,15.576,98.945,170.907,4.839,14.497,13.386,10.141,-4.68,16.461,344.856,172.15,9.795,15.817,-5.128,10.975,343.572,164.669,9.321,7.318,2.973,0.328,0.121,3.505,154.896,8.971,1.629,2.077,0.155,3.0,154.354,8.976,1.636,1.176,16.057,25.99,-2.543,12.621,105.635,96.212,-0.803,25.411,-2.779,9.738,104.771,84.888,-0.414,18.863
0827-BK1-01-9,Strecksprung,-1.534,7.572,-0.235,1.534,7.572,0.235,22.433,86.668,42.461,2.446,27.969,-2.247,-1.504,-16.358,4.185,2.41,-4.442,3.332,-4.885,0.405,-5.505,2.446,27.969,2.247,-1.504,-16.358,-0.309,2.41,-4.442,3.332,-1.818,0.405,-5.034,8.433,28.415,11.871,4.348,16.503,9.783,3.476,4.585,4.921,6.176,37.165,15.886,19.586,31.565,4.835,18.885,54.64,42.642,-4.396,27.793,4.69,15.141,54.117,35.104,-4.194,18.313,0.99,0.668,-2.958,8.872,-31.924,25.192,8.11,20.247,-3.011,7.96,-31.055,21.327,7.928,17.246,0.446,0.181,4.652,6.72,-8.681,5.336,6.553,9.447,4.587,5.855,-8.887,4.227,6.793,7.643,16.754,29.355,-9.689,14.024,1.047,90.319,-10.804,40.903,-9.552,10.441,0.464,79.587,-10.126,28.186
0827-BK1-01-10,Salto C,-6.303,357.775,3.611,6.303,357.775,3.611,22.496,372.394,32.164,-2.502,58.367,2.308,-0.286,162.779,-0.667,-2.04,75.041,1.22,-1.477,61.587,0.749,2.502,58.367,2.308,0.286,162.779,-0.667,2.04,75.041,1.22,1.477,61.587,0.749,8.223,72.987,11.108,5.765,162.779,7.244,2.37,75.041,2.751,6.138,61.587,11.063,30.217,34.047,-4.905,20.982,114.446,168.564,4.526,24.971,-4.362,17.583,115.819,156.054,3.529,17.143,11.888,9.145,-0.55,13.287,319.783,139.216,-1.311,18.62,-1.367,10.101,319.118,134.111,-1.257,14.957,3.136,0.291,-4.016,4.007,147.596,11.967,2.394,6.855,-3.909,3.313,147.448,11.532,2.314,6.18,17.835,27.811,-2.98,13.899,121.207,62.505,1.722,33.472,-2.491,10.224,120.395,51.516,1.661,16.891
0827-BK1-01-12,Strecksprung,0.104,11.763,2.946,0.104,11.763,2.946,23.244,92.215,46.754,4.254,28.843,1.031,0.988,-18.011,4.159,1.397,-4.997,3.144,-6.534,5.928,-5.388,4.254,28.843,1.031,0.988,-18.011,4.159,1.397,-4.997,3.144,-6.534,5.928,-5.388,8.622,31.473,9.423,5.237,18.922,17.758,2.7,5.009,4.82,6.685,36.81,14.754,23.462,35.109,8.276,20.599,56.116,53.205,2.007,23.22,7.923,16.429,55.948,46.263,1.703,17.759,1.024,0.281,1.881,12.516,-35.063,30.999,8.123,39.574,1.981,10.986,-34.86,28.522,8.406,36.091,0.503,0.327,2.768,6.418,-9.798,5.795,6.131,9.113,2.674,4.44,-9.803,4.805,6.445,6.774,15.574,27.222,-12.905,8.658,12.326,97.382,-10.356,37.599,-12.571,5.431,11.829,85.383,-9.472,26.51
0827-BK1-01-13,Salto C,-3.612,350.271,1.937,3.612,350.271,1.937,22.719,378.015,32.926,-0.454,51.441,3.302,1.558,168.648,-0.349,-1.936,79.431,-2.177,-2.78,50.751,1.16,0.454,51.441,3.302,0.651,168.648,-0.349,-0.273,79.431,-2.177,2.78,50.751,1.16,9.013,79.176,12.362,5.16,168.648,7.565,2.854,79.431,2.642,5.693,50.759,10.356,32.265,34.328,-0.882,20.656,100.079,180.354,6.425,30.404,-0.802,17.092,102.187,164.898,5.742,20.853,11.991,8.911,3.031,14.011,328.11,152.96,-0.679,17.147,2.765,10.618,326.677,147.489,-1.093,13.136,3.192,0.21,-3.781,5.785,155.107,5.453,-4.252,4.131,-3.773,5.173,154.972,5.03,-4.401,3.724,17.099,26.625,-5.58,12.591,98.969,77.887,2.026,29.484,-5.272,8.388,97.519,64.627,2.612,22.569
0827-BK1-01-16,Salto C,17.714,354.126,2.046,17.714,354.126,2.046,31.248,385.445,29.857,3.006,43.891,1.369,6.75,180.712,4.705,6.232,75.478,-0.997,1.726,54.045,-3.031,3.006,43.891,1.369,6.75,180.712,4.705,6.232,75.478,-0.997,1.726,54.045,-3.031,9.098,75.209,12.875,9.281,180.712,6.421,6.232,75.478,1.542,6.636,54.045,9.019,32.176,34.924,6.045,20.235,84.496,168.493,2.716,31.965,5.802,16.061,87.754,155.693,1.424,17.13,13.078,8.975,13.214,19.071,358.758,174.639,9.29,12.383,13.308,13.87,356.139,166.998,8.63,7.089,2.992,0.28,12.289,3.87,149.203,9.598,-1.965,4.209,12.44,2.567,148.873,9.691,-1.858,3.45,15.284,24.416,3.334,16.343,107.394,85.773,-5.963,27.559,3.104,11.959,106.358,75.122,-4.94,17.64
0827-BK1-01-19,Salto C,16.204,357.228,15.359,16.204,357.228,15.359,38.942,381.171,37.994,0.138,44.833,4.148,3.619,180.623,12.044,8.999,68.052,3.206,3.447,63.721,-4.041,0.138,44.833,4.148,3.619,180.623,12.044,8.999,68.052,3.206,3.447,63.721,-4.041,14.373,68.776,11.055,9.435,180.623,12.455,8.999,68.052,3.916,6.135,63.721,10.568,30.639,34.631,0.271,34.855,87.907,157.738,8.134,27.291,0.253,30.308,90.589,146.142,7.199,19.235,13.499,9.498,7.096,21.572,354.163,164.82,23.616,20.593,6.963,16.427,351.687,156.68,23.168,15.843,2.687,0.226,17.715,4.461,133.961,20.566,6.312,5.883,17.752,3.431,133.965,20.274,6.284,5.465,17.042,26.908,6.602,13.793,125.393,78.495,-7.861,35.319,6.527,10.15,124.293,65.307,-6.873,21.714
0827-BK1-01-22,Salto C,4.115,350.955,16.79,4.115,350.955,16.79,22.406,360.153,28.12,1.27,52.368,2.488,-2.873,178.852,6.954,3.323,75.713,3.024,2.395,44.021,4.324,1.27,52.368,2.488,0.332,178.852,6.954,0.117,75.713,3.024,2.395,44.021,4.324,7.317,61.567,8.572,6.433,178.852,7.627,3.891,75.713,3.67,4.765,44.021,8.251,31.712,35.682,2.511,17.06,103.495,147.057,4.918,22.909,2.274,14.484,105.884,138.101,4.223,14.98,12.397,8.059,-5.678,14.211,353.463,158.319,13.744,11.412,-5.555,10.048,351.89,152.286,13.384,7.49,3.313,0.238,6.589,6.956,149.981,25.157,5.984,7.182,6.515,6.319,149.757,24.33,6.178,6.292,15.864,27.435,4.646,13.086,87.341,45.7,8.711,20.675,4.934,6.228,86.942,31.674,8.791,10.789
