DJump_SIG_I_x LapEnd,DJump_SIG_I_y LapEnd,DJump_SIG_I_z LapEnd,DJump_I_ABS_x LapEnd,DJump_I_ABS_y LapEnd,DJump_I_ABS_z LapEnd,DJump_ABS_I_x LapEnd,DJump_ABS_I_y LapEnd,DJump_ABS_I_z LapEnd,DJump_SIG_I_S1_x LapEnd,DJump_SIG_I_S1_y LapEnd,DJump_SIG_I_S1_z LapEnd,DJump_SIG_I_S2_x LapEnd,DJump_SIG_I_S2_y LapEnd,DJump_SIG_I_S2_z LapEnd,DJump_SIG_I_S3_x LapEnd,DJump_SIG_I_S3_y LapEnd,DJump_SIG_I_S3_z LapEnd,DJump_SIG_I_S4_x LapEnd,DJump_SIG_I_S4_y LapEnd,DJump_SIG_I_S4_z LapEnd,DJump_I_ABS_S1_x LapEnd,DJump_I_ABS_S1_y LapEnd,DJump_I_ABS_S1_z LapEnd,DJump_I_ABS_S2_x LapEnd,DJump_I_ABS_S2_y LapEnd,DJump_I_ABS_S2_z LapEnd,DJump_I_ABS_S3_x LapEnd,DJump_I_ABS_S3_y LapEnd,DJump_I_ABS_S3_z LapEnd,DJump_I_ABS_S4_x LapEnd,DJump_I_ABS_S4_y LapEnd,DJump_I_ABS_S4_z LapEnd,DJump_ABS_I_S1_x LapEnd,DJump_ABS_I_S1_y LapEnd,DJump_ABS_I_S1_z LapEnd,DJump_ABS_I_S2_x LapEnd,DJump_ABS_I_S2_y LapEnd,DJump_ABS_I_S2_z LapEnd,DJump_ABS_I_S3_x LapEnd,DJump_ABS_I_S3_y LapEnd,DJump_ABS_I_S3_z LapEnd,DJump_ABS_I_S4_x LapEnd,DJump_ABS_I_S4_y LapEnd,DJump_ABS_I_S4_z LapEnd,0_Acc_N_Fil,0_Gyro_x_R,0_Gyro_y_R,0_Gyro_z_R,0_Gyro_x_Fil,0_Gyro_y_Fil,0_Gyro_z_Fil,5_Acc_N_Fil,5_Gyro_x_R,5_Gyro_y_R,5_Gyro_z_R,5_Gyro_x_Fil,5_Gyro_y_Fil,5_Gyro_z_Fil,10_Acc_N_Fil,10_Gyro_x_R,10_Gyro_y_R,10_Gyro_z_R,10_Gyro_x_Fil,10_Gyro_y_Fil,10_Gyro_z_Fil,15_Acc_N_Fil,15_Gyro_x_R,15_Gyro_y_R,15_Gyro_z_R,15_Gyro_x_Fil,15_Gyro_y_Fil,15_Gyro_z_Fil,20_Acc_N_Fil,20_Gyro_x_R,20_Gyro_y_R,20_Gyro_z_R,20_Gyro_x_Fil,20_Gyro_y_Fil,20_Gyro_z_Fil,25_Acc_N_Fil,25_Gyro_x_R,25_Gyro_y_R,25_Gyro_z_R,25_Gyro_x_Fil,25_Gyro_y_Fil,25_Gyro_z_Fil,30_Acc_N_Fil,30_Gyro_x_R,30_Gyro_y_R,30_Gyro_z_R,30_Gyro_x_Fil,30_Gyro_y_Fil,30_Gyro_z_Fil,35_Acc_N_Fil,35_Gyro_x_R,35_Gyro_y_R,35_Gyro_z_R,35_Gyro_x_Fil,35_Gyro_y_Fil,35_Gyro_z_Fil,40_Acc_N_Fil,40_Gyro_x_R,40_Gyro_y_R,40_Gyro_z_R,40_Gyro_x_Fil,40_Gyro_y_Fil,40_Gyro_z_Fil,45_Acc_N_Fil,45_Gyro_x_R,45_Gyro_y_R,45_Gyro_z_R,45_Gyro_x_Fil,45_Gyro_y_Fil,45_Gyro_z_Fil,50_Acc_N_Fil,50_Gyro_x_R,50_Gyro_y_R,50_Gyro_z_R,50_Gyro_x_Fil,50_Gyro_y_Fil,50_Gyro_z_Fil,55_Acc_N_Fil,55_Gyro_x_R,55_Gyro_y_R,55_Gyro_z_R,55_Gyro_x_Fil,55_Gyro_y_Fil,55_Gyro_z_Fil,60_Acc_N_Fil,60_Gyro_x_R,60_Gyro_y_R,60_Gyro_z_R,60_Gyro_x_Fil,60_Gyro_y_Fil,60_Gyro_z_Fil,65_Acc_N_Fil,65_Gyro_x_R,65_Gyro_y_R,65_Gyro_z_R,65_Gyro_x_Fil,65_Gyro_y_Fil,65_Gyro_z_Fil,70_Acc_N_Fil,70_Gyro_x_R,70_Gyro_y_R,70_Gyro_z_R,70_Gyro_x_Fil,70_Gyro_y_Fil,70_Gyro_z_Fil,75_Acc_N_Fil,75_Gyro_x_R,75_Gyro_y_R,75_Gyro_z_R,75_Gyro_x_Fil,75_Gyro_y_Fil,75_Gyro_z_Fil,80_Acc_N_Fil,80_Gyro_x_R,80_Gyro_y_R,80_Gyro_z_R,80_Gyro_x_Fil,80_Gyro_y_Fil,80_Gyro_z_Fil,85_Acc_N_Fil,85_Gyro_x_R,85_Gyro_y_R,85_Gyro_z_R,85_Gyro_x_Fil,85_Gyro_y_Fil,85_Gyro_z_Fil,90_Acc_N_Fil,90_Gyro_x_R,90_Gyro_y_R,90_Gyro_z_R,90_Gyro_x_Fil,90_Gyro_y_Fil,90_Gyro_z_Fil,95_Acc_N_Fil,95_Gyro_x_R,95_Gyro_y_R,95_Gyro_z_R,95_Gyro_x_Fil,95_Gyro_y_Fil,95_Gyro_z_Fil,Sprungtyp,SprungID
9.262,348.398,-7.961,15.604,355.9,16.286,34.546,380.652,42.063,-0.063,41.721,-1.661,4.681,182.346,-2.107,2.883,62.567,-2.203,1.761,61.765,-1.989,3.38,42.389,6.227,5.974,186.547,4.429,3.876,63.884,3.764,2.295,62.788,1.619,8.941,66.586,13.421,11.329,187.199,11.851,6.3,63.895,6.453,8.056,63.264,10.586,84.816,4.953,166.439,-0.582,5.476,164.718,-1.428,26.301,1.759,151.94,0.435,2.232,142.799,0.458,7.793,4.693,-11.26,-0.876,3.614,-5.154,-0.267,10.239,-6.186,-43.691,1.976,-5.079,-30.792,0.454,10.465,-5.3,175.145,-13.971,-5.371,180.057,-12.13,14.477,-0.116,458.441,-6.451,0.112,445.067,-6.86,19.165,8.619,489.646,-2.277,8.223,486.153,-2.443,18.083,10.858,436.674,1.339,11.06,432.807,0.828,11.929,16.093,320.921,-3.011,15.837,321.94,-3.329,7.18,14.894,228.428,-10.146,14.49,230.48,-9.123,4.57,8.226,173.875,-5.333,8.465,175.115,-5.485,3.987,6.073,143.374,-2.884,6.222,144.26,-3.087,3.995,6.319,128.081,-2.65,6.265,128.289,-2.757,3.962,5.616,116.624,-3.745,5.631,116.794,-3.75,3.902,4.352,106.994,-4.872,4.263,107.124,-4.807,3.987,1.785,97.898,-5.699,1.699,98.021,-5.659,4.573,-2.495,91.387,-4.562,-2.429,91.958,-4.049,5.43,-3.843,100.343,6.168,-3.255,103.331,5.032,10.91,6.553,175.985,-2.614,6.659,175.101,-2.463,62.524,17.353,201.387,-9.846,15.322,191.334,-8.484,Salto C,generated_Mean_Salto C
-1.075,1.663,-0.057,5.18,13.13,11.04,21.22,82.201,35.815,-0.367,20.833,0.416,0.196,-12.838,0.003,-0.701,-14.34,0.258,-0.204,8.008,-0.734,3.193,22.332,5.795,0.593,-8.662,1.962,0.272,-1.47,1.331,0.107,-3.926,-0.028,7.655,27.299,12.32,4.439,16.229,8.965,4.053,16.988,6.89,6.086,26.541,9.62,80.895,0.019,93.884,-5.231,0.263,95.279,-5.762,30.323,-1.642,76.747,-0.142,-1.58,75.095,0.037,3.983,-1.6,36.668,6.383,-1.644,38.564,6.0,2.033,-1.155,19.758,5.804,-1.069,19.665,5.598,1.441,0.449,3.248,3.932,0.31,3.317,3.996,1.197,0.264,-10.288,3.097,0.382,-10.307,3.022,1.048,1.141,-24.368,1.19,1.131,-24.039,1.388,0.989,1.943,-33.465,1.914,1.771,-33.303,1.782,0.974,0.093,-38.302,0.034,0.12,-37.966,0.051,0.997,-1.18,-37.969,-0.623,-1.106,-37.939,-0.412,0.973,-1.398,-36.731,1.81,-1.45,-36.729,1.725,0.982,-2.094,-34.959,3.157,-1.993,-34.866,3.043,0.993,-1.598,-31.758,2.24,-1.638,-31.788,2.228,0.997,-1.747,-29.582,0.847,-1.736,-29.586,0.941,0.969,-1.698,-27.517,1.046,-1.658,-27.47,0.961,1.052,-1.092,-24.8,1.129,-1.158,-24.773,1.249,1.338,-1.452,-21.539,3.045,-1.393,-21.123,3.151,2.921,-0.727,-11.379,5.004,-0.653,-9.165,4.051,17.128,0.914,52.799,-7.294,0.605,51.912,-5.844,66.931,0.551,100.337,-4.79,0.795,97.386,-5.43,Strecksprung,generated_Mean_Strecksprung
12.835,330.557,-17.81,21.87,347.418,27.047,40.814,396.915,51.559,0.595,9.369,-2.835,6.367,180.543,-4.83,3.463,75.588,-6.027,2.409,65.056,-4.118,2.503,12.842,6.238,8.859,184.531,5.867,4.7,79.995,7.174,4.531,67.15,4.367,9.632,60.148,16.154,14.445,191.252,14.86,8.515,79.995,10.69,9.499,68.418,13.256,84.203,9.09,148.905,-10.235,10.981,152.378,-11.393,30.349,2.444,157.842,-5.238,3.205,148.778,-5.983,6.055,5.599,21.929,-8.879,4.606,20.169,-8.078,10.223,-3.796,-120.966,-1.186,-3.208,-111.409,-2.081,10.429,-7.137,-99.011,-0.562,-6.473,-87.824,-1.064,9.538,-0.717,128.205,-7.78,-1.039,131.535,-7.775,14.703,3.556,398.492,-13.634,4.008,389.863,-12.922,21.947,15.517,510.619,-6.557,15.519,504.803,-7.154,23.924,26.159,510.72,-9.83,25.687,506.094,-9.606,19.428,27.964,422.879,-15.066,27.066,420.501,-15.521,11.906,17.03,294.872,-24.394,17.22,295.934,-23.712,6.134,7.414,192.788,-18.007,7.8,194.966,-17.48,4.518,4.729,137.232,-6.857,4.848,139.124,-7.578,4.44,4.504,113.32,-6.415,4.485,114.171,-6.537,4.699,3.876,104.036,-7.99,3.879,104.605,-7.812,4.893,2.979,104.443,-7.457,2.905,104.671,-7.276,5.211,0.689,109.915,-3.47,0.772,111.129,-3.189,5.024,0.322,134.888,4.223,0.689,137.377,2.234,12.99,8.066,212.016,-18.603,7.878,205.677,-16.607,68.256,16.045,159.607,-16.931,14.144,155.498,-14.854,Salto B,generated_Mean_Salto B
5.844,245.005,-22.183,19.245,345.715,23.921,31.73,347.747,44.93,1.898,55.002,-5.055,2.296,71.158,-5.338,0.921,57.664,-4.836,0.729,61.181,-6.953,4.906,78.015,7.288,4.369,96.156,4.642,3.488,81.123,4.507,6.122,90.072,6.801,9.255,79.366,16.135,7.063,96.156,8.578,5.652,81.123,6.704,10.12,91.452,14.196,81.407,8.515,141.653,-6.467,9.39,140.312,-10.77,27.689,4.447,157.27,-7.719,5.135,156.533,-8.374,6.383,10.303,129.037,-9.31,9.19,127.765,-9.111,4.566,1.924,91.523,-15.426,2.056,93.084,-15.311,7.533,-5.022,95.143,-13.456,-4.435,97.29,-13.05,8.031,-1.909,136.715,-9.569,-1.69,135.836,-9.83,8.047,3.377,161.601,-9.977,3.286,160.415,-9.975,7.639,7.185,165.934,-10.926,7.042,165.467,-10.878,7.211,8.411,162.953,-12.275,8.291,163.061,-12.19,6.879,7.011,160.207,-12.505,6.949,159.696,-12.374,6.749,5.175,150.608,-10.236,5.227,150.452,-10.309,6.734,3.983,138.325,-9.337,3.867,138.315,-9.443,6.801,1.521,125.152,-9.945,1.601,125.343,-9.986,6.96,-0.278,114.875,-10.551,-0.273,115.105,-10.417,7.169,-1.179,109.474,-9.34,-1.141,110.151,-9.431,7.389,-1.231,113.702,-10.126,-1.338,113.789,-9.99,7.589,-3.406,119.491,-9.28,-3.184,120.161,-8.984,6.56,-2.382,137.244,-4.097,-2.447,139.112,-5.556,13.097,0.928,189.779,-20.932,1.627,183.362,-19.964,68.421,13.606,124.147,-30.924,11.534,127.146,-23.531,Salto A,generated_Mean_Salto A
-84.0,43.131,163.634,107.478,69.909,181.168,123.423,254.086,196.93,-10.437,-61.306,27.718,-46.711,-35.796,71.643,-26.558,45.839,62.167,-0.293,94.393,2.107,13.371,66.858,29.089,58.251,41.604,76.16,34.902,-51.238,68.84,-0.061,-8.099,3.713,17.966,69.87,34.968,58.946,46.125,76.163,36.129,52.693,69.56,11.396,106.181,19.604,85.322,0.58,-53.051,19.204,1.753,-60.364,19.391,33.389,-19.646,-229.04,64.601,-19.152,-219.591,60.969,8.185,-31.791,-244.114,69.4,-31.31,-233.59,72.427,7.667,-30.961,-112.479,89.492,-31.748,-120.129,87.347,7.701,-40.247,-91.737,92.01,-40.846,-94.478,92.593,7.512,-62.381,-112.32,107.721,-63.047,-112.432,107.822,8.735,-95.477,-133.486,127.268,-95.16,-130.628,128.872,10.131,-123.494,-110.073,171.141,-122.635,-108.814,171.332,10.229,-137.032,-62.812,215.742,-135.784,-61.914,214.354,10.236,-131.22,-1.788,240.016,-130.635,-1.871,237.937,9.942,-113.925,55.241,233.211,-113.119,54.085,231.111,9.21,-85.303,94.143,196.425,-85.227,92.912,196.224,8.668,-54.787,116.31,151.222,-55.473,116.002,150.855,8.45,-34.236,132.864,100.205,-34.615,132.946,100.872,8.418,-19.747,148.789,59.55,-20.105,149.338,60.718,8.602,-11.595,170.601,35.016,-12.031,170.649,35.377,8.63,-9.67,196.772,19.802,-8.894,197.941,20.376,7.304,2.179,239.745,11.043,1.275,241.17,9.623,13.771,4.027,304.89,-17.845,4.413,294.326,-16.164,66.509,12.176,211.976,-20.248,11.288,217.915,-16.243,Barani A,generated_Mean_Barani A
30.506,699.373,-27.635,33.548,700.468,32.073,56.445,702.525,62.287,3.903,71.457,-6.507,2.366,309.755,-5.131,20.261,224.484,-7.533,3.976,93.677,-8.465,4.912,71.457,6.783,7.582,309.755,6.843,16.703,224.484,8.296,3.566,93.677,8.529,10.15,74.88,17.787,14.175,309.755,13.937,22.86,224.484,17.127,10.045,94.502,15.057,75.041,23.391,251.766,-13.258,24.628,252.904,-15.876,28.322,16.961,259.956,-17.919,16.367,248.072,-18.719,9.559,3.448,74.634,-37.089,4.088,85.508,-32.912,16.608,-0.712,49.567,-7.812,0.04,56.278,-10.621,24.056,2.534,191.593,0.856,1.456,205.694,-1.216,34.931,-6.199,545.808,-24.084,-5.423,534.634,-20.507,45.66,-2.632,728.265,-11.626,-2.773,718.222,-13.017,49.497,2.11,742.866,-7.013,2.681,744.111,-7.124,52.627,12.54,776.355,-7.185,12.368,776.207,-7.523,53.32,22.175,806.958,-11.097,22.871,804.825,-10.426,50.228,42.282,797.294,-3.552,42.022,790.954,-4.585,40.147,60.695,691.439,-12.942,59.671,687.614,-12.403,26.633,62.288,532.067,-21.583,61.054,531.531,-21.555,16.208,44.935,362.879,-25.398,45.023,365.851,-24.973,10.935,27.845,235.163,-26.6,28.114,239.649,-26.43,9.964,14.073,178.469,-25.209,14.329,181.973,-25.437,10.176,5.29,178.225,-20.786,6.401,181.437,-20.462,10.352,10.549,228.082,-13.905,9.801,228.267,-14.546,11.068,6.348,282.946,-19.475,6.765,278.642,-19.605,59.748,10.596,225.81,-19.938,9.929,215.994,-15.216,Doppelsalto C,generated_Mean_Doppelsalto C
10.945,230.0,-17.947,17.928,315.327,19.74,29.957,317.105,46.138,1.871,42.141,0.922,2.991,54.19,-4.321,1.579,66.698,-5.666,4.504,66.971,-8.882,4.37,60.654,4.512,3.882,75.057,1.405,3.37,89.045,5.099,6.306,90.57,8.723,7.465,60.714,11.064,5.806,75.057,7.264,5.1,89.045,7.795,11.586,92.288,20.014,84.681,4.012,73.946,6.673,4.78,76.666,7.541,31.982,5.5,109.416,9.649,5.538,107.428,10.394,4.318,7.016,99.368,10.852,6.696,99.249,9.98,2.572,2.644,80.418,-0.111,2.61,79.866,-0.402,3.378,-1.636,56.766,-5.693,-1.373,57.323,-5.445,3.822,0.184,56.592,-10.904,0.265,58.769,-10.478,4.009,3.671,90.385,-6.818,3.745,89.895,-6.96,4.361,7.026,118.17,-3.013,6.875,117.872,-3.653,4.126,7.843,138.714,-6.78,8.069,137.929,-6.03,3.919,10.831,147.887,-3.672,10.519,147.046,-4.048,3.984,8.285,145.615,-4.894,7.984,145.29,-5.159,4.021,3.202,136.953,-10.077,3.553,137.44,-9.674,4.041,2.589,131.558,-11.627,2.549,131.968,-11.235,4.444,1.381,132.167,-7.492,1.465,131.863,-8.128,4.938,0.508,132.644,-10.165,0.331,132.3,-10.295,5.166,-2.503,132.984,-11.319,-2.606,134.347,-9.885,5.119,-2.182,147.772,12.979,-1.132,146.404,11.139,4.241,14.681,146.538,4.921,14.263,148.865,3.463,13.399,22.147,180.737,-52.012,21.014,170.899,-46.509,71.052,10.398,61.667,-38.145,10.462,59.492,-38.625,3/4 Salto rw A,generated_Mean_3/4 Salto rw A
-10.567,283.922,-6.899,28.176,391.127,12.414,52.304,475.079,65.24,-5.273,5.288,5.571,-0.141,157.287,-6.901,-3.995,56.5,-2.142,-1.158,64.847,-3.426,7.521,13.535,10.448,10.939,218.391,-1.733,5.951,75.295,1.476,3.766,83.905,2.223,16.029,88.53,22.953,18.222,226.311,19.606,7.172,75.295,7.081,10.881,84.942,15.598,102.699,1.051,-96.296,4.587,-0.682,-81.069,4.388,32.532,-32.908,-52.169,60.751,-28.919,-68.006,53.289,17.623,-20.164,-115.036,19.029,-21.279,-102.657,22.512,13.576,-8.216,8.546,-1.476,-7.733,27.556,1.014,20.834,2.106,314.835,-1.118,0.368,301.803,-2.934,30.392,-0.638,450.512,-1.552,0.4,442.984,-1.446,30.966,5.162,448.111,-4.035,4.484,447.588,-3.322,28.403,8.236,394.23,-20.201,6.408,388.957,-19.626,17.51,-6.83,264.243,-26.537,-5.132,265.286,-26.761,12.287,-14.583,178.282,-19.026,-14.305,182.081,-17.904,8.238,-20.821,158.471,-5.889,-19.999,156.69,-7.248,6.35,-13.801,132.723,-7.303,-13.599,135.06,-7.082,6.005,-3.136,122.062,-1.431,-4.006,122.535,-1.909,5.952,-5.077,112.954,0.102,-4.836,112.877,0.282,6.363,-4.528,103.149,1.88,-4.681,103.453,1.157,7.507,-6.881,100.092,-3.445,-6.827,100.606,-2.436,7.919,-8.603,106.366,5.585,-8.76,107.831,5.287,5.572,-10.494,130.899,7.62,-10.25,132.877,4.872,11.089,-10.565,214.355,-24.037,-8.605,208.717,-21.221,59.087,19.173,173.323,-16.13,14.752,175.521,-13.458,Cody C,generated_Mean_Cody C
48.268,142.986,192.435,61.564,142.986,384.11,159.356,279.195,389.859,14.548,81.59,25.399,46.491,-26.748,61.196,-7.799,-7.526,87.119,-4.973,95.67,18.722,22.574,81.59,57.552,76.594,-26.748,133.357,-31.612,-5.003,155.503,-5.992,93.147,37.698,26.924,81.59,57.921,77.468,48.258,133.357,37.071,53.671,155.503,17.893,95.675,43.078,83.179,0.173,206.28,21.017,2.829,210.077,21.867,25.563,0.511,254.422,38.362,1.818,248.03,37.158,7.511,32.392,191.185,46.212,31.333,191.906,48.572,3.556,47.284,132.49,69.487,48.822,134.402,70.109,3.845,72.017,107.832,93.46,71.977,106.73,92.084,4.016,102.927,78.698,101.658,102.037,77.314,101.067,4.55,116.077,21.009,104.552,115.019,19.552,105.401,5.929,109.93,-62.761,121.456,109.985,-62.326,121.975,8.19,98.114,-140.678,146.766,96.929,-138.926,146.415,10.427,62.387,-185.08,163.328,62.14,-182.06,163.25,11.662,21.988,-175.522,181.691,22.753,-172.936,182.655,12.074,-0.38,-114.712,213.502,-0.294,-112.621,212.234,11.524,-18.942,-11.882,218.927,-19.025,-12.568,216.173,9.999,-36.588,77.919,178.023,-35.78,77.071,177.57,8.625,-37.377,147.541,125.985,-36.957,145.357,126.285,8.033,-30.314,175.301,79.213,-30.457,174.068,80.293,7.819,-26.857,178.144,53.138,-26.574,178.643,53.838,7.423,-19.85,195.605,40.918,-19.431,197.495,41.683,8.595,1.463,251.739,32.547,1.71,251.164,26.558,61.607,23.262,244.398,-2.774,21.271,235.599,2.06,Schraubensalto,generated_Mean_Schraubensalto
107.928,26.451,535.472,111.86,35.805,535.472,174.403,319.78,554.856,-8.443,-91.748,85.291,78.633,-23.937,261.17,27.591,28.749,170.696,10.147,113.387,18.314,15.493,91.748,85.291,57.375,23.937,261.17,33.242,-28.749,170.696,5.75,-51.131,18.314,22.872,95.44,88.072,89.761,42.319,261.17,43.48,67.072,171.257,18.29,114.949,34.356,83.859,14.447,-59.452,29.092,13.251,-69.241,31.24,29.898,-14.341,-289.403,73.752,-13.972,-279.42,78.124,10.926,-45.613,-348.36,150.279,-43.233,-336.767,152.695,12.393,-36.998,-233.87,293.102,-35.838,-236.93,294.282,14.403,-10.389,-158.346,473.455,-8.171,-158.993,470.934,16.457,52.272,-92.024,591.215,53.279,-87.878,585.69,17.184,135.119,3.676,633.918,135.702,-4.518,633.51,18.532,225.857,-1.766,655.132,222.219,-4.74,651.412,16.87,270.484,-57.862,624.616,267.212,-59.697,625.447,17.274,254.494,-136.583,609.139,250.95,-130.008,610.128,17.227,181.447,-121.206,605.906,180.765,-114.188,603.403,15.663,92.802,-2.608,563.227,94.938,-3.721,556.792,13.304,32.84,116.37,422.942,34.6,111.704,422.399,10.422,9.479,171.284,267.529,11.234,170.242,270.282,9.599,10.85,201.954,151.964,9.699,202.538,155.099,9.265,-1.075,237.176,89.242,0.018,237.329,91.766,8.936,-1.325,269.881,71.071,0.089,269.335,73.004,7.975,22.472,300.709,71.225,22.622,302.628,65.902,15.941,54.781,341.644,9.124,53.049,329.473,12.029,68.527,47.952,197.59,-26.417,44.389,209.288,-24.203,Rudi,generated_Mean_Rudi
