SprungID,Sprungtyp,DJump_SIG_I_x LapEnd,DJump_SIG_I_y LapEnd,DJump_SIG_I_z LapEnd,DJump_I_ABS_x LapEnd,DJump_I_ABS_y LapEnd,DJump_I_ABS_z LapEnd,DJump_ABS_I_x LapEnd,DJump_ABS_I_y LapEnd,DJump_ABS_I_z LapEnd,DJump_SIG_I_S1_x LapEnd,DJump_SIG_I_S1_y LapEnd,DJump_SIG_I_S1_z LapEnd,DJump_SIG_I_S2_x LapEnd,DJump_SIG_I_S2_y LapEnd,DJump_SIG_I_S2_z LapEnd,DJump_SIG_I_S3_x LapEnd,DJump_SIG_I_S3_y LapEnd,DJump_SIG_I_S3_z LapEnd,DJump_SIG_I_S4_x LapEnd,DJump_SIG_I_S4_y LapEnd,DJump_SIG_I_S4_z LapEnd,DJump_I_ABS_S1_x LapEnd,DJump_I_ABS_S1_y LapEnd,DJump_I_ABS_S1_z LapEnd,DJump_I_ABS_S2_x LapEnd,DJump_I_ABS_S2_y LapEnd,DJump_I_ABS_S2_z LapEnd,DJump_I_ABS_S3_x LapEnd,DJump_I_ABS_S3_y LapEnd,DJump_I_ABS_S3_z LapEnd,DJump_I_ABS_S4_x LapEnd,DJump_I_ABS_S4_y LapEnd,DJump_I_ABS_S4_z LapEnd,DJump_ABS_I_S1_x LapEnd,DJump_ABS_I_S1_y LapEnd,DJump_ABS_I_S1_z LapEnd,DJump_ABS_I_S2_x LapEnd,DJump_ABS_I_S2_y LapEnd,DJump_ABS_I_S2_z LapEnd,DJump_ABS_I_S3_x LapEnd,DJump_ABS_I_S3_y LapEnd,DJump_ABS_I_S3_z LapEnd,DJump_ABS_I_S4_x LapEnd,DJump_ABS_I_S4_y LapEnd,DJump_ABS_I_S4_z LapEnd,0_Acc_N_Fil,0_Gyro_x_R,0_Gyro_y_R,0_Gyro_z_R,0_Gyro_x_Fil,0_Gyro_y_Fil,0_Gyro_z_Fil,5_Acc_N_Fil,5_Gyro_x_R,5_Gyro_y_R,5_Gyro_z_R,5_Gyro_x_Fil,5_Gyro_y_Fil,5_Gyro_z_Fil,10_Acc_N_Fil,10_Gyro_x_R,10_Gyro_y_R,10_Gyro_z_R,10_Gyro_x_Fil,10_Gyro_y_Fil,10_Gyro_z_Fil,15_Acc_N_Fil,15_Gyro_x_R,15_Gyro_y_R,15_Gyro_z_R,15_Gyro_x_Fil,15_Gyro_y_Fil,15_Gyro_z_Fil,20_Acc_N_Fil,20_Gyro_x_R,20_Gyro_y_R,20_Gyro_z_R,20_Gyro_x_Fil,20_Gyro_y_Fil,20_Gyro_z_Fil,25_Acc_N_Fil,25_Gyro_x_R,25_Gyro_y_R,25_Gyro_z_R,25_Gyro_x_Fil,25_Gyro_y_Fil,25_Gyro_z_Fil,30_Acc_N_Fil,30_Gyro_x_R,30_Gyro_y_R,30_Gyro_z_R,30_Gyro_x_Fil,30_Gyro_y_Fil,30_Gyro_z_Fil,35_Acc_N_Fil,35_Gyro_x_R,35_Gyro_y_R,35_Gyro_z_R,35_Gyro_x_Fil,35_Gyro_y_Fil,35_Gyro_z_Fil,40_Acc_N_Fil,40_Gyro_x_R,40_Gyro_y_R,40_Gyro_z_R,40_Gyro_x_Fil,40_Gyro_y_Fil,40_Gyro_z_Fil,45_Acc_N_Fil,45_Gyro_x_R,45_Gyro_y_R,45_Gyro_z_R,45_Gyro_x_Fil,45_Gyro_y_Fil,45_Gyro_z_Fil,50_Acc_N_Fil,50_Gyro_x_R,50_Gyro_y_R,50_Gyro_z_R,50_Gyro_x_Fil,50_Gyro_y_Fil,50_Gyro_z_Fil,55_Acc_N_Fil,55_Gyro_x_R,55_Gyro_y_R,55_Gyro_z_R,55_Gyro_x_Fil,55_Gyro_y_Fil,55_Gyro_z_Fil,60_Acc_N_Fil,60_Gyro_x_R,60_Gyro_y_R,60_Gyro_z_R,60_Gyro_x_Fil,60_Gyro_y_Fil,60_Gyro_z_Fil,65_Acc_N_Fil,65_Gyro_x_R,65_Gyro_y_R,65_Gyro_z_R,65_Gyro_x_Fil,65_Gyro_y_Fil,65_Gyro_z_Fil,70_Acc_N_Fil,70_Gyro_x_R,70_Gyro_y_R,70_Gyro_z_R,70_Gyro_x_Fil,70_Gyro_y_Fil,70_Gyro_z_Fil,75_Acc_N_Fil,75_Gyro_x_R,75_Gyro_y_R,75_Gyro_z_R,75_Gyro_x_Fil,75_Gyro_y_Fil,75_Gyro_z_Fil,80_Acc_N_Fil,80_Gyro_x_R,80_Gyro_y_R,80_Gyro_z_R,80_Gyro_x_Fil,80_Gyro_y_Fil,80_Gyro_z_Fil,85_Acc_N_Fil,85_Gyro_x_R,85_Gyro_y_R,85_Gyro_z_R,85_Gyro_x_Fil,85_Gyro_y_Fil,85_Gyro_z_Fil,90_Acc_N_Fil,90_Gyro_x_R,90_Gyro_y_R,90_Gyro_z_R,90_Gyro_x_Fil,90_Gyro_y_Fil,90_Gyro_z_Fil,95_Acc_N_Fil,95_Gyro_x_R,95_Gyro_y_R,95_Gyro_z_R,95_Gyro_x_Fil,95_Gyro_y_Fil,95_Gyro_z_Fil
0827-BK1-01-4,Salto C,6.606,356.118,9.29,6.606,356.118,9.29,21.629,389.448,29.9,1.664,37.054,4.951,2.559,196.232,1.052,0.668,73.44,-1.452,1.714,49.392,4.739,1.664,37.054,4.951,2.559,196.232,1.052,0.668,73.44,-1.452,1.714,49.392,4.739,8.133,70.384,11.273,7.063,196.232,7.37,1.748,73.44,2.102,4.685,49.392,9.156,101.389,-12.64,108.32,-15.36,-10.38,121.62,-21.66,63.253,12.08,177.76,42.96,18.2,164.26,21.7,6.913,-25.76,-60.96,48.88,-1.24,-32.89,21.88,10.009,-12.08,-93.12,43.52,-3.46,-82.06,37.72,9.821,-5.68,31.68,5.92,-6.44,50.8,4.39,13.598,-25.52,565.52,0.24,-23.81,527.02,-0.27,16.754,21.12,628.24,-0.64,5.91,612.33,1.76,37.825,43.84,543.44,23.92,29.82,508.74,17.5,10.511,8.64,269.92,-35.04,6.03,283.14,-20.11,3.61,13.76,184.08,5.2,10.44,184.69,1.72,3.57,0.96,172.32,0.48,4.53,172.34,-0.34,3.342,5.68,164.8,-1.36,5.68,163.96,-0.55,2.921,-3.12,154.32,1.52,-0.88,154.6,0.37,2.853,3.84,153.04,-4.64,2.89,152.91,-4.48,2.948,-2.8,129.52,-10.08,-2.79,129.29,-9.19,2.991,-3.36,94.56,2.56,-4.95,95.04,3.65,3.196,2.24,68.4,11.76,-1.19,67.96,11.0,4.079,-6.08,34.8,-3.12,-5.35,37.28,2.06,2.979,2.32,59.36,14.4,2.77,67.74,19.13,26.475,26.72,244.4,45.2,22.71,212.07,30.92
0827-BK1-01-7,Salto C,-4.728,357.453,7.993,4.728,357.453,7.993,20.548,384.109,26.83,-1.142,49.436,2.471,-2.4,175.541,4.996,0.07,78.762,0.829,-1.255,53.714,-0.303,1.142,49.436,2.471,2.4,175.541,4.996,-0.07,78.762,0.829,1.255,53.714,-0.303,7.535,75.439,10.551,6.564,175.541,6.459,1.365,78.762,1.016,5.083,54.368,8.804,106.646,-24.48,82.72,21.84,-16.23,107.21,-0.89,60.643,19.04,176.08,-15.04,16.18,154.83,-5.53,1.66,6.64,-153.68,-13.12,7.15,-72.88,6.19,9.013,20.4,-48.8,0.56,11.21,-52.73,15.11,9.127,-3.6,96.32,-15.6,-8.95,122.48,-14.47,15.688,-49.12,595.44,24.72,-35.81,575.6,17.85,15.304,-12.64,516.16,12.32,-9.71,519.48,9.84,27.658,-4.4,430.56,-16.08,-0.67,420.02,2.24,8.325,-3.6,219.76,15.2,-6.05,228.33,10.09,3.447,-0.48,164.48,-0.64,1.58,166.86,1.7,3.568,5.28,168.08,-0.48,5.5,168.98,1.99,2.941,3.12,162.08,6.4,3.57,163.0,3.74,2.813,1.76,149.6,-0.8,0.35,151.96,0.12,2.928,-2.56,151.44,1.28,-1.71,151.01,0.94,3.028,-0.48,148.24,0.48,-2.1,149.12,1.02,1.89,1.76,129.12,-1.76,-1.12,127.41,0.55,2.388,-5.44,70.88,-5.28,-3.81,70.65,-4.69,3.923,-12.32,19.84,-16.0,-11.91,19.84,-9.11,4.803,-10.72,34.88,18.4,-9.64,43.54,18.98,22.403,24.32,269.68,12.08,19.46,252.17,8.45
0827-BK1-01-10,Salto C,-6.303,357.775,3.611,6.303,357.775,3.611,22.496,372.394,32.164,-2.502,58.367,2.308,-0.286,162.779,-0.667,-2.04,75.041,1.22,-1.477,61.587,0.749,2.502,58.367,2.308,0.286,162.779,-0.667,2.04,75.041,1.22,1.477,61.587,0.749,8.223,72.987,11.108,5.765,162.779,7.244,2.37,75.041,2.751,6.138,61.587,11.063,109.568,-38.4,63.2,-7.2,-31.19,79.76,-29.99,58.436,5.52,152.4,-5.2,8.32,141.29,-10.35,2.678,7.36,-90.32,35.12,17.14,-20.94,29.99,9.275,-3.2,-89.04,-28.88,-1.65,-53.27,3.17,8.672,-13.6,190.64,-7.76,-16.22,197.13,-7.73,12.922,-23.76,544.96,46.88,-21.1,522.45,33.47,13.934,-22.4,459.52,18.32,-17.01,459.4,13.38,22.912,-5.92,378.64,13.52,-0.93,382.23,0.24,6.424,-16.8,206.0,-23.68,-10.61,225.97,-23.97,3.09,8.8,169.52,-1.2,12.66,172.29,-1.35,3.643,2.24,155.36,-0.88,2.6,157.96,-2.75,3.155,-5.84,152.48,-3.6,-5.69,153.66,-2.79,3.156,-9.92,159.04,-0.4,-8.05,158.31,-2.22,3.227,-1.36,150.96,6.88,-3.1,149.9,6.85,2.919,-0.72,134.08,11.04,-2.3,134.81,11.24,2.696,2.88,123.84,-2.48,1.56,121.32,-1.72,3.23,-15.76,90.16,-1.84,-13.42,92.57,-1.24,4.157,-6.0,84.8,9.44,-7.15,79.55,7.61,6.257,-15.44,85.84,-9.76,-8.93,88.61,-3.43,27.009,13.44,250.88,86.0,15.39,216.17,41.45
0827-BK1-01-13,Salto C,-3.612,350.271,1.937,3.612,350.271,1.937,22.719,378.015,32.926,-0.454,51.441,3.302,1.558,168.648,-0.349,-1.936,79.431,-2.177,-2.78,50.751,1.16,0.454,51.441,3.302,0.651,168.648,-0.349,-0.273,79.431,-2.177,2.78,50.751,1.16,9.013,79.176,12.362,5.16,168.648,7.565,2.854,79.431,2.642,5.693,50.759,10.356,105.438,-26.16,94.16,21.36,-17.8,113.52,-6.62,64.651,20.08,191.28,19.6,18.27,170.91,12.27,4.212,16.08,-60.56,57.68,11.74,-51.52,43.15,8.649,15.36,-64.88,22.08,8.76,-60.68,10.02,9.107,-4.4,122.48,-48.88,-12.21,138.35,-29.6,14.622,-44.0,569.76,21.2,-31.45,542.49,14.09,14.035,-9.44,488.96,31.84,-5.76,488.21,21.83,23.036,6.48,377.12,-13.12,17.51,383.39,-6.41,6.922,-7.04,221.2,-19.2,-2.95,230.57,-17.19,3.567,10.56,166.08,-5.68,7.41,167.65,-6.72,3.239,8.56,155.04,-8.88,6.7,154.03,-9.74,3.485,-2.88,153.44,-7.44,-0.82,152.91,-8.05,3.427,-5.12,164.56,-5.76,-3.1,161.47,-6.54,3.159,-4.88,161.6,-1.44,-5.03,160.77,-2.71,2.846,-10.56,154.64,-1.76,-10.84,153.86,-0.33,2.607,-3.36,146.64,-4.16,-4.31,141.94,-2.54,2.456,-4.08,87.6,0.24,-5.25,85.21,-0.65,4.818,-13.36,27.04,-2.32,-12.81,26.65,7.65,6.236,-21.92,52.16,44.8,-14.23,52.87,37.79,25.935,6.96,217.52,48.88,10.69,193.88,8.03
0827-BK1-01-16,Salto C,17.714,354.126,2.046,17.714,354.126,2.046,31.248,385.445,29.857,3.006,43.891,1.369,6.75,180.712,4.705,6.232,75.478,-0.997,1.726,54.045,-3.031,3.006,43.891,1.369,6.75,180.712,4.705,6.232,75.478,-0.997,1.726,54.045,-3.031,9.098,75.209,12.875,9.281,180.712,6.421,6.232,75.478,1.542,6.636,54.045,9.019,106.505,-22.08,73.92,40.72,-12.88,99.48,8.64,63.048,28.56,202.16,13.44,29.79,179.92,5.07,5.704,10.0,-81.6,-4.32,14.59,-42.22,6.71,9.094,5.76,-55.12,22.4,0.26,-70.34,17.47,9.385,-2.88,74.4,-29.92,-4.24,91.5,-22.27,15.805,-26.64,568.08,-2.48,-20.95,535.4,-6.98,15.71,5.84,578.96,3.76,7.92,567.78,6.85,34.788,70.32,458.08,3.44,41.99,427.49,8.61,10.28,10.4,266.4,1.2,10.94,261.04,0.55,2.774,29.04,165.6,18.0,24.36,168.16,15.0,3.335,5.12,158.24,-0.96,7.34,159.57,-0.56,3.012,19.04,158.4,-1.44,16.98,158.01,-1.0,2.957,9.92,149.12,0.72,11.94,150.66,0.52,2.883,7.6,151.6,0.4,9.35,150.2,0.25,2.86,12.0,145.36,0.96,13.67,143.6,-1.26,2.301,10.32,118.48,-12.08,10.96,117.88,-11.47,2.721,0.8,74.08,-13.12,2.09,73.6,-11.44,3.849,-9.52,34.48,-1.52,-6.87,35.74,-1.98,5.284,-28.32,45.2,14.4,-15.52,53.4,14.29,20.713,31.92,220.32,-7.04,27.12,214.93,4.96
0827-BK1-01-19,Salto C,16.204,357.228,15.359,16.204,357.228,15.359,38.942,381.171,37.994,0.138,44.833,4.148,3.619,180.623,12.044,8.999,68.052,3.206,3.447,63.721,-4.041,0.138,44.833,4.148,3.619,180.623,12.044,8.999,68.052,3.206,3.447,63.721,-4.041,14.373,68.776,11.055,9.435,180.623,12.455,8.999,68.052,3.916,6.135,63.721,10.568,108.576,-26.56,71.2,-28.72,-17.78,92.17,-41.0,60.769,66.56,183.2,15.92,57.66,171.01,0.06,3.051,-12.88,-104.96,38.08,-0.35,-53.64,32.3,7.971,-10.32,-41.04,32.72,-11.78,-52.95,30.25,8.169,-11.84,77.12,-16.8,-19.06,96.55,-2.61,14.444,-41.12,557.36,-6.08,-36.13,526.75,4.89,15.37,5.04,544.32,-6.64,0.11,535.57,12.36,37.083,52.56,474.0,68.08,35.38,437.46,54.78,13.135,-9.2,302.16,12.32,-1.34,283.87,16.9,2.422,9.36,164.72,12.56,13.42,167.39,9.64,2.86,11.12,162.48,20.32,15.34,162.54,15.54,2.811,17.28,159.44,9.92,16.91,158.05,10.35,2.805,12.24,148.08,11.36,13.65,144.55,9.48,2.674,18.24,125.12,7.68,17.59,124.78,7.24,2.609,25.6,115.12,1.6,24.23,114.29,2.49,2.511,20.64,100.08,-12.56,19.57,99.86,-10.48,2.497,10.48,89.2,-4.16,11.08,87.83,-1.09,3.637,0.88,52.32,12.48,0.87,57.26,12.7,7.44,-7.2,130.4,-2.8,-5.79,118.96,-5.51,24.2,18.4,260.08,46.96,19.42,243.95,14.78
0827-BK1-01-22,Salto C,4.115,350.955,16.79,4.115,350.955,16.79,22.406,360.153,28.12,1.27,52.368,2.488,-2.873,178.852,6.954,3.323,75.713,3.024,2.395,44.021,4.324,1.27,52.368,2.488,0.332,178.852,6.954,0.117,75.713,3.024,2.395,44.021,4.324,7.317,61.567,8.572,6.433,178.852,7.627,3.891,75.713,3.67,4.765,44.021,8.251,106.519,-26.32,70.8,20.08,-24.76,88.78,-7.27,65.801,-11.84,129.68,19.04,-10.6,120.7,17.94,0.934,9.2,-75.76,5.12,13.44,-26.74,17.93,7.805,5.12,-25.2,-32.64,10.09,-15.16,-8.95,9.076,24.56,147.28,-8.0,17.9,159.69,-5.76,13.595,-29.12,526.8,4.56,-23.35,507.45,1.6,14.633,-12.88,552.24,-7.76,-11.3,538.54,1.45,30.448,19.12,472.48,17.6,8.91,445.61,23.21,9.175,8.08,274.96,1.04,-3.88,275.47,7.77,3.292,-2.4,161.44,9.28,-4.86,167.64,11.06,3.204,11.28,152.96,6.72,11.11,153.92,8.63,3.462,12.16,157.2,16.72,13.43,159.72,13.12,3.829,9.28,171.04,18.4,9.13,171.35,15.24,3.016,-2.0,162.72,3.04,-0.02,163.21,2.49,3.105,0.56,128.08,-0.24,-0.77,127.08,-0.71,3.692,5.44,88.16,1.92,5.42,90.33,1.22,3.039,10.32,62.32,8.4,9.88,64.74,8.12,2.899,-1.6,60.8,-2.72,1.11,60.95,-1.38,1.351,6.0,76.96,33.6,2.52,80.35,26.95,21.792,27.76,66.56,28.32,19.22,103.8,13.33
0827-BK1-01-24,Salto C,5.256,380.359,11.901,5.256,380.359,11.901,18.198,401.892,24.243,0.181,36.855,6.459,-1.984,208.683,3.788,4.094,54.26,2.804,2.965,80.56,-1.149,0.181,36.855,6.459,1.622,208.683,3.788,0.488,54.26,2.804,2.965,80.56,-1.149,4.59,58.389,9.268,5.136,208.683,7.5,4.416,54.26,2.959,4.056,80.56,4.517,97.989,-15.12,156.8,-31.12,-14.43,173.5,-19.14,60.684,14.64,196.72,5.92,11.27,181.46,3.25,5.307,-24.8,-13.12,59.2,-10.91,-9.92,35.33,6.928,-3.2,-48.48,28.56,-2.55,-48.46,16.39,6.503,1.84,34.88,11.04,2.37,45.22,14.11,13.68,3.6,347.12,27.84,1.07,341.44,22.86,15.393,-21.68,526.8,-7.92,-18.33,524.28,1.87,11.111,8.8,513.12,8.72,6.44,496.55,8.91,29.859,22.64,544.8,-24.56,9.72,486.07,-9.93,12.156,-25.52,356.0,23.2,-12.25,325.39,14.72,2.995,2.16,167.84,8.32,0.11,171.58,8.95,2.899,1.28,128.4,4.48,4.08,128.14,4.08,2.122,14.96,98.56,8.72,13.93,102.26,8.07,2.687,10.56,102.4,-2.48,10.03,99.92,0.63,2.616,10.0,83.44,14.48,9.44,86.37,11.68,3.021,6.48,106.32,1.76,6.75,105.87,2.09,3.192,6.56,119.04,0.24,6.05,120.94,1.01,4.103,5.44,129.52,-5.76,3.83,131.3,-1.74,6.194,-0.96,192.0,-5.12,0.85,180.53,-5.19,27.255,21.68,298.64,15.36,17.11,263.87,4.55
0827-BK1-01-26,Salto C,12.596,356.796,12.659,12.596,356.796,12.659,24.224,365.648,27.204,2.08,43.446,-0.604,-1.652,187.979,6.507,6.271,75.838,3.834,5.897,49.533,2.922,2.08,43.446,0.604,-1.652,187.979,5.298,6.271,75.838,3.834,5.897,49.533,2.922,5.895,52.298,6.529,5.047,187.979,8.682,6.271,75.838,4.002,7.011,49.533,7.99,102.739,-42.24,64.96,-1.84,-33.15,89.36,-23.48,64.308,3.12,139.28,-0.16,4.91,119.6,-2.9,3.036,2.24,-48.24,0.16,9.65,-5.45,2.24,7.85,6.32,-33.04,7.44,5.62,-19.64,6.92,10.075,10.8,90.8,-11.36,8.32,102.61,-3.66,14.974,-4.88,517.52,-24.24,-9.08,496.26,-6.68,16.128,-13.76,622.08,-12.24,-10.0,597.69,-1.92,33.45,19.28,484.64,34.72,11.37,461.26,24.65,11.364,20.32,305.52,9.28,4.81,303.57,19.24,3.47,-13.68,173.6,10.32,-9.91,178.24,12.03,3.447,4.08,151.92,9.2,6.46,152.64,9.9,3.268,17.36,157.04,15.92,18.59,155.28,13.93,3.317,13.12,161.12,12.64,14.1,161.66,11.71,3.194,9.6,172.56,5.92,9.74,169.52,4.22,2.998,7.68,145.44,-0.32,8.77,145.11,0.83,3.278,9.04,108.08,11.04,9.31,107.4,11.95,3.763,21.28,70.96,10.0,19.14,72.68,11.04,4.567,16.24,46.4,1.52,15.43,48.39,1.42,3.353,-5.12,102.48,15.68,0.63,84.86,8.43,25.354,28.0,188.8,13.6,24.03,176.89,18.16
0827-BK1-01-28,Strecksprung,1.445,11.509,5.548,1.445,11.509,5.548,26.163,74.699,52.011,7.094,22.927,1.311,1.506,-19.27,6.623,-1.278,-0.153,2.392,-5.876,8.006,-4.778,7.094,22.927,1.311,1.506,-19.27,6.623,-1.278,-0.153,2.392,-5.876,8.006,-4.778,10.543,28.772,20.821,6.427,20.93,18.752,2.86,3.401,2.762,6.333,21.595,9.676,104.222,-25.92,77.76,-6.96,-12.31,79.69,-10.99,42.084,24.16,54.08,-51.28,17.15,46.6,-32.27,6.48,-9.36,-8.0,84.56,4.68,20.16,61.97,4.981,23.92,126.24,28.0,31.71,128.64,14.08,2.019,7.2,25.92,-21.36,6.75,23.28,-6.19,1.546,18.56,-54.96,-35.92,15.42,-50.78,-38.17,0.526,30.08,-71.28,-40.16,23.32,-71.9,-33.99,2.177,-23.6,-133.04,87.12,-12.28,-105.75,59.39,1.958,-0.48,16.16,37.84,-0.16,5.84,28.24,0.844,-18.48,-1.84,27.68,-13.84,-3.2,32.05,2.542,5.92,4.64,19.28,2.8,1.61,15.59,1.187,3.44,2.88,9.2,2.58,5.04,7.18,0.924,-8.88,2.48,13.92,-4.6,4.01,11.13,0.779,-2.96,-5.92,0.24,-4.03,-5.88,1.3,0.398,-5.28,-7.2,1.76,-5.15,-7.73,2.22,0.449,2.32,-9.36,3.28,1.3,-8.23,3.79,0.685,-0.24,-2.72,5.52,-0.46,-3.45,6.4,1.453,-9.52,-4.4,-13.44,-10.21,-7.57,-9.22,5.092,-13.68,-22.16,-19.92,-12.94,-27.98,-26.49,25.015,-16.4,113.12,-12.4,-19.45,87.74,-7.53
