SprungID,Sprungtyp,DJump_SIG_I_x LapEnd,DJump_SIG_I_y LapEnd,DJump_SIG_I_z LapEnd,DJump_I_ABS_x LapEnd,DJump_I_ABS_y LapEnd,DJump_I_ABS_z LapEnd,DJump_ABS_I_x LapEnd,DJump_ABS_I_y LapEnd,DJump_ABS_I_z LapEnd,DJump_SIG_I_S1_x LapEnd,DJump_SIG_I_S1_y LapEnd,DJump_SIG_I_S1_z LapEnd,DJump_SIG_I_S2_x LapEnd,DJump_SIG_I_S2_y LapEnd,DJump_SIG_I_S2_z LapEnd,DJump_SIG_I_S3_x LapEnd,DJump_SIG_I_S3_y LapEnd,DJump_SIG_I_S3_z LapEnd,DJump_SIG_I_S4_x LapEnd,DJump_SIG_I_S4_y LapEnd,DJump_SIG_I_S4_z LapEnd,DJump_I_ABS_S1_x LapEnd,DJump_I_ABS_S1_y LapEnd,DJump_I_ABS_S1_z LapEnd,DJump_I_ABS_S2_x LapEnd,DJump_I_ABS_S2_y LapEnd,DJump_I_ABS_S2_z LapEnd,DJump_I_ABS_S3_x LapEnd,DJump_I_ABS_S3_y LapEnd,DJump_I_ABS_S3_z LapEnd,DJump_I_ABS_S4_x LapEnd,DJump_I_ABS_S4_y LapEnd,DJump_I_ABS_S4_z LapEnd,DJump_ABS_I_S1_x LapEnd,DJump_ABS_I_S1_y LapEnd,DJump_ABS_I_S1_z LapEnd,DJump_ABS_I_S2_x LapEnd,DJump_ABS_I_S2_y LapEnd,DJump_ABS_I_S2_z LapEnd,DJump_ABS_I_S3_x LapEnd,DJump_ABS_I_S3_y LapEnd,DJump_ABS_I_S3_z LapEnd,DJump_ABS_I_S4_x LapEnd,DJump_ABS_I_S4_y LapEnd,DJump_ABS_I_S4_z LapEnd,0_Acc_N_Fil,0_Gyro_x_R,0_Gyro_y_R,0_Gyro_z_R,0_Gyro_x_Fil,0_Gyro_y_Fil,0_Gyro_z_Fil,5_Acc_N_Fil,5_Gyro_x_R,5_Gyro_y_R,5_Gyro_z_R,5_Gyro_x_Fil,5_Gyro_y_Fil,5_Gyro_z_Fil,10_Acc_N_Fil,10_Gyro_x_R,10_Gyro_y_R,10_Gyro_z_R,10_Gyro_x_Fil,10_Gyro_y_Fil,10_Gyro_z_Fil,15_Acc_N_Fil,15_Gyro_x_R,15_Gyro_y_R,15_Gyro_z_R,15_Gyro_x_Fil,15_Gyro_y_Fil,15_Gyro_z_Fil,20_Acc_N_Fil,20_Gyro_x_R,20_Gyro_y_R,20_Gyro_z_R,20_Gyro_x_Fil,20_Gyro_y_Fil,20_Gyro_z_Fil,25_Acc_N_Fil,25_Gyro_x_R,25_Gyro_y_R,25_Gyro_z_R,25_Gyro_x_Fil,25_Gyro_y_Fil,25_Gyro_z_Fil,30_Acc_N_Fil,30_Gyro_x_R,30_Gyro_y_R,30_Gyro_z_R,30_Gyro_x_Fil,30_Gyro_y_Fil,30_Gyro_z_Fil,35_Acc_N_Fil,35_Gyro_x_R,35_Gyro_y_R,35_Gyro_z_R,35_Gyro_x_Fil,35_Gyro_y_Fil,35_Gyro_z_Fil,40_Acc_N_Fil,40_Gyro_x_R,40_Gyro_y_R,40_Gyro_z_R,40_Gyro_x_Fil,40_Gyro_y_Fil,40_Gyro_z_Fil,45_Acc_N_Fil,45_Gyro_x_R,45_Gyro_y_R,45_Gyro_z_R,45_Gyro_x_Fil,45_Gyro_y_Fil,45_Gyro_z_Fil,50_Acc_N_Fil,50_Gyro_x_R,50_Gyro_y_R,50_Gyro_z_R,50_Gyro_x_Fil,50_Gyro_y_Fil,50_Gyro_z_Fil,55_Acc_N_Fil,55_Gyro_x_R,55_Gyro_y_R,55_Gyro_z_R,55_Gyro_x_Fil,55_Gyro_y_Fil,55_Gyro_z_Fil,60_Acc_N_Fil,60_Gyro_x_R,60_Gyro_y_R,60_Gyro_z_R,60_Gyro_x_Fil,60_Gyro_y_Fil,60_Gyro_z_Fil,65_Acc_N_Fil,65_Gyro_x_R,65_Gyro_y_R,65_Gyro_z_R,65_Gyro_x_Fil,65_Gyro_y_Fil,65_Gyro_z_Fil,70_Acc_N_Fil,70_Gyro_x_R,70_Gyro_y_R,70_Gyro_z_R,70_Gyro_x_Fil,70_Gyro_y_Fil,70_Gyro_z_Fil,75_Acc_N_Fil,75_Gyro_x_R,75_Gyro_y_R,75_Gyro_z_R,75_Gyro_x_Fil,75_Gyro_y_Fil,75_Gyro_z_Fil,80_Acc_N_Fil,80_Gyro_x_R,80_Gyro_y_R,80_Gyro_z_R,80_Gyro_x_Fil,80_Gyro_y_Fil,80_Gyro_z_Fil,85_Acc_N_Fil,85_Gyro_x_R,85_Gyro_y_R,85_Gyro_z_R,85_Gyro_x_Fil,85_Gyro_y_Fil,85_Gyro_z_Fil,90_Acc_N_Fil,90_Gyro_x_R,90_Gyro_y_R,90_Gyro_z_R,90_Gyro_x_Fil,90_Gyro_y_Fil,90_Gyro_z_Fil,95_Acc_N_Fil,95_Gyro_x_R,95_Gyro_y_R,95_Gyro_z_R,95_Gyro_x_Fil,95_Gyro_y_Fil,95_Gyro_z_Fil
20190930-1153-FRANKFURT_1-01-249,Strecksprung,-3.739,2.442,-11.059,3.739,2.442,11.059,13.257,30.206,34.854,-2.92,6.804,-7.928,1.554,-2.232,6.864,-1.272,4.293,-1.575,-1.101,-6.423,-8.421,2.92,6.804,7.928,-1.554,-2.232,-6.864,1.272,4.293,1.575,1.101,-6.423,8.421,6.857,11.034,13.403,1.75,3.253,6.864,2.111,4.293,5.13,2.538,11.626,9.458,75.564,-18.986,28.558,-17.159,-19.168,27.905,-18.945,48.509,-38.5,16.952,-69.971,-34.242,18.443,-64.018,11.365,-1.014,29.558,-25.484,-3.142,29.209,-24.71,1.407,12.026,29.402,16.608,10.987,24.811,13.104,1.587,8.233,-25.86,13.249,8.253,-19.308,14.373,0.957,2.02,-4.405,20.594,2.653,-5.557,20.022,0.718,3.999,4.351,20.377,4.082,2.209,20.671,1.373,8.076,-13.329,21.875,7.372,-12.108,21.698,1.223,4.054,-15.809,19.597,3.973,-14.705,19.397,0.63,-1.46,-1.59,15.459,-0.59,-1.881,15.229,0.697,3.919,8.701,10.391,3.036,8.447,9.958,0.768,-2.142,13.842,-2.336,-1.9,13.134,-3.314,0.843,-7.084,7.906,-23.171,-6.927,7.893,-20.237,0.491,-6.546,5.225,-3.727,-6.5,6.103,-3.958,0.846,-6.324,13.381,13.867,-6.89,12.093,11.002,1.589,-11.135,4.251,-9.423,-9.886,3.97,-8.304,1.656,-1.454,-10.382,-21.582,-1.948,-10.183,-20.316,4.875,1.678,-23.26,-23.245,2.106,-32.979,-22.187,32.453,0.843,-77.933,-21.115,-0.121,-60.02,-20.29,64.865,-5.914,26.433,-13.966,-4.845,16.443,-15.623
0115-CHARI-05-57,Strecksprung,-5.516,-15.209,-26.392,5.516,15.209,26.392,21.287,106.831,38.014,-8.027,30.143,-18.866,3.686,-15.217,1.196,-0.699,-31.242,-5.596,-0.476,1.108,-3.126,8.027,30.143,18.866,-3.686,-15.217,-1.196,0.699,1.392,5.596,0.476,-1.108,3.126,12.26,32.585,19.642,3.722,15.217,4.162,2.421,31.242,6.511,2.884,27.786,7.699,87.264,-7.518,125.363,-62.482,-6.015,124.046,-59.214,27.897,15.074,116.575,-30.733,9.896,114.003,-32.581,2.713,-42.897,60.622,-13.89,-37.76,64.066,-17.961,2.955,-31.497,13.711,-62.456,-31.854,14.928,-55.56,2.047,-16.437,-4.998,-25.013,-15.761,-6.404,-26.483,0.874,13.177,-15.388,5.502,11.798,-13.884,3.482,0.764,13.0,-6.625,-2.903,12.154,-8.702,-1.762,1.08,2.575,-30.647,3.349,3.537,-30.615,2.409,0.919,4.898,-58.915,-6.232,4.599,-56.706,-4.356,1.01,4.415,-45.98,12.557,4.602,-47.788,10.037,1.221,5.621,-59.99,-0.349,5.073,-59.208,1.024,1.207,-1.427,-69.505,1.883,-1.438,-69.504,-0.113,0.974,-9.793,-74.279,-27.615,-8.712,-73.347,-25.789,0.782,0.902,-65.175,-22.19,-0.201,-65.137,-22.024,0.705,-2.539,-53.626,-9.522,-2.189,-54.167,-10.369,0.619,-1.435,-47.495,-13.358,-1.203,-47.774,-12.309,0.926,2.96,-43.664,0.785,2.357,-43.187,1.325,0.647,-2.877,-30.495,13.353,-1.189,-29.826,10.799,16.398,5.882,10.341,-8.216,4.034,16.44,-9.413,73.002,-10.095,128.892,-25.822,-8.337,119.446,-23.322
20190930-1153-FRANKFURT_1-01-166,Schraubensalto,64.785,81.262,397.064,64.785,81.262,397.064,170.539,259.878,414.93,24.115,78.067,58.937,75.083,-23.715,116.448,-43.112,-52.435,158.11,8.7,79.345,63.569,24.115,78.067,58.937,75.083,-23.715,116.448,-43.112,-52.435,158.11,8.7,79.345,63.569,24.532,78.067,58.999,75.083,38.908,116.448,45.399,63.557,158.11,25.526,79.345,81.373,78.931,7.327,249.53,29.38,8.92,249.406,35.678,23.732,25.783,284.441,125.589,28.737,270.869,120.005,3.623,71.682,130.969,141.209,68.277,136.171,140.148,4.793,55.437,82.503,171.396,58.17,86.886,171.592,4.093,96.61,87.37,180.058,97.298,86.458,180.554,3.111,157.323,61.506,187.342,156.372,60.449,188.039,3.223,199.547,16.031,218.399,197.201,17.623,218.768,3.91,195.09,-19.369,246.929,194.133,-23.591,247.605,5.524,157.704,-114.78,291.139,156.214,-114.467,290.407,8.41,92.013,-204.523,321.529,90.391,-201.373,320.024,11.461,-2.751,-237.952,321.925,-1.74,-235.18,321.764,12.197,-82.874,-212.285,318.243,-82.127,-209.236,319.319,11.997,-141.777,-128.325,352.875,-138.362,-127.762,352.243,12.12,-137.388,-44.263,380.39,-135.871,-43.099,376.613,11.53,-102.152,60.86,336.237,-102.979,58.796,336.248,9.307,-72.971,140.669,273.083,-70.859,136.629,274.108,7.932,-11.929,141.092,233.679,-10.759,143.591,235.868,8.496,68.003,167.243,217.775,64.672,165.912,208.503,9.525,78.752,199.079,32.164,72.941,201.483,35.892,58.502,32.329,199.369,-65.183,35.02,186.275,-55.418
20191003-1152-FRANKFURT_1-01-106,Salto C,-11.772,329.878,-13.108,11.772,329.878,13.108,23.227,355.845,30.813,1.773,17.112,-6.799,-9.916,195.748,-0.178,-2.052,64.807,-3.622,-1.577,52.211,-2.509,1.773,17.112,6.799,6.37,195.748,0.178,2.052,64.807,3.622,1.577,52.211,2.509,7.667,43.079,14.742,10.173,195.748,7.306,2.552,64.807,4.188,2.835,52.211,4.577,79.445,-16.38,138.782,-27.075,-15.931,145.711,-22.197,38.472,-12.992,180.256,-2.727,-9.359,165.988,-6.876,7.482,27.737,21.545,6.187,19.411,31.544,2.857,8.701,4.397,-69.14,-32.464,7.796,-67.837,-23.058,13.17,16.277,-69.025,-11.138,14.292,-51.562,-13.023,9.348,-19.957,209.232,2.226,-19.348,210.474,0.741,15.729,-48.825,500.985,-15.671,-46.803,493.244,-7.793,24.288,-34.045,626.58,24.377,-33.446,616.556,15.68,32.822,-19.943,595.622,-5.561,-18.39,585.101,-4.332,17.27,-0.174,436.695,7.889,-3.597,436.998,8.629,6.316,-1.329,276.447,0.271,-1.943,279.422,0.886,3.714,-12.325,168.83,-10.409,-11.009,173.086,-10.055,3.445,-8.918,121.281,-9.026,-9.224,123.939,-9.457,4.253,-4.787,109.749,-6.58,-4.267,109.87,-6.547,4.267,0.169,106.113,-2.805,-0.259,106.016,-2.81,3.975,-2.206,100.554,-2.077,-2.61,99.758,-1.682,4.215,-4.893,94.177,0.642,-4.436,97.512,0.42,4.73,-3.498,134.309,5.359,-2.917,135.35,5.489,9.497,5.045,170.017,0.129,1.306,163.251,-1.072,51.155,-17.328,131.436,-18.705,-14.038,122.933,-18.187
20191007-1150-FRANKFURT_2-01-225,Salto A,34.859,354.439,5.532,34.859,354.439,5.532,36.897,354.439,36.451,9.186,97.876,-7.818,0.897,84.608,1.81,9.79,74.208,7.765,14.984,97.748,3.775,9.186,97.876,7.818,0.897,84.608,-1.81,9.79,74.208,-4.251,14.984,97.748,3.775,9.246,97.876,12.106,2.859,84.608,6.531,9.79,74.208,7.765,15.001,97.748,10.049,71.727,24.469,227.508,-38.445,27.489,240.509,-30.386,23.062,28.815,304.458,-2.34,29.806,290.162,-11.13,8.134,45.891,254.993,-30.825,40.203,259.243,-24.749,4.722,5.132,228.172,-14.071,9.78,226.994,-15.047,4.909,8.749,185.746,4.007,9.67,182.869,1.852,7.263,13.629,137.704,-11.534,12.006,144.674,-8.979,7.663,3.166,163.796,-10.015,2.751,167.531,-8.942,9.036,-4.98,225.6,5.693,-4.671,220.642,5.351,9.228,-6.1,254.551,22.796,-4.146,255.62,21.25,7.7,6.693,262.576,29.404,7.086,259.372,28.232,7.77,22.959,198.906,20.278,22.165,200.004,23.078,8.656,32.583,182.771,24.484,30.983,183.125,23.569,8.846,25.347,189.934,21.079,25.652,190.205,21.305,8.493,21.506,183.022,23.599,20.994,181.949,24.147,9.555,18.643,161.295,18.936,18.944,165.068,15.406,10.237,15.629,192.762,-11.94,15.653,190.851,-8.123,9.509,10.492,209.677,-3.014,12.103,209.444,-1.592,6.232,26.43,220.871,16.492,27.194,225.617,12.541,10.317,62.463,277.415,-4.871,58.419,283.022,4.984,54.217,73.005,300.294,64.502,70.241,268.302,51.184
20191008-1207-FRANKFURT_2-01-240,Salto B,30.745,343.599,-17.709,30.745,343.599,17.709,51.634,406.873,50.825,-0.138,-7.966,1.735,21.677,212.371,-6.072,12.688,63.417,-9.637,-3.483,75.777,-3.735,0.138,7.966,1.735,21.402,196.439,2.603,12.688,63.417,9.637,-3.483,75.777,3.735,5.823,52.482,10.603,22.969,212.41,11.642,12.688,63.417,10.485,10.155,78.564,18.095,74.245,13.14,153.135,-20.193,13.663,145.311,-16.254,15.479,2.916,83.628,-23.685,3.488,81.408,-16.916,3.958,6.519,-6.692,27.758,4.697,-16.763,20.559,9.834,-1.331,-217.335,18.233,-1.719,-192.193,18.594,11.478,-22.659,-103.408,18.233,-16.574,-96.931,11.346,8.013,20.386,137.707,-32.738,14.145,130.47,-22.469,15.694,-1.329,323.501,-2.22,3.131,333.35,-4.333,26.882,34.463,629.702,5.098,37.599,612.633,3.661,38.81,98.078,687.371,-1.593,94.422,686.387,0.408,35.105,95.518,649.333,-37.432,93.643,638.386,-31.272,11.92,68.153,365.295,-13.059,66.087,363.83,-23.355,3.43,27.729,139.329,-24.026,30.346,151.573,-21.537,4.677,23.164,110.983,-20.873,21.956,107.834,-20.895,4.013,11.857,74.79,-24.155,13.066,74.903,-24.313,4.625,13.805,32.778,-27.873,12.515,36.996,-28.708,4.737,1.705,42.51,-46.596,1.271,43.408,-44.964,4.823,-20.397,73.7,-40.763,-18.629,79.931,-37.455,2.191,-21.054,209.61,15.568,-22.108,210.761,12.545,15.034,-25.786,366.114,19.218,-23.626,345.937,13.389,86.446,27.399,171.647,10.915,23.465,155.997,14.206
20190930-1247-FRANKFURT_2-01-47,Salto C,-7.957,342.901,3.349,7.957,342.901,3.349,30.037,344.067,30.521,-3.733,34.485,5.04,-1.782,155.317,2.856,-3.243,85.302,-3.361,0.801,67.798,-1.186,3.733,34.485,5.04,1.782,155.317,2.856,3.243,85.302,-3.361,-0.801,67.798,-1.186,12.814,35.651,11.562,5.201,155.317,4.255,4.24,85.302,4.202,7.781,67.798,10.501,72.534,20.135,168.706,43.823,20.647,172.537,38.098,18.844,11.964,126.726,16.189,6.556,119.741,21.98,9.677,-28.918,12.218,2.372,-22.926,18.009,4.517,7.624,-13.047,43.473,13.077,-14.08,39.797,5.127,9.446,-33.921,73.125,1.754,-32.49,88.633,3.604,11.232,-21.26,252.496,10.225,-21.9,247.891,9.039,13.608,-13.035,364.49,-1.534,-13.368,364.112,1.425,17.38,-6.987,463.293,26.157,-6.08,453.319,22.111,16.34,10.158,439.107,13.168,9.012,437.725,14.894,13.972,10.345,372.54,2.6,10.416,375.155,2.732,11.357,6.017,335.035,-11.781,5.533,328.061,-11.734,5.773,-5.595,229.052,-16.785,-6.206,233.327,-15.605,5.375,-19.533,166.846,-5.788,-17.257,171.419,-5.806,4.944,-8.281,163.448,3.1,-9.462,162.375,2.977,5.137,-10.89,148.91,6.719,-10.92,150.491,5.996,5.316,-13.499,156.3,2.134,-12.702,157.353,3.358,4.804,-5.558,189.292,12.703,-4.53,190.35,12.812,4.389,18.058,218.319,7.148,16.355,211.049,7.711,4.767,27.941,160.877,24.395,24.658,162.243,13.757,47.668,-17.476,106.058,-43.172,-11.337,101.128,-32.209
20191007-1150-FRANKFURT_2-01-86,Salto A,12.558,348.728,-7.837,12.558,348.728,7.837,34.958,348.728,43.933,11.43,87.335,-8.248,0.309,76.875,-4.781,-2.441,84.554,-3.606,3.259,99.964,8.798,11.43,87.335,8.248,0.309,76.875,4.781,-2.441,84.554,3.606,3.259,99.964,-8.798,11.61,87.335,11.367,6.065,76.875,7.652,5.672,84.554,7.155,11.61,99.964,17.759,76.344,34.94,245.729,-15.435,40.655,252.461,-15.178,35.461,40.345,285.579,2.994,38.818,276.429,2.017,8.602,30.914,234.593,-6.9,31.81,240.497,-4.208,5.974,23.444,205.594,-30.535,21.481,198.605,-29.146,4.285,10.59,98.839,-35.931,9.782,104.682,-36.512,7.702,-1.083,46.266,-27.785,-2.413,58.96,-28.789,8.671,-28.428,170.7,-4.297,-22.899,162.217,-4.27,9.411,3.911,234.159,10.202,1.364,231.546,6.333,9.01,4.531,250.347,-15.855,6.485,249.784,-14.363,8.96,25.653,242.403,-6.546,23.287,241.654,-7.014,8.928,18.3,222.722,-23.086,18.203,223.084,-21.74,8.864,0.918,209.727,-27.557,1.301,209.592,-26.076,8.542,-8.54,199.684,-5.565,-8.119,200.199,-6.854,9.19,-11.153,199.004,4.719,-13.087,199.666,6.585,9.812,-29.205,210.392,22.347,-27.556,212.94,18.809,10.109,-30.253,242.952,10.85,-28.164,239.146,10.099,9.602,-7.222,245.882,-14.689,-10.33,245.839,-14.083,7.222,-12.497,243.166,-23.89,-9.611,244.169,-21.451,9.343,6.648,235.824,16.001,12.391,244.207,23.657,51.646,86.163,259.521,135.23,74.413,234.939,113.888
20191003-1152-FRANKFURT_1-01-103,Salto A,-15.155,354.988,-3.731,15.155,354.988,3.731,22.863,354.988,30.181,-0.454,60.435,2.63,-2.205,120.884,1.41,-2.239,73.111,-4.417,-10.256,100.558,-3.354,0.454,60.435,2.63,2.205,120.884,1.41,2.239,73.111,-3.662,10.256,100.558,3.354,5.335,60.435,9.588,3.547,120.884,3.162,2.886,73.111,4.868,11.095,100.558,12.563,74.438,8.877,187.224,29.738,9.094,193.537,34.249,31.847,12.91,238.719,-3.698,8.491,232.245,1.999,5.841,-15.02,179.343,32.101,-10.866,176.321,22.576,2.332,-2.552,79.412,-6.618,-3.805,84.336,-1.21,6.49,-12.242,48.805,-4.241,-11.136,53.093,-2.203,8.859,-2.257,99.161,2.279,-2.868,103.727,1.898,10.576,1.22,221.36,3.577,0.85,222.642,3.562,11.219,-6.313,360.005,8.478,-6.202,354.724,8.942,9.543,-11.686,420.955,12.345,-11.151,414.559,11.799,7.35,-10.383,371.633,5.713,-11.574,367.191,4.224,6.657,-14.58,265.361,-6.213,-12.858,267.624,-5.023,7.077,-0.784,188.066,-4.168,-1.34,191.428,-4.714,7.35,-6.753,155.375,-13.506,-6.185,155.851,-12.773,7.883,-7.174,136.463,-14.677,-7.569,139.189,-13.691,7.068,-0.395,146.396,-0.473,-1.578,147.318,-4.743,9.333,-8.052,168.208,-30.424,-8.875,171.726,-22.63,10.263,-26.343,237.844,20.273,-24.875,234.849,16.887,7.286,-27.209,273.656,15.239,-28.445,276.238,13.022,11.66,-38.701,336.144,-8.958,-34.189,319.288,-11.338,62.019,-28.071,210.06,-22.118,-29.039,220.439,-22.165
20190930-1153-FRANKFURT_1-01-241,Schraubensalto,31.93,110.204,392.673,31.93,110.204,392.673,167.144,273.248,400.005,25.983,83.542,58.594,62.846,-42.064,137.705,-61.109,-11.674,152.27,4.21,80.401,44.103,25.983,83.542,58.594,62.846,-42.064,137.705,-61.109,-11.674,152.27,4.21,80.401,44.103,26.005,83.542,61.217,63.068,62.162,137.705,61.109,47.143,152.27,16.962,80.401,48.813,91.575,15.411,183.678,-2.121,19.074,203.417,-1.388,56.169,17.565,231.749,58.168,17.577,229.116,62.166,7.808,37.03,206.02,145.257,40.419,201.626,141.541,3.898,90.096,113.891,189.524,87.12,119.39,188.884,3.825,105.227,120.72,227.031,107.317,117.729,226.567,3.978,161.567,89.322,243.08,159.837,86.103,241.158,3.833,170.84,0.764,243.013,170.253,0.926,247.495,6.154,158.048,-103.663,304.837,156.1,-103.66,302.782,7.988,118.378,-201.133,326.386,116.319,-197.275,324.055,9.934,33.053,-224.693,314.605,33.003,-222.931,316.936,11.259,-53.13,-188.243,345.424,-53.237,-184.872,346.391,11.862,-138.232,-95.574,387.101,-135.525,-96.392,382.293,11.395,-179.179,-11.837,339.211,-176.83,-11.757,338.411,9.975,-164.953,68.42,275.242,-162.24,65.962,275.726,7.301,-95.861,107.124,233.025,-97.185,105.571,232.447,6.574,-52.758,108.108,184.463,-52.615,108.763,186.897,6.856,-5.118,110.777,151.997,-6.531,112.501,149.896,8.904,24.888,147.453,92.937,24.416,148.691,94.552,9.262,38.175,222.6,51.357,37.913,220.935,48.063,56.939,37.47,237.587,-16.789,37.131,226.034,-11.963
