SprungID,Sprungtyp,avg_Acc_N_Fil,avg_Gyro_x_R,avg_Gyro_y_R,avg_Gyro_z_R,avg_Gyro_x_Fil,avg_Gyro_y_Fil,avg_Gyro_z_Fil
20190930-1153-FRANKFURT_1-01-249,Strecksprung,12.579,-2.764,0.818,-3.931,-2.665,0.709,-3.799
0115-CHARI-05-57,Strecksprung,11.151,-2.872,-7.635,-13.674,-2.81,-7.728,-13.612
20190930-1153-FRANKFURT_1-01-166,Schraubensalto,14.651,34.353,42.931,215.684,34.345,42.278,215.876
20191003-1152-FRANKFURT_1-01-106,Salto C,17.114,-7.672,199.17,-4.862,-7.711,198.806,-4.632
20191007-1150-FRANKFURT_2-01-225,Salto A,14.372,21.725,218.126,6.194,21.615,217.281,6.177
20191008-1207-FRANKFURT_2-01-240,Salto B,19.114,17.645,196.004,-10.086,17.574,194.506,-9.951
20190930-1247-FRANKFURT_2-01-47,Salto C,14.477,-4.636,209.419,5.342,-4.483,209.159,5.255
20191007-1150-FRANKFURT_2-01-86,Salto A,15.4,7.956,214.324,-1.77,7.947,213.688,-2.398
20191003-1152-FRANKFURT_1-01-103,Salto A,15.27,-9.787,216.411,0.769,-9.715,216.508,0.961
20190930-1153-FRANKFURT_1-01-241,Schraubensalto,16.788,16.005,56.168,204.608,16.195,56.514,204.565
20190930-1153-FRANKFURT_1-01-140,Cody C,21.688,18.477,211.633,1.822,18.481,212.939,1.307
20191007-1150-FRANKFURT_2-01-129,Barani A,16.83,-68.911,41.424,104.127,-69.029,41.06,104.529
20191001-1202-FRANKFURT_2-01-131,Salto A,14.72,3.386,-206.782,-12.263,3.491,-206.308,-12.605
0827-BK2-01-106,Salto A,14.512,12.069,170.59,-3.422,12.011,170.095,-3.286
20191003-1152-FRANKFURT_1-01-107,Strecksprung,10.741,2.866,1.549,8.854,2.864,2.11,8.657
20191003-1152-FRANKFURT_1-01-65,Barani A,17.633,75.643,21.915,-106.312,75.709,22.297,-106.196
20191001-1148-FRANKFURT_1-01-74,Barani A,14.014,-51.853,33.084,119.707,-51.738,33.043,119.706
20191008-1207-FRANKFURT_2-01-172,Barani A,16.94,-73.627,17.997,110.97,-73.834,18.676,110.511
20191007-1150-FRANKFURT_2-01-234,Salto B,16.49,20.846,210.794,-4.906,20.477,210.041,-5.656
20191003-1152-FRANKFURT_1-01-114,Strecksprung,11.055,-3.586,-1.087,2.296,-3.536,-1.087,2.208
0609-1-01-386,Salto C,16.701,11.644,189.482,-7.971,11.6,189.729,-8.112
0110-MORITZ-01-49,Salto A,14.94,-15.378,200.857,-7.401,-15.233,200.997,-7.328
0609-4-01-163,Strecksprung,10.829,-0.69,3.042,1.806,-0.675,2.967,1.757
20191008-1207-FRANKFURT_2-01-192,Strecksprung,10.092,-2.643,-0.728,1.979,-2.63,-0.852,1.721
0609-4-01-606,Barani C,18.309,-2.912,-48.498,124.272,-2.843,-48.399,124.47
20191007-1159-FRANKFURT_1-01-107,Barani B,15.949,28.815,-16.97,114.243,28.863,-16.239,114.041
20191008-1157-FRANKFURT_1-01-269,Strecksprung,10.855,-2.976,-0.789,2.763,-3.022,-0.68,2.598
0609-4-01-582,Barani C,17.168,-9.176,-24.211,122.151,-9.209,-24.366,122.211
20191001-1202-FRANKFURT_2-01-93,Hocksprung,13.611,1.603,-6.114,3.866,1.624,-6.744,2.66
0609-4-01-362,Fliffis B,28.899,-54.191,-75.841,122.302,-54.176,-75.759,122.645
20191001-1148-FRANKFURT_1-01-75,Salto rw A,17.07,-3.126,199.297,-10.409,-3.298,199.742,-10.33
0115-MORITZ-03-128,Salto C,15.651,-3.316,167.082,6.105,-3.389,166.488,5.875
0609-1-01-552,Doppelsalto B,29.003,11.514,392.346,-15.906,11.5,391.299,-15.944
20191007-1524-FRANKFURT_1-01-75,Fliffis- Rudi B,36.456,125.986,-200.895,333.781,125.296,-197.727,335.631
0115-MORITZ-03-145,Voll- ein- voll- aus B,33.716,-142.291,88.427,-355.923,-142.633,87.41,-356.09
0609-1-01-558,Doppelsalto B,26.64,5.987,379.918,-7.869,6.323,379.732,-7.86
20191008-1157-FRANKFURT_1-01-141,Schraubensalto A,17.413,45.833,114.533,209.082,45.973,114.176,209.194
20190930-1616-FRANKFURT_1-01-181,Fliffis C,33.766,-49.277,-182.128,97.699,-48.906,-181.466,97.748
0609-4-01-119,Strecksprung,10.418,3.131,6.902,3.2,3.023,6.793,3.214
20191007-1524-FRANKFURT_1-01-178,Doppelsalto B,33.62,43.281,407.71,-27.072,43.655,407.861,-27.339
0609-1-01-776,Von Bauch in Stand,10.483,-4.003,19.009,2.408,-3.81,19.248,2.035
20191008-1207-FRANKFURT_2-01-306,Salto B,17.983,16.258,201.7,-44.896,16.828,199.6,-44.48
20191007-1524-FRANKFURT_1-01-180,Salto B,20.251,19.233,207.148,-2.507,19.573,209.404,-4.506
0609-1-01-811,Doppelsalto C,31.465,5.601,413.727,-21.65,5.82,413.102,-21.506
0609-1-01-361,Doppelsalto B,29.329,10.778,380.755,-13.41,10.944,380.622,-13.478
0609-4-01-550,Barani C,16.72,-8.566,-46.477,128.906,-8.637,-46.315,128.821
20191007-1150-FRANKFURT_2-01-154,Fliffis C,40.775,-42.579,-261.712,127.514,-42.192,-261.596,127.046
0115-JANEIKE-01-14,Salto B,17.343,24.141,180.358,-27.037,24.119,179.888,-26.674
0609-1-01-466,Doppelsalto B,28.089,18.09,372.852,-10.905,18.161,372.457,-10.742
20191008-1207-FRANKFURT_2-01-33,Strecksprung,9.786,-0.245,-0.376,5.237,-0.326,-0.71,5.534
20191007-1524-FRANKFURT_1-01-77,Fliffis- Rudi C,44.294,131.627,-196.662,352.306,131.983,-197.623,352.776
0609-1-01-223,Von Bauch in Stand,11.912,3.692,21.705,2.27,3.473,22.71,2.252
20191007-1524-FRANKFURT_1-01-252,Doppelsalto B,29.846,52.162,419.099,-34.826,52.523,416.469,-33.595
0609-1-01-595,Doppelsalto B,26.843,7.113,378.318,-10.985,7.136,377.402,-10.774
0609-1-01-103,Von Bauch in Stand,11.695,1.473,24.589,1.933,1.037,24.878,1.934
20191007-1150-FRANKFURT_2-01-219,Strecksprung,10.843,-1.396,2.728,-0.279,-1.369,2.822,-0.038
20190930-1247-FRANKFURT_2-01-111,Schraubensalto,15.611,50.924,117.016,208.033,51.191,116.984,207.564
0827-BK1-01-22,Salto C,15.822,2.017,173.57,8.339,2.042,173.618,8.144
0609-4-01-501,Strecksprung,13.35,0.499,-2.246,8.122,0.754,-0.963,7.696
20191008-1157-FRANKFURT_1-01-333,Barani A,16.935,-50.968,67.143,105.538,-51.15,66.226,104.847
0827-BK2-01-96,Salto A,13.454,-0.532,172.523,-13.96,-0.419,171.994,-13.939
0827-BK2-02-25,Salto C,17.045,9.765,181.864,-26.093,9.677,181.688,-25.917
20190930-1616-FRANKFURT_1-01-28,Salto B,18.146,8.011,201.864,11.488,8.065,201.521,11.38
0115-MORITZ-03-83,Voll- ein- Rudi- aus B,38.977,-213.705,-66.198,-403.544,-213.658,-65.703,-403.306
20191008-1207-FRANKFURT_2-01-171,Salto C,17.739,16.311,202.491,-19.17,16.714,201.573,-18.566
0827-BK2-02-147,Salto A,14.096,9.612,184.402,-22.01,9.549,184.334,-22.037
0110-MORITZ-01-31,Fliffis- Rudi B,34.876,-89.616,-124.479,-250.304,-89.668,-123.705,-250.225
20191001-1202-FRANKFURT_2-01-77,Barani A,17.328,40.912,-21.875,123.015,41.068,-21.614,123.243
20191008-1207-FRANKFURT_2-01-341,Salto A,16.232,40.346,208.838,-53.347,40.403,209.408,-53.667
0827-BK2-02-22,Salto C,17.089,2.2,180.073,-27.066,2.225,180.099,-27.042
0609-1-01-753,Doppelsalto C,30.772,15.34,407.703,-15.829,15.387,407.136,-15.561
20191007-1150-FRANKFURT_2-01-212,Fliffis B,33.257,-9.99,-226.9,124.672,-10.161,-226.448,124.188
0609-4-01-135,Schraubensalto C,14.43,51.121,104.095,225.868,50.731,103.22,225.444
0609-1-01-334,Strecksprung,10.767,2.182,0.699,2.252,2.367,0.761,2.111
20191007-1150-FRANKFURT_2-01-69,Salto B,18.801,23.466,209.727,-7.779,23.035,208.42,-8.856
20191008-1157-FRANKFURT_1-01-218,Salto A,14.818,-7.542,205.602,-6.61,-7.534,205.097,-6.521
20191008-1157-FRANKFURT_1-01-111,Barani A,17.016,-47.846,35.519,113.789,-47.746,36.399,113.958
20191003-1152-FRANKFURT_1-01-64,Salto B,18.528,-17.534,208.471,-1.543,-17.512,207.789,-1.694
20190930-1153-FRANKFURT_1-01-219,Salto A,13.443,15.819,177.67,3.623,15.841,177.608,3.639
0827-BK2-02-49,Strecksprung,10.941,-2.8,-8.408,-16.426,-2.714,-8.098,-16.085
0609-4-01-479,Salto C,13.567,1.829,184.205,6.537,1.567,182.956,6.395
0609-1-01-546,Salto C,15.839,13.23,188.297,-15.339,13.142,188.481,-15.223
0115-MORITZ-03-130,Voll- ein- voll- aus B,33.124,-166.487,78.104,-371.855,-166.758,76.99,-372.002
0609-4-01-63,Fliffis B,30.644,-53.25,-74.859,119.185,-53.253,-74.259,119.065
20190930-1616-FRANKFURT_1-01-222,Strecksprung,12.334,-1.577,8.663,4.722,-1.675,9.109,4.708
20190930-1616-FRANKFURT_1-01-79,Strecksprung,12.339,-1.806,-7.006,11.687,-1.809,-6.204,10.569
0609-4-01-16,Fliffis B,29.411,-42.542,-95.365,123.434,-42.507,-95.174,123.389
0115-MORITZ-03-84,1/2 ein 1/2 aus C,28.291,-90.792,7.099,-110.459,-90.923,5.951,-111.234
0609-1-01-809,Bauchsprung,12.285,-1.782,-17.839,-2.771,-1.755,-17.981,-2.556
0609-4-01-262,Salto C,12.813,1.781,183.359,-1.295,1.74,182.082,-1.128
0609-4-01-32,Fliffis B,30.31,-60.331,-83.581,112.278,-60.278,-82.853,112.18
20191008-1157-FRANKFURT_1-01-178,Salto B,16.33,18.276,204.61,-17.774,18.437,203.646,-17.898
20191008-1207-FRANKFURT_2-01-9,Salto B,18.849,6.763,205.486,-12.764,6.722,204.674,-13.126
20191003-1152-FRANKFURT_1-01-29,Grätschwinkel,14.71,-5.43,9.219,8.11,-5.477,9.886,7.724
