SprungID,Sprungtyp,Acc_N_Fil,Gyro_x_R,Gyro_y_R,Gyro_z_R,Gyro_x_Fil,Gyro_y_Fil,Gyro_z_Fil
generated_Mean_Salto C,Salto C,100.421,7.39,119.712,5.466,7.975,136.097,-1.069
generated_Mean_Salto C,Salto C,6.174,0.098,56.407,9.735,1.393,59.411,5.803
generated_Mean_Salto C,Salto C,10.108,-6.346,14.338,-7.89,-6.493,30.482,-6.968
generated_Mean_Salto C,Salto C,16.957,6.36,500.632,-5.654,5.698,493.181,-5.322
generated_Mean_Salto C,Salto C,15.36,14.403,385.369,0.004,13.712,381.848,-0.281
generated_Mean_Salto C,Salto C,5.415,8.906,197.386,-6.928,10.169,197.217,-7.074
generated_Mean_Salto C,Salto C,3.961,6.334,134.155,-2.109,6.21,134.676,-2.469
generated_Mean_Salto C,Salto C,3.915,5.297,111.837,-3.91,5.133,111.809,-4.168
generated_Mean_Salto C,Salto C,4.178,0.57,93.276,-6.882,0.144,93.759,-6.146
generated_Mean_Salto C,Salto C,5.144,1.653,126.309,5.42,1.122,128.35,4.557
generated_Mean_Strecksprung,Strecksprung,90.904,-1.087,96.179,-2.985,1.151,103.79,-7.084
generated_Mean_Strecksprung,Strecksprung,8.864,-3.591,58.069,8.769,-2.77,55.9,6.045
generated_Mean_Strecksprung,Strecksprung,1.657,-1.197,8.122,4.803,-0.724,9.09,4.717
generated_Mean_Strecksprung,Strecksprung,1.136,0.439,-17.383,1.231,0.565,-17.466,1.658
generated_Mean_Strecksprung,Strecksprung,0.963,1.202,-36.773,1.453,1.138,-36.461,1.152
generated_Mean_Strecksprung,Strecksprung,0.99,-1.049,-36.573,0.122,-1.168,-36.97,0.395
generated_Mean_Strecksprung,Strecksprung,0.978,-1.648,-33.289,3.164,-1.74,-33.194,2.989
generated_Mean_Strecksprung,Strecksprung,0.969,-1.815,-28.812,0.213,-1.822,-28.689,0.577
generated_Mean_Strecksprung,Strecksprung,1.127,-1.135,-23.446,2.023,-1.166,-23.337,1.953
generated_Mean_Strecksprung,Strecksprung,6.002,1.599,-0.61,-0.705,0.917,6.014,-0.282
generated_Mean_Salto B,Salto B,95.158,18.012,98.038,-23.911,20.102,131.143,-17.962
generated_Mean_Salto B,Salto B,8.365,4.483,75.912,-1.054,3.756,81.922,-3.147
generated_Mean_Salto B,Salto B,12.289,-5.0,-154.344,0.815,-5.898,-138.191,0.363
generated_Mean_Salto B,Salto B,11.473,2.101,284.547,-15.463,1.628,280.189,-13.029
