SprungID,Sprungtyp,Acc_N_Fil,Gyro_x_R,Gyro_y_R,Gyro_z_R,Gyro_x_Fil,Gyro_y_Fil,Gyro_z_Fil
generated_Mean_Salto C,Salto C,55.552,3.356,159.204,-0.066,3.854,153.768,-0.48
generated_Mean_Salto C,Salto C,9.017,-0.747,-27.483,0.549,-0.732,-17.976,0.093
generated_Mean_Salto C,Salto C,12.467,-2.713,316.567,-10.211,-2.634,312.355,-9.497
generated_Mean_Salto C,Salto C,18.624,9.745,463.163,-0.476,9.648,459.486,-0.814
generated_Mean_Salto C,Salto C,9.556,15.491,274.7,-6.578,15.161,276.226,-6.226
generated_Mean_Salto C,Salto C,4.278,7.149,158.597,-4.109,7.342,159.659,-4.288
generated_Mean_Salto C,Salto C,3.978,5.968,122.357,-3.198,5.949,122.545,-3.254
generated_Mean_Salto C,Salto C,3.945,3.07,102.452,-5.284,2.983,102.578,-5.232
generated_Mean_Salto C,Salto C,5.002,-3.17,95.862,0.805,-2.842,97.641,0.493
generated_Mean_Salto C,Salto C,36.724,11.962,188.688,-6.22,11.0,183.224,-5.467
generated_Mean_Strecksprung,Strecksprung,55.616,-0.808,85.313,-2.679,-0.656,85.186,-2.858
generated_Mean_Strecksprung,Strecksprung,3.008,-1.385,28.217,6.097,-1.363,29.118,5.802
generated_Mean_Strecksprung,Strecksprung,1.319,0.35,-3.51,3.509,0.341,-3.486,3.505
generated_Mean_Strecksprung,Strecksprung,1.018,1.542,-28.916,1.545,1.451,-28.671,1.579
generated_Mean_Strecksprung,Strecksprung,0.986,-0.545,-38.129,-0.304,-0.495,-37.946,-0.189
generated_Mean_Strecksprung,Strecksprung,0.978,-1.745,-35.844,2.486,-1.72,-35.797,2.387
generated_Mean_Strecksprung,Strecksprung,0.995,-1.676,-30.668,1.549,-1.689,-30.685,1.589
generated_Mean_Strecksprung,Strecksprung,1.011,-1.393,-26.155,1.087,-1.406,-26.119,1.105
generated_Mean_Strecksprung,Strecksprung,2.13,-1.091,-16.456,4.023,-1.024,-15.141,3.6
generated_Mean_Strecksprung,Strecksprung,42.03,0.736,76.564,-6.05,0.703,74.646,-5.642
generated_Mean_Salto B,Salto B,57.282,5.775,153.356,-7.753,7.099,150.564,-8.7
generated_Mean_Salto B,Salto B,8.139,0.911,-49.471,-5.021,0.706,-45.58,-5.071
generated_Mean_Salto B,Salto B,9.984,-3.928,14.566,-4.165,-3.757,21.823,-4.416
generated_Mean_Salto B,Salto B,18.322,9.536,454.544,-10.094,9.763,447.324,-10.039
generated_Mean_Salto B,Salto B,21.675,27.067,466.701,-12.449,26.382,463.209,-12.567
generated_Mean_Salto B,Salto B,9.021,12.226,243.838,-21.209,12.514,245.456,-20.602
generated_Mean_Salto B,Salto B,4.48,4.614,125.291,-6.637,4.663,126.661,-7.058
generated_Mean_Salto B,Salto B,4.796,3.425,104.238,-7.73,3.388,104.636,-7.549
generated_Mean_Salto B,Salto B,5.117,0.506,122.373,0.355,0.732,124.227,-0.497
generated_Mean_Salto B,Salto B,40.614,12.052,185.858,-17.789,11.008,180.629,-15.748
generated_Mean_Salto A,Salto A,54.534,6.467,149.466,-7.1,7.25,148.428,-9.577
generated_Mean_Salto A,Salto A,5.473,6.112,110.245,-12.361,5.623,110.384,-12.205
generated_Mean_Salto A,Salto A,7.782,-3.465,115.877,-11.509,-3.064,116.513,-11.438
generated_Mean_Salto A,Salto A,7.843,5.281,163.758,-10.451,5.165,162.933,-10.425
generated_Mean_Salto A,Salto A,7.044,7.712,161.582,-12.393,7.621,161.38,-12.283
