SprungID,Sprungtyp,mean_Acc_N_Fil,std_Acc_N_Fil,mean_Gyro_x_R,std_Gyro_x_R,mean_Gyro_y_R,std_Gyro_y_R,mean_Gyro_z_R,std_Gyro_z_R,mean_Gyro_x_Fil,std_Gyro_x_Fil,mean_Gyro_y_Fil,std_Gyro_y_Fil,mean_Gyro_z_Fil,std_Gyro_z_Fil
20190930-1153-FRANKFURT_1-01-249,Strecksprung,62.036,16.534,-28.743,17.938,22.755,8.895,-43.565,40.024,-26.705,13.416,23.174,5.653,-41.482,31.135
20190930-1153-FRANKFURT_1-01-249,Strecksprung,6.326,7.154,5.585,8.581,29.479,12.612,-4.185,24.517,4.008,8.543,26.983,9.869,-5.575,21.987
20190930-1153-FRANKFURT_1-01-249,Strecksprung,1.272,0.417,5.126,4.038,-15.132,12.019,16.921,4.542,5.453,3.475,-12.432,8.896,17.197,3.402
20190930-1153-FRANKFURT_1-01-249,Strecksprung,1.045,0.359,6.038,2.704,-4.489,10.515,21.126,3.039,5.727,1.838,-4.95,8.227,21.184,1.437
20190930-1153-FRANKFURT_1-01-249,Strecksprung,0.923,0.335,1.264,3.266,-8.613,8.009,17.503,4.458,1.664,2.734,-8.216,7.176,17.288,3.016
20190930-1153-FRANKFURT_1-01-249,Strecksprung,0.732,0.071,0.888,3.825,11.272,4.324,4.028,8.948,0.568,3.035,10.79,3.453,3.322,8.394
20190930-1153-FRANKFURT_1-01-249,Strecksprung,0.667,0.2,-6.815,2.504,6.566,4.043,-13.449,12.433,-6.714,1.199,6.998,2.5,-12.098,10.206
20190930-1153-FRANKFURT_1-01-249,Strecksprung,1.217,0.469,-8.729,3.95,8.816,5.417,2.222,13.418,-8.388,2.593,8.032,4.773,1.349,10.952
20190930-1153-FRANKFURT_1-01-249,Strecksprung,3.246,3.599,0.093,2.168,-16.743,11.047,-22.403,9.178,0.055,2.479,-21.444,16.335,-21.24,2.62
20190930-1153-FRANKFURT_1-01-249,Strecksprung,48.659,18.068,-2.536,10.41,-25.75,69.091,-17.54,21.726,-2.483,3.657,-21.789,45.204,-17.956,3.772
0115-CHARI-05-57,Strecksprung,57.275,33.126,3.894,18.511,120.924,17.894,-46.444,19.354,2.022,14.209,118.973,9.307,-45.76,15.874
0115-CHARI-05-57,Strecksprung,2.836,0.642,-37.138,9.278,36.925,40.415,-38.423,33.576,-34.777,5.856,39.244,33.731,-36.955,22.829
0115-CHARI-05-57,Strecksprung,1.455,0.698,-1.477,17.835,-10.247,6.932,-9.598,22.523,-1.84,15.884,-10.183,4.224,-11.346,20.416
0115-CHARI-05-57,Strecksprung,0.924,0.225,7.734,5.743,-18.76,14.709,0.255,8.266,7.801,4.744,-19.771,13.426,0.345,5.309
0115-CHARI-05-57,Strecksprung,0.965,0.235,4.657,1.694,-52.448,8.16,3.162,10.114,4.601,1.159,-52.247,5.73,2.84,7.757
0115-CHARI-05-57,Strecksprung,1.214,0.063,2.134,4.717,-64.699,7.995,0.755,4.593,1.851,4.164,-64.303,7.159,0.461,3.753
0115-CHARI-05-57,Strecksprung,0.879,0.15,-4.501,5.922,-69.774,5.294,-24.93,9.313,-4.5,4.658,-69.285,4.712,-23.926,7.316
0115-CHARI-05-57,Strecksprung,0.662,0.055,-1.993,2.319,-50.592,4.077,-11.42,2.619,-1.701,1.825,-51.003,3.867,-11.329,1.658
0115-CHARI-05-57,Strecksprung,0.788,0.246,0.072,3.366,-37.147,9.426,7.005,9.869,0.602,2.066,-36.575,8.672,6.014,7.566
0115-CHARI-05-57,Strecksprung,44.409,32.921,-2.024,12.035,69.005,71.705,-16.928,21.303,-2.088,7.196,67.412,57.611,-16.296,8.273
20190930-1153-FRANKFURT_1-01-166,Schraubensalto,51.629,31.111,16.455,23.345,266.798,39.08,76.967,53.7,18.722,16.996,260.022,29.764,77.388,45.866
20190930-1153-FRANKFURT_1-01-166,Schraubensalto,4.208,1.149,63.559,11.561,106.736,33.526,156.302,24.032,63.224,6.468,111.529,31.037,155.87,19.073
20190930-1153-FRANKFURT_1-01-166,Schraubensalto,3.597,0.622,127.292,36.758,74.298,14.924,183.739,11.017,127.153,34.597,73.314,15.19,184.336,8.395
20190930-1153-FRANKFURT_1-01-166,Schraubensalto,3.563,0.407,197.343,10.513,-1.478,25.006,232.511,18.391,195.684,8.426,-2.762,26.482,233.031,17.691
20190930-1153-FRANKFURT_1-01-166,Schraubensalto,6.967,1.702,124.858,38.637,-159.652,50.767,306.334,17.18,123.302,38.584,-157.92,49.719,305.216,17.019
20190930-1153-FRANKFURT_1-01-166,Schraubensalto,11.833,0.567,-43.243,47.948,-224.981,19.797,320.064,9.922,-42.366,47.413,-222.069,18.741,320.528,6.507
