0_Acc_N_Fil,0_Gyro_x_R,0_Gyro_y_R,0_Gyro_z_R,0_Gyro_x_Fil,0_Gyro_y_Fil,0_Gyro_z_Fil,10_Acc_N_Fil,10_Gyro_x_R,10_Gyro_y_R,10_Gyro_z_R,10_Gyro_x_Fil,10_Gyro_y_Fil,10_Gyro_z_Fil,20_Acc_N_Fil,20_Gyro_x_R,20_Gyro_y_R,20_Gyro_z_R,20_Gyro_x_Fil,20_Gyro_y_Fil,20_Gyro_z_Fil,30_Acc_N_Fil,30_Gyro_x_R,30_Gyro_y_R,30_Gyro_z_R,30_Gyro_x_Fil,30_Gyro_y_Fil,30_Gyro_z_Fil,40_Acc_N_Fil,40_Gyro_x_R,40_Gyro_y_R,40_Gyro_z_R,40_Gyro_x_Fil,40_Gyro_y_Fil,40_Gyro_z_Fil,50_Acc_N_Fil,50_Gyro_x_R,50_Gyro_y_R,50_Gyro_z_R,50_Gyro_x_Fil,50_Gyro_y_Fil,50_Gyro_z_Fil,60_Acc_N_Fil,60_Gyro_x_R,60_Gyro_y_R,60_Gyro_z_R,60_Gyro_x_Fil,60_Gyro_y_Fil,60_Gyro_z_Fil,70_Acc_N_Fil,70_Gyro_x_R,70_Gyro_y_R,70_Gyro_z_R,70_Gyro_x_Fil,70_Gyro_y_Fil,70_Gyro_z_Fil,80_Acc_N_Fil,80_Gyro_x_R,80_Gyro_y_R,80_Gyro_z_R,80_Gyro_x_Fil,80_Gyro_y_Fil,80_Gyro_z_Fil,90_Acc_N_Fil,90_Gyro_x_R,90_Gyro_y_R,90_Gyro_z_R,90_Gyro_x_Fil,90_Gyro_y_Fil,90_Gyro_z_Fil,Sprungtyp,SprungID
100.421,7.39,119.712,5.466,7.975,136.097,-1.069,6.174,0.098,56.407,9.735,1.393,59.411,5.803,10.108,-6.346,14.338,-7.89,-6.493,30.482,-6.968,16.957,6.36,500.632,-5.654,5.698,493.181,-5.322,15.36,14.403,385.369,0.004,13.712,381.848,-0.281,5.415,8.906,197.386,-6.928,10.169,197.217,-7.074,3.961,6.334,134.155,-2.109,6.21,134.676,-2.469,3.915,5.297,111.837,-3.91,5.133,111.809,-4.168,4.178,0.57,93.276,-6.882,0.144,93.759,-6.146,5.144,1.653,126.309,5.42,1.122,128.35,4.557,Salto C,generated_Mean_Salto C
90.904,-1.087,96.179,-2.985,1.151,103.79,-7.084,8.864,-3.591,58.069,8.769,-2.77,55.9,6.045,1.657,-1.197,8.122,4.803,-0.724,9.09,4.717,1.136,0.439,-17.383,1.231,0.565,-17.466,1.658,0.963,1.202,-36.773,1.453,1.138,-36.461,1.152,0.99,-1.049,-36.573,0.122,-1.168,-36.97,0.395,0.978,-1.648,-33.289,3.164,-1.74,-33.194,2.989,0.969,-1.815,-28.812,0.213,-1.822,-28.689,0.577,1.127,-1.135,-23.446,2.023,-1.166,-23.337,1.953,6.002,1.599,-0.61,-0.705,0.917,6.014,-0.282,Strecksprung,generated_Mean_Strecksprung
95.158,18.012,98.038,-23.911,20.102,131.143,-17.962,8.365,4.483,75.912,-1.054,3.756,81.922,-3.147,12.289,-5.0,-154.344,0.815,-5.898,-138.191,0.363,11.473,2.101,284.547,-15.463,1.628,280.189,-13.029,24.211,24.364,529.636,-4.499,23.089,522.609,-6.222,15.528,25.39,357.101,-22.097,24.2,357.008,-21.23,4.93,5.23,158.553,-11.084,5.501,160.096,-11.231,4.587,4.419,106.802,-7.963,4.322,107.38,-7.669,4.997,2.097,106.471,-7.509,1.991,106.616,-6.562,4.499,3.036,160.901,0.667,3.334,164.517,-2.805,Salto B,generated_Mean_Salto B
94.009,7.4,126.63,7.937,13.908,119.355,-11.185,7.568,8.755,155.941,7.195,7.216,148.346,0.766,6.29,-3.858,83.16,-14.804,-3.186,84.863,-13.501,8.124,2.059,153.448,-8.589,1.589,151.887,-9.159,7.402,8.763,163.148,-9.452,8.587,163.975,-10.715,6.775,6.164,155.691,-11.572,6.088,155.64,-11.408,6.736,2.988,131.407,-8.851,2.857,131.499,-9.35,7.079,-1.249,110.814,-9.603,-1.127,111.313,-9.857,7.5,-1.815,117.511,-11.171,-2.006,116.933,-10.754,5.29,-0.758,157.005,-10.788,-1.117,159.407,-10.572,Salto A,generated_Mean_Salto A
94.427,9.098,-11.649,-8.069,11.932,-4.968,5.072,11.425,-34.39,-299.121,84.375,-31.301,-277.046,75.569,8.121,-35.3,-98.067,87.781,-35.238,-99.116,87.845,7.936,-80.07,-131.74,114.543,-79.686,-128.242,115.763,10.201,-134.123,-88.76,198.739,-132.458,-88.101,196.482,10.213,-123.107,30.5,242.493,-123.014,29.149,239.996,8.873,-68.174,106.783,174.704,-68.97,106.366,174.428,8.389,-27.444,141.395,76.437,-27.003,141.364,77.717,8.671,-12.063,181.429,25.494,-11.381,182.382,25.706,6.011,4.882,266.342,-0.27,4.007,268.833,-1.862,Barani A,generated_Mean_Barani A
87.366,26.347,172.739,-15.244,29.013,214.778,-13.999,8.688,4.583,149.594,2.467,7.436,161.778,-12.171,21.335,4.859,88.089,5.898,2.97,97.073,2.796,42.444,-6.218,699.547,-26.685,-5.283,677.986,-21.888,51.177,7.785,759.281,-3.678,7.682,759.192,-4.312,52.159,30.332,816.359,-5.111,30.991,811.645,-5.978,33.101,64.435,613.465,-18.084,63.654,612.414,-17.117,12.502,35.744,294.484,-29.668,36.23,292.289,-26.694,10.099,8.31,170.453,-25.651,8.912,173.016,-24.222,9.149,11.709,259.159,-15.6,10.141,258.004,-15.183,Doppelsalto C,generated_Mean_Doppelsalto C
88.88,14.527,65.458,33.975,11.203,67.118,10.145,8.355,4.173,104.127,18.707,5.004,106.754,15.715,2.721,1.0,63.196,-2.125,-0.011,64.463,-1.441,3.916,2.671,74.578,-12.258,2.315,74.037,-10.955,4.284,8.604,130.824,-4.189,7.765,130.627,-5.06,3.946,11.28,146.375,-3.485,9.961,146.81,-4.512,3.982,3.087,134.34,-11.696,2.844,134.269,-11.429,4.819,1.265,126.151,-9.453,1.117,129.942,-9.53,5.073,-5.129,145.469,-5.78,-4.84,143.283,-2.712,3.427,18.596,167.842,-5.133,18.777,165.142,-11.736,3/4 Salto rw A,generated_Mean_3/4 Salto rw A
116.119,4.52,-10.995,-31.584,6.013,-21.242,-24.749,17.593,-25.631,-116.3,54.505,-30.904,-116.8,46.53,14.787,-7.567,136.933,-7.367,-3.621,144.474,-1.944,31.072,2.938,457.785,1.104,4.703,452.776,1.449,22.644,9.256,341.544,-67.971,5.757,324.053,-42.901,10.305,-21.967,152.66,12.322,-18.647,158.516,-4.082,5.972,-6.318,122.509,-3.324,-6.57,126.926,-4.56,6.128,-4.615,109.042,2.44,-4.897,108.42,1.881,7.89,-9.322,104.845,-0.578,-8.588,103.971,0.282,4.857,-8.647,151.136,-12.487,-9.899,156.165,-9.267,Cody C,generated_Mean_Cody C
98.546,7.425,145.631,0.678,11.463,180.398,15.664,6.451,8.476,221.88,35.855,9.015,222.976,41.587,4.203,53.444,106.169,74.338,55.438,111.725,79.125,4.228,112.535,56.655,101.947,112.1,53.858,101.939,6.981,107.131,-106.515,133.244,105.883,-104.969,133.861,11.178,38.824,-186.947,167.782,39.32,-185.436,168.958,11.982,-9.596,-66.398,224.822,-9.413,-64.726,221.452,9.278,-39.458,119.845,152.153,-38.987,116.655,151.613,7.992,-28.073,177.765,61.815,-28.186,177.043,63.246,6.103,-13.945,217.618,43.173,-13.175,219.08,41.926,Schraubensalto,generated_Mean_Schraubensalto
97.529,13.012,-45.396,23.33,15.775,9.353,14.297,11.641,-41.183,-376.353,117.337,-36.482,-357.806,114.421,13.616,-23.93,-196.396,389.079,-23.222,-194.226,389.042,17.69,99.952,-35.629,617.647,97.543,-37.92,612.405,18.283,260.932,-21.323,626.945,255.986,-23.382,633.891,17.422,218.596,-140.874,608.737,218.185,-137.583,607.219,14.462,54.432,64.12,500.389,56.879,60.184,497.961,9.808,13.313,185.246,200.004,11.987,185.466,203.154,9.089,-4.508,254.586,76.306,-2.954,253.721,77.767,6.83,46.081,334.003,42.4,42.004,329.796,43.183,Rudi,generated_Mean_Rudi
