SprungID,Sprungtyp,0_Acc_N_Fil,0_Gyro_x_R,0_Gyro_y_R,0_Gyro_z_R,0_Gyro_x_Fil,0_Gyro_y_Fil,0_Gyro_z_Fil,10_Acc_N_Fil,10_Gyro_x_R,10_Gyro_y_R,10_Gyro_z_R,10_Gyro_x_Fil,10_Gyro_y_Fil,10_Gyro_z_Fil,20_Acc_N_Fil,20_Gyro_x_R,20_Gyro_y_R,20_Gyro_z_R,20_Gyro_x_Fil,20_Gyro_y_Fil,20_Gyro_z_Fil,30_Acc_N_Fil,30_Gyro_x_R,30_Gyro_y_R,30_Gyro_z_R,30_Gyro_x_Fil,30_Gyro_y_Fil,30_Gyro_z_Fil,40_Acc_N_Fil,40_Gyro_x_R,40_Gyro_y_R,40_Gyro_z_R,40_Gyro_x_Fil,40_Gyro_y_Fil,40_Gyro_z_Fil,50_Acc_N_Fil,50_Gyro_x_R,50_Gyro_y_R,50_Gyro_z_R,50_Gyro_x_Fil,50_Gyro_y_Fil,50_Gyro_z_Fil,60_Acc_N_Fil,60_Gyro_x_R,60_Gyro_y_R,60_Gyro_z_R,60_Gyro_x_Fil,60_Gyro_y_Fil,60_Gyro_z_Fil,70_Acc_N_Fil,70_Gyro_x_R,70_Gyro_y_R,70_Gyro_z_R,70_Gyro_x_Fil,70_Gyro_y_Fil,70_Gyro_z_Fil,80_Acc_N_Fil,80_Gyro_x_R,80_Gyro_y_R,80_Gyro_z_R,80_Gyro_x_Fil,80_Gyro_y_Fil,80_Gyro_z_Fil,90_Acc_N_Fil,90_Gyro_x_R,90_Gyro_y_R,90_Gyro_z_R,90_Gyro_x_Fil,90_Gyro_y_Fil,90_Gyro_z_Fil
0827-BK1-01-4,Salto C,101.389,-12.64,108.32,-15.36,-10.38,121.62,-21.66,6.913,-25.76,-60.96,48.88,-1.24,-32.89,21.88,9.821,-5.68,31.68,5.92,-6.44,50.8,4.39,16.754,21.12,628.24,-0.64,5.91,612.33,1.76,10.511,8.64,269.92,-35.04,6.03,283.14,-20.11,3.57,0.96,172.32,0.48,4.53,172.34,-0.34,2.921,-3.12,154.32,1.52,-0.88,154.6,0.37,2.948,-2.8,129.52,-10.08,-2.79,129.29,-9.19,3.196,2.24,68.4,11.76,-1.19,67.96,11.0,2.979,2.32,59.36,14.4,2.77,67.74,19.13
0827-BK1-01-5,Strecksprung,101.793,4.08,113.28,-2.24,11.83,129.81,-24.46,6.897,17.52,31.44,-12.32,16.62,27.85,-9.38,0.544,10.56,8.56,-8.0,8.17,7.28,-8.93,0.401,-6.32,-21.6,-15.12,-3.46,-19.54,-14.55,0.357,-9.84,-50.08,4.8,-9.04,-50.21,1.23,0.341,5.84,-65.6,2.8,4.81,-64.53,5.4,0.283,-2.32,-22.88,10.56,-1.51,-21.28,7.6,0.798,1.84,-12.32,2.4,3.07,-12.51,1.77,1.432,5.44,-30.08,13.76,5.06,-28.91,8.07,4.715,-32.48,-83.44,-14.08,-34.65,-75.63,-7.44
0827-BK1-01-7,Salto C,106.646,-24.48,82.72,21.84,-16.23,107.21,-0.89,1.66,6.64,-153.68,-13.12,7.15,-72.88,6.19,9.127,-3.6,96.32,-15.6,-8.95,122.48,-14.47,15.304,-12.64,516.16,12.32,-9.71,519.48,9.84,8.325,-3.6,219.76,15.2,-6.05,228.33,10.09,3.568,5.28,168.08,-0.48,5.5,168.98,1.99,2.813,1.76,149.6,-0.8,0.35,151.96,0.12,3.028,-0.48,148.24,0.48,-2.1,149.12,1.02,2.388,-5.44,70.88,-5.28,-3.81,70.65,-4.69,4.803,-10.72,34.88,18.4,-9.64,43.54,18.98
0827-BK1-01-9,Strecksprung,106.865,5.2,89.36,-9.6,4.7,96.53,-11.67,2.825,-8.8,-12.08,47.84,3.78,21.57,24.11,1.467,-3.68,31.28,-49.44,-8.21,21.77,-26.76,0.402,1.68,-49.92,-34.4,-0.73,-46.4,-26.4,0.51,-4.8,-1.92,15.52,-3.71,-14.87,17.24,0.816,-9.52,-9.84,18.32,-9.83,-10.3,20.99,0.329,10.72,-2.08,0.08,11.02,-1.34,2.56,0.561,-0.24,-9.28,-0.72,1.51,-9.63,-1.93,0.492,-0.48,-41.6,23.68,-0.3,-40.71,19.24,3.95,-2.88,-72.08,-68.24,-5.69,-67.06,-41.6
0827-BK1-01-10,Salto C,109.568,-38.4,63.2,-7.2,-31.19,79.76,-29.99,2.678,7.36,-90.32,35.12,17.14,-20.94,29.99,8.672,-13.6,190.64,-7.76,-16.22,197.13,-7.73,13.934,-22.4,459.52,18.32,-17.01,459.4,13.38,6.424,-16.8,206.0,-23.68,-10.61,225.97,-23.97,3.643,2.24,155.36,-0.88,2.6,157.96,-2.75,3.156,-9.92,159.04,-0.4,-8.05,158.31,-2.22,2.919,-0.72,134.08,11.04,-2.3,134.81,11.24,3.23,-15.76,90.16,-1.84,-13.42,92.57,-1.24,6.257,-15.44,85.84,-9.76,-8.93,88.61,-3.43
0827-BK1-01-12,Strecksprung,105.5,2.32,107.6,-6.48,-0.81,120.99,-8.58,4.309,-6.48,49.04,42.32,8.53,41.93,27.89,1.196,-0.64,8.96,2.56,-5.96,14.23,-4.51,0.745,-4.56,-48.8,-46.56,-2.45,-50.49,-42.26,0.891,19.68,-25.12,61.28,15.54,-31.69,58.52,1.36,-10.08,-8.0,7.6,-8.97,-3.59,5.38,0.328,6.8,-3.84,12.32,5.17,-7.38,11.67,0.252,-0.72,-10.48,-9.36,0.56,-8.58,-5.65,0.354,-7.76,-34.4,19.44,-7.47,-31.63,16.98,4.466,-10.24,-56.56,-69.04,-11.02,-51.75,-44.25
0827-BK1-01-13,Salto C,105.438,-26.16,94.16,21.36,-17.8,113.52,-6.62,4.212,16.08,-60.56,57.68,11.74,-51.52,43.15,9.107,-4.4,122.48,-48.88,-12.21,138.35,-29.6,14.035,-9.44,488.96,31.84,-5.76,488.21,21.83,6.922,-7.04,221.2,-19.2,-2.95,230.57,-17.19,3.239,8.56,155.04,-8.88,6.7,154.03,-9.74,3.427,-5.12,164.56,-5.76,-3.1,161.47,-6.54,2.846,-10.56,154.64,-1.76,-10.84,153.86,-0.33,2.456,-4.08,87.6,0.24,-5.25,85.21,-0.65,6.236,-21.92,52.16,44.8,-14.23,52.87,37.79
0827-BK1-01-16,Salto C,106.505,-22.08,73.92,40.72,-12.88,99.48,8.64,5.704,10.0,-81.6,-4.32,14.59,-42.22,6.71,9.385,-2.88,74.4,-29.92,-4.24,91.5,-22.27,15.71,5.84,578.96,3.76,7.92,567.78,6.85,10.28,10.4,266.4,1.2,10.94,261.04,0.55,3.335,5.12,158.24,-0.96,7.34,159.57,-0.56,2.957,9.92,149.12,0.72,11.94,150.66,0.52,2.86,12.0,145.36,0.96,13.67,143.6,-1.26,2.721,0.8,74.08,-13.12,2.09,73.6,-11.44,5.284,-28.32,45.2,14.4,-15.52,53.4,14.29
0827-BK1-01-19,Salto C,108.576,-26.56,71.2,-28.72,-17.78,92.17,-41.0,3.051,-12.88,-104.96,38.08,-0.35,-53.64,32.3,8.169,-11.84,77.12,-16.8,-19.06,96.55,-2.61,15.37,5.04,544.32,-6.64,0.11,535.57,12.36,13.135,-9.2,302.16,12.32,-1.34,283.87,16.9,2.86,11.12,162.48,20.32,15.34,162.54,15.54,2.805,12.24,148.08,11.36,13.65,144.55,9.48,2.609,25.6,115.12,1.6,24.23,114.29,2.49,2.497,10.48,89.2,-4.16,11.08,87.83,-1.09,7.44,-7.2,130.4,-2.8,-5.79,118.96,-5.51
0827-BK1-01-22,Salto C,106.519,-26.32,70.8,20.08,-24.76,88.78,-7.27,0.934,9.2,-75.76,5.12,13.44,-26.74,17.93,9.076,24.56,147.28,-8.0,17.9,159.69,-5.76,14.633,-12.88,552.24,-7.76,-11.3,538.54,1.45,9.175,8.08,274.96,1.04,-3.88,275.47,7.77,3.204,11.28,152.96,6.72,11.11,153.92,8.63,3.829,9.28,171.04,18.4,9.13,171.35,15.24,3.105,0.56,128.08,-0.24,-0.77,127.08,-0.71,3.039,10.32,62.32,8.4,9.88,64.74,8.12,1.351,6.0,76.96,33.6,2.52,80.35,26.95
