SprungID,Sprungtyp,0_Acc_N_Fil,0_Gyro_x_R,0_Gyro_y_R,0_Gyro_z_R,0_Gyro_x_Fil,0_Gyro_y_Fil,0_Gyro_z_Fil,10_Acc_N_Fil,10_Gyro_x_R,10_Gyro_y_R,10_Gyro_z_R,10_Gyro_x_Fil,10_Gyro_y_Fil,10_Gyro_z_Fil,20_Acc_N_Fil,20_Gyro_x_R,20_Gyro_y_R,20_Gyro_z_R,20_Gyro_x_Fil,20_Gyro_y_Fil,20_Gyro_z_Fil,30_Acc_N_Fil,30_Gyro_x_R,30_Gyro_y_R,30_Gyro_z_R,30_Gyro_x_Fil,30_Gyro_y_Fil,30_Gyro_z_Fil,40_Acc_N_Fil,40_Gyro_x_R,40_Gyro_y_R,40_Gyro_z_R,40_Gyro_x_Fil,40_Gyro_y_Fil,40_Gyro_z_Fil,50_Acc_N_Fil,50_Gyro_x_R,50_Gyro_y_R,50_Gyro_z_R,50_Gyro_x_Fil,50_Gyro_y_Fil,50_Gyro_z_Fil,60_Acc_N_Fil,60_Gyro_x_R,60_Gyro_y_R,60_Gyro_z_R,60_Gyro_x_Fil,60_Gyro_y_Fil,60_Gyro_z_Fil,70_Acc_N_Fil,70_Gyro_x_R,70_Gyro_y_R,70_Gyro_z_R,70_Gyro_x_Fil,70_Gyro_y_Fil,70_Gyro_z_Fil,80_Acc_N_Fil,80_Gyro_x_R,80_Gyro_y_R,80_Gyro_z_R,80_Gyro_x_Fil,80_Gyro_y_Fil,80_Gyro_z_Fil,90_Acc_N_Fil,90_Gyro_x_R,90_Gyro_y_R,90_Gyro_z_R,90_Gyro_x_Fil,90_Gyro_y_Fil,90_Gyro_z_Fil
20190930-1247-FRANKFURT_2-01-61,Strecksprung,60.037,2.611,119.462,35.064,2.828,119.648,32.861,1.322,-4.601,57.955,44.182,-4.469,58.138,44.634,0.998,-4.549,12.416,6.82,-4.664,12.799,7.087,1.083,-3.964,-17.795,-20.849,-3.661,-17.507,-20.317,1.137,-1.398,-29.162,-39.568,-1.385,-29.347,-38.973,0.992,1.037,-34.338,-10.868,1.132,-34.546,-11.449,0.827,2.492,-49.695,5.777,2.595,-49.415,5.471,1.371,2.522,-55.84,0.093,2.399,-56.193,0.122,1.472,0.751,-69.405,5.935,0.599,-68.815,4.735,35.379,6.343,89.593,-5.425,5.457,89.346,-5.554
0110-MORITZ-01-135,Strecksprung,55.052,20.364,63.791,7.968,18.407,65.396,8.975,2.274,0.291,1.898,1.856,0.85,2.389,1.951,0.9,7.056,20.003,34.927,6.865,19.041,34.499,1.112,2.5,-20.404,15.347,2.583,-20.012,15.302,0.769,-4.033,-44.271,-7.898,-4.105,-43.905,-7.583,0.685,-5.138,-37.425,4.359,-5.172,-37.499,4.042,0.783,-2.735,-30.602,4.474,-2.708,-30.648,4.411,0.725,-0.198,-17.104,-1.602,-0.15,-17.876,-1.535,1.514,-5.109,-56.693,-6.02,-5.954,-54.742,-6.633,42.674,-28.001,112.934,-2.106,-26.329,110.115,-0.986
20190930-1247-FRANKFURT_2-01-196,Schraubensalto,55.435,-19.991,234.483,72.04,-15.496,237.996,71.428,5.725,67.218,155.202,140.639,68.159,151.302,141.285,4.123,181.6,86.624,198.034,179.034,85.821,198.185,4.533,217.914,-13.431,253.988,217.844,-13.689,254.499,8.673,143.425,-125.627,346.079,141.031,-124.101,345.297,11.795,3.307,-118.133,425.457,5.878,-114.399,424.659,10.378,0.542,107.89,361.779,0.002,105.868,358.511,7.654,-21.567,228.1,118.649,-21.303,226.583,121.546,6.911,-19.309,239.288,44.561,-20.348,240.982,45.451,38.662,-5.44,313.157,27.244,-4.972,308.207,23.74
20191007-1159-FRANKFURT_1-01-371,Salto C,49.367,-12.674,239.002,3.415,-13.128,226.402,3.365,11.607,8.319,-121.326,32.47,4.989,-112.359,30.108,7.589,-17.213,248.386,-0.522,-15.05,249.28,-1.083,14.196,-19.682,647.595,2.273,-19.568,641.705,2.548,15.671,-5.639,371.84,5.438,-3.897,377.33,4.599,3.357,20.096,131.646,-0.587,18.201,127.298,-0.47,4.171,5.175,65.635,-30.552,4.845,66.599,-29.572,4.705,-16.698,98.908,-2.864,-15.94,99.747,-3.201,4.799,-25.136,180.587,4.042,-25.51,181.618,0.916,49.707,-45.356,178.887,-37.555,-43.792,175.437,-33.999
20191001-1202-FRANKFURT_2-01-183,Salto A,59.238,6.178,-242.284,37.38,3.838,-226.915,28.899,6.673,3.819,-192.27,2.013,2.915,-196.149,-1.058,8.793,-14.749,-193.882,-21.406,-14.144,-196.908,-19.908,8.876,2.24,-254.135,-16.358,2.49,-252.135,-16.172,6.963,4.561,-222.438,2.39,4.087,-220.012,2.511,7.741,-11.909,-123.566,19.693,-11.21,-127.154,18.887,8.985,-16.939,-169.015,-5.276,-16.754,-169.166,-4.974,11.336,-11.802,-251.016,-25.398,-12.257,-250.509,-24.358,10.737,-22.388,-278.908,0.504,-22.186,-279.561,-1.451,37.966,-18.707,-283.871,-76.062,-20.469,-272.73,-49.215
0827-BK1-01-62,Salto B,61.195,20.939,125.702,12.394,17.712,122.442,12.735,8.775,1.542,-73.382,28.441,2.252,-64.861,24.21,8.707,-34.945,221.585,-22.83,-34.573,219.738,-18.968,25.858,-7.372,525.08,33.992,-8.384,517.535,32.144,11.477,6.798,277.422,-1.631,7.744,281.178,-0.56,4.172,2.782,163.109,-5.808,2.794,164.0,-5.55,4.358,1.493,180.554,4.735,1.657,179.648,3.79,3.832,-4.055,130.798,-10.462,-4.218,130.887,-9.56,4.624,-4.062,74.145,10.042,-4.025,77.215,9.655,35.704,3.421,176.254,8.187,3.983,170.621,8.923
0115-MORITZ-03-25,Salto C,49.335,15.084,78.193,2.31,15.554,78.654,2.427,6.088,7.228,11.662,16.843,5.414,14.228,15.553,7.524,-5.078,233.503,-2.373,-5.308,230.749,-1.931,8.766,-12.038,277.664,-13.884,-12.374,277.233,-13.328,6.656,-17.998,240.494,-9.487,-18.057,240.245,-9.502,5.354,-19.302,199.674,-5.377,-19.091,200.664,-5.678,5.704,-22.982,215.063,0.489,-22.734,214.122,0.754,3.939,-19.576,183.473,20.281,-19.313,183.523,20.24,1.566,-0.985,115.066,3.705,-1.932,115.839,4.3,46.115,-15.657,97.218,-6.694,-12.95,96.747,-7.499
20191007-1150-FRANKFURT_2-01-141,Salto A,54.836,24.913,190.604,9.043,24.155,184.46,6.171,6.365,9.142,228.558,-32.753,9.783,225.068,-31.302,6.444,1.919,140.191,-15.281,0.858,145.589,-14.259,8.799,1.06,265.393,1.675,0.868,262.232,0.853,8.257,20.806,261.357,-0.257,20.602,261.034,0.042,8.308,19.034,200.076,-2.925,18.455,200.024,-3.483,8.617,-4.634,167.661,-10.17,-3.834,168.867,-9.86,8.679,-1.525,180.736,-2.491,-2.012,181.214,-2.335,5.124,6.217,199.1,18.74,6.393,201.127,15.347,45.592,39.116,216.252,-19.132,37.322,207.822,-15.186
20191008-1157-FRANKFURT_1-01-89,Salto A,41.433,-7.61,265.076,3.21,-11.613,260.0,4.671,5.146,2.951,205.618,-8.144,2.799,204.196,-9.393,8.427,-10.388,163.005,-4.585,-9.638,164.921,-5.062,6.825,-11.116,196.01,4.146,-11.164,194.227,4.796,5.418,6.327,135.217,4.683,5.762,136.277,3.992,6.279,0.871,133.631,-6.44,1.336,134.309,-6.512,6.932,0.564,173.94,-16.818,0.337,174.367,-16.985,9.088,-21.638,239.683,-37.384,-21.979,238.789,-36.546,7.64,-39.353,286.61,-0.2,-38.713,289.21,-3.946,55.803,-16.623,245.641,-13.5,-17.531,244.965,-8.668
20190930-1153-FRANKFURT_1-01-144,Schraubensalto,50.383,10.79,227.736,59.275,14.105,222.812,60.58,4.473,74.29,134.145,155.221,73.363,137.665,155.002,3.546,122.0,99.894,198.374,122.021,99.215,198.069,3.986,180.836,9.926,267.149,178.618,8.236,268.067,8.727,82.35,-165.348,347.016,81.567,-163.365,346.349,12.397,-83.954,-187.0,354.72,-82.603,-182.802,354.165,10.827,-149.275,-18.223,351.975,-147.591,-19.565,350.081,8.358,-77.527,115.906,267.357,-77.372,113.864,268.03,8.161,41.397,151.92,209.113,39.888,152.764,204.976,30.542,60.249,200.989,-38.781,60.047,193.851,-29.993
20191007-1150-FRANKFURT_2-01-57,Cody C,73.583,-5.228,-46.354,72.747,-3.217,-46.422,63.019,15.037,-20.28,-15.403,28.794,-22.476,-5.723,34.459,16.567,4.206,281.703,6.357,5.216,284.043,7.111,30.932,63.919,656.163,2.324,60.58,644.527,2.745,26.199,20.955,481.29,-16.255,21.503,481.204,-12.499,12.41,-2.942,289.803,-9.714,-1.096,286.944,-11.755,6.907,19.157,128.621,2.944,18.755,136.932,2.309,8.807,20.029,153.748,-2.011,18.966,154.407,-1.642,5.581,4.106,208.719,24.332,6.167,210.343,21.17,31.507,20.394,272.752,-46.489,19.549,261.68,-44.217
20190930-1616-FRANKFURT_1-01-344,Barani A,55.556,-20.149,-94.481,64.654,-18.186,-92.66,61.088,5.148,-59.645,-135.938,52.816,-60.134,-136.848,56.731,5.502,-74.534,-113.744,65.732,-76.508,-114.973,67.213,8.305,-161.194,-165.386,132.53,-160.005,-162.577,132.388,8.513,-182.307,-39.713,192.469,-181.175,-40.576,191.216,8.058,-133.327,56.613,170.678,-133.446,56.936,170.452,7.625,-75.345,134.374,115.991,-75.778,133.78,115.814,6.98,-49.43,193.658,56.84,-49.762,192.913,57.288,8.389,-43.329,176.762,16.943,-42.643,180.974,14.351,38.001,-24.33,242.222,-7.644,-26.178,240.469,-3.222
0827-BK2-01-122,Salto A,61.003,31.08,152.42,-27.381,30.791,149.655,-24.994,2.967,3.867,84.636,-4.401,3.255,87.452,-5.663,6.573,-6.45,156.713,-8.897,-5.767,155.808,-9.198,6.316,20.085,231.933,-31.639,19.016,231.999,-29.937,5.855,-6.9,233.854,-7.988,-5.677,233.8,-8.728,5.99,4.636,203.247,-22.025,4.412,203.122,-21.532,5.331,15.516,175.146,-20.804,14.688,174.723,-20.869,5.488,-9.986,134.197,-18.746,-9.413,134.749,-18.709,6.531,-16.019,131.49,-14.434,-15.946,132.41,-14.286,32.557,-10.117,198.038,1.751,-8.411,194.038,0.218
0827-BK2-01-108,Salto A,61.078,-6.742,161.346,10.039,-4.331,157.263,8.711,4.076,16.589,84.573,-5.146,14.951,88.543,-4.803,7.551,6.696,163.495,-18.918,6.937,162.497,-18.848,6.415,15.204,249.728,-21.589,15.358,248.341,-21.423,5.344,4.453,233.055,-11.189,4.188,232.577,-11.85,5.609,-0.883,178.596,-8.984,-0.833,179.122,-8.993,5.37,-3.748,161.552,-14.522,-3.5,161.466,-14.176,5.472,0.893,148.432,-5.914,0.968,148.674,-6.166,6.699,11.892,139.822,-5.832,11.594,139.823,-6.216,31.726,5.553,188.377,-16.602,6.724,184.597,-17.053
20191001-1202-FRANKFURT_2-01-54,Strecksprung,65.353,-18.64,-128.353,23.31,-17.37,-132.036,21.934,3.963,8.824,-39.122,-22.004,7.296,-40.128,-20.278,2.671,6.131,28.164,6.663,7.074,29.041,5.641,2.899,-11.516,16.79,38.568,-10.678,17.084,37.781,1.807,1.239,26.915,23.844,0.152,26.207,24.432,0.818,-12.376,52.542,10.552,-11.728,52.044,9.815,0.694,2.453,29.601,4.146,2.73,29.833,4.586,0.804,21.991,36.822,-11.304,21.091,35.809,-10.893,1.758,16.085,29.078,-1.256,15.774,28.393,-1.926,27.88,5.352,-21.624,-29.037,7.194,-16.33,-24.322
20191007-1150-FRANKFURT_2-01-46,Barani A,59.34,2.41,-129.221,13.615,4.249,-129.72,14.335,6.966,-22.072,-245.328,70.219,-22.683,-237.773,70.196,7.59,-77.067,-84.71,112.81,-76.616,-87.511,111.399,7.86,-127.716,-126.611,139.432,-129.028,-124.921,138.302,13.706,-223.242,-72.524,208.153,-220.429,-74.397,207.964,13.359,-207.59,52.044,243.08,-206.292,52.375,242.344,10.657,-94.115,116.672,175.901,-95.097,116.853,176.34,11.618,-33.579,147.451,78.82,-35.185,150.563,80.462,7.692,-11.418,262.072,84.056,-9.22,260.788,79.888,30.0,55.842,321.922,-14.107,51.159,310.479,-9.814
20191008-1157-FRANKFURT_1-01-387,Barani A,61.651,-12.559,-163.203,11.999,-11.373,-163.089,16.102,8.705,-16.322,-197.827,131.219,-18.975,-193.372,128.07,7.259,-87.593,-103.718,129.562,-87.512,-104.837,130.972,9.717,-167.887,-119.37,185.519,-165.793,-117.298,186.928,10.591,-131.485,17.506,321.508,-130.515,18.749,316.61,8.737,-41.171,170.106,243.722,-41.871,166.825,243.504,7.214,8.693,158.721,58.982,8.322,159.162,61.204,7.202,14.676,192.087,-13.77,15.327,193.799,-13.171,6.858,28.842,279.603,-17.764,27.975,279.694,-19.88,50.723,22.354,297.889,-25.73,21.857,300.305,-24.627
20191007-1534-FRANKFURT_2-01-52,Barani A,57.219,-33.278,-123.502,98.994,-33.034,-129.349,95.968,8.496,-50.358,-284.152,74.335,-48.917,-275.886,77.308,8.251,-60.299,-119.414,147.171,-61.031,-120.218,148.601,10.167,-141.25,-43.488,270.233,-141.402,-42.816,267.31,8.754,-176.005,64.595,282.521,-174.024,63.318,282.291,9.641,-104.379,103.199,211.838,-103.222,103.867,211.037,9.535,-5.943,180.344,113.16,-6.94,180.443,113.554,11.205,29.912,275.461,13.894,28.758,275.23,14.633,11.582,15.21,295.908,-22.841,15.671,294.998,-23.298,56.671,19.481,185.863,-4.397,16.557,184.901,-0.992
