0_Acc_N_Fil,0_Gyro_x_R,0_Gyro_y_R,0_Gyro_z_R,0_Gyro_x_Fil,0_Gyro_y_Fil,0_Gyro_z_Fil,20_Acc_N_Fil,20_Gyro_x_R,20_Gyro_y_R,20_Gyro_z_R,20_Gyro_x_Fil,20_Gyro_y_Fil,20_Gyro_z_Fil,40_Acc_N_Fil,40_Gyro_x_R,40_Gyro_y_R,40_Gyro_z_R,40_Gyro_x_Fil,40_Gyro_y_Fil,40_Gyro_z_Fil,60_Acc_N_Fil,60_Gyro_x_R,60_Gyro_y_R,60_Gyro_z_R,60_Gyro_x_Fil,60_Gyro_y_Fil,60_Gyro_z_Fil,80_Acc_N_Fil,80_Gyro_x_R,80_Gyro_y_R,80_Gyro_z_R,80_Gyro_x_Fil,80_Gyro_y_Fil,80_Gyro_z_Fil,Sprungtyp,SprungID
32.282,1.303,65.877,0.246,1.56,67.911,-0.189,15.546,3.521,389.868,-5.343,3.511,385.923,-5.155,6.921,11.329,216.739,-5.343,11.26,218.032,-5.256,3.962,4.521,112.406,-4.244,4.468,112.563,-4.246,20.859,4.395,142.255,-2.706,4.077,140.413,-2.486,Salto C,generated_Mean_Salto C
29.302,-1.096,56.752,1.712,-1.009,57.139,1.475,1.169,0.948,-16.225,2.528,0.898,-16.09,2.543,0.982,-1.145,-36.988,1.092,-1.108,-36.873,1.1,1.003,-1.535,-28.414,1.321,-1.548,-28.404,1.35,22.075,-0.178,30.049,-1.016,-0.161,29.747,-1.024,Strecksprung,generated_Mean_Strecksprung
32.707,3.349,51.926,-6.39,3.908,52.477,-6.888,14.15,2.797,234.359,-7.116,2.996,234.384,-7.214,15.356,19.656,355.412,-16.821,19.457,354.471,-16.577,4.638,4.019,114.764,-7.182,4.025,115.648,-7.303,22.871,6.283,154.13,-8.713,5.874,152.439,-8.119,Salto B,generated_Mean_Salto B
30.017,6.291,129.881,-9.734,6.439,129.43,-10.895,7.813,0.908,139.824,-10.979,1.05,139.729,-10.93,6.893,6.148,153.036,-11.091,6.087,152.894,-11.081,7.079,-0.294,115.79,-9.985,-0.29,116.087,-9.952,23.917,2.181,142.665,-16.301,1.876,142.443,-14.503,Salto A,generated_Mean_Salto A
33.632,-20.459,-159.602,60.686,-20.123,-158.36,60.045,8.52,-80.417,-111.9,124.535,-80.439,-111.587,125.157,9.905,-116.865,21.16,221.378,-116.187,20.766,219.935,8.534,-30.111,142.113,86.536,-30.575,142.206,86.992,24.054,2.161,238.242,-1.804,2.003,237.745,-0.589,Barani A,generated_Mean_Barani A
32.366,10.769,158.981,-19.018,11.276,160.681,-19.53,38.535,-1.056,552.111,-10.452,-1.021,550.643,-10.452,49.085,34.402,768.051,-8.693,34.216,764.942,-8.735,15.939,37.299,327.22,-24.702,37.142,329.826,-24.602,22.82,8.215,228.789,-18.528,8.24,226.11,-17.459,Doppelsalto C,generated_Mean_Doppelsalto C
30.893,4.799,90.755,6.748,4.91,90.787,6.865,3.893,2.315,80.489,-6.605,2.383,80.974,-6.632,4.013,7.535,142.284,-6.372,7.529,141.92,-6.242,4.647,0.5,132.36,-10.131,0.44,132.639,-9.87,23.472,11.266,134.122,-18.035,11.158,131.362,-17.609,3/4 Salto rw A,generated_Mean_3/4 Salto rw A
41.605,-15.06,-63.62,20.656,-14.659,-55.919,20.249,27.641,3.727,401.757,-6.704,2.924,395.199,-6.815,11.106,-13.973,183.486,-14.696,-13.228,184.831,-14.757,6.457,-4.893,109.568,-0.706,-5.077,109.87,-0.712,20.911,-2.65,156.273,-6.779,-3.236,156.257,-6.153,Cody C,generated_Mean_Cody C
29.954,20.14,196.014,43.816,21.249,196.035,44.473,4.583,100.283,36.231,105.348,99.797,35.355,105.195,10.587,45.554,-153.961,176.318,45.406,-151.6,176.131,9.545,-30.874,97.213,150.617,-30.621,95.978,150.161,21.38,-5.528,217.437,31.056,-5.786,215.685,31.131,Schraubensalto,generated_Mean_Schraubensalto
34.24,-20.662,-232.807,136.737,-19.985,-230.619,139.266,16.648,100.823,-62.053,588.527,100.862,-63.966,585.489,16.758,199.927,-79.655,600.734,198.581,-76.979,598.96,10.651,13.039,181.619,233.048,13.902,180.373,235.015,25.329,30.92,277.41,31.352,29.993,277.638,31.776,Rudi,generated_Mean_Rudi
