SprungID,Sprungtyp,0_Acc_N_Fil,0_Gyro_x_R,0_Gyro_y_R,0_Gyro_z_R,0_Gyro_x_Fil,0_Gyro_y_Fil,0_Gyro_z_Fil,20_Acc_N_Fil,20_Gyro_x_R,20_Gyro_y_R,20_Gyro_z_R,20_Gyro_x_Fil,20_Gyro_y_Fil,20_Gyro_z_Fil,40_Acc_N_Fil,40_Gyro_x_R,40_Gyro_y_R,40_Gyro_z_R,40_Gyro_x_Fil,40_Gyro_y_Fil,40_Gyro_z_Fil,60_Acc_N_Fil,60_Gyro_x_R,60_Gyro_y_R,60_Gyro_z_R,60_Gyro_x_Fil,60_Gyro_y_Fil,60_Gyro_z_Fil,80_Acc_N_Fil,80_Gyro_x_R,80_Gyro_y_R,80_Gyro_z_R,80_Gyro_x_Fil,80_Gyro_y_Fil,80_Gyro_z_Fil
20190930-1247-FRANKFURT_2-01-61,Strecksprung,30.679,-0.995,88.709,39.623,-0.821,88.893,38.747,1.041,-4.257,-2.689,-7.015,-4.162,-2.354,-6.615,1.065,-0.181,-31.75,-25.218,-0.126,-31.947,-25.211,1.099,2.507,-52.768,2.935,2.497,-52.804,2.796,18.425,3.547,10.094,0.255,3.028,10.265,-0.409
0110-MORITZ-01-135,Strecksprung,28.532,10.278,32.69,4.897,9.585,33.735,5.446,1.006,4.778,-0.2,25.137,4.724,-0.485,24.901,0.728,-4.583,-40.865,-1.8,-4.636,-40.718,-1.799,0.754,-1.466,-23.853,1.436,-1.429,-24.262,1.438,21.992,-16.498,27.699,-4.073,-16.091,27.276,-3.824
20190930-1247-FRANKFURT_2-01-196,Schraubensalto,30.447,23.847,194.631,106.523,26.555,194.417,106.543,4.328,199.757,36.597,226.011,198.439,36.066,226.342,10.226,73.741,-121.9,385.556,73.816,-119.276,384.766,9.016,-10.513,167.995,240.214,-10.651,166.225,240.028,22.701,-12.412,276.025,35.949,-12.701,274.415,34.653
20191007-1159-FRANKFURT_1-01-371,Salto C,30.487,-2.178,58.838,17.943,-4.069,57.022,16.736,10.913,-18.455,449.2,0.884,-17.323,446.682,0.744,9.514,7.228,251.743,2.425,7.152,252.314,2.064,4.437,-5.695,82.171,-16.792,-5.485,83.072,-16.466,27.253,-35.246,179.737,-16.756,-34.651,178.527,-16.541
20191001-1202-FRANKFURT_2-01-183,Salto A,32.792,4.991,-217.121,19.587,3.374,-211.436,13.828,8.834,-6.308,-223.822,-18.898,-5.879,-224.35,-18.051,7.354,-3.725,-172.695,11.095,-3.609,-173.294,10.75,10.153,-14.386,-209.761,-15.274,-14.519,-209.585,-14.606,24.436,-20.536,-281.405,-38.017,-21.322,-276.124,-25.481
0827-BK1-01-62,Salto B,34.854,11.192,25.659,20.458,9.943,28.32,18.502,17.282,-21.158,373.333,5.581,-21.478,368.636,6.588,7.843,4.8,220.553,-3.709,5.281,222.883,-3.043,4.095,-1.281,155.676,-2.864,-1.281,155.267,-2.885,20.086,-0.339,124.943,9.12,-0.041,123.683,9.291
0115-MORITZ-03-25,Salto C,27.711,11.156,44.928,9.577,10.484,46.441,8.99,8.148,-8.575,255.69,-8.157,-8.858,254.103,-7.657,6.005,-18.65,220.084,-7.432,-18.574,220.454,-7.59,4.826,-21.287,199.344,10.337,-21.032,198.897,10.45,23.841,-8.321,106.142,-1.495,-7.441,106.293,-1.6
20191007-1150-FRANKFURT_2-01-141,Salto A,30.746,17.075,209.467,-11.73,17.012,204.642,-12.453,7.628,1.486,203.167,-6.753,0.863,204.26,-6.658,8.282,19.925,230.9,-1.583,19.535,230.712,-1.71,8.649,-3.07,174.238,-6.308,-2.918,175.077,-6.075,25.237,22.568,207.625,-0.082,21.765,204.454,0.172
20191008-1157-FRANKFURT_1-01-89,Salto A,23.29,-2.329,235.347,-2.467,-4.407,232.098,-2.361,7.631,-10.75,179.41,-0.246,-10.397,179.487,-0.162,5.848,3.599,134.424,-0.879,3.549,135.293,-1.26,8.016,-10.603,207.006,-27.162,-10.887,206.769,-26.823,31.722,-27.988,266.126,-6.85,-28.122,267.088,-6.307
20190930-1153-FRANKFURT_1-01-144,Schraubensalto,27.305,42.71,180.69,107.505,43.893,180.011,108.043,3.767,151.575,54.669,232.945,150.471,53.482,233.255,10.562,-0.802,-176.174,350.868,-0.518,-173.083,350.257,9.599,-113.593,48.483,309.892,-112.67,46.793,309.275,19.292,50.773,176.323,85.829,49.914,173.198,88.12
20191007-1150-FRANKFURT_2-01-57,Cody C,44.131,-12.8,-30.783,50.636,-12.906,-25.947,48.651,23.749,34.063,468.933,4.341,32.898,464.285,4.928,19.347,9.08,386.134,-13.004,10.273,384.67,-12.129,7.857,19.593,141.185,0.466,18.86,145.669,0.334,18.465,12.2,240.539,-10.861,12.817,235.854,-11.323
20190930-1616-FRANKFURT_1-01-344,Barani A,30.487,-39.791,-115.099,58.767,-39.048,-114.636,58.921,6.911,-118.096,-139.703,99.31,-118.48,-138.902,99.975,8.287,-157.948,8.193,181.632,-157.438,7.919,180.89,7.301,-62.318,164.174,86.258,-62.7,163.504,86.395,23.116,-33.88,209.317,4.715,-34.454,210.562,5.611
0827-BK2-01-122,Salto A,32.134,17.543,118.702,-15.95,17.094,118.713,-15.378,6.445,6.75,194.13,-20.21,6.561,193.708,-19.515,5.922,-1.132,218.551,-15.007,-0.632,218.461,-15.13,5.41,2.699,154.566,-19.77,2.576,154.634,-19.784,19.611,-13.053,164.935,-6.3,-12.159,163.382,-6.997
0827-BK2-01-108,Salto A,32.722,4.864,123.155,2.485,5.261,123.077,1.988,6.986,10.928,206.393,-20.247,11.126,205.201,-20.129,5.476,1.785,205.826,-10.087,1.678,205.85,-10.422,5.421,-1.416,154.958,-10.197,-1.254,155.038,-10.151,19.276,8.707,164.223,-11.244,9.147,162.324,-11.662
20191001-1202-FRANKFURT_2-01-54,Strecksprung,34.658,-4.908,-83.737,0.653,-5.037,-86.082,0.828,2.784,-2.641,22.51,22.522,-1.75,23.098,21.617,1.312,-5.568,39.728,17.198,-5.788,39.125,17.124,0.749,12.279,33.233,-3.624,11.964,32.838,-3.199,14.819,10.718,3.727,-15.146,11.484,6.031,-13.124
20191007-1150-FRANKFURT_2-01-46,Barani A,33.153,-9.831,-187.275,41.917,-9.217,-183.746,42.266,7.726,-102.551,-105.792,126.205,-102.987,-106.333,124.935,13.532,-215.416,-10.24,225.616,-213.36,-11.011,225.154,11.134,-64.037,131.965,127.666,-65.329,133.602,128.702,18.846,22.212,291.997,34.975,20.969,285.633,35.037
20191008-1157-FRANKFURT_1-01-387,Barani A,35.023,-14.451,-180.616,71.958,-15.196,-178.319,72.413,8.495,-127.975,-111.59,157.704,-126.881,-111.104,159.114,9.664,-86.328,93.806,282.615,-86.193,92.787,280.057,7.208,11.667,175.306,22.818,11.804,176.379,24.234,28.662,25.617,288.692,-21.724,24.934,289.939,-22.24
20191007-1534-FRANKFURT_2-01-52,Barani A,32.857,-41.818,-203.827,86.665,-40.975,-202.617,86.638,9.203,-100.535,-81.676,208.338,-100.979,-81.746,207.604,9.198,-140.192,83.897,247.18,-138.623,83.593,246.664,10.375,12.091,228.184,63.233,11.015,228.117,63.801,34.127,17.345,240.886,-13.619,16.114,239.949,-12.145
20191007-1534-FRANKFURT_2-01-91,Salto B,34.103,-13.276,24.568,21.361,-13.586,29.543,19.915,16.522,41.26,330.93,-15.062,41.637,328.084,-14.796,13.532,8.036,372.976,-45.609,7.84,374.123,-45.34,4.934,-3.644,133.913,-9.482,-3.926,134.652,-9.559,25.924,-7.763,167.455,-17.716,-8.86,164.494,-17.613
20191001-1202-FRANKFURT_2-01-104,Strecksprung,31.508,-8.414,-72.419,-0.094,-8.195,-73.067,1.694,1.666,5.567,13.617,23.736,5.477,13.043,22.192,1.245,-5.797,25.377,5.807,-5.339,25.292,5.84,0.846,0.471,53.493,-1.038,0.738,53.444,-0.792,13.559,16.811,6.109,-13.212,17.96,2.257,-12.596
0609-1-01-323,Salto C,32.305,12.852,54.702,-9.401,13.314,57.048,-10.513,18.914,-8.973,436.626,-17.027,-8.673,433.674,-16.617,6.682,28.418,266.987,2.898,28.491,267.674,2.632,3.094,22.443,106.453,-9.21,21.409,106.521,-9.219,26.144,-1.845,119.247,-4.301,-1.335,120.696,-4.063
20190930-1616-FRANKFURT_1-01-31,Salto A,38.441,8.605,212.314,21.715,8.97,215.083,18.346,6.597,2.657,145.234,-1.408,3.546,146.443,-1.351,6.643,10.895,206.795,-2.236,10.556,206.443,-2.01,7.007,3.614,171.781,9.763,3.772,172.36,10.136,23.1,18.741,193.622,-12.88,18.988,192.861,-11.214
0609-4-01-325,Strecksprung,42.259,10.767,9.557,8.736,10.546,13.951,9.253,0.957,-6.658,-8.216,12.787,-6.547,-8.221,12.943,1.467,-0.753,-31.481,3.556,-0.745,-31.378,2.738,1.599,9.412,-5.857,-5.895,9.421,-5.821,-5.545,22.269,2.233,3.86,15.719,1.741,3.806,15.478
20191008-1207-FRANKFURT_2-01-17,Strecksprung,27.093,-5.297,73.377,14.535,-4.072,74.355,10.133,1.709,0.499,-51.284,8.546,-0.09,-51.994,10.39,1.268,13.421,-58.205,4.721,12.838,-57.973,5.0,0.941,-3.135,-30.59,11.394,-3.363,-30.921,11.147,20.872,2.085,72.96,4.784,1.964,71.77,6.834
0609-4-01-518,Barani C,30.283,22.732,-239.01,34.412,22.036,-236.401,34.708,10.372,-19.393,-158.867,167.483,-20.416,-160.134,167.667,7.867,-103.462,17.993,251.633,-101.722,18.772,250.276,5.453,-29.777,120.198,126.397,-29.985,120.112,126.632,26.33,18.755,157.53,21.372,18.505,157.074,21.329
20191007-1159-FRANKFURT_1-01-91,Barani B,49.484,38.322,-358.774,-8.093,36.25,-359.355,-6.341,11.82,36.652,-211.01,169.786,36.383,-211.894,172.025,12.084,18.16,132.648,347.523,18.663,131.551,343.874,6.667,-0.368,207.961,22.316,-0.02,206.397,24.623,20.793,-16.008,137.54,-20.104,-15.779,131.245,-19.691
20191008-1157-FRANKFURT_1-01-190,Strecksprung,23.027,12.37,89.166,9.995,11.757,86.652,9.436,0.815,-16.945,-55.908,-0.433,-15.868,-54.695,0.668,1.501,-7.252,-52.826,23.673,-7.252,-53.403,22.558,0.828,-2.377,-81.934,-20.787,-2.871,-80.673,-19.981,26.192,-13.319,107.395,-18.823,-12.599,105.839,-19.131
0609-4-01-594,Barani C,35.328,10.529,-217.359,54.435,10.747,-216.661,53.75,13.528,4.323,-249.158,150.179,2.832,-249.344,150.231,8.378,-52.747,-0.558,270.447,-51.467,0.232,269.373,5.838,-28.634,119.155,143.935,-28.831,119.035,144.216,26.767,5.127,173.035,36.255,5.238,171.941,36.035
20191001-1202-FRANKFURT_2-01-110,Hocksprung,35.817,13.057,-10.644,15.073,12.861,-12.86,1.095,10.079,-9.706,89.247,-11.036,-8.713,89.868,-10.485,5.63,18.215,-116.33,19.041,18.254,-117.432,19.496,1.57,-3.925,6.076,35.254,-3.629,6.291,34.222,16.457,-5.68,-1.748,-34.063,-4.671,-0.843,-32.343
0110-MORITZ-01-33,Fliffis B,48.738,58.522,-387.7,-3.069,58.414,-385.142,-1.306,40.275,-18.18,-710.72,-13.765,-17.214,-703.618,-14.711,18.293,40.403,-5.301,-256.821,40.095,-9.193,-255.532,14.593,135.566,188.616,-160.406,134.83,187.2,-160.204,29.788,-17.366,265.17,-3.075,-16.441,265.682,-4.158
20191001-1148-FRANKFURT_1-01-52,Salto rw B,23.764,6.221,88.316,-1.514,4.304,76.377,0.415,13.581,15.73,238.582,-16.681,16.3,239.484,-17.931,17.531,3.116,394.356,-22.709,2.569,394.631,-22.29,5.044,-4.493,110.066,-6.511,-4.69,113.081,-7.48,30.066,-24.491,190.899,-11.91,-25.022,194.257,-10.386
0609-1-01-591,Salto C,29.984,11.963,43.924,-14.709,12.086,46.185,-15.186,17.053,2.658,451.262,-20.46,2.877,447.772,-20.349,4.069,14.701,216.947,-14.692,14.465,217.422,-14.335,3.462,5.916,64.49,-11.39,5.818,65.355,-11.215,24.389,-0.203,180.728,4.669,0.015,181.511,4.654
0609-1-01-487,Doppelsalto B,30.875,19.843,134.692,-20.8,20.344,138.114,-20.381,23.871,-25.234,447.965,-15.46,-25.11,444.089,-15.433,41.587,-27.575,764.217,-4.441,-27.234,761.863,-4.303,10.364,8.387,280.589,2.222,7.49,282.193,1.939,20.32,11.329,204.284,-19.673,11.334,201.111,-18.103
0115-CHARI-05-88,Fliffis- Rudi B,51.24,40.977,-452.7,5.837,39.896,-450.945,3.811,37.719,17.249,-589.678,127.929,21.986,-587.539,133.975,32.132,494.098,-130.5,775.364,484.245,-129.755,770.977,25.506,-72.078,129.334,483.644,-66.732,126.845,480.52,23.975,4.209,320.786,-59.693,4.223,318.761,-55.972
