SprungID,Sprungtyp,0_mean_Acc_N_Fil,0_std_Acc_N_Fil,0_mean_Gyro_x_R,0_std_Gyro_x_R,0_mean_Gyro_y_R,0_std_Gyro_y_R,0_mean_Gyro_z_R,0_std_Gyro_z_R,0_mean_Gyro_x_Fil,0_std_Gyro_x_Fil,0_mean_Gyro_y_Fil,0_std_Gyro_y_Fil,0_mean_Gyro_z_Fil,0_std_Gyro_z_Fil,20_mean_Acc_N_Fil,20_std_Acc_N_Fil,20_mean_Gyro_x_R,20_std_Gyro_x_R,20_mean_Gyro_y_R,20_std_Gyro_y_R,20_mean_Gyro_z_R,20_std_Gyro_z_R,20_mean_Gyro_x_Fil,20_std_Gyro_x_Fil,20_mean_Gyro_y_Fil,20_std_Gyro_y_Fil,20_mean_Gyro_z_Fil,20_std_Gyro_z_Fil,40_mean_Acc_N_Fil,40_std_Acc_N_Fil,40_mean_Gyro_x_R,40_std_Gyro_x_R,40_mean_Gyro_y_R,40_std_Gyro_y_R,40_mean_Gyro_z_R,40_std_Gyro_z_R,40_mean_Gyro_x_Fil,40_std_Gyro_x_Fil,40_mean_Gyro_y_Fil,40_std_Gyro_y_Fil,40_mean_Gyro_z_Fil,40_std_Gyro_z_Fil,60_mean_Acc_N_Fil,60_std_Acc_N_Fil,60_mean_Gyro_x_R,60_std_Gyro_x_R,60_mean_Gyro_y_R,60_std_Gyro_y_R,60_mean_Gyro_z_R,60_std_Gyro_z_R,60_mean_Gyro_x_Fil,60_std_Gyro_x_Fil,60_mean_Gyro_y_Fil,60_std_Gyro_y_Fil,60_mean_Gyro_z_Fil,60_std_Gyro_z_Fil,80_mean_Acc_N_Fil,80_std_Acc_N_Fil,80_mean_Gyro_x_R,80_std_Gyro_x_R,80_mean_Gyro_y_R,80_std_Gyro_y_R,80_mean_Gyro_z_R,80_std_Gyro_z_R,80_mean_Gyro_x_Fil,80_std_Gyro_x_Fil,80_mean_Gyro_y_Fil,80_std_Gyro_y_Fil,80_mean_Gyro_z_Fil,80_std_Gyro_z_Fil
20190930-1153-FRANKFURT_1-01-249,Strecksprung,34.013,30.679,-11.475,22.184,26.137,11.401,-23.755,38.494,-11.256,19.043,25.09,8.254,-23.419,32.323,1.158,0.404,5.582,3.456,-9.81,12.459,19.024,4.392,5.59,2.774,-8.691,9.33,19.191,3.283,0.828,0.26,1.077,3.549,1.269,11.864,10.806,9.755,1.119,2.931,1.23,11.067,10.347,9.403,0.942,0.453,-7.772,3.434,7.691,4.897,-5.613,15.102,-7.551,2.182,7.515,3.833,-5.374,12.524,25.815,26.199,-1.213,7.59,-21.219,49.387,-19.987,16.769,-1.207,3.361,-21.615,33.803,-19.608,3.629
0115-CHARI-05-57,Strecksprung,30.055,35.927,-16.622,25.226,78.924,52.391,-42.433,27.627,-16.377,21.396,79.108,46.973,-41.357,20.101,1.189,0.582,3.128,13.998,-14.503,12.236,-4.672,17.627,2.981,12.651,-14.977,11.029,-5.501,15.99,1.09,0.212,3.389,3.761,-58.605,10.13,1.953,7.913,3.219,3.352,-58.306,8.854,1.645,6.184,0.771,0.156,-3.247,4.658,-60.183,10.708,-18.175,9.614,-3.101,3.797,-60.144,10.123,-17.627,8.238,22.598,31.895,-0.976,8.876,15.929,73.711,-4.962,20.448,-0.743,5.45,15.418,66.375,-5.141,13.696
20190930-1153-FRANKFURT_1-01-166,Schraubensalto,27.791,32.32,40.133,29.9,186.339,88.072,116.847,57.42,41.092,25.72,185.378,80.386,116.839,52.636,3.58,0.525,162.318,44.275,36.41,43.186,208.125,28.748,161.418,42.556,35.276,43.797,208.684,28.048,9.387,2.749,41.257,94.794,-192.142,50.549,313.162,15.61,40.911,93.566,-189.823,49.436,312.831,14.99,11.245,1.199,-113.639,29.893,7.247,105.114,335.89,42.625,-112.097,29.208,6.16,103.07,335.035,40.417,21.176,24.699,41.591,40.382,176.576,44.41,104.996,136.343,40.295,36.543,174.17,35.51,106.587,127.854
20191003-1152-FRANKFURT_1-01-106,Salto C,33.555,30.354,0.607,23.436,68.542,105.898,-13.951,43.374,0.42,15.67,69.44,98.76,-12.285,18.862,15.619,5.951,-21.408,28.466,314.604,280.216,-0.119,24.218,-21.11,24.987,314.943,268.091,-1.171,13.764,15.069,11.959,-8.535,11.618,369.553,167.471,-2.025,15.121,-8.807,7.224,368.778,161.692,-1.29,9.134,3.987,0.435,-3.911,4.666,109.404,10.69,-5.108,4.069,-4.067,3.822,109.872,10.475,-5.11,3.356,17.351,21.474,-5.106,9.526,132.712,31.266,-3.124,17.429,-4.983,6.078,129.965,26.654,-3.324,11.039
20191007-1150-FRANKFURT_2-01-225,Salto A,26.911,28.168,26.077,16.792,253.783,38.905,-21.42,32.764,26.82,11.856,254.227,26.634,-20.328,13.196,7.218,1.758,5.141,8.217,178.212,33.594,-2.962,13.692,4.939,6.927,178.929,29.45,-2.68,8.559,8.342,0.683,13.979,15.468,224.859,47.379,24.265,9.752,13.972,13.837,224.681,38.678,24.038,4.252,9.283,0.777,20.281,4.868,181.753,15.169,12.919,16.43,20.311,4.182,182.018,11.98,13.184,13.309,20.069,22.187,43.098,35.639,252.064,65.462,18.277,35.723,41.989,25.244,246.596,47.058,16.78,23.155
20191008-1207-FRANKFURT_2-01-240,Salto B,26.004,30.516,5.304,11.548,3.24,147.822,0.373,31.623,5.034,6.826,4.562,132.634,1.387,19.56,15.452,7.808,7.563,25.541,244.688,278.098,-2.953,25.803,9.415,21.618,242.779,269.679,-2.987,14.595,22.316,16.185,72.37,31.548,460.332,235.95,-19.028,47.206,71.124,27.816,460.044,224.318,-18.939,21.152,4.512,0.675,12.572,8.447,65.004,31.977,-29.925,11.308,12.146,7.681,65.545,29.111,-29.77,9.746,27.266,36.58,-9.896,35.167,205.243,134.865,1.153,47.024,-10.157,25.377,198.085,118.893,0.604,30.865
20190930-1247-FRANKFURT_2-01-47,Salto C,27.12,28.416,-2.379,35.151,88.017,75.793,18.849,32.02,-2.396,23.327,87.716,67.399,17.458,18.666,12.896,3.07,-18.893,11.599,287.046,151.003,9.106,17.442,-18.544,10.475,287.277,141.26,9.012,10.512,11.851,4.088,5.196,7.57,343.815,79.242,-3.183,13.512,4.649,7.212,343.47,77.82,-2.403,12.933,5.193,0.241,-13.037,4.656,158.815,8.093,1.572,5.463,-12.575,3.348,160.349,8.66,1.658,4.931,15.343,20.463,5.876,23.126,168.589,46.167,0.415,41.519,6.398,16.983,166.168,44.409,0.598,22.903
20191007-1150-FRANKFURT_2-01-86,Salto A,31.595,29.477,32.411,14.875,242.874,37.657,-12.469,27.75,33.191,10.258,241.998,30.891,-11.629,14.722,7.516,2.193,-3.769,16.969,138.051,79.147,-14.371,24.361,-3.548,13.183,139.845,70.225,-15.73,19.696,8.94,0.16,12.35,12.906,231.3,18.568,-18.261,14.157,12.319,10.293,231.028,16.485,-17.298,8.594,9.409,0.7,-19.724,11.082,212.824,19.313,8.071,12.263,-19.177,9.328,212.827,16.704,7.142,10.24,19.453,20.963,18.273,41.713,246.098,44.125,28.163,70.067,16.716,35.639,242.288,25.661,25.503,57.277
20191003-1152-FRANKFURT_1-01-103,Salto A,28.615,29.996,1.054,16.045,171.175,66.687,12.881,30.324,0.728,9.942,171.61,58.917,14.403,18.349,9.288,1.936,-4.914,8.458,182.843,125.2,2.525,7.542,-4.851,5.774,184.036,120.718,3.057,4.442,7.657,1.205,-9.358,9.321,311.504,93.658,1.92,11.787,-9.231,5.782,310.201,89.399,1.571,8.044,7.9,0.994,-5.578,6.553,151.509,13.617,-14.674,12.084,-6.034,4.712,153.409,14.134,-13.403,7.092,22.807,24.607,-30.081,19.994,264.426,57.86,1.109,37.924,-29.137,6.18,262.704,46.105,-0.898,21.709
20190930-1153-FRANKFURT_1-01-241,Schraubensalto,39.779,37.987,40.141,33.258,183.589,51.049,97.91,79.326,41.168,29.799,188.178,46.056,97.983,75.81,4.442,1.114,149.099,29.161,26.974,90.426,254.372,32.53,148.549,26.688,25.462,88.832,254.396,30.719,10.256,1.563,-9.761,98.854,-177.355,53.365,343.369,30.076,-9.638,97.205,-175.319,51.638,342.399,27.338,8.81,1.998,-123.262,53.17,68.158,51.891,257.946,58.689,-122.295,51.741,67.327,51.202,258.326,57.695,20.548,24.401,23.78,23.901,179.384,58.711,69.97,66.042,23.157,21.373,176.815,53.064,70.25,62.181
