Acc_N_Fil,Gyro_x_R,Gyro_y_R,Gyro_z_R,Gyro_x_Fil,Gyro_y_Fil,Gyro_z_Fil,SprungID,Sprungtyp
31.344,3.329,74.108,9.902,2.909,77.607,9.007,0827-BK1-01-4,Salto C
13.902,5.118,392.463,2.103,5.028,389.279,1.856,0827-BK1-01-4,Salto C
2.982,1.342,147.471,-2.915,1.274,147.264,-2.718,0827-BK1-01-4,Salto C
16.621,3.454,99.252,9.486,3.421,98.47,9.018,0827-BK1-01-4,Salto C
31.223,-2.24,96.933,4.845,-2.113,98.945,4.839,0827-BK1-01-7,Salto C
13.386,-4.68,344.856,9.795,-5.128,343.572,9.321,0827-BK1-01-7,Salto C
2.973,0.121,154.896,1.629,0.155,154.354,1.636,0827-BK1-01-7,Salto C
16.057,-2.543,105.635,-0.803,-2.779,104.771,-0.414,0827-BK1-01-7,Salto C
30.217,-4.905,114.446,4.526,-4.362,115.819,3.529,0827-BK1-01-10,Salto C
11.888,-0.55,319.783,-1.311,-1.367,319.118,-1.257,0827-BK1-01-10,Salto C
3.136,-4.016,147.596,2.394,-3.909,147.448,2.314,0827-BK1-01-10,Salto C
17.835,-2.98,121.207,1.722,-2.491,120.395,1.661,0827-BK1-01-10,Salto C
32.265,-0.882,100.079,6.425,-0.802,102.187,5.742,0827-BK1-01-13,Salto C
11.991,3.031,328.11,-0.679,2.765,326.677,-1.093,0827-BK1-01-13,Salto C
3.192,-3.781,155.107,-4.252,-3.773,154.972,-4.401,0827-BK1-01-13,Salto C
17.099,-5.58,98.969,2.026,-5.272,97.519,2.612,0827-BK1-01-13,Salto C
32.176,6.045,84.496,2.716,5.802,87.754,1.424,0827-BK1-01-16,Salto C
13.078,13.214,358.758,9.29,13.308,356.139,8.63,0827-BK1-01-16,Salto C
2.992,12.289,149.203,-1.965,12.44,148.873,-1.858,0827-BK1-01-16,Salto C
15.284,3.334,107.394,-5.963,3.104,106.358,-4.94,0827-BK1-01-16,Salto C
30.639,0.271,87.907,8.134,0.253,90.589,7.199,0827-BK1-01-19,Salto C
13.499,7.096,354.163,23.616,6.963,351.687,23.168,0827-BK1-01-19,Salto C
2.687,17.715,133.961,6.312,17.752,133.965,6.284,0827-BK1-01-19,Salto C
17.042,6.602,125.393,-7.861,6.527,124.293,-6.873,0827-BK1-01-19,Salto C
31.712,2.511,103.495,4.918,2.274,105.884,4.223,0827-BK1-01-22,Salto C
12.397,-5.678,353.463,13.744,-5.555,351.89,13.384,0827-BK1-01-22,Salto C
3.313,6.589,149.981,5.984,6.515,149.757,6.178,0827-BK1-01-22,Salto C
15.864,4.646,87.341,8.711,4.934,86.942,8.791,0827-BK1-01-22,Salto C
29.211,0.362,73.711,12.918,0.101,78.193,12.508,0827-BK1-01-24,Salto C
14.687,-3.983,419.042,7.606,-3.816,414.826,7.802,0827-BK1-01-24,Salto C
2.666,8.22,108.956,5.631,8.179,109.777,5.818,0827-BK1-01-24,Salto C
17.9,5.956,161.486,-2.249,5.964,160.197,-1.695,0827-BK1-01-24,Salto C
31.112,4.176,87.241,-1.213,3.577,91.305,-1.294,0827-BK1-01-26,Salto C
13.977,-3.317,377.467,13.067,-3.085,374.43,13.091,0827-BK1-01-26,Salto C
3.303,12.643,152.9,7.729,12.546,152.622,7.845,0827-BK1-01-26,Salto C
16.337,11.802,99.896,6.059,12.335,98.827,5.896,0827-BK1-01-26,Salto C
21.581,14.479,46.789,2.676,14.377,47.311,2.086,0827-BK1-01-28,Strecksprung
1.699,3.073,-39.327,13.517,2.665,-38.8,13.451,0827-BK1-01-28,Strecksprung
0.757,-2.609,-0.313,4.882,-2.304,-0.599,5.253,0827-BK1-01-28,Strecksprung
15.693,-12.148,16.619,-9.65,-11.764,16.226,-8.963,0827-BK1-01-28,Strecksprung
30.223,2.953,50.235,-1.824,2.351,55.407,-2.773,0827-BK1-01-29,Salto C
16.075,-9.995,427.766,12.411,-9.797,422.514,12.729,0827-BK1-01-29,Salto C
2.743,9.953,124.499,2.684,9.9,124.599,2.693,0827-BK1-01-29,Salto C
15.589,8.87,129.076,-3.586,8.842,127.867,-2.856,0827-BK1-01-29,Salto C
31.4,9.221,94.225,1.341,8.686,97.154,1.28,0827-BK1-01-32,Salto C
12.822,-1.041,354.412,6.265,-1.088,351.996,5.778,0827-BK1-01-32,Salto C
3.221,14.324,146.91,4.363,14.29,146.715,4.498,0827-BK1-01-32,Salto C
16.303,0.817,108.044,0.052,0.823,107.008,0.155,0827-BK1-01-32,Salto C
30.616,-1.202,92.96,2.541,-1.664,96.323,2.191,0827-BK1-01-35,Salto C
13.75,-5.106,371.486,8.174,-5.246,368.621,7.626,0827-BK1-01-35,Salto C
3.604,-5.504,159.84,-0.466,-5.335,159.443,-0.436,0827-BK1-01-35,Salto C
17.414,-2.164,103.349,1.632,-1.64,101.988,2.346,0827-BK1-01-35,Salto C
31.035,10.238,76.964,14.888,9.626,79.999,13.407,0827-BK1-01-38,Salto C
14.694,3.765,374.121,0.617,3.828,371.11,0.312,0827-BK1-01-38,Salto C
2.905,6.265,132.38,2.138,6.269,132.585,2.195,0827-BK1-01-38,Salto C
17.663,1.214,121.414,-0.226,1.438,120.522,-0.262,0827-BK1-01-38,Salto C
32.317,1.932,109.621,2.579,1.752,112.282,2.083,0827-BK1-01-41,Salto C
11.928,0.958,336.599,13.076,0.917,334.953,12.621,0827-BK1-01-41,Salto C
3.381,12.366,153.332,7.221,12.333,152.995,7.126,0827-BK1-01-41,Salto C
15.663,5.513,102.35,-5.395,5.896,101.229,-4.906,0827-BK1-01-41,Salto C
30.569,4.059,89.718,5.328,3.624,92.504,5.022,0827-BK1-01-44,Salto C
