0_Acc_N_Fil,0_Gyro_x_R,0_Gyro_y_R,0_Gyro_z_R,0_Gyro_x_Fil,0_Gyro_y_Fil,0_Gyro_z_Fil,25_Acc_N_Fil,25_Gyro_x_R,25_Gyro_y_R,25_Gyro_z_R,25_Gyro_x_Fil,25_Gyro_y_Fil,25_Gyro_z_Fil,50_Acc_N_Fil,50_Gyro_x_R,50_Gyro_y_R,50_Gyro_z_R,50_Gyro_x_Fil,50_Gyro_y_Fil,50_Gyro_z_Fil,75_Acc_N_Fil,75_Gyro_x_R,75_Gyro_y_R,75_Gyro_z_R,75_Gyro_x_Fil,75_Gyro_y_Fil,75_Gyro_z_Fil,Sprungtyp,SprungID
100.421,7.39,119.712,5.466,7.975,136.097,-1.069,11.757,-6.268,361.415,-7.988,-4.918,350.273,-9.515,5.421,8.939,197.422,-6.911,10.216,197.356,-7.089,3.91,2.81,102.786,-5.308,2.936,102.564,-5.295,Salto C,generated_Mean_Salto C
90.904,-1.087,96.179,-2.985,1.151,103.79,-7.084,1.28,0.636,-3.797,3.861,0.597,-3.395,3.831,0.99,-1.065,-36.565,0.123,-1.171,-36.971,0.392,0.997,-1.326,-25.449,0.68,-1.339,-25.924,0.927,Strecksprung,generated_Mean_Strecksprung
95.158,18.012,98.038,-23.911,20.102,131.143,-17.962,8.84,-3.804,-9.933,-2.042,-4.133,-1.328,-3.277,15.559,25.377,357.93,-22.168,24.218,357.46,-21.256,4.779,3.369,102.816,-7.444,3.387,103.383,-7.491,Salto B,generated_Mean_Salto B
94.009,7.4,126.63,7.937,13.908,119.355,-11.185,8.002,-4.322,118.889,-10.271,-4.052,117.837,-11.11,6.775,6.155,155.673,-11.529,6.089,155.661,-11.41,7.266,-1.003,110.493,-8.129,-1.029,111.015,-8.88,Salto A,generated_Mean_Salto A
94.427,9.098,-11.649,-8.069,11.932,-4.968,5.072,7.425,-46.809,-95.597,100.951,-48.627,-97.965,100.638,10.214,-123.116,30.391,242.541,-123.009,29.031,239.996,8.524,-13.597,159.572,45.314,-14.158,159.481,45.941,Barani A,generated_Mean_Barani A
87.366,26.347,172.739,-15.244,29.013,214.778,-13.999,28.214,-2.708,354.922,-6.903,-3.433,363.109,-9.167,52.164,30.249,816.481,-5.164,30.925,811.7,-6.005,9.956,19.354,197.403,-28.092,19.881,199.886,-27.604,Doppelsalto C,generated_Mean_Doppelsalto C
88.88,14.527,65.458,33.975,11.203,67.118,10.145,3.787,-1.642,52.375,-11.185,-1.428,52.345,-9.375,3.946,11.216,146.458,-3.593,9.954,146.85,-4.547,5.135,-0.445,132.395,-11.805,-0.972,131.565,-11.327,3/4 Salto rw A,generated_Mean_3/4 Salto rw A
116.119,4.52,-10.995,-31.584,6.013,-21.242,-24.749,27.515,-7.956,421.631,0.155,-3.983,412.33,-3.132,10.339,-22.411,154.276,12.887,-18.716,158.956,-3.958,6.874,-3.887,98.564,-2.218,-4.665,99.656,-1.928,Cody C,generated_Mean_Cody C
98.546,7.425,145.631,0.678,11.463,180.398,15.664,3.85,88.9,95.689,102.005,88.815,95.289,99.692,11.172,39.258,-186.815,167.769,39.702,-185.394,168.874,8.211,-32.505,173.876,99.875,-33.103,169.178,100.719,Schraubensalto,generated_Mean_Schraubensalto
97.529,13.012,-45.396,23.33,15.775,9.353,14.297,15.148,8.817,-124.781,566.2,13.59,-124.06,550.904,17.43,219.316,-141.455,608.846,218.877,-138.018,607.323,9.457,7.441,220.644,106.468,5.747,221.572,111.594,Rudi,generated_Mean_Rudi
