0_Acc_N_Fil,0_Gyro_x_R,0_Gyro_y_R,0_Gyro_z_R,0_Gyro_x_Fil,0_Gyro_y_Fil,0_Gyro_z_Fil,25_Acc_N_Fil,25_Gyro_x_R,25_Gyro_y_R,25_Gyro_z_R,25_Gyro_x_Fil,25_Gyro_y_Fil,25_Gyro_z_Fil,50_Acc_N_Fil,50_Gyro_x_R,50_Gyro_y_R,50_Gyro_z_R,50_Gyro_x_Fil,50_Gyro_y_Fil,50_Gyro_z_Fil,75_Acc_N_Fil,75_Gyro_x_R,75_Gyro_y_R,75_Gyro_z_R,75_Gyro_x_Fil,75_Gyro_y_Fil,75_Gyro_z_Fil,Sprungtyp,SprungID
27.918,-0.017,87.719,-2.599,0.173,90.33,-2.578,14.167,10.081,386.776,-4.111,9.954,383.245,-4.187,4.084,6.123,133.804,-3.895,6.175,134.331,-3.979,17.484,3.874,133.386,-3.306,3.603,131.936,-3.122,Salto C,generated_Mean_Salto C
23.733,-0.791,46.069,2.153,-0.748,46.391,1.977,1.041,0.452,-28.883,1.122,0.459,-28.715,1.166,0.983,-1.707,-32.109,1.823,-1.695,-32.088,1.782,17.873,-0.361,19.093,-0.586,-0.36,18.856,-0.568,Strecksprung,generated_Mean_Strecksprung
28.251,1.247,21.735,-5.217,1.827,24.41,-5.714,17.91,14.495,394.042,-10.548,14.247,390.432,-10.576,6.344,7.521,168.536,-12.744,7.656,169.841,-12.634,19.275,5.622,144.188,-8.464,5.279,142.881,-7.952,Salto B,generated_Mean_Salto B
25.518,4.026,122.934,-10.472,4.262,123.001,-11.32,7.562,4.814,157.491,-11.053,4.775,156.906,-11.051,6.883,1.844,127.693,-9.886,1.856,127.88,-9.921,20.61,1.5,136.874,-15.063,1.235,136.713,-13.598,Salto A,generated_Mean_Salto A
28.452,-24.415,-146.04,66.961,-24.266,-145.593,66.564,9.369,-109.928,-84.073,172.399,-109.458,-83.112,172.085,8.937,-61.585,109.477,148.068,-61.696,109.063,147.903,20.966,-0.584,224.739,5.549,-0.797,224.351,6.595,Barani A,generated_Mean_Barani A
30.705,9.123,165.511,-15.041,9.313,169.685,-15.863,47.204,5.601,719.969,-12.201,5.947,715.524,-11.719,28.833,47.597,523.79,-18.015,47.171,523.146,-17.995,20.249,9.381,218.726,-19.869,9.452,217.283,-19.057,Doppelsalto C,generated_Mean_Doppelsalto C
25.394,3.525,83.946,4.266,3.664,84.087,4.401,4.047,5.893,110.32,-6.251,5.88,110.267,-6.237,4.286,3.192,135.788,-8.862,3.177,135.777,-8.908,19.814,8.503,133.898,-16.684,8.396,131.958,-16.058,3/4 Salto rw A,generated_Mean_3/4 Salto rw A
37.453,-11.626,11.925,16.322,-11.655,15.489,15.631,23.892,-1.739,346.88,-14.327,-1.646,345.179,-13.831,6.587,-9.473,125.897,-2.466,-9.416,126.17,-2.941,18.232,-3.489,145.054,-6.098,-3.948,145.144,-5.397,Cody C,generated_Mean_Cody C
24.734,30.484,178.376,53.71,31.362,178.173,53.96,6.621,97.983,-57.727,127.484,97.316,-57.252,127.551,10.775,-14.207,-15.279,183.654,-13.81,-15.088,183.014,18.711,-10.468,209.001,40.639,-10.702,207.353,40.911,Schraubensalto,generated_Mean_Schraubensalto
30.289,-18.614,-217.998,203.765,-17.63,-216.374,205.302,17.265,187.8,-56.926,622.896,186.021,-57.375,621.329,13.246,65.566,73.029,402.389,66.332,73.191,401.663,22.129,24.548,269.4,42.887,24.019,269.614,43.731,Rudi,generated_Mean_Rudi
