SprungID,Sprungtyp,0_Acc_N_Fil,0_Gyro_x_R,0_Gyro_y_R,0_Gyro_z_R,0_Gyro_x_Fil,0_Gyro_y_Fil,0_Gyro_z_Fil,25_Acc_N_Fil,25_Gyro_x_R,25_Gyro_y_R,25_Gyro_z_R,25_Gyro_x_Fil,25_Gyro_y_Fil,25_Gyro_z_Fil,50_Acc_N_Fil,50_Gyro_x_R,50_Gyro_y_R,50_Gyro_z_R,50_Gyro_x_Fil,50_Gyro_y_Fil,50_Gyro_z_Fil,75_Acc_N_Fil,75_Gyro_x_R,75_Gyro_y_R,75_Gyro_z_R,75_Gyro_x_Fil,75_Gyro_y_Fil,75_Gyro_z_Fil
20190930-1247-FRANKFURT_2-01-61,Strecksprung,24.795,-2.424,76.425,34.708,-2.111,76.417,34.143,1.085,-2.337,-19.077,-24.327,-2.429,-18.728,-23.907,0.925,2.351,-44.046,-1.254,2.371,-44.263,-1.807,15.12,2.909,-3.745,-0.54,2.503,-3.502,-0.861
0110-MORITZ-01-135,Strecksprung,23.075,9.125,29.935,9.786,8.456,30.634,10.051,0.885,1.29,-21.731,10.987,1.332,-21.673,11.1,0.732,-3.64,-31.448,4.072,-3.608,-31.513,3.874,17.755,-12.801,19.587,-4.436,-12.491,18.958,-4.165
20190930-1247-FRANKFURT_2-01-196,Schraubensalto,25.184,49.215,175.742,122.959,51.149,175.631,122.87,6.161,187.132,-40.35,280.959,185.332,-40.223,280.994,10.33,-4.546,37.822,345.369,-3.323,38.328,344.478,19.795,-12.35,269.849,45.192,-12.873,268.131,44.599
20191007-1159-FRANKFURT_1-01-371,Salto C,25.894,-3.968,35.816,10.632,-4.791,43.001,9.816,13.537,-14.75,518.522,6.641,-13.843,510.073,6.042,3.987,7.38,94.204,-15.677,6.714,93.482,-15.063,22.751,-32.126,168.217,-11.381,-31.575,166.945,-11.516
20191001-1202-FRANKFURT_2-01-183,Salto A,27.987,-2.352,-203.253,13.573,-2.43,-200.731,8.766,8.127,3.113,-238.473,-12.069,2.05,-235.899,-11.149,8.787,-15.322,-165.948,0.428,-14.674,-166.904,0.328,21.995,-17.373,-276.443,-35.18,-18.479,-272.557,-24.828
0827-BK1-01-62,Salto B,28.906,2.991,32.553,4.608,2.275,35.441,5.002,17.47,-8.183,397.272,15.6,-8.333,394.282,14.891,4.161,1.253,168.318,-2.909,1.252,168.139,-2.896,16.891,-1.422,121.354,5.64,-1.187,120.554,5.831
0115-MORITZ-03-25,Salto C,23.51,9.636,72.867,6.944,8.746,73.879,6.86,7.838,-14.794,263.856,-9.608,-14.69,262.687,-9.601,5.397,-21.797,206.366,2.309,-21.573,206.268,2.164,19.68,-9.612,117.92,2.583,-8.843,118.178,2.613
20191007-1150-FRANKFURT_2-01-141,Salto A,25.524,16.686,188.869,-12.013,15.818,187.453,-12.651,8.457,6.508,245.886,-2.858,6.744,244.191,-2.603,8.565,6.398,179.328,-6.541,6.258,180.401,-6.468,21.851,16.771,206.111,0.242,16.161,203.159,0.337
20191008-1157-FRANKFURT_1-01-89,Salto A,20.307,-3.463,217.186,-4.0,-4.808,215.611,-3.91,6.601,-4.499,168.756,3.684,-4.758,168.222,3.47,7.052,-1.982,165.559,-16.245,-2.05,166.28,-16.411,27.255,-28.583,266.597,-13.593,-28.665,266.721,-12.747
20190930-1153-FRANKFURT_1-01-144,Schraubensalto,22.626,53.431,165.894,123.459,54.522,165.255,123.829,5.698,135.138,-43.71,287.756,133.792,-43.774,287.8,11.104,-113.21,-62.546,341.215,-112.052,-61.798,340.322,16.958,29.157,167.611,117.46,28.592,164.687,119.467
