SprungID,Sprungtyp,mean_Acc_N_Fil,std_Acc_N_Fil,mean_Gyro_x_R,std_Gyro_x_R,mean_Gyro_y_R,std_Gyro_y_R,mean_Gyro_z_R,std_Gyro_z_R,mean_Gyro_x_Fil,std_Gyro_x_Fil,mean_Gyro_y_Fil,std_Gyro_y_Fil,mean_Gyro_z_Fil,std_Gyro_z_Fil
generated_Mean_Salto C,Salto C,84.816,15.036,4.953,11.825,166.439,38.792,-0.582,20.329,5.476,6.966,164.718,24.17,-1.428,9.08
generated_Mean_Salto C,Salto C,26.301,15.154,1.759,12.782,151.94,56.178,0.435,22.412,2.232,7.831,142.799,45.495,0.458,11.31
generated_Mean_Salto C,Salto C,7.793,2.256,4.693,15.028,-11.26,48.808,-0.876,29.999,3.614,7.894,-5.154,34.142,-0.267,12.543
generated_Mean_Salto C,Salto C,10.239,1.401,-6.186,11.959,-43.691,46.66,1.976,22.094,-5.079,7.095,-30.792,36.527,0.454,10.467
generated_Mean_Salto C,Salto C,10.465,1.611,-5.3,10.767,175.145,114.972,-13.971,19.737,-5.371,6.644,180.057,101.356,-12.13,10.348
generated_Mean_Salto C,Salto C,14.477,2.012,-0.116,11.866,458.441,60.441,-6.451,17.718,0.112,7.47,445.067,54.819,-6.86,9.39
generated_Mean_Salto C,Salto C,19.165,2.212,8.619,11.357,489.646,32.577,-2.277,15.877,8.223,6.951,486.153,27.308,-2.443,8.313
generated_Mean_Salto C,Salto C,18.083,2.724,10.858,11.763,436.674,39.541,1.339,16.922,11.06,6.631,432.807,34.471,0.828,7.881
generated_Mean_Salto C,Salto C,11.929,2.679,16.093,12.693,320.921,48.536,-3.011,18.35,15.837,7.077,321.94,38.452,-3.329,8.667
generated_Mean_Salto C,Salto C,7.18,1.543,14.894,11.771,228.428,34.5,-10.146,18.024,14.49,6.644,230.48,25.083,-9.123,8.117
generated_Mean_Salto C,Salto C,4.57,0.773,8.226,6.836,173.875,18.108,-5.333,9.59,8.465,4.041,175.115,14.713,-5.485,4.766
generated_Mean_Salto C,Salto C,3.987,0.402,6.073,4.366,143.374,10.024,-2.884,5.76,6.222,2.774,144.26,8.14,-3.087,3.223
generated_Mean_Salto C,Salto C,3.995,0.273,6.319,3.65,128.081,6.833,-2.65,4.429,6.265,2.39,128.289,5.326,-2.757,2.669
generated_Mean_Salto C,Salto C,3.962,0.241,5.616,3.221,116.624,5.87,-3.745,4.274,5.631,2.007,116.794,4.725,-3.75,2.626
generated_Mean_Salto C,Salto C,3.902,0.234,4.352,3.413,106.994,7.202,-4.872,4.748,4.263,2.244,107.124,6.004,-4.807,3.11
generated_Mean_Salto C,Salto C,3.987,0.278,1.785,4.008,97.898,9.031,-5.699,5.651,1.699,2.779,98.021,7.499,-5.659,3.568
generated_Mean_Salto C,Salto C,4.573,0.416,-2.495,4.936,91.387,10.031,-4.562,7.374,-2.429,3.434,91.958,7.881,-4.049,4.736
generated_Mean_Salto C,Salto C,5.43,0.769,-3.843,7.031,100.343,15.868,6.168,13.106,-3.255,4.552,103.331,12.721,5.032,8.162
generated_Mean_Salto C,Salto C,10.91,6.889,6.553,13.23,175.985,49.041,-2.614,24.098,6.659,7.952,175.101,36.27,-2.463,12.486
generated_Mean_Salto C,Salto C,62.524,22.098,17.353,22.541,201.387,75.487,-9.846,38.087,15.322,9.955,191.334,47.589,-8.484,12.729
generated_Mean_Strecksprung,Strecksprung,80.895,11.324,0.019,11.526,93.884,19.982,-5.231,20.542,0.263,6.716,95.279,12.106,-5.762,10.435
generated_Mean_Strecksprung,Strecksprung,30.323,14.668,-1.642,9.395,76.747,19.576,-0.142,15.212,-1.58,6.226,75.095,13.983,0.037,9.31
generated_Mean_Strecksprung,Strecksprung,3.983,2.26,-1.6,11.72,36.668,32.688,6.383,21.311,-1.644,6.987,38.564,18.37,6.0,11.275
generated_Mean_Strecksprung,Strecksprung,2.033,0.616,-1.155,9.983,19.758,24.229,5.804,18.437,-1.069,6.078,19.665,14.302,5.598,10.039
generated_Mean_Strecksprung,Strecksprung,1.441,0.369,0.449,7.212,3.248,12.81,3.932,14.245,0.31,4.399,3.317,8.175,3.996,8.365
generated_Mean_Strecksprung,Strecksprung,1.197,0.261,0.264,5.913,-10.288,9.849,3.097,9.227,0.382,3.729,-10.307,6.814,3.022,5.438
generated_Mean_Strecksprung,Strecksprung,1.048,0.191,1.141,4.048,-24.368,7.798,1.19,8.577,1.131,2.704,-24.039,5.614,1.388,5.56
generated_Mean_Strecksprung,Strecksprung,0.989,0.185,1.943,3.698,-33.465,7.031,1.914,7.765,1.771,2.578,-33.303,5.023,1.782,5.272
generated_Mean_Strecksprung,Strecksprung,0.974,0.175,0.093,3.823,-38.302,6.713,0.034,7.14,0.12,2.597,-37.966,4.546,0.051,4.833
generated_Mean_Strecksprung,Strecksprung,0.997,0.164,-1.18,3.502,-37.969,5.979,-0.623,6.357,-1.106,2.347,-37.939,4.093,-0.412,4.339
generated_Mean_Strecksprung,Strecksprung,0.973,0.153,-1.398,3.909,-36.731,5.42,1.81,6.167,-1.45,2.769,-36.729,3.711,1.725,4.257
generated_Mean_Strecksprung,Strecksprung,0.982,0.138,-2.094,3.143,-34.959,5.071,3.157,5.867,-1.993,2.172,-34.866,3.325,3.043,3.964
generated_Mean_Strecksprung,Strecksprung,0.993,0.148,-1.598,3.254,-31.758,5.226,2.24,5.816,-1.638,2.232,-31.788,3.472,2.228,3.906
generated_Mean_Strecksprung,Strecksprung,0.997,0.14,-1.747,3.273,-29.582,5.01,0.847,5.407,-1.736,2.264,-29.586,3.403,0.941,3.617
generated_Mean_Strecksprung,Strecksprung,0.969,0.144,-1.698,3.004,-27.517,5.255,1.046,5.435,-1.658,2.05,-27.47,3.521,0.961,3.507
generated_Mean_Strecksprung,Strecksprung,1.052,0.15,-1.092,2.929,-24.8,6.142,1.129,5.68,-1.158,2.051,-24.773,4.283,1.249,3.657
generated_Mean_Strecksprung,Strecksprung,1.338,0.262,-1.452,3.778,-21.539,7.243,3.045,6.557,-1.393,2.683,-21.123,5.3,3.151,4.185
generated_Mean_Strecksprung,Strecksprung,2.921,1.332,-0.727,6.385,-11.379,16.264,5.004,11.557,-0.653,4.316,-9.165,11.75,4.051,6.311
generated_Mean_Strecksprung,Strecksprung,17.128,8.609,0.914,12.061,52.799,52.344,-7.294,23.764,0.605,6.697,51.912,36.242,-5.844,10.931
generated_Mean_Strecksprung,Strecksprung,66.931,17.776,0.551,14.588,100.337,33.874,-4.79,26.966,0.795,7.099,97.386,16.269,-5.43,10.376
generated_Mean_Salto B,Salto B,84.203,12.85,9.09,16.372,148.905,51.622,-10.235,38.063,10.981,9.339,152.378,27.515,-11.393,13.284
generated_Mean_Salto B,Salto B,30.349,15.323,2.444,14.34,157.842,55.903,-5.238,27.938,3.205,8.463,148.778,39.47,-5.983,13.137
generated_Mean_Salto B,Salto B,6.055,2.498,5.599,16.813,21.929,52.597,-8.879,33.203,4.606,8.437,20.169,42.145,-8.078,13.713
generated_Mean_Salto B,Salto B,10.223,2.399,-3.796,14.103,-120.966,53.956,-1.186,27.367,-3.208,7.502,-111.409,38.166,-2.081,12.32
generated_Mean_Salto B,Salto B,10.429,2.497,-7.137,11.643,-99.011,59.291,-0.562,26.476,-6.473,6.46,-87.824,47.802,-1.064,11.588
generated_Mean_Salto B,Salto B,9.538,2.605,-0.717,12.656,128.205,95.559,-7.78,24.833,-1.039,7.744,131.535,86.02,-7.775,13.629
generated_Mean_Salto B,Salto B,14.703,2.3,3.556,12.288,398.492,70.797,-13.634,21.863,4.008,7.774,389.863,64.449,-12.922,11.543
generated_Mean_Salto B,Salto B,21.947,2.178,15.517,12.946,510.619,34.461,-6.557,18.277,15.519,8.941,504.803,29.415,-7.154,9.78
generated_Mean_Salto B,Salto B,23.924,2.703,26.159,11.573,510.72,32.48,-9.83,15.704,25.687,7.606,506.094,26.134,-9.606,8.471
generated_Mean_Salto B,Salto B,19.428,2.757,27.964,11.192,422.879,45.961,-15.066,16.472,27.066,7.259,420.501,37.809,-15.521,8.991
generated_Mean_Salto B,Salto B,11.906,2.467,17.03,11.457,294.872,46.494,-24.394,15.997,17.22,7.253,295.934,38.412,-23.712,8.33
generated_Mean_Salto B,Salto B,6.134,1.274,7.414,8.222,192.788,27.816,-18.007,12.91,7.8,5.574,194.966,24.703,-17.48,7.194
generated_Mean_Salto B,Salto B,4.518,0.606,4.729,4.954,137.232,16.445,-6.857,7.509,4.848,3.394,139.124,14.499,-7.578,4.627
