Acc_N_Fil,Gyro_x_R,Gyro_y_R,Gyro_z_R,Gyro_x_Fil,Gyro_y_Fil,Gyro_z_Fil,SprungID,Sprungtyp
75.564,-18.986,28.558,-17.159,-19.168,27.905,-18.945,20190930-1153-FRANKFURT_1-01-249,Strecksprung
48.509,-38.5,16.952,-69.971,-34.242,18.443,-64.018,20190930-1153-FRANKFURT_1-01-249,Strecksprung
11.365,-1.014,29.558,-25.484,-3.142,29.209,-24.71,20190930-1153-FRANKFURT_1-01-249,Strecksprung
1.407,12.026,29.402,16.608,10.987,24.811,13.104,20190930-1153-FRANKFURT_1-01-249,Strecksprung
1.587,8.233,-25.86,13.249,8.253,-19.308,14.373,20190930-1153-FRANKFURT_1-01-249,Strecksprung
0.957,2.02,-4.405,20.594,2.653,-5.557,20.022,20190930-1153-FRANKFURT_1-01-249,Strecksprung
0.718,3.999,4.351,20.377,4.082,2.209,20.671,20190930-1153-FRANKFURT_1-01-249,Strecksprung
1.373,8.076,-13.329,21.875,7.372,-12.108,21.698,20190930-1153-FRANKFURT_1-01-249,Strecksprung
1.223,4.054,-15.809,19.597,3.973,-14.705,19.397,20190930-1153-FRANKFURT_1-01-249,Strecksprung
0.63,-1.46,-1.59,15.459,-0.59,-1.881,15.229,20190930-1153-FRANKFURT_1-01-249,Strecksprung
0.697,3.919,8.701,10.391,3.036,8.447,9.958,20190930-1153-FRANKFURT_1-01-249,Strecksprung
0.768,-2.142,13.842,-2.336,-1.9,13.134,-3.314,20190930-1153-FRANKFURT_1-01-249,Strecksprung
0.843,-7.084,7.906,-23.171,-6.927,7.893,-20.237,20190930-1153-FRANKFURT_1-01-249,Strecksprung
0.491,-6.546,5.225,-3.727,-6.5,6.103,-3.958,20190930-1153-FRANKFURT_1-01-249,Strecksprung
0.846,-6.324,13.381,13.867,-6.89,12.093,11.002,20190930-1153-FRANKFURT_1-01-249,Strecksprung
1.589,-11.135,4.251,-9.423,-9.886,3.97,-8.304,20190930-1153-FRANKFURT_1-01-249,Strecksprung
1.656,-1.454,-10.382,-21.582,-1.948,-10.183,-20.316,20190930-1153-FRANKFURT_1-01-249,Strecksprung
4.875,1.678,-23.26,-23.245,2.106,-32.979,-22.187,20190930-1153-FRANKFURT_1-01-249,Strecksprung
32.453,0.843,-77.933,-21.115,-0.121,-60.02,-20.29,20190930-1153-FRANKFURT_1-01-249,Strecksprung
64.865,-5.914,26.433,-13.966,-4.845,16.443,-15.623,20190930-1153-FRANKFURT_1-01-249,Strecksprung
87.264,-7.518,125.363,-62.482,-6.015,124.046,-59.214,0115-CHARI-05-57,Strecksprung
27.897,15.074,116.575,-30.733,9.896,114.003,-32.581,0115-CHARI-05-57,Strecksprung
2.713,-42.897,60.622,-13.89,-37.76,64.066,-17.961,0115-CHARI-05-57,Strecksprung
2.955,-31.497,13.711,-62.456,-31.854,14.928,-55.56,0115-CHARI-05-57,Strecksprung
2.047,-16.437,-4.998,-25.013,-15.761,-6.404,-26.483,0115-CHARI-05-57,Strecksprung
0.874,13.177,-15.388,5.502,11.798,-13.884,3.482,0115-CHARI-05-57,Strecksprung
0.764,13.0,-6.625,-2.903,12.154,-8.702,-1.762,0115-CHARI-05-57,Strecksprung
1.08,2.575,-30.647,3.349,3.537,-30.615,2.409,0115-CHARI-05-57,Strecksprung
0.919,4.898,-58.915,-6.232,4.599,-56.706,-4.356,0115-CHARI-05-57,Strecksprung
1.01,4.415,-45.98,12.557,4.602,-47.788,10.037,0115-CHARI-05-57,Strecksprung
1.221,5.621,-59.99,-0.349,5.073,-59.208,1.024,0115-CHARI-05-57,Strecksprung
1.207,-1.427,-69.505,1.883,-1.438,-69.504,-0.113,0115-CHARI-05-57,Strecksprung
0.974,-9.793,-74.279,-27.615,-8.712,-73.347,-25.789,0115-CHARI-05-57,Strecksprung
0.782,0.902,-65.175,-22.19,-0.201,-65.137,-22.024,0115-CHARI-05-57,Strecksprung
0.705,-2.539,-53.626,-9.522,-2.189,-54.167,-10.369,0115-CHARI-05-57,Strecksprung
0.619,-1.435,-47.495,-13.358,-1.203,-47.774,-12.309,0115-CHARI-05-57,Strecksprung
0.926,2.96,-43.664,0.785,2.357,-43.187,1.325,0115-CHARI-05-57,Strecksprung
0.647,-2.877,-30.495,13.353,-1.189,-29.826,10.799,0115-CHARI-05-57,Strecksprung
16.398,5.882,10.341,-8.216,4.034,16.44,-9.413,0115-CHARI-05-57,Strecksprung
73.002,-10.095,128.892,-25.822,-8.337,119.446,-23.322,0115-CHARI-05-57,Strecksprung
78.931,7.327,249.53,29.38,8.92,249.406,35.678,20190930-1153-FRANKFURT_1-01-166,Schraubensalto
23.732,25.783,284.441,125.589,28.737,270.869,120.005,20190930-1153-FRANKFURT_1-01-166,Schraubensalto
3.623,71.682,130.969,141.209,68.277,136.171,140.148,20190930-1153-FRANKFURT_1-01-166,Schraubensalto
4.793,55.437,82.503,171.396,58.17,86.886,171.592,20190930-1153-FRANKFURT_1-01-166,Schraubensalto
4.093,96.61,87.37,180.058,97.298,86.458,180.554,20190930-1153-FRANKFURT_1-01-166,Schraubensalto
3.111,157.323,61.506,187.342,156.372,60.449,188.039,20190930-1153-FRANKFURT_1-01-166,Schraubensalto
3.223,199.547,16.031,218.399,197.201,17.623,218.768,20190930-1153-FRANKFURT_1-01-166,Schraubensalto
3.91,195.09,-19.369,246.929,194.133,-23.591,247.605,20190930-1153-FRANKFURT_1-01-166,Schraubensalto
5.524,157.704,-114.78,291.139,156.214,-114.467,290.407,20190930-1153-FRANKFURT_1-01-166,Schraubensalto
8.41,92.013,-204.523,321.529,90.391,-201.373,320.024,20190930-1153-FRANKFURT_1-01-166,Schraubensalto
11.461,-2.751,-237.952,321.925,-1.74,-235.18,321.764,20190930-1153-FRANKFURT_1-01-166,Schraubensalto
12.197,-82.874,-212.285,318.243,-82.127,-209.236,319.319,20190930-1153-FRANKFURT_1-01-166,Schraubensalto
11.997,-141.777,-128.325,352.875,-138.362,-127.762,352.243,20190930-1153-FRANKFURT_1-01-166,Schraubensalto
12.12,-137.388,-44.263,380.39,-135.871,-43.099,376.613,20190930-1153-FRANKFURT_1-01-166,Schraubensalto
11.53,-102.152,60.86,336.237,-102.979,58.796,336.248,20190930-1153-FRANKFURT_1-01-166,Schraubensalto
9.307,-72.971,140.669,273.083,-70.859,136.629,274.108,20190930-1153-FRANKFURT_1-01-166,Schraubensalto
7.932,-11.929,141.092,233.679,-10.759,143.591,235.868,20190930-1153-FRANKFURT_1-01-166,Schraubensalto
