0_Acc_N_Fil,0_Gyro_x_R,0_Gyro_y_R,0_Gyro_z_R,0_Gyro_x_Fil,0_Gyro_y_Fil,0_Gyro_z_Fil,5_Acc_N_Fil,5_Gyro_x_R,5_Gyro_y_R,5_Gyro_z_R,5_Gyro_x_Fil,5_Gyro_y_Fil,5_Gyro_z_Fil,10_Acc_N_Fil,10_Gyro_x_R,10_Gyro_y_R,10_Gyro_z_R,10_Gyro_x_Fil,10_Gyro_y_Fil,10_Gyro_z_Fil,15_Acc_N_Fil,15_Gyro_x_R,15_Gyro_y_R,15_Gyro_z_R,15_Gyro_x_Fil,15_Gyro_y_Fil,15_Gyro_z_Fil,20_Acc_N_Fil,20_Gyro_x_R,20_Gyro_y_R,20_Gyro_z_R,20_Gyro_x_Fil,20_Gyro_y_Fil,20_Gyro_z_Fil,25_Acc_N_Fil,25_Gyro_x_R,25_Gyro_y_R,25_Gyro_z_R,25_Gyro_x_Fil,25_Gyro_y_Fil,25_Gyro_z_Fil,30_Acc_N_Fil,30_Gyro_x_R,30_Gyro_y_R,30_Gyro_z_R,30_Gyro_x_Fil,30_Gyro_y_Fil,30_Gyro_z_Fil,35_Acc_N_Fil,35_Gyro_x_R,35_Gyro_y_R,35_Gyro_z_R,35_Gyro_x_Fil,35_Gyro_y_Fil,35_Gyro_z_Fil,40_Acc_N_Fil,40_Gyro_x_R,40_Gyro_y_R,40_Gyro_z_R,40_Gyro_x_Fil,40_Gyro_y_Fil,40_Gyro_z_Fil,45_Acc_N_Fil,45_Gyro_x_R,45_Gyro_y_R,45_Gyro_z_R,45_Gyro_x_Fil,45_Gyro_y_Fil,45_Gyro_z_Fil,50_Acc_N_Fil,50_Gyro_x_R,50_Gyro_y_R,50_Gyro_z_R,50_Gyro_x_Fil,50_Gyro_y_Fil,50_Gyro_z_Fil,55_Acc_N_Fil,55_Gyro_x_R,55_Gyro_y_R,55_Gyro_z_R,55_Gyro_x_Fil,55_Gyro_y_Fil,55_Gyro_z_Fil,60_Acc_N_Fil,60_Gyro_x_R,60_Gyro_y_R,60_Gyro_z_R,60_Gyro_x_Fil,60_Gyro_y_Fil,60_Gyro_z_Fil,65_Acc_N_Fil,65_Gyro_x_R,65_Gyro_y_R,65_Gyro_z_R,65_Gyro_x_Fil,65_Gyro_y_Fil,65_Gyro_z_Fil,70_Acc_N_Fil,70_Gyro_x_R,70_Gyro_y_R,70_Gyro_z_R,70_Gyro_x_Fil,70_Gyro_y_Fil,70_Gyro_z_Fil,75_Acc_N_Fil,75_Gyro_x_R,75_Gyro_y_R,75_Gyro_z_R,75_Gyro_x_Fil,75_Gyro_y_Fil,75_Gyro_z_Fil,80_Acc_N_Fil,80_Gyro_x_R,80_Gyro_y_R,80_Gyro_z_R,80_Gyro_x_Fil,80_Gyro_y_Fil,80_Gyro_z_Fil,85_Acc_N_Fil,85_Gyro_x_R,85_Gyro_y_R,85_Gyro_z_R,85_Gyro_x_Fil,85_Gyro_y_Fil,85_Gyro_z_Fil,90_Acc_N_Fil,90_Gyro_x_R,90_Gyro_y_R,90_Gyro_z_R,90_Gyro_x_Fil,90_Gyro_y_Fil,90_Gyro_z_Fil,95_Acc_N_Fil,95_Gyro_x_R,95_Gyro_y_R,95_Gyro_z_R,95_Gyro_x_Fil,95_Gyro_y_Fil,95_Gyro_z_Fil,Sprungtyp,SprungID
100.421,7.39,119.712,5.466,7.975,136.097,-1.069,54.868,4.572,206.625,-5.637,4.097,191.096,-4.12,6.174,0.098,56.407,9.735,1.393,59.411,5.803,9.146,2.593,-41.925,2.704,1.456,-41.011,0.82,10.108,-6.346,14.338,-7.89,-6.493,30.482,-6.968,11.757,-6.283,361.768,-7.965,-4.926,350.606,-9.506,16.957,6.36,500.632,-5.654,5.698,493.181,-5.322,20.554,9.821,473.596,-1.027,9.589,469.693,-0.493,15.36,14.403,385.369,0.004,13.712,381.848,-0.281,9.275,18.67,271.036,-7.933,17.728,269.31,-8.176,5.415,8.906,197.386,-6.928,10.169,197.217,-7.074,4.047,6.132,154.543,-2.984,6.643,155.986,-3.89,3.961,6.334,134.155,-2.109,6.21,134.676,-2.469,4.006,6.105,121.87,-3.036,6.194,122.039,-3.216,3.915,5.297,111.837,-3.91,5.133,111.809,-4.168,3.911,2.798,102.786,-5.294,2.933,102.548,-5.3,4.178,0.57,93.276,-6.882,0.144,93.759,-6.146,5.14,-5.379,90.098,0.333,-4.812,91.661,0.508,5.144,1.653,126.309,5.42,1.122,128.35,4.557,27.676,18.017,254.665,-14.936,14.231,230.047,-9.987,Salto C,generated_Mean_Salto C
90.904,-1.087,96.179,-2.985,1.151,103.79,-7.084,57.105,-0.156,92.024,-4.532,-0.204,89.656,-4.238,8.864,-3.591,58.069,8.769,-2.77,55.9,6.045,2.322,-1.253,33.261,3.84,-1.171,30.362,5.463,1.657,-1.197,8.122,4.803,-0.724,9.09,4.717,1.279,0.625,-3.792,3.83,0.6,-3.416,3.814,1.136,0.439,-17.383,1.231,0.565,-17.466,1.658,0.984,1.962,-30.02,1.66,1.786,-29.794,1.73,0.963,1.202,-36.773,1.453,1.138,-36.461,1.152,1.001,-0.627,-38.806,-0.606,-0.711,-38.569,-0.577,0.99,-1.049,-36.573,0.122,-1.168,-36.97,0.395,0.975,-2.016,-36.643,2.725,-1.899,-36.299,2.699,0.978,-1.648,-33.289,3.164,-1.74,-33.194,2.989,1.005,-1.468,-30.204,1.931,-1.584,-30.425,1.63,0.969,-1.815,-28.812,0.213,-1.822,-28.689,0.577,0.997,-1.324,-25.452,0.677,-1.339,-25.926,0.93,1.127,-1.135,-23.446,2.023,-1.166,-23.337,1.953,1.715,-1.942,-18.916,5.181,-1.618,-17.831,4.813,6.002,1.599,-0.61,-0.705,0.917,6.014,-0.282,36.204,-2.229,110.534,-7.373,-0.699,100.293,-6.975,Strecksprung,generated_Mean_Strecksprung
95.158,18.012,98.038,-23.911,20.102,131.143,-17.962,58.649,5.85,195.61,-8.496,5.464,182.306,-9.437,8.365,4.483,75.912,-1.054,3.756,81.922,-3.147,7.078,4.642,-51.294,-11.663,2.56,-52.897,-8.404,12.289,-5.0,-154.344,0.815,-5.898,-138.191,0.363,8.844,-3.824,-9.707,-2.148,-4.114,-1.111,-3.315,11.473,2.101,284.547,-15.463,1.628,280.189,-13.029,18.765,8.082,476.936,-8.422,8.296,471.245,-9.69,24.211,24.364,529.636,-4.499,23.089,522.609,-6.222,22.424,27.017,480.13,-12.366,27.008,475.09,-12.174,15.528,25.39,357.101,-22.097,24.2,357.008,-21.23,8.13,11.188,235.319,-26.023,11.182,236.078,-23.587,4.93,5.23,158.553,-11.084,5.501,160.096,-11.231,4.324,4.639,122.293,-5.686,4.535,123.009,-5.935,4.587,4.419,106.802,-7.963,4.322,107.38,-7.669,4.78,3.383,102.833,-7.436,3.391,103.387,-7.491,4.997,2.097,106.471,-7.509,1.991,106.616,-6.562,5.438,-0.772,118.607,1.423,-0.376,119.637,1.073,4.499,3.036,160.901,0.667,3.334,164.517,-2.805,33.51,13.836,256.834,-27.828,12.256,233.297,-22.784,Salto B,generated_Mean_Salto B
94.009,7.4,126.63,7.937,13.908,119.355,-11.185,55.106,6.348,173.518,-19.619,6.273,163.878,-16.552,7.568,8.755,155.941,7.195,7.216,148.346,0.766,4.703,8.286,105.668,-25.663,7.689,107.146,-19.693,6.29,-3.858,83.16,-14.804,-3.186,84.863,-13.501,8.003,-4.318,118.967,-10.261,-4.046,117.896,-11.11,8.124,2.059,153.448,-8.589,1.589,151.887,-9.159,7.892,4.847,165.563,-11.183,4.893,165.275,-10.731,7.402,8.763,163.148,-9.452,8.587,163.975,-10.715,7.02,7.448,162.367,-13.354,7.536,162.138,-12.985,6.775,6.164,155.691,-11.572,6.088,155.64,-11.408,6.728,4.947,144.48,-9.129,4.664,144.626,-9.557,6.736,2.988,131.407,-8.851,2.857,131.499,-9.35,6.848,0.676,118.722,-11.025,0.598,119.356,-10.645,7.079,-1.249,110.814,-9.603,-1.127,111.313,-9.857,7.265,-0.993,110.497,-8.089,-1.028,111.029,-8.872,7.5,-1.815,117.511,-11.171,-2.006,116.933,-10.754,7.607,-4.298,124.479,-4.982,-3.827,125.867,-5.659,5.29,-0.758,157.005,-10.788,-1.117,159.407,-10.572,34.389,11.917,204.867,-31.959,8.223,190.414,-28.36,Salto A,generated_Mean_Salto A
94.427,9.098,-11.649,-8.069,11.932,-4.968,5.072,62.917,-2.053,-126.093,35.89,-5.474,-134.762,37.653,11.425,-34.39,-299.121,84.375,-31.301,-277.046,75.569,6.902,-32.452,-148.353,77.711,-31.434,-160.658,81.294,8.121,-35.3,-98.067,87.781,-35.238,-99.116,87.845,7.424,-46.724,-95.636,100.987,-48.62,-97.996,100.627,7.936,-80.07,-131.74,114.543,-79.686,-128.242,115.763,9.655,-111.364,-128.192,144.67,-110.892,-125.514,147.056,10.201,-134.123,-88.76,198.739,-132.458,-88.101,196.482,10.243,-137.404,-32.015,230.351,-136.167,-31.722,229.652,10.213,-123.107,30.5,242.493,-123.014,29.149,239.996,9.639,-100.191,76.948,217.357,-100.12,76.551,216.126,8.873,-68.174,106.783,174.704,-68.97,106.366,174.428,8.477,-42.164,124.661,124.304,-42.961,124.938,124.613,8.389,-27.444,141.395,76.437,-27.003,141.364,77.717,8.526,-13.59,159.594,45.275,-14.132,159.499,45.891,8.671,-12.063,181.429,25.494,-11.381,182.382,25.706,8.393,-3.952,217.327,17.546,-3.937,217.924,16.698,6.011,4.882,266.342,-0.27,4.007,268.833,-1.862,34.278,8.596,304.284,-37.421,6.917,290.099,-27.613,Barani A,generated_Mean_Barani A
87.366,26.347,172.739,-15.244,29.013,214.778,-13.999,52.145,22.854,318.328,-33.298,22.576,294.642,-26.059,8.688,4.583,149.594,2.467,7.436,161.778,-12.171,11.78,0.438,19.704,-44.738,0.461,34.772,-34.781,21.335,4.859,88.089,5.898,2.97,97.073,2.796,28.218,-2.692,355.026,-6.897,-3.426,363.211,-9.19,42.444,-6.218,699.547,-26.685,-5.283,677.986,-21.888,47.604,-0.854,729.757,-15.774,-0.681,732.913,-11.083,51.177,7.785,759.281,-3.678,7.682,759.192,-4.312,53.805,16.694,792.557,-13.394,16.958,792.947,-11.816,52.159,30.332,816.359,-5.111,30.991,811.645,-5.978,46.28,54.798,753.222,-12.308,53.217,748.938,-8.024,33.101,64.435,613.465,-18.084,63.654,612.414,-17.117,19.936,55.22,468.547,-29.842,54.179,451.916,-26.386,12.502,35.744,294.484,-29.668,36.23,292.289,-26.694,9.951,19.329,197.268,-28.024,19.857,199.808,-27.575,10.099,8.31,170.453,-25.651,8.912,173.016,-24.222,10.648,6.371,198.56,-14.462,7.088,200.22,-15.515,9.149,11.709,259.159,-15.6,10.141,258.004,-15.183,26.695,7.033,306.167,-42.096,5.621,291.064,-27.808,Doppelsalto C,generated_Mean_Doppelsalto C
88.88,14.527,65.458,33.975,11.203,67.118,10.145,62.543,2.987,98.185,2.178,4.077,97.48,6.518,8.355,4.173,104.127,18.707,5.004,106.754,15.715,3.013,5.38,93.425,-5.14,5.726,93.579,-2.638,2.721,1.0,63.196,-2.125,-0.011,64.463,-1.441,3.783,-1.558,52.385,-11.258,-1.377,52.29,-9.395,3.916,2.671,74.578,-12.258,2.315,74.037,-10.955,4.282,6.149,103.073,-2.38,5.737,104.556,-3.688,4.284,8.604,130.824,-4.189,7.765,130.627,-5.06,4.054,7.804,145.653,-3.029,8.963,143.82,-3.98,3.946,11.28,146.375,-3.485,9.961,146.81,-4.512,4.02,6.669,140.715,-5.818,5.796,141.689,-6.209,3.982,3.087,134.34,-11.696,2.844,134.269,-11.429,4.142,2.66,128.811,-8.653,2.227,130.277,-9.439,4.819,1.265,126.151,-9.453,1.117,129.942,-9.53,5.136,-0.458,132.429,-11.631,-0.955,131.557,-11.309,5.073,-5.129,145.469,-5.78,-4.84,143.283,-2.712,5.013,11.187,141.509,20.327,8.713,143.918,16.539,3.427,18.596,167.842,-5.133,18.777,165.142,-11.736,37.518,17.698,206.475,-109.933,17.09,150.947,-74.82,3/4 Salto rw A,generated_Mean_3/4 Salto rw A
116.119,4.52,-10.995,-31.584,6.013,-21.242,-24.749,66.475,-0.367,-89.698,17.525,-8.83,-83.844,28.729,17.593,-25.631,-116.3,54.505,-30.904,-116.8,46.53,15.446,-9.616,-6.456,12.035,-11.456,-22.161,10.593,14.787,-7.567,136.933,-7.367,-3.621,144.474,-1.944,27.526,-8.151,422.084,-0.311,-4.0,412.78,-3.11,31.072,2.938,457.785,1.104,4.703,452.776,1.449,31.426,-8.218,451.416,-5.382,-1.182,441.702,-5.687,22.644,9.256,341.544,-67.971,5.757,324.053,-42.901,14.567,-16.589,244.165,-13.582,-11.804,223.546,-21.714,10.305,-21.967,152.66,12.322,-18.647,158.516,-4.082,6.518,-21.578,123.958,-3.102,-20.255,141.936,-6.469,5.972,-6.318,122.509,-3.324,-6.57,126.926,-4.56,5.847,-4.818,117.018,-0.324,-4.229,117.341,-0.716,6.128,-4.615,109.042,2.44,-4.897,108.42,1.881,6.876,-3.922,98.562,-2.255,-4.691,99.66,-1.935,7.89,-9.322,104.845,-0.578,-8.588,103.971,0.282,7.644,-8.564,118.362,10.527,-9.416,117.726,9.045,4.857,-8.647,151.136,-12.487,-9.899,156.165,-9.267,27.134,9.965,281.851,-34.635,2.881,249.331,-26.948,Cody C,generated_Mean_Cody C
98.546,7.425,145.631,0.678,11.463,180.398,15.664,54.243,-0.84,259.585,22.022,0.04,250.975,25.737,6.451,8.476,221.88,35.855,9.015,222.976,41.587,3.948,51.602,162.285,52.347,48.78,160.471,58.059,4.203,53.444,106.169,74.338,55.438,111.725,79.125,3.85,88.9,95.689,102.005,88.815,95.289,99.692,4.228,112.535,56.655,101.947,112.1,53.858,101.939,5.043,114.436,-20.313,112.938,114.123,-20.484,112.327,6.981,107.131,-106.515,133.244,105.883,-104.969,133.861,9.545,84.624,-171.896,159.365,83.237,-168.992,157.87,11.178,38.824,-186.947,167.782,39.32,-185.436,168.958,12.028,8.833,-154.78,199.382,9.163,-151.616,199.303,11.982,-9.596,-66.398,224.822,-9.413,-64.726,221.452,10.834,-30.173,44.116,204.633,-29.701,39.483,201.961,9.278,-39.458,119.845,152.153,-38.987,116.655,151.613,8.21,-32.475,174.031,99.749,-33.075,169.268,100.613,7.992,-28.073,177.765,61.815,-28.186,177.043,63.246,7.987,-25.431,178.676,50.327,-24.437,182.56,46.996,6.103,-13.945,217.618,43.173,-13.175,219.08,41.926,23.314,42.122,299.609,-28.049,23.005,284.699,-12.446,Schraubensalto,generated_Mean_Schraubensalto
97.529,13.012,-45.396,23.33,15.775,9.353,14.297,57.199,7.367,-159.4,58.611,5.544,-171.061,56.238,11.641,-41.183,-376.353,117.337,-36.482,-357.806,114.421,10.932,-49.6,-277.767,197.025,-46.122,-285.574,205.753,13.616,-23.93,-196.396,389.079,-23.222,-194.226,389.042,15.151,8.912,-124.549,566.219,13.625,-123.898,551.214,17.69,99.952,-35.629,617.647,97.543,-37.92,612.405,17.633,175.971,16.466,673.186,178.739,8.432,659.288,18.283,260.932,-21.323,626.945,255.986,-23.382,633.891,16.607,276.428,-108.094,617.443,271.352,-104.562,616.702,17.422,218.596,-140.874,608.737,218.185,-137.583,607.219,16.961,142.359,-64.488,599.177,139.419,-65.26,594.515,14.462,54.432,64.12,500.389,56.879,60.184,497.961,11.764,11.582,159.985,342.168,15.344,154.126,341.622,9.808,13.313,185.246,200.004,11.987,185.466,203.154,9.459,7.332,220.552,106.577,5.705,221.561,111.509,9.089,-4.508,254.586,76.306,-2.954,253.721,77.767,8.566,4.121,285.481,75.679,6.438,284.61,73.708,6.83,46.081,334.003,42.4,42.004,329.796,43.183,38.404,65.657,291.272,17.113,61.178,286.894,-8.547,Rudi,generated_Mean_Rudi
