SprungID,Sprungtyp,0_Acc_N_Fil,0_Gyro_x_R,0_Gyro_y_R,0_Gyro_z_R,0_Gyro_x_Fil,0_Gyro_y_Fil,0_Gyro_z_Fil,5_Acc_N_Fil,5_Gyro_x_R,5_Gyro_y_R,5_Gyro_z_R,5_Gyro_x_Fil,5_Gyro_y_Fil,5_Gyro_z_Fil,10_Acc_N_Fil,10_Gyro_x_R,10_Gyro_y_R,10_Gyro_z_R,10_Gyro_x_Fil,10_Gyro_y_Fil,10_Gyro_z_Fil,15_Acc_N_Fil,15_Gyro_x_R,15_Gyro_y_R,15_Gyro_z_R,15_Gyro_x_Fil,15_Gyro_y_Fil,15_Gyro_z_Fil,20_Acc_N_Fil,20_Gyro_x_R,20_Gyro_y_R,20_Gyro_z_R,20_Gyro_x_Fil,20_Gyro_y_Fil,20_Gyro_z_Fil,25_Acc_N_Fil,25_Gyro_x_R,25_Gyro_y_R,25_Gyro_z_R,25_Gyro_x_Fil,25_Gyro_y_Fil,25_Gyro_z_Fil,30_Acc_N_Fil,30_Gyro_x_R,30_Gyro_y_R,30_Gyro_z_R,30_Gyro_x_Fil,30_Gyro_y_Fil,30_Gyro_z_Fil,35_Acc_N_Fil,35_Gyro_x_R,35_Gyro_y_R,35_Gyro_z_R,35_Gyro_x_Fil,35_Gyro_y_Fil,35_Gyro_z_Fil,40_Acc_N_Fil,40_Gyro_x_R,40_Gyro_y_R,40_Gyro_z_R,40_Gyro_x_Fil,40_Gyro_y_Fil,40_Gyro_z_Fil,45_Acc_N_Fil,45_Gyro_x_R,45_Gyro_y_R,45_Gyro_z_R,45_Gyro_x_Fil,45_Gyro_y_Fil,45_Gyro_z_Fil,50_Acc_N_Fil,50_Gyro_x_R,50_Gyro_y_R,50_Gyro_z_R,50_Gyro_x_Fil,50_Gyro_y_Fil,50_Gyro_z_Fil,55_Acc_N_Fil,55_Gyro_x_R,55_Gyro_y_R,55_Gyro_z_R,55_Gyro_x_Fil,55_Gyro_y_Fil,55_Gyro_z_Fil,60_Acc_N_Fil,60_Gyro_x_R,60_Gyro_y_R,60_Gyro_z_R,60_Gyro_x_Fil,60_Gyro_y_Fil,60_Gyro_z_Fil,65_Acc_N_Fil,65_Gyro_x_R,65_Gyro_y_R,65_Gyro_z_R,65_Gyro_x_Fil,65_Gyro_y_Fil,65_Gyro_z_Fil,70_Acc_N_Fil,70_Gyro_x_R,70_Gyro_y_R,70_Gyro_z_R,70_Gyro_x_Fil,70_Gyro_y_Fil,70_Gyro_z_Fil,75_Acc_N_Fil,75_Gyro_x_R,75_Gyro_y_R,75_Gyro_z_R,75_Gyro_x_Fil,75_Gyro_y_Fil,75_Gyro_z_Fil,80_Acc_N_Fil,80_Gyro_x_R,80_Gyro_y_R,80_Gyro_z_R,80_Gyro_x_Fil,80_Gyro_y_Fil,80_Gyro_z_Fil,85_Acc_N_Fil,85_Gyro_x_R,85_Gyro_y_R,85_Gyro_z_R,85_Gyro_x_Fil,85_Gyro_y_Fil,85_Gyro_z_Fil,90_Acc_N_Fil,90_Gyro_x_R,90_Gyro_y_R,90_Gyro_z_R,90_Gyro_x_Fil,90_Gyro_y_Fil,90_Gyro_z_Fil,95_Acc_N_Fil,95_Gyro_x_R,95_Gyro_y_R,95_Gyro_z_R,95_Gyro_x_Fil,95_Gyro_y_Fil,95_Gyro_z_Fil
0827-BK1-01-4,Salto C,92.047,12.896,128.8,17.606,11.063,132.818,9.715,33.234,21.974,130.581,-7.898,19.847,112.191,-4.134,9.042,-2.219,-96.288,31.458,0.659,-81.269,26.94,11.653,3.322,-66.803,10.29,0.835,-51.904,13.42,10.743,-19.328,274.253,-1.946,-17.857,276.198,-0.907,15.291,-11.734,622.421,6.174,-11.423,602.282,3.435,21.219,6.742,535.755,14.798,7.964,540.937,14.509,23.564,18.453,410.874,-2.49,15.541,403.786,-0.638,6.058,-0.686,216.59,-10.739,1.76,222.343,-9.823,3.377,12.816,176.677,2.773,11.297,177.047,1.796,3.285,6.327,168.258,-0.325,6.182,168.35,-0.126,3.059,2.078,158.765,-0.475,2.2,158.685,-0.325,3.075,0.443,155.266,1.13,0.713,154.79,0.091,2.755,1.637,142.622,-10.856,1.155,142.135,-9.734,2.741,-3.675,112.858,-3.998,-3.784,112.78,-3.444,3.248,-6.112,83.178,12.027,-5.638,82.748,10.583,3.668,-3.182,51.803,5.043,-3.568,51.998,5.718,3.908,-4.763,34.104,12.944,-3.675,39.95,12.559,8.665,16.016,114.558,27.07,14.457,119.421,25.599,63.618,15.314,212.619,-9.654,15.528,198.236,-9.367
0827-BK1-01-7,Salto C,93.227,2.402,114.938,13.766,1.716,118.529,7.902,29.363,10.861,83.7,0.072,11.173,73.785,1.288,10.419,2.856,-68.235,24.328,3.103,-58.87,22.918,10.481,3.28,-35.445,-5.87,1.354,-15.754,-2.306,12.625,-30.598,389.707,-8.071,-27.91,377.032,-5.607,16.498,-9.405,604.149,18.626,-12.614,587.054,17.32,28.056,-5.688,460.1,15.125,-6.056,462.982,15.264,14.488,-20.685,318.616,6.391,-16.168,317.162,5.268,4.282,6.361,173.875,4.951,3.698,182.38,5.129,3.606,6.016,167.539,3.882,5.498,168.283,3.625,3.29,4.904,169.805,2.827,4.845,168.764,2.971,3.06,1.233,158.041,0.996,1.413,158.171,1.269,3.0,-0.116,150.017,1.487,-0.136,150.422,1.195,2.912,-1.468,149.769,0.265,-1.617,150.097,0.438,2.607,-3.854,147.142,2.591,-3.638,144.6,2.335,2.197,-1.484,99.991,-1.354,-1.854,99.792,-1.202,3.251,-5.592,44.373,-6.237,-6.125,44.686,-5.972,4.919,-15.416,2.096,5.936,-13.979,11.583,6.327,7.75,7.898,131.572,29.319,6.532,136.367,24.389,62.17,1.878,250.146,-31.678,1.53,231.427,-25.61
0827-BK1-01-10,Salto C,93.648,-12.202,89.145,0.158,-11.091,95.97,-8.148,26.009,16.334,102.651,-2.532,15.388,92.863,0.554,8.91,9.875,-37.285,20.755,8.834,-31.93,20.145,10.433,-2.744,20.1,-11.991,-4.664,37.271,-9.095,12.086,-35.787,397.617,16.242,-30.277,384.922,14.19,13.255,-8.486,520.067,17.34,-11.219,509.697,17.531,26.172,-4.309,423.667,8.536,-5.121,424.276,8.857,12.743,-8.348,301.733,-18.284,-7.011,301.621,-18.38,3.909,9.035,190.637,-11.62,7.242,195.567,-11.743,3.364,9.357,162.808,-2.527,9.273,164.431,-2.55,3.334,-2.523,156.387,-2.621,-2.176,156.18,-2.813,3.418,-8.009,158.296,-4.003,-7.714,157.576,-3.571,3.259,-4.504,153.125,0.558,-4.909,153.395,1.033,2.86,-6.345,141.38,13.609,-5.335,141.62,12.134,2.815,1.332,128.965,4.329,0.622,128.638,4.687,2.701,-4.993,108.166,-6.973,-5.193,107.815,-5.157,3.744,-12.682,88.11,10.587,-11.837,87.716,8.116,5.264,-8.474,66.069,4.323,-8.24,71.173,3.864,9.526,10.235,121.595,12.748,9.609,130.501,12.56,67.938,1.013,222.094,-12.075,3.207,204.771,-11.078
0827-BK1-01-13,Salto C,95.918,6.165,119.798,13.01,5.41,125.707,6.096,32.618,18.472,127.031,1.988,17.928,106.626,6.847,9.362,3.851,-93.181,44.425,4.455,-76.051,36.954,11.211,-3.117,-24.685,-14.177,-4.114,-5.255,-11.184,12.619,-30.119,373.351,-12.632,-27.992,361.929,-9.695,14.294,-11.478,558.558,17.023,-12.051,544.067,15.049,25.508,14.794,431.6,11.857,12.214,433.223,11.75,12.514,6.813,306.13,-12.284,7.831,306.07,-12.53,4.119,-0.722,185.486,-8.9,0.268,190.702,-9.632,3.409,5.592,159.542,-11.173,5.428,159.902,-10.189,3.203,4.303,150.455,-7.562,3.775,151.454,-8.014,3.424,-2.358,156.449,-8.625,-1.97,156.056,-8.406,3.321,-1.782,161.636,-4.543,-2.458,161.218,-4.585,3.075,-9.894,158.192,-1.986,-9.25,157.908,-1.965,2.938,-9.081,148.714,1.498,-8.891,148.146,0.996,2.323,-3.487,117.589,-2.524,-3.952,115.963,-2.254,3.374,-10.28,52.075,-1.315,-9.798,53.078,0.311,5.671,-9.547,15.451,29.846,-10.058,22.382,27.259,9.721,2.182,91.017,20.086,2.066,101.393,19.248,64.819,-6.83,219.788,-36.251,-4.674,195.572,-31.786
0827-BK1-01-16,Salto C,96.668,15.784,117.445,22.34,15.568,123.246,10.955,32.074,25.894,133.291,1.189,25.319,114.999,1.825,9.417,-2.395,-87.084,25.241,0.12,-73.24,21.42,10.9,3.553,-55.247,-15.606,1.048,-36.56,-9.437,11.41,-12.586,319.642,-20.062,-13.029,315.322,-18.02,15.971,-5.424,613.741,6.836,-5.561,592.332,5.892,22.414,17.085,480.935,22.891,18.243,482.323,18.208,18.2,23.923,336.746,-1.434,22.97,337.564,2.331,5.545,13.418,196.922,10.532,14.303,202.131,9.525,3.167,17.122,161.085,7.225,16.658,162.128,6.895,3.232,10.622,159.978,-1.93,11.163,159.652,-1.567,3.037,15.187,154.758,-0.056,15.005,154.683,-0.126,3.212,11.669,151.374,1.405,11.629,151.158,1.163,2.918,12.875,144.544,-1.565,12.664,145.006,-1.319,2.561,11.183,135.435,-7.639,11.794,133.915,-7.405,2.339,11.254,95.363,-10.246,9.877,95.603,-10.475,3.373,-6.593,56.744,-10.626,-5.119,56.366,-9.401,4.697,-4.497,22.113,8.656,-5.399,28.907,8.035,7.598,8.259,108.826,12.794,7.896,118.162,12.444,58.009,8.499,253.719,-30.108,8.492,232.772,-25.071
0827-BK1-01-19,Salto C,94.981,19.503,119.901,-1.352,20.689,122.181,-10.697,28.495,42.582,104.828,-1.812,39.084,94.326,-0.791,9.588,-18.025,-63.515,33.514,-14.21,-56.092,32.7,9.797,-6.017,-30.381,10.334,-9.515,-14.803,12.963,10.334,-36.687,308.704,-0.013,-34.783,307.333,1.818,15.315,-13.14,593.708,19.987,-14.444,572.616,18.944,22.643,7.804,460.419,40.809,9.264,463.604,38.442,20.17,19.556,353.846,39.86,17.64,352.143,38.988,6.259,0.204,201.705,3.903,2.755,207.683,6.677,3.107,21.059,161.134,13.522,19.598,162.392,12.789,3.028,16.237,160.976,11.758,16.413,160.835,11.725,2.737,15.896,151.009,9.363,15.817,150.735,9.513,2.605,13.782,132.452,7.462,14.313,132.771,7.578,2.605,18.973,119.282,6.132,19.374,119.345,5.66,2.467,23.66,106.615,-3.048,22.817,106.667,-2.95,2.47,15.324,96.124,-9.344,15.26,95.598,-7.939,2.996,5.219,73.286,10.242,5.52,73.297,8.669,5.235,-3.903,66.679,-0.698,-3.314,72.519,0.63,9.638,13.675,143.012,0.729,11.971,152.334,1.369,64.869,2.696,247.865,-40.232,3.199,227.718,-37.096
0827-BK1-01-22,Salto C,97.52,-14.491,84.364,11.548,-14.76,89.607,5.59,30.641,-1.872,83.44,33.894,-0.491,75.89,29.257,9.488,15.016,-28.508,-3.959,13.857,-22.032,0.739,9.767,20.589,27.344,-10.555,18.625,41.371,-9.518,10.695,-6.419,348.949,-6.075,-5.594,342.732,-4.733,14.793,-12.72,564.651,6.169,-13.794,549.856,5.771,19.167,-8.32,466.357,21.448,-6.33,471.653,19.701,19.056,0.447,365.493,20.685,-0.684,363.198,20.337,5.804,-16.739,216.642,8.074,-13.979,218.066,9.379,3.171,8.673,153.704,12.381,6.834,156.403,11.779,3.325,15.22,158.099,9.704,14.426,158.159,10.036,3.494,12.451,164.738,14.411,12.308,165.144,14.105,3.347,5.155,174.505,7.768,5.338,172.622,7.723,3.094,-2.307,146.637,0.886,-1.732,146.063,0.969,3.304,2.367,106.151,-2.786,2.189,107.026,-1.892,3.48,7.374,81.788,8.651,7.44,80.996,7.384,2.814,7.077,56.472,2.024,6.798,58.523,2.628,2.402,1.956,65.25,18.797,1.974,66.748,15.888,5.774,5.267,80.005,20.6,6.343,86.509,19.658,64.397,1.617,152.442,-6.416,2.179,141.368,-1.509
0827-BK1-01-24,Salto C,89.884,-4.451,151.898,-8.875,-3.913,160.449,-8.079,31.518,10.112,161.763,11.179,7.757,138.653,12.57,8.947,-5.557,-91.251,25.122,-5.321,-68.269,23.655,6.36,-3.379,-12.886,8.973,-2.174,-9.086,10.118,9.348,5.083,159.032,28.19,4.154,169.219,24.278,16.04,-12.682,485.159,0.622,-11.62,467.559,4.613,11.735,-2.696,532.57,22.003,-3.822,524.721,17.781,19.361,3.077,456.218,-1.115,3.69,460.44,-0.237,18.863,-1.75,383.294,-2.837,-1.774,382.525,1.039,7.463,-6.038,239.293,19.216,-5.712,239.937,15.749,2.745,-0.462,141.392,3.427,0.009,144.163,4.913,2.556,11.12,117.784,6.595,10.786,117.499,6.259,2.437,12.392,100.861,4.123,12.132,100.969,4.374,2.64,9.106,91.234,6.37,9.233,91.662,6.239,2.958,8.909,93.44,7.517,8.707,94.503,7.235,2.971,6.042,113.935,-1.362,6.072,113.712,-0.402,3.637,5.566,127.733,0.928,5.332,127.373,1.103,5.184,-2.282,147.827,-2.147,-0.922,149.737,-2.712,9.541,13.336,196.288,5.81,12.237,201.32,3.741,68.165,7.112,221.818,-14.491,7.086,209.008,-10.259
0827-BK1-01-26,Salto C,94.059,-12.574,76.187,-16.138,-12.469,84.693,-16.694,31.246,23.154,98.603,-8.928,18.564,87.05,-5.424,9.25,3.213,-25.814,9.847,5.668,-18.289,7.429,9.631,10.837,-3.112,4.701,9.551,11.01,4.855,10.936,-3.766,288.08,4.672,-3.385,289.866,3.539,16.791,-10.184,605.544,2.963,-10.04,583.585,3.355,20.554,-4.605,506.598,13.589,-2.904,510.655,13.134,21.717,1.317,387.166,20.934,1.337,384.903,20.072,7.699,-1.856,235.373,15.469,-3.007,236.997,16.635,3.181,-1.394,157.216,12.176,-0.95,160.195,12.066,3.487,14.157,153.278,10.013,13.834,153.383,10.578,3.461,19.0,156.978,14.398,18.368,157.356,13.659,3.452,10.998,167.566,6.971,11.39,166.865,7.14,3.101,9.784,160.72,0.291,9.702,159.468,0.998,3.014,9.25,126.12,6.87,9.405,126.193,6.765,3.449,12.042,88.834,13.877,12.569,89.391,13.011,4.16,20.624,62.534,5.259,19.553,62.353,5.776,4.741,6.17,47.454,6.032,6.889,52.618,5.126,8.664,13.138,93.556,6.984,12.57,103.573,9.223,60.52,7.064,206.976,-1.84,10.101,186.297,-3.589
0827-BK1-01-28,Strecksprung,79.005,11.187,49.334,-6.175,9.035,53.177,-10.154,18.118,-7.608,20.926,17.773,-2.094,26.079,16.616,4.461,51.721,112.39,-10.815,43.203,103.049,0.584,4.169,12.122,70.02,47.287,15.245,71.748,33.339,2.155,4.971,-18.723,-34.692,6.494,-17.497,-29.955,0.57,21.068,-52.282,-56.596,19.416,-54.091,-48.713,2.296,1.636,-92.771,36.604,3.313,-90.869,26.396,2.1,1.471,-43.262,19.553,0.164,-42.416,25.232,1.313,-3.889,-1.928,24.469,-4.508,-1.566,25.321,2.215,-4.921,-6.39,43.554,-5.058,-5.059,39.018,1.299,-4.633,11.058,2.981,-2.368,8.835,5.039,0.742,6.616,3.946,10.802,4.503,4.279,10.206,0.805,-7.321,0.286,5.892,-6.158,0.156,6.083,0.506,-4.993,-8.934,0.527,-4.952,-8.399,0.97,0.433,-2.712,-7.92,4.207,-2.547,-7.867,3.968,0.622,1.853,-5.959,6.728,1.249,-5.907,6.452,0.918,-4.803,-5.208,2.655,-5.032,-5.394,2.149,3.1,-17.985,-15.167,-8.784,-16.103,-15.402,-12.238,9.73,-8.278,-31.11,-13.21,-10.668,-16.137,-12.525,64.093,-31.527,140.54,-35.641,-28.268,123.967,-28.65
