SprungID,Sprungtyp,std_Acc_N_Fil,std_Gyro_x_R,std_Gyro_y_R,std_Gyro_z_R,std_Gyro_x_Fil,std_Gyro_y_Fil,std_Gyro_z_Fil
20190930-1247-FRANKFURT_2-01-61,Strecksprung,24.126,7.472,70.146,26.767,5.435,66.935,24.912
0110-MORITZ-01-135,Strecksprung,24.219,15.113,65.628,18.447,13.294,61.01,15.39
20190930-1247-FRANKFURT_2-01-196,Schraubensalto,23.119,92.755,153.191,140.579,90.461,149.27,138.583
20191007-1159-FRANKFURT_1-01-371,Salto C,22.417,23.622,250.938,41.421,19.29,223.932,27.786
20191001-1202-FRANKFURT_2-01-183,Salto A,20.276,18.551,76.921,87.129,12.108,62.208,28.135
0827-BK1-01-62,Salto B,23.908,19.35,163.736,27.49,16.973,157.936,22.149
0115-MORITZ-03-25,Salto C,24.173,20.691,89.804,22.189,16.195,86.558,14.943
20191007-1150-FRANKFURT_2-01-141,Salto A,20.721,20.222,59.687,26.48,16.274,51.577,17.756
20191008-1157-FRANKFURT_1-01-89,Salto A,22.26,19.906,70.622,26.289,15.48,62.596,17.044
20190930-1153-FRANKFURT_1-01-144,Schraubensalto,19.481,102.74,140.701,128.666,100.97,138.307,125.474
20191007-1150-FRANKFURT_2-01-57,Cody C,23.364,31.307,224.733,50.139,24.14,208.056,35.903
20190930-1616-FRANKFURT_1-01-344,Barani A,22.619,57.577,154.723,67.934,56.109,151.367,63.629
0827-BK2-01-122,Salto A,23.136,18.011,55.492,20.641,16.286,51.36,16.023
0827-BK2-01-108,Salto A,22.837,10.946,54.245,15.842,8.313,50.002,11.74
20191001-1202-FRANKFURT_2-01-54,Strecksprung,22.475,17.426,71.265,48.708,13.873,57.465,22.59
20191007-1150-FRANKFURT_2-01-46,Barani A,18.895,89.22,184.126,84.057,87.577,179.039,80.636
20191008-1157-FRANKFURT_1-01-387,Barani A,24.873,67.86,188.609,120.434,66.262,185.25,117.374
20191007-1534-FRANKFURT_2-01-52,Barani A,22.915,70.829,191.072,109.96,68.943,187.6,106.152
20191007-1534-FRANKFURT_2-01-91,Salto B,22.184,31.171,222.47,50.952,27.338,214.082,40.837
20191001-1202-FRANKFURT_2-01-104,Strecksprung,21.071,19.404,56.062,33.213,15.724,52.341,22.677
0609-1-01-323,Salto C,23.531,22.342,194.27,30.742,19.17,188.044,20.641
20190930-1616-FRANKFURT_1-01-31,Salto A,24.399,20.862,53.366,39.844,13.421,45.805,26.872
0609-4-01-325,Strecksprung,28.669,16.96,30.892,20.434,14.914,27.981,16.377
20191008-1207-FRANKFURT_2-01-17,Strecksprung,20.894,16.462,83.876,25.325,12.738,77.836,15.382
0609-4-01-518,Barani C,21.655,50.501,180.749,95.586,48.398,177.474,93.124
20191007-1159-FRANKFURT_1-01-91,Barani B,24.416,39.01,263.133,173.84,35.52,256.738,168.9
20191008-1157-FRANKFURT_1-01-190,Strecksprung,20.931,14.427,98.784,26.288,12.187,94.622,22.356
0609-4-01-594,Barani C,22.913,32.148,207.654,94.18,30.41,203.557,91.965
20191001-1202-FRANKFURT_2-01-110,Hocksprung,21.994,25.181,141.91,76.985,18.307,114.875,31.042
0110-MORITZ-01-33,Fliffis B,23.302,98.132,393.104,129.731,91.734,389.467,123.5
20191001-1148-FRANKFURT_1-01-52,Salto rw B,22.401,25.945,232.102,45.219,19.772,212.457,25.922
0609-1-01-591,Salto C,23.421,18.675,184.756,28.726,15.408,177.119,20.681
0609-1-01-487,Doppelsalto B,21.098,29.165,276.098,32.741,24.732,270.31,20.587
0115-CHARI-05-88,Fliffis- Rudi B,20.343,218.653,390.674,341.884,212.017,384.413,337.269
0115-MORITZ-03-145,Voll- ein- voll- aus B,20.552,292.074,323.758,321.278,284.892,309.067,314.141
0609-1-01-324,Doppelsalto B,20.544,46.098,282.141,44.203,43.163,275.295,31.329
20191007-1159-FRANKFURT_1-01-344,Schraubensalto A,20.929,177.161,257.335,270.537,174.129,246.608,266.812
20190930-1616-FRANKFURT_1-01-135,Fliffis C,23.144,89.362,368.245,146.868,77.492,357.755,120.708
0609-4-01-188,Strecksprung,23.935,17.409,53.083,25.621,15.138,50.134,22.539
0609-1-01-405,Doppelsalto B,19.127,33.704,285.032,29.776,30.715,279.325,17.842
0609-1-01-776,Von Bauch in Stand,20.753,21.602,86.671,29.569,18.17,69.328,17.786
0115-CHARI-05-9,Salto B,24.729,18.052,190.665,27.921,15.567,183.743,23.587
20190930-1153-FRANKFURT_1-01-106,Salto B,21.858,33.19,226.336,34.361,29.315,220.673,26.203
20191007-1524-FRANKFURT_1-01-233,Doppelsalto B,24.676,51.977,253.298,80.678,47.658,241.827,58.576
0115-MORITZ-03-41,Doppelsalto B,24.672,36.093,270.221,41.225,33.619,264.489,30.412
0609-4-01-548,Barani C,22.983,34.907,212.919,98.802,32.143,208.25,94.769
20191008-1207-FRANKFURT_2-01-309,Fliffis C,22.528,113.778,404.748,183.002,104.813,399.066,157.235
20191008-1207-FRANKFURT_2-01-337,Salto B,24.199,54.439,227.858,61.547,49.106,218.626,40.484
0609-1-01-476,Doppelsalto B,20.766,39.507,272.653,39.693,37.135,265.342,28.509
0609-4-01-316,Strecksprung,25.079,17.17,51.886,18.537,14.965,47.053,15.367
20191007-1524-FRANKFURT_1-01-253,Fliffis- Rudi C,22.75,198.92,422.362,428.067,186.853,403.891,415.055
0609-1-01-223,Von Bauch in Stand,23.677,22.336,74.184,33.859,17.491,65.429,23.581
0609-1-01-606,Doppelsalto B,21.463,40.407,281.502,44.501,37.229,273.114,32.794
